SITE CODE= ä|êÏésé¬èÍ
LAT=  34.7510
LON= 137.9857
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 20
NS, EW, UD
    0.048,    0.087,   -0.091
    0.033,    0.114,   -0.083
    0.022,    0.144,   -0.096
    0.014,    0.179,   -0.137
    0.005,    0.215,   -0.191
   -0.007,    0.247,   -0.247
   -0.023,    0.262,   -0.295
   -0.042,    0.240,   -0.322
   -0.052,    0.185,   -0.332
   -0.041,    0.114,   -0.318
   -0.003,    0.044,   -0.286
    0.058,   -0.003,   -0.241
    0.130,   -0.031,   -0.170
    0.198,   -0.026,   -0.066
    0.251,   -0.004,    0.054
    0.276,    0.021,    0.152
    0.278,    0.061,    0.215
    0.259,    0.098,    0.279
    0.224,    0.133,    0.355
    0.192,    0.154,    0.439
    0.167,    0.151,    0.510
    0.161,    0.130,    0.547
    0.172,    0.092,    0.545
    0.191,    0.063,    0.502
    0.223,    0.047,    0.423
    0.251,    0.048,    0.317
    0.277,    0.069,    0.204
    0.302,    0.090,    0.115
    0.322,    0.111,    0.060
    0.342,    0.128,    0.048
    0.357,    0.128,    0.068
    0.374,    0.116,    0.079
    0.386,    0.081,    0.070
    0.386,    0.036,    0.034
    0.369,    0.004,   -0.027
    0.333,   -0.015,   -0.094
    0.292,   -0.013,   -0.163
    0.255,    0.000,   -0.209
    0.223,    0.017,   -0.230
    0.195,    0.030,   -0.249
    0.170,    0.029,   -0.274
    0.149,    0.022,   -0.314
    0.132,    0.007,   -0.344
    0.119,   -0.010,   -0.352
    0.104,   -0.030,   -0.337
    0.078,   -0.056,   -0.297
    0.033,   -0.083,   -0.259
   -0.034,   -0.120,   -0.245
   -0.120,   -0.149,   -0.262
   -0.208,   -0.166,   -0.291
   -0.290,   -0.169,   -0.304
   -0.357,   -0.151,   -0.290
   -0.402,   -0.128,   -0.235
   -0.427,   -0.109,   -0.156
   -0.427,   -0.105,   -0.066
   -0.412,   -0.114,    0.036
   -0.393,   -0.121,    0.117
   -0.368,   -0.124,    0.170
   -0.347,   -0.118,    0.194
   -0.337,   -0.115,    0.193
   -0.346,   -0.121,    0.206
   -0.385,   -0.126,    0.228
   -0.440,   -0.137,    0.243
   -0.498,   -0.139,    0.251
   -0.549,   -0.123,    0.246
   -0.590,   -0.101,    0.223
   -0.618,   -0.066,    0.187
   -0.627,   -0.029,    0.142
   -0.625,   -0.005,    0.110
   -0.609,   -0.001,    0.119
   -0.579,   -0.027,    0.150
   -0.541,   -0.072,    0.186
   -0.491,   -0.127,    0.229
   -0.433,   -0.182,    0.260
   -0.362,   -0.223,    0.275
   -0.290,   -0.252,    0.267
   -0.218,   -0.264,    0.214
   -0.146,   -0.269,    0.149
   -0.086,   -0.268,    0.092
   -0.037,   -0.241,    0.038
   -0.004,   -0.198,   -0.016
    0.020,   -0.136,   -0.093
    0.038,   -0.064,   -0.193
    0.043,   -0.002,   -0.310
    0.044,    0.054,   -0.439
    0.046,    0.096,   -0.549
    0.051,    0.129,   -0.606
    0.064,    0.147,   -0.594
    0.084,    0.139,   -0.527
    0.114,    0.113,   -0.439
    0.148,    0.069,   -0.359
    0.176,    0.026,   -0.307
    0.198,   -0.003,   -0.279
    0.219,   -0.015,   -0.265
    0.248,   -0.005,   -0.246
    0.292,    0.018,   -0.203
    0.341,    0.049,   -0.145
    0.381,    0.077,   -0.083
    0.411,    0.101,   -0.022
    0.418,    0.125,    0.023
    0.397,    0.151,    0.050
    0.356,    0.188,    0.070
    0.302,    0.230,    0.074
    0.253,    0.275,    0.057
    0.222,    0.308,    0.038
    0.200,    0.314,    0.036
    0.189,    0.291,    0.058
    0.181,    0.241,    0.096
    0.176,    0.182,    0.135
    0.174,    0.122,    0.161
    0.166,    0.062,    0.153
    0.157,    0.010,    0.119
    0.150,   -0.029,    0.095
    0.148,   -0.065,    0.101
    0.160,   -0.101,    0.146
    0.172,   -0.133,    0.212
    0.181,   -0.159,    0.268
    0.186,   -0.166,    0.305
    0.178,   -0.157,    0.332
    0.154,   -0.133,    0.348
    0.111,   -0.097,    0.339
    0.056,   -0.067,    0.312
    0.000,   -0.033,    0.271
   -0.062,   -0.001,    0.221
   -0.122,    0.025,    0.182
   -0.170,    0.058,    0.166
   -0.208,    0.085,    0.174
   -0.235,    0.105,    0.188
   -0.250,    0.104,    0.176
   -0.257,    0.091,    0.134
   -0.248,    0.093,    0.059
   -0.223,    0.112,   -0.037
   -0.187,    0.162,   -0.117
   -0.133,    0.234,   -0.159
   -0.074,    0.297,   -0.170
   -0.015,    0.344,   -0.159
    0.037,    0.366,   -0.142
    0.077,    0.367,   -0.136
    0.109,    0.361,   -0.141
    0.129,    0.354,   -0.160
    0.145,    0.363,   -0.181
    0.147,    0.380,   -0.191
    0.125,    0.398,   -0.187
    0.088,    0.413,   -0.172
    0.033,    0.408,   -0.159
   -0.032,    0.399,   -0.148
   -0.101,    0.401,   -0.155
   -0.172,    0.411,   -0.184
   -0.235,    0.435,   -0.205
   -0.285,    0.461,   -0.209
   -0.314,    0.462,   -0.191
   -0.321,    0.421,   -0.164
   -0.295,    0.338,   -0.139
   -0.243,    0.228,   -0.113
   -0.167,    0.115,   -0.087
   -0.072,    0.018,   -0.060
    0.023,   -0.057,   -0.015
    0.117,   -0.113,    0.056
    0.198,   -0.167,    0.147
    0.258,   -0.229,    0.226
    0.309,   -0.303,    0.264
    0.342,   -0.379,    0.264
    0.355,   -0.435,    0.240
