SITE CODE= àÍã{ésêÁèH
LAT=  35.3020
LON= 136.8431
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 10
NS, EW, UD
   -0.342,   -0.328,   -0.065
   -0.409,   -0.396,   -0.093
   -0.451,   -0.408,   -0.140
   -0.459,   -0.366,   -0.195
   -0.427,   -0.285,   -0.236
   -0.357,   -0.185,   -0.249
   -0.254,   -0.080,   -0.237
   -0.129,    0.023,   -0.213
    0.010,    0.119,   -0.190
    0.155,    0.200,   -0.165
    0.285,    0.251,   -0.131
    0.377,    0.259,   -0.086
    0.408,    0.216,   -0.037
    0.372,    0.128,   -0.000
    0.284,    0.012,    0.013
    0.169,   -0.107,    0.009
    0.054,   -0.206,    0.006
   -0.045,   -0.261,    0.023
   -0.121,   -0.264,    0.062
   -0.162,   -0.219,    0.098
   -0.159,   -0.144,    0.103
   -0.102,   -0.067,    0.067
    0.007,   -0.012,    0.013
    0.150,    0.011,   -0.025
    0.299,    0.012,   -0.028
    0.423,    0.010,   -0.000
    0.501,    0.008,    0.037
    0.523,   -0.004,    0.070
    0.491,   -0.048,    0.097
    0.409,   -0.129,    0.117
    0.289,   -0.228,    0.129
    0.151,   -0.313,    0.125
    0.021,   -0.359,    0.103
   -0.082,   -0.362,    0.070
   -0.150,   -0.335,    0.043
   -0.186,   -0.294,    0.030
   -0.198,   -0.251,    0.032
   -0.187,   -0.206,    0.044
   -0.148,   -0.156,    0.063
   -0.080,   -0.097,    0.085
    0.008,   -0.030,    0.104
    0.092,    0.042,    0.112
    0.147,    0.107,    0.106
    0.159,    0.146,    0.088
    0.132,    0.147,    0.061
    0.082,    0.120,    0.026
    0.030,    0.084,   -0.018
   -0.010,    0.066,   -0.076
   -0.035,    0.074,   -0.148
   -0.048,    0.099,   -0.232
   -0.056,    0.125,   -0.318
   -0.066,    0.144,   -0.389
   -0.080,    0.162,   -0.427
   -0.091,    0.192,   -0.427
   -0.090,    0.245,   -0.402
   -0.068,    0.313,   -0.373
   -0.025,    0.381,   -0.347
    0.023,    0.431,   -0.313
    0.060,    0.460,   -0.256
    0.073,    0.473,   -0.179
    0.067,    0.476,   -0.100
    0.063,    0.465,   -0.032
    0.072,    0.427,    0.024
    0.091,    0.349,    0.069
    0.102,    0.237,    0.092
    0.091,    0.105,    0.080
    0.060,   -0.024,    0.041
    0.020,   -0.139,    0.008
   -0.018,   -0.229,    0.009
   -0.056,   -0.286,    0.044
   -0.096,   -0.302,    0.081
   -0.131,   -0.279,    0.091
   -0.150,   -0.230,    0.073
   -0.143,   -0.165,    0.051
   -0.113,   -0.087,    0.036
   -0.069,    0.005,    0.028
   -0.013,    0.104,    0.014
    0.053,    0.181,   -0.002
    0.124,    0.207,   -0.008
    0.177,    0.173,    0.005
    0.189,    0.101,    0.024
    0.147,    0.028,    0.028
    0.062,   -0.021,    0.005
   -0.044,   -0.045,   -0.027
   -0.151,   -0.057,   -0.042
   -0.250,   -0.066,   -0.024
   -0.328,   -0.067,    0.018
   -0.371,   -0.048,    0.053
   -0.357,    0.000,    0.060
   -0.276,    0.080,    0.043
   -0.133,    0.185,    0.032
    0.044,    0.300,    0.048
    0.227,    0.406,    0.086
    0.385,    0.484,    0.116
    0.499,    0.521,    0.115
    0.551,    0.512,    0.087
    0.532,    0.460,    0.051
    0.444,    0.371,    0.018
    0.300,    0.258,   -0.019
    0.128,    0.134,   -0.073
   -0.041,    0.010,   -0.139
   -0.187,   -0.106,   -0.194
   -0.300,   -0.215,   -0.218
   -0.378,   -0.316,   -0.203
   -0.422,   -0.406,   -0.164
   -0.425,   -0.478,   -0.116
   -0.385,   -0.526,   -0.072
   -0.303,   -0.546,   -0.037
   -0.197,   -0.537,   -0.015
   -0.091,   -0.503,   -0.011
   -0.004,   -0.454,   -0.028
    0.052,   -0.397,   -0.057
    0.076,   -0.336,   -0.084
    0.066,   -0.265,   -0.089
    0.024,   -0.180,   -0.065
   -0.044,   -0.087,   -0.019
   -0.127,   -0.006,    0.026
   -0.212,    0.041,    0.051
   -0.285,    0.044,    0.048
   -0.339,    0.014,    0.021
   -0.364,   -0.024,   -0.018
   -0.344,   -0.049,   -0.062
   -0.264,   -0.052,   -0.104
   -0.122,   -0.031,   -0.138
    0.071,    0.007,   -0.161
    0.287,    0.064,   -0.170
    0.487,    0.137,   -0.167
    0.635,    0.226,   -0.147
    0.709,    0.322,   -0.107
    0.699,    0.412,   -0.041
    0.613,    0.483,    0.046
    0.476,    0.518,    0.141
    0.312,    0.510,    0.223
    0.142,    0.460,    0.275
   -0.020,    0.381,    0.288
   -0.166,    0.291,    0.272
   -0.280,    0.204,    0.241
   -0.338,    0.128,    0.214
   -0.323,    0.070,    0.195
   -0.231,    0.038,    0.176
   -0.079,    0.039,    0.148
    0.102,    0.064,    0.112
    0.280,    0.098,    0.076
    0.422,    0.121,    0.050
    0.504,    0.129,    0.027
    0.514,    0.131,   -0.005
    0.456,    0.141,   -0.051
    0.341,    0.160,   -0.096
    0.188,    0.177,   -0.115
    0.014,    0.174,   -0.093
   -0.168,    0.145,   -0.035
   -0.335,    0.096,    0.032
   -0.457,    0.043,    0.086
   -0.506,    0.002,    0.118
   -0.474,   -0.018,    0.132
   -0.374,   -0.014,    0.134
   -0.231,    0.010,    0.120
   -0.077,    0.045,    0.084
    0.064,    0.081,    0.034
    0.177,    0.110,   -0.013
    0.251,    0.130,   -0.038
    0.280,    0.145,   -0.035
    0.260,    0.159,   -0.011
    0.195,    0.170,    0.021
    0.092,    0.171,    0.050
   -0.035,    0.155,    0.073
   -0.169,    0.121,    0.089
   -0.292,    0.080,    0.101
   -0.384,    0.042,    0.113
   -0.427,    0.014,    0.129
   -0.408,   -0.002,    0.148
   -0.325,   -0.014,    0.164
   -0.188,   -0.022,    0.174
   -0.019,   -0.031,    0.184
    0.153,   -0.041,    0.203
    0.305,   -0.054,    0.235
    0.422,   -0.066,    0.268
    0.499,   -0.066,    0.288
    0.534,   -0.052,    0.289
    0.528,   -0.031,    0.280
    0.480,   -0.015,    0.273
    0.388,   -0.016,    0.270
    0.257,   -0.034,    0.261
    0.097,   -0.064,    0.238
   -0.072,   -0.102,    0.197
   -0.228,   -0.147,    0.144
   -0.349,   -0.198,    0.083
   -0.422,   -0.248,    0.021
   -0.437,   -0.289,   -0.032
   -0.394,   -0.315,   -0.066
   -0.309,   -0.326,   -0.073
   -0.205,   -0.328,   -0.050
   -0.106,   -0.326,   -0.007
   -0.031,   -0.322,    0.040
    0.019,   -0.319,    0.069
    0.046,   -0.314,    0.059
    0.057,   -0.311,    0.006
    0.049,   -0.309,   -0.072
    0.022,   -0.307,   -0.145
   -0.023,   -0.299,   -0.186
   -0.078,   -0.275,   -0.186
   -0.122,   -0.230,   -0.161
   -0.138,   -0.167,   -0.136
   -0.121,   -0.094,   -0.129
