SITE CODE= ïWí√í¨å√ëΩçf
LAT=  43.7756
LON= 145.0046
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 20
NS, EW, UD
    0.032,    0.063,   -0.236
    0.063,    0.036,   -0.250
    0.065,    0.044,   -0.242
    0.044,    0.056,   -0.184
    0.025,    0.033,   -0.094
    0.040,   -0.025,   -0.026
    0.088,   -0.081,   -0.007
    0.153,   -0.102,   -0.017
    0.217,   -0.094,   -0.028
    0.272,   -0.089,   -0.029
    0.312,   -0.103,   -0.037
    0.313,   -0.124,   -0.063
    0.264,   -0.127,   -0.091
    0.189,   -0.100,   -0.085
    0.131,   -0.063,   -0.018
    0.108,   -0.053,    0.088
    0.094,   -0.091,    0.175
    0.053,   -0.158,    0.196
   -0.012,   -0.207,    0.165
   -0.061,   -0.215,    0.137
   -0.061,   -0.195,    0.136
   -0.024,   -0.180,    0.137
    0.000,   -0.173,    0.109
   -0.021,   -0.159,    0.055
   -0.073,   -0.134,    0.002
   -0.120,   -0.123,   -0.025
   -0.126,   -0.141,   -0.020
   -0.088,   -0.157,    0.014
   -0.036,   -0.119,    0.052
   -0.010,   -0.023,    0.061
   -0.030,    0.071,    0.034
   -0.083,    0.098,    0.007
   -0.130,    0.058,    0.010
   -0.147,    0.005,    0.025
   -0.143,   -0.022,    0.018
   -0.136,   -0.034,   -0.013
   -0.132,   -0.063,   -0.030
   -0.115,   -0.113,   -0.007
   -0.074,   -0.158,    0.043
   -0.023,   -0.174,    0.094
    0.014,   -0.155,    0.132
    0.023,   -0.126,    0.156
    0.013,   -0.106,    0.166
    0.000,   -0.098,    0.159
   -0.010,   -0.081,    0.144
   -0.027,   -0.039,    0.123
   -0.052,    0.010,    0.100
   -0.072,    0.030,    0.089
   -0.069,    0.002,    0.104
   -0.033,   -0.039,    0.141
    0.021,   -0.043,    0.167
    0.071,    0.002,    0.162
    0.088,    0.059,    0.135
    0.059,    0.080,    0.107
   -0.004,    0.054,    0.085
   -0.073,    0.022,    0.066
   -0.116,    0.028,    0.060
   -0.125,    0.079,    0.076
   -0.102,    0.131,    0.093
   -0.062,    0.130,    0.076
   -0.022,    0.067,    0.027
   -0.003,   -0.011,   -0.001
   -0.011,   -0.052,    0.040
   -0.022,   -0.039,    0.144
    0.003,    0.003,    0.254
    0.064,    0.050,    0.317
    0.107,    0.087,    0.316
    0.076,    0.118,    0.254
   -0.026,    0.146,    0.146
   -0.134,    0.188,    0.028
   -0.175,    0.257,   -0.052
   -0.127,    0.332,   -0.068
   -0.032,    0.361,   -0.031
    0.044,    0.312,    0.021
    0.055,    0.217,    0.053
    0.005,    0.145,    0.059
   -0.064,    0.129,    0.045
   -0.108,    0.140,    0.026
   -0.117,    0.125,    0.006
   -0.120,    0.070,   -0.022
   -0.141,    0.005,   -0.058
   -0.166,   -0.039,   -0.077
   -0.151,   -0.068,   -0.063
   -0.067,   -0.104,   -0.028
    0.069,   -0.146,    0.001
    0.209,   -0.164,    0.014
    0.314,   -0.121,    0.025
    0.370,   -0.022,    0.039
    0.372,    0.083,    0.036
    0.315,    0.139,   -0.009
    0.201,    0.122,   -0.086
    0.060,    0.063,   -0.150
   -0.066,    0.011,   -0.178
   -0.139,   -0.011,   -0.181
   -0.155,   -0.018,   -0.186
   -0.129,   -0.031,   -0.179
   -0.083,   -0.053,   -0.132
   -0.033,   -0.066,   -0.047
    0.005,   -0.059,    0.028
    0.023,   -0.044,    0.058
    0.020,   -0.029,    0.049
    0.001,    0.001,    0.023
   -0.032,    0.061,   -0.028
   -0.078,    0.132,   -0.120
   -0.117,    0.167,   -0.221
   -0.113,    0.141,   -0.276
   -0.048,    0.076,   -0.266
    0.043,    0.007,   -0.232
    0.098,   -0.047,   -0.210
    0.085,   -0.076,   -0.195
    0.035,   -0.072,   -0.166
   -0.003,   -0.044,   -0.126
   -0.006,   -0.017,   -0.090
   -0.006,   -0.014,   -0.057
   -0.045,   -0.029,   -0.018
   -0.124,   -0.035,    0.020
   -0.192,   -0.031,    0.028
   -0.194,   -0.025,   -0.007
   -0.121,   -0.021,   -0.065
   -0.026,   -0.012,   -0.112
    0.032,    0.003,   -0.123
    0.037,    0.014,   -0.106
    0.014,    0.007,   -0.085
   -0.018,   -0.022,   -0.072
   -0.053,   -0.074,   -0.059
   -0.074,   -0.134,   -0.035
   -0.061,   -0.177,    0.000
   -0.014,   -0.183,    0.048
    0.047,   -0.157,    0.111
    0.109,   -0.131,    0.185
    0.177,   -0.138,    0.229
    0.235,   -0.175,    0.210
    0.234,   -0.203,    0.139
    0.150,   -0.182,    0.068
    0.024,   -0.107,    0.031
   -0.065,   -0.025,    0.008
   -0.090,    0.012,   -0.030
   -0.081,   -0.007,   -0.061
   -0.073,   -0.041,   -0.035
   -0.066,   -0.059,    0.052
   -0.046,   -0.063,    0.150
   -0.021,   -0.077,    0.204
   -0.011,   -0.110,    0.204
   -0.018,   -0.144,    0.169
   -0.036,   -0.167,    0.119
   -0.063,   -0.171,    0.072
   -0.100,   -0.146,    0.040
   -0.139,   -0.096,    0.019
   -0.162,   -0.046,   -0.005
   -0.162,   -0.019,   -0.019
   -0.143,   -0.007,    0.009
   -0.108,    0.033,    0.080
   -0.061,    0.123,    0.141
   -0.013,    0.223,    0.137
    0.007,    0.270,    0.084
   -0.019,    0.245,    0.045
   -0.065,    0.190,    0.051
   -0.083,    0.156,    0.080
   -0.044,    0.149,    0.106
    0.030,    0.154,    0.128
    0.091,    0.153,    0.148
    0.105,    0.150,    0.141
    0.076,    0.142,    0.092
    0.026,    0.125,    0.031
   -0.025,    0.106,   -0.002
   -0.073,    0.095,   -0.005
   -0.114,    0.085,   -0.014
   -0.156,    0.052,   -0.041
   -0.208,    0.001,   -0.063
   -0.269,   -0.030,   -0.059
   -0.324,   -0.012,   -0.043
   -0.354,    0.035,   -0.043
   -0.347,    0.064,   -0.061
   -0.313,    0.063,   -0.076
   -0.260,    0.050,   -0.086
   -0.194,    0.038,   -0.105
   -0.131,    0.024,   -0.135
   -0.097,    0.016,   -0.144
   -0.104,    0.038,   -0.096
   -0.135,    0.097,   -0.006
   -0.154,    0.151,    0.076
   -0.151,    0.155,    0.107
   -0.143,    0.109,    0.083
   -0.147,    0.053,    0.040
   -0.143,    0.015,    0.021
   -0.104,   -0.022,    0.044
   -0.034,   -0.078,    0.089
    0.020,   -0.134,    0.115
    0.018,   -0.152,    0.106
   -0.028,   -0.123,    0.077
   -0.057,   -0.075,    0.059
   -0.024,   -0.042,    0.062
    0.058,   -0.026,    0.074
    0.138,   -0.011,    0.083
    0.170,   -0.003,    0.083
    0.156,   -0.020,    0.068
    0.135,   -0.066,    0.042
    0.139,   -0.113,    0.011
    0.164,   -0.122,   -0.015
    0.178,   -0.087,   -0.038
    0.168,   -0.036,   -0.059
    0.150,   -0.006,   -0.064
    0.147,   -0.008,   -0.043
    0.159,   -0.024,   -0.013
    0.169,   -0.030,   -0.007
    0.167,   -0.010,   -0.027
    0.153,    0.024,   -0.039
    0.130,    0.039,   -0.025
