SITE CODE= ‘Š–ÍŒ´—Î‹æŽá–ö
LAT=  35.6019
LON= 139.2085
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 30
NS, EW, UD
    0.001,    0.001,   -0.001
    0.001,    0.001,   -0.002
    0.000,    0.001,   -0.003
   -0.000,    0.001,   -0.004
   -0.000,    0.001,   -0.003
   -0.001,    0.001,   -0.001
   -0.001,    0.001,   -0.001
   -0.001,    0.001,   -0.002
   -0.001,    0.001,   -0.003
   -0.001,    0.001,   -0.003
   -0.001,    0.001,   -0.001
   -0.001,    0.001,   -0.000
   -0.000,    0.000,   -0.001
    0.000,    0.000,   -0.003
    0.000,    0.001,   -0.003
   -0.000,    0.001,   -0.003
   -0.000,    0.002,   -0.003
    0.000,    0.001,   -0.003
   -0.000,    0.001,   -0.003
   -0.001,    0.001,   -0.002
   -0.001,    0.001,   -0.002
   -0.000,    0.001,   -0.003
   -0.001,    0.001,   -0.003
   -0.001,    0.001,   -0.003
   -0.001,    0.002,   -0.001
   -0.000,    0.002,   -0.001
    0.000,    0.001,   -0.003
   -0.000,    0.000,   -0.004
   -0.000,   -0.000,   -0.003
    0.000,    0.000,   -0.002
    0.000,    0.001,   -0.002
   -0.001,    0.001,   -0.003
   -0.001,    0.001,   -0.003
   -0.001,    0.002,   -0.003
   -0.000,    0.002,   -0.003
   -0.000,    0.002,   -0.002
   -0.000,    0.001,   -0.002
   -0.000,    0.001,   -0.003
   -0.000,    0.001,   -0.003
   -0.001,    0.001,   -0.003
   -0.001,    0.001,   -0.003
   -0.001,    0.002,   -0.003
   -0.000,    0.002,   -0.003
   -0.001,    0.001,   -0.003
   -0.001,    0.001,   -0.002
   -0.001,    0.001,   -0.002
   -0.001,    0.001,   -0.002
   -0.001,    0.001,   -0.003
   -0.001,    0.001,   -0.003
   -0.001,    0.001,   -0.003
   -0.000,    0.001,   -0.002
    0.000,    0.001,   -0.003
   -0.000,    0.000,   -0.003
   -0.000,    0.000,   -0.003
   -0.000,    0.001,   -0.002
   -0.000,    0.001,   -0.001
   -0.000,    0.001,   -0.002
   -0.001,    0.001,   -0.003
   -0.001,    0.001,   -0.003
   -0.001,    0.001,   -0.003
    0.000,    0.001,   -0.003
    0.001,    0.001,   -0.002
    0.000,    0.001,   -0.001
   -0.001,    0.000,   -0.001
   -0.001,    0.001,   -0.001
   -0.000,    0.002,   -0.002
   -0.000,    0.003,   -0.003
   -0.001,    0.002,   -0.003
   -0.001,    0.001,   -0.002
   -0.000,    0.001,   -0.002
    0.001,    0.001,   -0.003
    0.000,    0.001,   -0.003
   -0.000,    0.001,   -0.002
   -0.001,    0.001,   -0.001
   -0.001,    0.001,   -0.001
   -0.001,    0.001,   -0.003
   -0.001,    0.000,   -0.003
   -0.000,    0.000,   -0.003
    0.001,    0.001,   -0.002
    0.000,    0.001,   -0.002
   -0.000,    0.001,   -0.003
   -0.000,    0.001,   -0.002
    0.000,    0.001,   -0.001
    0.001,    0.001,   -0.001
    0.000,    0.001,   -0.002
   -0.000,    0.001,   -0.003
    0.000,    0.000,   -0.003
    0.000,    0.000,   -0.002
   -0.000,    0.001,   -0.001
   -0.000,    0.002,   -0.002
   -0.000,    0.002,   -0.003
   -0.000,    0.001,   -0.003
   -0.000,    0.001,   -0.002
   -0.001,    0.001,   -0.002
   -0.001,    0.001,   -0.002
   -0.001,    0.001,   -0.002
   -0.001,    0.001,   -0.002
   -0.001,    0.001,   -0.003
   -0.001,    0.001,   -0.003
   -0.001,    0.001,   -0.001
   -0.000,    0.001,   -0.001
   -0.000,    0.001,   -0.001
   -0.000,    0.002,   -0.002
   -0.001,    0.001,   -0.002
   -0.000,    0.001,   -0.002
    0.000,    0.001,   -0.001
    0.000,    0.001,   -0.002
   -0.000,    0.001,   -0.002
   -0.001,    0.001,   -0.001
   -0.000,    0.001,   -0.001
   -0.000,    0.000,   -0.002
   -0.001,    0.000,   -0.002
   -0.001,    0.000,   -0.002
    0.000,    0.001,   -0.001
    0.001,    0.001,   -0.002
    0.000,    0.001,   -0.002
   -0.001,    0.001,   -0.001
   -0.001,    0.000,   -0.001
   -0.000,    0.000,   -0.001
    0.000,    0.001,   -0.002
   -0.000,    0.001,   -0.003
   -0.001,    0.001,   -0.002
   -0.001,    0.001,   -0.002
   -0.000,    0.001,   -0.001
    0.000,    0.001,   -0.001
    0.000,    0.001,   -0.001
   -0.000,    0.001,   -0.001
   -0.001,    0.001,   -0.003
   -0.000,    0.000,   -0.003
    0.000,    0.000,   -0.003
    0.001,    0.001,   -0.001
    0.000,    0.003,   -0.002
   -0.000,    0.003,   -0.003
   -0.000,    0.002,   -0.003
    0.000,    0.001,   -0.003
    0.000,    0.000,   -0.002
   -0.000,    0.001,   -0.001
   -0.000,    0.001,   -0.002
   -0.001,    0.001,   -0.002
   -0.001,    0.001,   -0.003
   -0.001,    0.000,   -0.002
   -0.001,    0.001,   -0.002
   -0.001,    0.001,   -0.002
   -0.001,    0.002,   -0.003
   -0.001,    0.001,   -0.004
   -0.000,    0.001,   -0.004
    0.001,    0.002,   -0.003
    0.001,    0.002,   -0.002
   -0.000,    0.001,   -0.003
   -0.001,    0.001,   -0.003
   -0.001,    0.001,   -0.002
   -0.001,    0.001,   -0.001
   -0.000,    0.000,   -0.002
   -0.000,    0.000,   -0.003
   -0.000,    0.001,   -0.004
   -0.000,    0.002,   -0.003
   -0.000,    0.001,   -0.001
   -0.000,    0.001,   -0.001
   -0.000,    0.001,   -0.002
   -0.000,    0.001,   -0.003
   -0.000,    0.001,   -0.002
   -0.000,    0.001,   -0.002
   -0.000,    0.001,   -0.003
   -0.000,    0.001,   -0.003
   -0.001,    0.001,   -0.003
   -0.001,    0.001,   -0.002
   -0.001,    0.001,   -0.001
    0.000,    0.002,   -0.002
    0.001,    0.001,   -0.003
    0.000,    0.001,   -0.002
   -0.000,    0.000,   -0.002
    0.000,    0.001,   -0.002
    0.000,    0.001,   -0.003
   -0.000,    0.001,   -0.004
   -0.001,    0.001,   -0.003
   -0.001,    0.001,   -0.003
   -0.001,    0.001,   -0.003
   -0.001,    0.000,   -0.003
   -0.001,    0.001,   -0.002
   -0.000,    0.001,   -0.001
    0.000,    0.001,   -0.001
