SITE CODE= ìåãûç`ãÊäCä›
LAT=  35.6389
LON= 139.7529
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 20
NS, EW, UD
    0.018,   -0.004,    0.000
    0.004,   -0.010,    0.001
   -0.004,   -0.012,    0.002
   -0.009,   -0.007,    0.003
   -0.009,    0.002,    0.007
   -0.008,    0.011,    0.013
   -0.008,    0.016,    0.021
   -0.011,    0.019,    0.026
   -0.016,    0.020,    0.022
   -0.021,    0.019,    0.011
   -0.023,    0.016,   -0.002
   -0.019,    0.009,   -0.012
   -0.010,    0.000,   -0.018
   -0.002,   -0.012,   -0.020
    0.002,   -0.021,   -0.021
    0.002,   -0.024,   -0.018
   -0.000,   -0.019,   -0.008
   -0.003,   -0.009,    0.004
   -0.004,    0.000,    0.014
   -0.005,    0.006,    0.018
   -0.007,    0.008,    0.016
   -0.008,    0.009,    0.011
   -0.004,    0.007,    0.009
    0.005,    0.005,    0.009
    0.018,    0.003,    0.008
    0.030,    0.003,    0.005
    0.037,    0.005,    0.000
    0.039,    0.008,   -0.004
    0.035,    0.009,   -0.007
    0.027,    0.010,   -0.011
    0.014,    0.008,   -0.015
   -0.002,    0.002,   -0.019
   -0.021,   -0.004,   -0.020
   -0.036,   -0.010,   -0.015
   -0.043,   -0.012,   -0.007
   -0.040,   -0.012,    0.000
   -0.029,   -0.012,    0.007
   -0.013,   -0.014,    0.013
    0.002,   -0.015,    0.022
    0.016,   -0.012,    0.032
    0.023,   -0.006,    0.034
    0.024,   -0.002,    0.025
    0.020,   -0.002,    0.008
    0.014,   -0.005,   -0.009
    0.009,   -0.007,   -0.021
    0.007,   -0.002,   -0.027
    0.003,    0.005,   -0.029
   -0.001,    0.017,   -0.026
   -0.007,    0.027,   -0.020
   -0.009,    0.032,   -0.010
   -0.009,    0.031,    0.000
   -0.005,    0.026,    0.009
    0.000,    0.020,    0.014
    0.005,    0.017,    0.018
    0.011,    0.012,    0.019
    0.017,    0.005,    0.016
    0.020,   -0.007,    0.011
    0.021,   -0.018,    0.007
    0.016,   -0.026,    0.002
    0.007,   -0.028,    0.000
   -0.007,   -0.028,   -0.003
   -0.021,   -0.027,   -0.005
   -0.033,   -0.025,   -0.005
   -0.038,   -0.017,   -0.004
   -0.037,   -0.005,   -0.002
   -0.032,    0.008,   -0.000
   -0.022,    0.021,    0.002
   -0.011,    0.030,    0.008
    0.002,    0.031,    0.014
    0.012,    0.025,    0.014
    0.017,    0.014,    0.010
    0.019,    0.005,    0.005
    0.021,    0.000,    0.002
    0.025,   -0.003,   -0.000
    0.032,   -0.008,   -0.005
    0.034,   -0.016,   -0.010
    0.032,   -0.023,   -0.014
    0.026,   -0.025,   -0.014
    0.018,   -0.021,   -0.012
    0.009,   -0.014,   -0.009
    0.001,   -0.006,   -0.005
   -0.008,    0.000,    0.001
   -0.018,    0.008,    0.010
   -0.023,    0.013,    0.016
   -0.024,    0.016,    0.020
   -0.021,    0.013,    0.021
   -0.014,    0.008,    0.019
   -0.006,    0.003,    0.016
    0.000,    0.000,    0.012
    0.004,    0.000,    0.008
    0.005,    0.002,    0.000
    0.000,    0.002,   -0.007
   -0.008,   -0.001,   -0.015
   -0.018,   -0.009,   -0.020
   -0.023,   -0.014,   -0.020
   -0.020,   -0.012,   -0.014
   -0.011,   -0.003,   -0.006
   -0.001,    0.005,    0.000
    0.005,    0.007,    0.002
    0.008,    0.002,    0.003
    0.012,    0.000,    0.005
    0.019,    0.005,    0.007
    0.025,    0.017,    0.011
    0.029,    0.027,    0.014
    0.027,    0.028,    0.012
    0.022,    0.023,    0.006
    0.015,    0.015,   -0.004
    0.009,    0.011,   -0.012
    0.003,    0.009,   -0.013
   -0.003,    0.007,   -0.008
   -0.010,    0.000,   -0.003
   -0.018,   -0.012,   -0.003
   -0.025,   -0.026,   -0.008
   -0.031,   -0.033,   -0.011
   -0.036,   -0.032,   -0.008
   -0.037,   -0.026,    0.002
   -0.032,   -0.021,    0.016
   -0.016,   -0.021,    0.029
    0.004,   -0.024,    0.037
    0.022,   -0.022,    0.041
    0.033,   -0.013,    0.038
    0.033,    0.000,    0.025
    0.026,    0.010,    0.006
    0.019,    0.016,   -0.016
    0.013,    0.016,   -0.037
    0.009,    0.014,   -0.051
    0.004,    0.016,   -0.054
    0.000,    0.020,   -0.047
    0.000,    0.025,   -0.031
    0.001,    0.029,   -0.011
    0.005,    0.029,    0.008
    0.011,    0.025,    0.024
    0.019,    0.016,    0.035
    0.025,    0.005,    0.039
    0.024,   -0.004,    0.039
    0.015,   -0.011,    0.035
    0.002,   -0.015,    0.027
   -0.011,   -0.017,    0.018
   -0.020,   -0.018,    0.009
   -0.026,   -0.020,   -0.002
   -0.032,   -0.022,   -0.017
   -0.036,   -0.021,   -0.034
   -0.035,   -0.019,   -0.043
   -0.028,   -0.016,   -0.039
   -0.016,   -0.012,   -0.021
   -0.004,   -0.004,    0.000
    0.002,    0.007,    0.012
    0.007,    0.018,    0.016
    0.012,    0.024,    0.016
    0.019,    0.022,    0.018
    0.026,    0.016,    0.018
    0.026,    0.008,    0.014
    0.020,    0.002,    0.003
    0.013,   -0.004,   -0.007
    0.011,   -0.012,   -0.011
    0.014,   -0.017,   -0.007
    0.016,   -0.014,    0.000
    0.011,   -0.002,    0.007
    0.003,    0.011,    0.008
   -0.002,    0.018,    0.007
   -0.003,    0.015,    0.003
   -0.002,    0.005,   -0.003
   -0.005,   -0.002,   -0.009
   -0.011,   -0.007,   -0.011
   -0.019,   -0.007,   -0.007
   -0.024,   -0.007,    0.000
   -0.029,   -0.008,    0.007
   -0.031,   -0.009,    0.014
   -0.030,   -0.009,    0.021
   -0.023,   -0.007,    0.027
   -0.011,   -0.003,    0.026
   -0.000,    0.001,    0.015
    0.002,    0.009,   -0.002
   -0.000,    0.020,   -0.015
   -0.005,    0.029,   -0.020
   -0.004,    0.032,   -0.016
    0.002,    0.030,   -0.013
    0.010,    0.027,   -0.014
    0.018,    0.024,   -0.015
    0.023,    0.021,   -0.012
    0.030,    0.014,   -0.005
    0.039,    0.003,    0.004
    0.047,   -0.007,    0.012
    0.047,   -0.015,    0.017
    0.036,   -0.022,    0.017
    0.019,   -0.030,    0.012
    0.000,   -0.037,    0.006
   -0.016,   -0.037,    0.003
   -0.027,   -0.029,    0.003
   -0.033,   -0.019,    0.000
   -0.037,   -0.011,   -0.007
   -0.037,   -0.008,   -0.018
   -0.036,   -0.005,   -0.025
   -0.030,    0.001,   -0.024
   -0.022,    0.009,   -0.013
   -0.011,    0.014,    0.002
    0.000,    0.014,    0.018
    0.009,    0.013,    0.029
    0.020,    0.014,    0.035
