SITE CODE= ñkó≥í¨ó≥êº
LAT=  43.7454
LON= 141.7212
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 30
NS, EW, UD
   -0.107,    0.120,    0.022
   -0.105,    0.112,    0.053
   -0.088,    0.092,    0.082
   -0.055,    0.061,    0.109
   -0.009,    0.027,    0.128
    0.043,    0.001,    0.134
    0.098,   -0.010,    0.124
    0.146,   -0.003,    0.104
    0.181,    0.013,    0.080
    0.199,    0.032,    0.059
    0.203,    0.046,    0.045
    0.198,    0.050,    0.044
    0.187,    0.043,    0.054
    0.172,    0.027,    0.073
    0.151,    0.006,    0.092
    0.128,   -0.019,    0.107
    0.103,   -0.047,    0.114
    0.082,   -0.078,    0.109
    0.065,   -0.114,    0.093
    0.056,   -0.153,    0.072
    0.051,   -0.192,    0.051
    0.050,   -0.227,    0.031
    0.051,   -0.252,    0.012
    0.054,   -0.268,   -0.007
    0.056,   -0.276,   -0.022
    0.056,   -0.277,   -0.027
    0.055,   -0.271,   -0.020
    0.052,   -0.260,   -0.002
    0.044,   -0.239,    0.020
    0.029,   -0.201,    0.038
    0.005,   -0.144,    0.047
   -0.026,   -0.068,    0.044
   -0.061,    0.017,    0.031
   -0.095,    0.100,    0.011
   -0.125,    0.171,   -0.010
   -0.146,    0.227,   -0.028
   -0.154,    0.264,   -0.039
   -0.147,    0.284,   -0.038
   -0.126,    0.288,   -0.024
   -0.090,    0.278,    0.000
   -0.040,    0.257,    0.027
    0.018,    0.231,    0.051
    0.073,    0.206,    0.066
    0.112,    0.187,    0.074
    0.128,    0.175,    0.075
    0.119,    0.172,    0.071
    0.093,    0.175,    0.064
    0.055,    0.183,    0.061
    0.010,    0.192,    0.063
   -0.035,    0.198,    0.071
   -0.070,    0.192,    0.078
   -0.085,    0.175,    0.080
   -0.078,    0.144,    0.073
   -0.054,    0.106,    0.059
   -0.023,    0.065,    0.042
    0.009,    0.024,    0.028
    0.040,   -0.016,    0.024
    0.068,   -0.053,    0.031
    0.094,   -0.085,    0.043
    0.115,   -0.110,    0.051
    0.131,   -0.124,    0.048
    0.137,   -0.126,    0.034
    0.128,   -0.117,    0.009
    0.101,   -0.098,   -0.028
    0.056,   -0.069,   -0.071
    0.001,   -0.036,   -0.107
   -0.057,   -0.003,   -0.126
   -0.110,    0.024,   -0.122
   -0.155,    0.046,   -0.104
   -0.190,    0.061,   -0.080
   -0.215,    0.069,   -0.056
   -0.227,    0.070,   -0.032
   -0.227,    0.067,   -0.011
   -0.221,    0.065,    0.003
   -0.214,    0.069,    0.006
   -0.205,    0.078,    0.002
   -0.192,    0.091,   -0.003
   -0.174,    0.104,   -0.003
   -0.146,    0.117,    0.005
   -0.109,    0.129,    0.020
   -0.066,    0.136,    0.038
   -0.028,    0.134,    0.053
   -0.008,    0.123,    0.057
   -0.009,    0.104,    0.049
   -0.026,    0.082,    0.037
   -0.049,    0.052,    0.030
   -0.066,    0.014,    0.031
   -0.074,   -0.032,    0.040
   -0.073,   -0.080,    0.054
   -0.065,   -0.124,    0.067
   -0.049,   -0.157,    0.074
   -0.026,   -0.175,    0.073
    0.000,   -0.176,    0.063
    0.024,   -0.159,    0.050
    0.041,   -0.127,    0.030
    0.048,   -0.083,    0.006
    0.050,   -0.032,   -0.020
    0.052,    0.021,   -0.042
    0.054,    0.070,   -0.060
    0.057,    0.111,   -0.073
    0.062,    0.143,   -0.084
    0.070,    0.169,   -0.091
    0.078,    0.193,   -0.089
    0.084,    0.215,   -0.081
    0.086,    0.234,   -0.069
    0.088,    0.252,   -0.055
    0.097,    0.268,   -0.042
    0.114,    0.278,   -0.030
    0.133,    0.278,   -0.022
    0.147,    0.267,   -0.018
    0.147,    0.248,   -0.017
    0.132,    0.228,   -0.018
    0.104,    0.210,   -0.018
    0.063,    0.194,   -0.015
    0.017,    0.180,   -0.016
   -0.030,    0.161,   -0.024
   -0.067,    0.135,   -0.040
   -0.089,    0.103,   -0.060
   -0.096,    0.065,   -0.076
   -0.093,    0.024,   -0.089
   -0.083,   -0.019,   -0.099
   -0.068,   -0.065,   -0.106
   -0.043,   -0.115,   -0.112
   -0.007,   -0.169,   -0.111
    0.036,   -0.227,   -0.102
    0.077,   -0.282,   -0.084
    0.105,   -0.326,   -0.061
    0.115,   -0.352,   -0.039
    0.103,   -0.355,   -0.021
    0.069,   -0.341,   -0.010
    0.019,   -0.318,   -0.002
   -0.041,   -0.298,    0.005
   -0.097,   -0.286,    0.010
   -0.140,   -0.283,    0.016
   -0.162,   -0.284,    0.022
   -0.162,   -0.278,    0.029
   -0.143,   -0.260,    0.032
   -0.110,   -0.227,    0.030
   -0.066,   -0.183,    0.021
   -0.012,   -0.135,    0.005
    0.046,   -0.089,   -0.013
    0.102,   -0.048,   -0.030
    0.151,   -0.010,   -0.044
    0.189,    0.021,   -0.057
    0.218,    0.046,   -0.068
    0.240,    0.063,   -0.077
    0.259,    0.073,   -0.084
    0.275,    0.077,   -0.089
    0.289,    0.078,   -0.095
    0.298,    0.080,   -0.103
    0.297,    0.087,   -0.113
    0.283,    0.104,   -0.127
    0.255,    0.133,   -0.144
    0.218,    0.168,   -0.160
    0.177,    0.201,   -0.169
    0.141,    0.219,   -0.166
    0.117,    0.214,   -0.151
    0.108,    0.186,   -0.128
    0.111,    0.141,   -0.104
    0.119,    0.087,   -0.084
    0.128,    0.034,   -0.069
    0.131,   -0.010,   -0.061
    0.122,   -0.045,   -0.055
    0.099,   -0.068,   -0.048
    0.068,   -0.081,   -0.033
    0.033,   -0.086,   -0.010
    0.000,   -0.085,    0.017
   -0.030,   -0.085,    0.041
   -0.051,   -0.091,    0.058
   -0.059,   -0.112,    0.067
   -0.055,   -0.147,    0.069
   -0.046,   -0.189,    0.065
   -0.038,   -0.227,    0.055
   -0.035,   -0.253,    0.044
   -0.035,   -0.266,    0.033
   -0.037,   -0.263,    0.027
   -0.041,   -0.251,    0.026
   -0.044,   -0.236,    0.033
   -0.047,   -0.226,    0.048
   -0.047,   -0.225,    0.066
   -0.050,   -0.229,    0.084
   -0.061,   -0.237,    0.099
   -0.086,   -0.242,    0.107
   -0.123,   -0.241,    0.107
   -0.163,   -0.229,    0.096
   -0.196,   -0.205,    0.080
   -0.215,   -0.171,    0.065
   -0.219,   -0.129,    0.055
   -0.211,   -0.086,    0.051
   -0.189,   -0.046,    0.048
   -0.156,   -0.012,    0.044
   -0.115,    0.014,    0.037
   -0.072,    0.032,    0.028
   -0.034,    0.046,    0.020
   -0.009,    0.062,    0.019
    0.001,    0.082,    0.030
   -0.005,    0.110,    0.052
   -0.024,    0.145,    0.081
   -0.051,    0.185,    0.110
   -0.075,    0.229,    0.134
   -0.092,    0.272,    0.144
   -0.096,    0.315,    0.134
   -0.084,    0.356,    0.103
   -0.057,    0.396,    0.054
   -0.020,    0.434,   -0.001
    0.021,    0.463,   -0.051
    0.061,    0.475,   -0.085
    0.097,    0.462,   -0.103
    0.132,    0.423,   -0.109
    0.169,    0.361,   -0.109
    0.204,    0.285,   -0.104
    0.230,    0.206,   -0.096
    0.237,    0.132,   -0.082
    0.216,    0.070,   -0.065
    0.171,    0.021,   -0.047
    0.108,   -0.017,   -0.028
    0.036,   -0.043,   -0.011
   -0.037,   -0.061,   -0.000
   -0.104,   -0.067,    0.003
   -0.157,   -0.065,    0.000
   -0.194,   -0.055,   -0.012
   -0.214,   -0.042,   -0.036
   -0.218,   -0.033,   -0.071
   -0.207,   -0.034,   -0.109
   -0.178,   -0.052,   -0.136
   -0.134,   -0.086,   -0.149
   -0.081,   -0.133,   -0.150
   -0.025,   -0.187,   -0.140
    0.030,   -0.239,   -0.120
    0.080,   -0.283,   -0.094
    0.124,   -0.319,   -0.068
    0.158,   -0.344,   -0.048
    0.182,   -0.358,   -0.036
    0.195,   -0.360,   -0.029
    0.196,   -0.348,   -0.026
    0.185,   -0.318,   -0.030
    0.161,   -0.268,   -0.041
    0.128,   -0.197,   -0.054
    0.091,   -0.114,   -0.068
    0.061,   -0.034,   -0.081
    0.047,    0.031,   -0.092
    0.050,    0.078,   -0.103
    0.065,    0.112,   -0.111
    0.081,    0.141,   -0.118
