SITE CODE= “ì•x—Ç–ì’¬Šô“Ð
LAT=  43.1664
LON= 142.5903
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 10
NS, EW, UD
    0.107,   -0.245,    0.111
    0.229,   -0.164,    0.128
    0.202,    0.028,    0.080
    0.063,    0.166,   -0.009
   -0.027,    0.138,   -0.072
    0.010,   -0.023,   -0.064
    0.083,   -0.172,   -0.010
    0.072,   -0.175,    0.027
   -0.023,   -0.040,    0.022
   -0.085,    0.084,    0.011
   -0.030,    0.064,    0.024
    0.081,   -0.047,    0.039
    0.108,   -0.062,    0.023
   -0.000,    0.093,   -0.013
   -0.142,    0.249,   -0.034
   -0.186,    0.193,   -0.038
   -0.121,   -0.041,   -0.054
   -0.055,   -0.195,   -0.083
   -0.061,   -0.126,   -0.090
   -0.094,    0.018,   -0.064
   -0.072,    0.036,   -0.046
    0.005,   -0.027,   -0.064
    0.073,    0.035,   -0.086
    0.109,    0.231,   -0.063
    0.136,    0.303,   -0.013
    0.144,    0.086,   -0.006
    0.086,   -0.214,   -0.060
   -0.028,   -0.262,   -0.118
   -0.099,   -0.031,   -0.121
   -0.059,    0.168,   -0.090
    0.015,    0.107,   -0.073
    0.006,   -0.077,   -0.076
   -0.071,   -0.117,   -0.060
   -0.085,    0.006,   -0.018
    0.011,    0.060,    0.014
    0.101,   -0.091,    0.013
    0.080,   -0.296,    0.004
    0.014,   -0.319,    0.007
    0.036,   -0.136,    0.004
    0.126,    0.056,   -0.027
    0.135,    0.083,   -0.060
    0.021,   -0.031,   -0.053
   -0.063,   -0.133,   -0.016
    0.016,   -0.115,    0.000
    0.174,   -0.013,   -0.028
    0.226,    0.063,   -0.060
    0.158,    0.057,   -0.048
    0.127,    0.025,   -0.005
    0.200,    0.071,    0.013
    0.240,    0.206,   -0.012
    0.112,    0.305,   -0.038
   -0.084,    0.241,   -0.020
   -0.130,    0.044,    0.026
    0.006,   -0.112,    0.042
    0.112,   -0.098,   -0.003
    0.011,    0.024,   -0.073
   -0.203,    0.093,   -0.114
   -0.292,    0.048,   -0.106
   -0.177,   -0.012,   -0.081
   -0.007,    0.021,   -0.069
    0.039,    0.118,   -0.072
   -0.049,    0.148,   -0.068
   -0.145,    0.053,   -0.042
   -0.152,   -0.085,   -0.003
   -0.079,   -0.147,    0.028
   -0.000,   -0.114,    0.039
    0.019,   -0.065,    0.034
   -0.042,   -0.059,    0.032
   -0.138,   -0.071,    0.049
   -0.188,   -0.043,    0.081
   -0.151,    0.034,    0.111
   -0.081,    0.117,    0.126
