SITE CODE= âìåyí¨ä€ê£ïzã‡óNéR
LAT=  44.0092
LON= 143.3559
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 30
NS, EW, UD
   -0.065,   -0.065,    0.024
   -0.099,   -0.073,   -0.024
   -0.122,   -0.064,   -0.067
   -0.116,   -0.050,   -0.074
   -0.071,   -0.031,   -0.026
    0.005,   -0.008,    0.053
    0.078,    0.020,    0.112
    0.114,    0.042,    0.108
    0.103,    0.044,    0.049
    0.067,    0.022,   -0.021
    0.046,   -0.006,   -0.066
    0.053,   -0.013,   -0.080
    0.066,   -0.006,   -0.070
    0.052,   -0.019,   -0.049
    0.003,   -0.063,   -0.023
   -0.047,   -0.102,    0.002
   -0.062,   -0.093,    0.030
   -0.036,   -0.047,    0.060
    0.009,   -0.011,    0.086
    0.046,   -0.005,    0.100
    0.061,   -0.007,    0.107
    0.054,    0.005,    0.114
    0.030,    0.031,    0.114
   -0.007,    0.059,    0.090
   -0.050,    0.083,    0.039
   -0.089,    0.097,   -0.014
   -0.114,    0.096,   -0.043
   -0.114,    0.088,   -0.039
   -0.080,    0.088,   -0.019
   -0.022,    0.094,   -0.007
    0.031,    0.089,   -0.015
    0.055,    0.061,   -0.035
    0.044,    0.021,   -0.054
    0.022,   -0.012,   -0.062
    0.016,   -0.035,   -0.054
    0.025,   -0.058,   -0.030
    0.032,   -0.085,    0.010
    0.020,   -0.111,    0.053
   -0.004,   -0.117,    0.080
   -0.025,   -0.085,    0.075
   -0.029,   -0.023,    0.039
   -0.017,    0.032,   -0.010
    0.002,    0.050,   -0.050
    0.018,    0.031,   -0.065
    0.026,    0.006,   -0.055
    0.024,   -0.008,   -0.039
    0.004,   -0.014,   -0.041
   -0.039,   -0.022,   -0.073
   -0.086,   -0.029,   -0.122
   -0.104,   -0.026,   -0.158
   -0.070,   -0.009,   -0.160
    0.003,    0.015,   -0.124
    0.083,    0.034,   -0.066
    0.135,    0.042,   -0.012
    0.145,    0.048,    0.018
    0.117,    0.071,    0.018
    0.074,    0.108,    0.000
    0.043,    0.133,   -0.017
    0.035,    0.117,   -0.018
    0.030,    0.069,   -0.002
    0.007,    0.025,    0.024
   -0.032,    0.008,    0.053
   -0.061,    0.004,    0.076
   -0.055,   -0.005,    0.080
   -0.015,   -0.013,    0.059
    0.047,   -0.007,    0.025
    0.109,    0.005,    0.006
    0.146,   -0.001,    0.021
    0.138,   -0.030,    0.059
    0.088,   -0.060,    0.082
    0.015,   -0.076,    0.054
   -0.061,   -0.082,   -0.023
   -0.126,   -0.075,   -0.114
   -0.166,   -0.049,   -0.171
   -0.164,   -0.010,   -0.173
   -0.119,    0.009,   -0.131
   -0.067,   -0.005,   -0.079
   -0.051,   -0.031,   -0.049
   -0.080,   -0.037,   -0.053
   -0.114,   -0.027,   -0.082
   -0.103,   -0.033,   -0.100
   -0.042,   -0.063,   -0.078
    0.029,   -0.095,   -0.011
    0.062,   -0.110,    0.066
    0.039,   -0.117,    0.112
   -0.019,   -0.124,    0.102
   -0.068,   -0.114,    0.046
   -0.080,   -0.068,   -0.031
   -0.059,    0.004,   -0.094
   -0.035,    0.067,   -0.121
   -0.031,    0.100,   -0.110
   -0.041,    0.111,   -0.086
   -0.044,    0.121,   -0.074
   -0.030,    0.128,   -0.079
