SITE CODE= Œb’ëŽs‹™•½
LAT=  42.8435
LON= 141.4459
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 10
NS, EW, UD
   -0.016,   -0.083,   -0.282
   -0.029,   -0.157,   -0.290
   -0.034,   -0.227,   -0.310
   -0.026,   -0.255,   -0.320
   -0.013,   -0.236,   -0.300
   -0.015,   -0.206,   -0.249
   -0.037,   -0.190,   -0.190
   -0.067,   -0.179,   -0.145
   -0.096,   -0.154,   -0.127
   -0.130,   -0.122,   -0.135
   -0.168,   -0.106,   -0.158
   -0.189,   -0.111,   -0.176
   -0.161,   -0.124,   -0.162
   -0.082,   -0.128,   -0.100
    0.015,   -0.124,   -0.004
    0.090,   -0.106,    0.080
    0.130,   -0.066,    0.115
    0.151,   -0.008,    0.104
    0.171,    0.043,    0.093
    0.191,    0.070,    0.114
    0.201,    0.083,    0.151
    0.193,    0.112,    0.168
    0.165,    0.158,    0.154
    0.126,    0.196,    0.137
    0.083,    0.206,    0.142
    0.040,    0.198,    0.161
   -0.000,    0.189,    0.170
   -0.027,    0.186,    0.165
   -0.020,    0.184,    0.153
    0.028,    0.191,    0.142
    0.103,    0.218,    0.126
    0.166,    0.256,    0.099
    0.190,    0.269,    0.052
    0.177,    0.230,   -0.019
    0.151,    0.162,   -0.105
    0.129,    0.124,   -0.175
    0.105,    0.157,   -0.192
    0.068,    0.241,   -0.149
    0.025,    0.311,   -0.077
   -0.002,    0.317,   -0.016
   -0.002,    0.264,    0.016
    0.011,    0.206,    0.018
    0.018,    0.191,   -0.002
    0.019,    0.221,   -0.030
    0.025,    0.256,   -0.054
    0.035,    0.255,   -0.067
    0.038,    0.225,   -0.067
    0.033,    0.197,   -0.048
    0.033,    0.186,    0.002
    0.047,    0.170,    0.075
    0.063,    0.129,    0.135
    0.075,    0.078,    0.146
    0.092,    0.055,    0.118
    0.121,    0.064,    0.098
    0.149,    0.068,    0.117
    0.148,    0.034,    0.156
    0.112,   -0.027,    0.178
    0.054,   -0.085,    0.168
   -0.017,   -0.122,    0.145
   -0.103,   -0.143,    0.129
   -0.197,   -0.148,    0.125
   -0.270,   -0.138,    0.124
   -0.297,   -0.131,    0.116
   -0.281,   -0.151,    0.089
   -0.242,   -0.192,    0.039
   -0.193,   -0.219,   -0.026
   -0.141,   -0.215,   -0.081
   -0.094,   -0.213,   -0.117
   -0.061,   -0.249,   -0.152
   -0.038,   -0.301,   -0.211
   -0.016,   -0.311,   -0.290
    0.003,   -0.255,   -0.348
    0.007,   -0.183,   -0.356
   -0.008,   -0.154,   -0.323
   -0.026,   -0.179,   -0.286
   -0.032,   -0.223,   -0.274
   -0.032,   -0.250,   -0.288
   -0.039,   -0.246,   -0.314
   -0.049,   -0.212,   -0.341
   -0.051,   -0.156,   -0.356
   -0.037,   -0.097,   -0.345
   -0.021,   -0.065,   -0.306
   -0.011,   -0.070,   -0.261
   -0.011,   -0.094,   -0.231
   -0.017,   -0.102,   -0.206
   -0.020,   -0.073,   -0.143
   -0.014,   -0.020,   -0.026
    0.008,    0.022,    0.116
    0.032,    0.021,    0.236
    0.033,   -0.015,    0.313
   -0.002,   -0.051,    0.360
   -0.053,   -0.062,    0.385
   -0.081,   -0.062,    0.376
   -0.069,   -0.077,    0.321
   -0.032,   -0.111,    0.236
    0.003,   -0.146,    0.158
    0.036,   -0.167,    0.110
    0.078,   -0.176,    0.087
    0.132,   -0.173,    0.072
    0.181,   -0.144,    0.052
    0.212,   -0.088,    0.034
    0.233,   -0.026,    0.034
    0.262,    0.023,    0.055
    0.301,    0.066,    0.075
    0.328,    0.126,    0.065
    0.329,    0.200,    0.018
    0.306,    0.254,   -0.035
    0.273,    0.260,   -0.057
    0.230,    0.226,   -0.040
    0.180,    0.185,   -0.015
    0.137,    0.162,   -0.018
    0.125,    0.154,   -0.058
    0.151,    0.146,   -0.121
    0.190,    0.127,   -0.184
    0.223,    0.097,   -0.231
    0.252,    0.061,   -0.245
    0.277,    0.031,   -0.219
    0.280,    0.026,   -0.161
    0.239,    0.058,   -0.096
    0.166,    0.116,   -0.047
    0.109,    0.166,   -0.008
    0.102,    0.171,    0.050
    0.132,    0.121,    0.153
    0.155,    0.034,    0.282
    0.139,   -0.057,    0.380
    0.087,   -0.128,    0.400
    0.025,   -0.174,    0.362
   -0.016,   -0.207,    0.327
   -0.022,   -0.245,    0.337
   -0.002,   -0.304,    0.371
    0.014,   -0.378,    0.381
    0.003,   -0.446,    0.349
   -0.027,   -0.480,    0.300
   -0.046,   -0.473,    0.261
   -0.043,   -0.441,    0.241
   -0.035,   -0.417,    0.237
   -0.046,   -0.416,    0.263
   -0.069,   -0.423,    0.321
   -0.082,   -0.406,    0.378
   -0.085,   -0.353,    0.386
   -0.104,   -0.276,    0.330
   -0.152,   -0.208,    0.247
   -0.207,   -0.175,    0.195
   -0.237,   -0.184,    0.191
   -0.239,   -0.214,    0.208
   -0.235,   -0.220,    0.203
   -0.230,   -0.157,    0.157
   -0.206,   -0.018,    0.084
   -0.148,    0.149,    0.016
   -0.074,    0.274,   -0.027
   -0.023,    0.327,   -0.050
   -0.018,    0.336,   -0.070
   -0.050,    0.345,   -0.102
   -0.099,    0.365,   -0.134
   -0.152,    0.368,   -0.139
   -0.201,    0.325,   -0.110
   -0.242,    0.239,   -0.064
   -0.269,    0.143,   -0.021
   -0.279,    0.074,    0.019
   -0.266,    0.045,    0.067
   -0.232,    0.040,    0.112
   -0.192,    0.037,    0.128
   -0.164,    0.033,    0.111
   -0.161,    0.043,    0.088
   -0.179,    0.077,    0.081
   -0.202,    0.124,    0.073
   -0.217,    0.162,    0.041
   -0.217,    0.182,    0.004
   -0.206,    0.186,    0.015
   -0.194,    0.172,    0.086
   -0.191,    0.135,    0.162
   -0.191,    0.094,    0.176
   -0.174,    0.082,    0.132
   -0.136,    0.116,    0.091
   -0.099,    0.168,    0.084
   -0.094,    0.196,    0.077
   -0.123,    0.186,    0.018
   -0.155,    0.164,   -0.096
   -0.164,    0.154,   -0.227
   -0.160,    0.157,   -0.341
   -0.170,    0.169,   -0.432
