SITE CODE= î™â_í¨è„ÇÃìí
LAT=  42.1193
LON= 140.3662
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 50
NS, EW, UD
    0.166,    0.195,    0.012
    0.239,    0.108,    0.011
    0.312,    0.016,    0.012
    0.362,   -0.050,    0.027
    0.373,   -0.076,    0.059
    0.347,   -0.070,    0.089
    0.309,   -0.050,    0.103
    0.282,   -0.024,    0.104
    0.275,    0.010,    0.109
    0.281,    0.048,    0.115
    0.289,    0.082,    0.106
    0.295,    0.102,    0.067
    0.298,    0.111,    0.014
    0.295,    0.118,   -0.028
    0.285,    0.125,   -0.045
    0.265,    0.122,   -0.045
    0.230,    0.096,   -0.053
    0.180,    0.039,   -0.077
    0.123,   -0.037,   -0.106
    0.076,   -0.108,   -0.124
    0.056,   -0.152,   -0.127
    0.054,   -0.165,   -0.128
    0.044,   -0.160,   -0.141
    0.008,   -0.146,   -0.166
   -0.048,   -0.120,   -0.190
   -0.103,   -0.074,   -0.196
   -0.143,   -0.021,   -0.182
   -0.180,    0.017,   -0.155
   -0.225,    0.021,   -0.127
   -0.269,   -0.006,   -0.104
   -0.289,   -0.047,   -0.085
   -0.270,   -0.085,   -0.070
   -0.220,   -0.106,   -0.048
   -0.155,   -0.103,   -0.017
   -0.095,   -0.080,    0.012
   -0.050,   -0.048,    0.023
   -0.028,   -0.029,    0.012
   -0.029,   -0.041,   -0.007
   -0.049,   -0.082,   -0.029
   -0.073,   -0.138,   -0.061
   -0.085,   -0.182,   -0.099
   -0.070,   -0.191,   -0.115
   -0.027,   -0.149,   -0.091
    0.030,   -0.061,   -0.050
    0.083,    0.043,   -0.029
    0.130,    0.121,   -0.027
    0.179,    0.143,   -0.009
    0.238,    0.111,    0.038
    0.298,    0.055,    0.082
    0.336,    0.008,    0.087
    0.338,   -0.011,    0.057
    0.310,   -0.003,    0.016
    0.271,    0.024,   -0.024
    0.244,    0.055,   -0.072
    0.235,    0.089,   -0.115
    0.227,    0.131,   -0.125
    0.197,    0.190,   -0.093
    0.137,    0.266,   -0.045
    0.056,    0.336,   -0.008
   -0.019,    0.375,    0.020
   -0.070,    0.365,    0.052
   -0.100,    0.309,    0.086
   -0.115,    0.218,    0.103
   -0.128,    0.112,    0.100
   -0.140,    0.008,    0.093
   -0.149,   -0.071,    0.094
   -0.157,   -0.114,    0.099
   -0.168,   -0.127,    0.106
   -0.188,   -0.122,    0.121
   -0.216,   -0.105,    0.142
   -0.248,   -0.072,    0.144
   -0.280,   -0.026,    0.118
   -0.304,    0.012,    0.092
   -0.315,    0.023,    0.104
   -0.319,   -0.001,    0.155
   -0.324,   -0.047,    0.208
   -0.336,   -0.093,    0.226
   -0.344,   -0.124,    0.212
   -0.329,   -0.134,    0.186
   -0.291,   -0.128,    0.158
   -0.245,   -0.122,    0.127
   -0.223,   -0.125,    0.095
   -0.240,   -0.142,    0.075
   -0.296,   -0.160,    0.072
