SITE CODE= ímì‡í¨è¨íJêŒ
LAT=  41.5322
LON= 140.4140
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 00
NS, EW, UD
   -0.173,   -0.092,   -0.001
   -0.168,   -0.082,   -0.006
   -0.158,   -0.082,    0.001
   -0.156,   -0.089,    0.023
   -0.170,   -0.082,    0.050
   -0.189,   -0.042,    0.073
   -0.192,    0.036,    0.088
   -0.174,    0.125,    0.096
   -0.159,    0.189,    0.097
   -0.163,    0.206,    0.090
   -0.180,    0.183,    0.071
   -0.195,    0.141,    0.039
   -0.193,    0.093,   -0.001
   -0.177,    0.048,   -0.036
   -0.150,    0.016,   -0.051
   -0.123,   -0.001,   -0.039
   -0.106,   -0.013,   -0.015
   -0.102,   -0.033,   -0.003
   -0.102,   -0.059,   -0.010
   -0.094,   -0.081,   -0.029
   -0.083,   -0.094,   -0.039
   -0.076,   -0.101,   -0.031
   -0.083,   -0.111,   -0.016
   -0.095,   -0.119,   -0.002
   -0.098,   -0.117,    0.005
   -0.081,   -0.101,    0.000
   -0.041,   -0.074,   -0.024
    0.012,   -0.039,   -0.068
    0.069,   -0.001,   -0.108
    0.114,    0.039,   -0.118
    0.135,    0.078,   -0.091
    0.132,    0.113,   -0.044
    0.114,    0.143,    0.002
    0.093,    0.163,    0.037
    0.076,    0.166,    0.059
    0.057,    0.149,    0.068
    0.032,    0.112,    0.070
   -0.002,    0.063,    0.071
   -0.045,    0.011,    0.074
   -0.098,   -0.036,    0.070
   -0.153,   -0.074,    0.050
   -0.203,   -0.101,    0.021
   -0.237,   -0.114,   -0.007
   -0.250,   -0.108,   -0.032
   -0.242,   -0.083,   -0.060
   -0.214,   -0.055,   -0.091
   -0.175,   -0.042,   -0.112
   -0.136,   -0.048,   -0.114
   -0.110,   -0.063,   -0.095
   -0.100,   -0.074,   -0.055
   -0.100,   -0.079,    0.008
   -0.100,   -0.074,    0.087
   -0.100,   -0.057,    0.166
   -0.097,   -0.026,    0.225
   -0.085,    0.018,    0.246
   -0.058,    0.067,    0.228
   -0.020,    0.115,    0.188
    0.014,    0.155,    0.162
    0.027,    0.182,    0.183
    0.020,    0.196,    0.247
    0.003,    0.203,    0.311
   -0.012,    0.208,    0.335
   -0.014,    0.209,    0.322
    0.004,    0.195,    0.303
    0.041,    0.159,    0.294
    0.079,    0.102,    0.279
    0.098,    0.033,    0.235
    0.084,   -0.041,    0.159
    0.047,   -0.117,    0.073
    0.001,   -0.188,    0.005
   -0.038,   -0.239,   -0.028
   -0.064,   -0.245,   -0.022
   -0.073,   -0.199,    0.015
   -0.062,   -0.118,    0.071
   -0.034,   -0.036,    0.145
    0.006,    0.033,    0.236
    0.053,    0.092,    0.341
    0.104,    0.146,    0.436
    0.156,    0.185,    0.499
    0.202,    0.198,    0.520
    0.227,    0.192,    0.511
    0.214,    0.183,    0.479
    0.165,    0.178,    0.425
    0.100,    0.170,    0.353
    0.050,    0.139,    0.276
    0.033,    0.078,    0.207
    0.037,   -0.016,    0.151
    0.030,   -0.131,    0.109
   -0.002,   -0.242,    0.088
   -0.049,   -0.311,    0.094
   -0.085,   -0.315,    0.120
   -0.094,   -0.265,    0.142
   -0.075,   -0.194,    0.136
   -0.034,   -0.128,    0.104
    0.018,   -0.077,    0.063
    0.067,   -0.033,    0.023
    0.107,    0.009,   -0.028
    0.142,    0.055,   -0.106
    0.180,    0.102,   -0.199
    0.218,    0.142,   -0.271
    0.240,    0.166,   -0.303
    0.231,    0.180,   -0.311
    0.189,    0.202,   -0.322
    0.123,    0.233,   -0.346
    0.044,    0.253,   -0.370
   -0.037,    0.231,   -0.382
   -0.116,    0.163,   -0.383
   -0.190,    0.073,   -0.386
   -0.250,   -0.010,   -0.389
   -0.286,   -0.068,   -0.374
   -0.290,   -0.091,   -0.324
   -0.262,   -0.073,   -0.240
   -0.210,   -0.014,   -0.149
   -0.146,    0.064,   -0.080
   -0.073,    0.134,   -0.048
    0.007,    0.173,   -0.054
    0.093,    0.185,   -0.083
    0.173,    0.180,   -0.119
    0.230,    0.166,   -0.145
    0.256,    0.144,   -0.158
    0.256,    0.115,   -0.166
    0.245,    0.090,   -0.165
    0.239,    0.082,   -0.143
    0.242,    0.095,   -0.086
    0.251,    0.112,   -0.003
    0.258,    0.111,    0.083
    0.257,    0.079,    0.147
    0.234,    0.021,    0.171
    0.181,   -0.053,    0.153
