SITE CODE= ïΩéÊí¨êmê¢âF
LAT=  42.7811
LON= 142.3599
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 00
NS, EW, UD
   -0.036,    0.084,    0.091
   -0.043,    0.063,    0.108
   -0.059,    0.060,    0.108
   -0.074,    0.066,    0.084
   -0.085,    0.063,    0.051
   -0.099,    0.037,    0.034
   -0.118,   -0.003,    0.030
   -0.135,   -0.042,    0.005
   -0.140,   -0.065,   -0.052
   -0.128,   -0.079,   -0.102
   -0.102,   -0.098,   -0.095
   -0.063,   -0.119,   -0.037
   -0.024,   -0.130,    0.020
   -0.002,   -0.118,    0.034
   -0.014,   -0.092,    0.020
   -0.055,   -0.069,    0.008
   -0.099,   -0.061,    0.003
   -0.117,   -0.065,   -0.013
   -0.102,   -0.070,   -0.043
   -0.073,   -0.066,   -0.061
   -0.055,   -0.050,   -0.050
   -0.058,   -0.024,   -0.024
   -0.073,   -0.005,   -0.010
   -0.089,   -0.002,   -0.012
   -0.097,   -0.010,   -0.008
   -0.094,   -0.013,    0.013
   -0.077,   -0.013,    0.040
   -0.053,   -0.029,    0.046
   -0.031,   -0.071,    0.022
   -0.026,   -0.117,   -0.021
   -0.036,   -0.131,   -0.063
   -0.059,   -0.101,   -0.092
   -0.085,   -0.053,   -0.107
   -0.105,   -0.014,   -0.118
   -0.109,    0.001,   -0.126
   -0.094,   -0.006,   -0.116
   -0.067,   -0.027,   -0.082
   -0.041,   -0.044,   -0.044
   -0.031,   -0.039,   -0.032
   -0.041,   -0.012,   -0.046
   -0.059,    0.016,   -0.052
   -0.063,    0.032,   -0.030
   -0.053,    0.048,   -0.007
   -0.040,    0.079,   -0.019
   -0.041,    0.119,   -0.059
   -0.048,    0.143,   -0.083
   -0.038,    0.137,   -0.071
   -0.011,    0.114,   -0.042
    0.015,    0.089,   -0.015
    0.021,    0.062,    0.016
    0.015,    0.026,    0.055
    0.006,   -0.017,    0.075
   -0.000,   -0.056,    0.054
   -0.001,   -0.088,    0.011
    0.009,   -0.118,   -0.001
    0.034,   -0.140,    0.032
    0.055,   -0.138,    0.073
    0.056,   -0.114,    0.076
    0.044,   -0.098,    0.044
    0.044,   -0.115,    0.014
    0.060,   -0.149,    0.009
    0.063,   -0.162,    0.013
    0.040,   -0.145,    0.017
    0.012,   -0.127,    0.030
    0.013,   -0.135,    0.058
    0.043,   -0.153,    0.082
    0.067,   -0.141,    0.073
    0.057,   -0.087,    0.042
    0.023,   -0.020,    0.029
   -0.005,    0.025,    0.056
   -0.019,    0.039,    0.098
   -0.027,    0.033,    0.123
   -0.032,    0.020,    0.129
   -0.021,    0.001,    0.130
    0.012,   -0.020,    0.118
    0.048,   -0.038,    0.080
    0.066,   -0.052,    0.030
    0.061,   -0.061,    0.010
    0.045,   -0.063,    0.030
    0.030,   -0.054,    0.055
    0.016,   -0.033,    0.052
    0.005,   -0.017,    0.034
    0.011,   -0.021,    0.044
    0.040,   -0.038,    0.089
    0.073,   -0.044,    0.126
    0.083,   -0.028,    0.122
    0.059,   -0.010,    0.085
    0.022,   -0.013,    0.053
   -0.001,   -0.033,    0.047
   -0.001,   -0.043,    0.049
    0.008,   -0.028,    0.037
    0.015,    0.003,    0.016
    0.020,    0.031,    0.002
    0.021,    0.047,    0.005
    0.019,    0.049,    0.016
    0.009,    0.040,    0.018
   -0.006,    0.027,   -0.004
   -0.024,    0.020,   -0.045
   -0.040,    0.026,   -0.084
   -0.050,    0.045,   -0.100
   -0.046,    0.072,   -0.094
   -0.032,    0.106,   -0.086
   -0.021,    0.144,   -0.085
   -0.026,    0.169,   -0.080
   -0.042,    0.171,   -0.063
   -0.054,    0.152,   -0.042
   -0.046,    0.124,   -0.045
   -0.020,    0.099,   -0.077
    0.014,    0.082,   -0.123
    0.040,    0.068,   -0.159
    0.048,    0.052,   -0.175
    0.044,    0.032,   -0.171
    0.035,    0.010,   -0.150
    0.031,   -0.014,   -0.116
    0.030,   -0.040,   -0.079
    0.030,   -0.066,   -0.046
    0.034,   -0.093,   -0.022
    0.044,   -0.115,   -0.008
    0.055,   -0.136,   -0.010
    0.057,   -0.159,   -0.024
    0.052,   -0.190,   -0.030
    0.051,   -0.224,   -0.010
    0.063,   -0.245,    0.026
    0.081,   -0.244,    0.051
    0.092,   -0.229,    0.052
    0.096,   -0.220,    0.046
    0.100,   -0.214,    0.047
    0.101,   -0.196,    0.046
    0.090,   -0.160,    0.034
    0.073,   -0.123,    0.025
    0.069,   -0.109,    0.037
    0.083,   -0.119,    0.052
    0.096,   -0.137,    0.042
    0.085,   -0.141,    0.014
    0.053,   -0.126,    0.007
    0.022,   -0.097,    0.031
    0.004,   -0.060,    0.047
   -0.011,   -0.024,    0.022
   -0.030,   -0.001,   -0.023
   -0.045,    0.004,   -0.047
   -0.042,   -0.005,   -0.039
   -0.022,   -0.019,   -0.025
    0.005,   -0.033,   -0.021
    0.033,   -0.050,   -0.011
    0.061,   -0.068,    0.015
    0.086,   -0.078,    0.039
    0.097,   -0.071,    0.034
    0.086,   -0.051,    0.012
    0.060,   -0.031,    0.007
    0.035,   -0.014,    0.028
    0.016,    0.000,    0.046
    0.000,    0.015,    0.038
   -0.016,    0.021,    0.028
   -0.024,    0.017,    0.041
   -0.013,    0.010,    0.069
    0.015,    0.007,    0.076
    0.048,   -0.000,    0.048
    0.078,   -0.019,    0.012
    0.106,   -0.041,   -0.009
    0.132,   -0.049,   -0.021
    0.143,   -0.030,   -0.026
    0.126,    0.007,   -0.004
    0.091,    0.047,    0.067
    0.066,    0.086,    0.159
    0.058,    0.124,    0.212
    0.058,    0.147,    0.192
    0.052,    0.141,    0.132
    0.042,    0.106,    0.079
    0.033,    0.065,    0.051
    0.021,    0.041,    0.030
   -0.004,    0.045,   -0.006
   -0.042,    0.077,   -0.057
   -0.082,    0.126,   -0.105
   -0.107,    0.172,   -0.131
   -0.106,    0.196,   -0.133
   -0.085,    0.190,   -0.126
   -0.059,    0.167,   -0.132
   -0.046,    0.147,   -0.147
   -0.044,    0.132,   -0.149
   -0.038,    0.117,   -0.131
   -0.026,    0.102,   -0.117
   -0.018,    0.089,   -0.126
   -0.022,    0.075,   -0.139
   -0.024,    0.056,   -0.123
   -0.006,    0.028,   -0.082
    0.027,   -0.000,   -0.055
    0.059,   -0.021,   -0.064
    0.076,   -0.030,   -0.098
    0.076,   -0.026,   -0.129
    0.060,   -0.020,   -0.149
    0.022,   -0.022,   -0.157
   -0.023,   -0.038,   -0.138
   -0.062,   -0.057,   -0.084
   -0.082,   -0.065,   -0.015
   -0.089,   -0.059,    0.028
   -0.094,   -0.042,    0.038
   -0.093,   -0.024,    0.042
   -0.080,   -0.010,    0.066
   -0.066,    0.002,    0.102
   -0.071,    0.018,    0.111
   -0.100,    0.041,    0.083
   -0.132,    0.061,    0.052
   -0.146,    0.069,    0.050
   -0.134,    0.069,    0.072
   -0.107,    0.074,    0.083
   -0.077,    0.083,    0.066
   -0.050,    0.079,    0.039
   -0.028,    0.059,    0.022
   -0.008,    0.047,    0.012
    0.017,    0.067,   -0.007
    0.044,    0.100,   -0.024
    0.064,    0.107,   -0.016
    0.072,    0.085,    0.015
    0.076,    0.068,    0.042
    0.088,    0.082,    0.044
    0.106,    0.110,    0.025
    0.118,    0.122,   -0.003
    0.112,    0.115,   -0.035
    0.093,    0.106,   -0.069
    0.077,    0.103,   -0.088
    0.083,    0.100,   -0.082
    0.107,    0.094,   -0.059
    0.128,    0.089,   -0.040
    0.131,    0.079,   -0.027
    0.122,    0.057,   -0.010
    0.112,    0.028,    0.016
    0.096,    0.011,    0.039
    0.064,    0.021,    0.042
    0.021,    0.048,    0.031
   -0.009,    0.063,    0.026
   -0.012,    0.053,    0.043
   -0.001,    0.024,    0.088
    0.001,   -0.001,    0.138
   -0.020,   -0.007,    0.155
   -0.059,    0.002,    0.120
   -0.104,    0.003,    0.056
   -0.134,   -0.017,    0.005
   -0.136,   -0.051,   -0.016
   -0.115,   -0.073,   -0.025
   -0.095,   -0.063,   -0.042
   -0.091,   -0.025,   -0.058
   -0.093,    0.007,   -0.053
   -0.079,    0.009,   -0.017
   -0.043,   -0.014,    0.033
   -0.003,   -0.027,    0.073
    0.018,   -0.013,    0.086
    0.015,    0.012,    0.078
    0.002,    0.015,    0.072
    0.005,   -0.014,    0.082
    0.040,   -0.056,    0.098
    0.102,   -0.081,    0.104
    0.159,   -0.080,    0.097
    0.182,   -0.059,    0.087
    0.161,   -0.032,    0.085
    0.119,   -0.009,    0.081
    0.083,    0.002,    0.069
    0.065,   -0.005,    0.050
    0.054,   -0.031,    0.032
    0.030,   -0.063,    0.019
   -0.008,   -0.078,    0.018
   -0.044,   -0.065,    0.034
   -0.059,   -0.031,    0.067
   -0.063,    0.010,    0.106
   -0.076,    0.046,    0.135
   -0.099,    0.074,    0.143
   -0.113,    0.092,    0.119
   -0.102,    0.103,    0.062
   -0.077,    0.101,   -0.003
   -0.063,    0.083,   -0.040
   -0.068,    0.054,   -0.035
   -0.086,    0.033,   -0.015
   -0.107,    0.035,   -0.018
   -0.125,    0.054,   -0.048
   -0.128,    0.067,   -0.074
   -0.108,    0.066,   -0.061
   -0.069,    0.063,   -0.014
   -0.028,    0.071,    0.027
    0.003,    0.087,    0.024
    0.022,    0.096,   -0.025
    0.036,    0.084,   -0.082
    0.043,    0.057,   -0.111
    0.042,    0.018,   -0.108
    0.036,   -0.026,   -0.094
    0.028,   -0.063,   -0.081
    0.018,   -0.082,   -0.076
    0.005,   -0.082,   -0.085
   -0.002,   -0.068,   -0.119
    0.005,   -0.050,   -0.173
    0.027,   -0.028,   -0.210
    0.046,   -0.002,   -0.202
    0.043,    0.032,   -0.152
    0.015,    0.069,   -0.094
   -0.016,    0.090,   -0.056
   -0.031,    0.074,   -0.033
   -0.035,    0.021,   -0.008
   -0.044,   -0.037,    0.026
   -0.056,   -0.065,    0.055
   -0.059,   -0.059,    0.067
   -0.048,   -0.050,    0.062
   -0.032,   -0.063,    0.052
   -0.021,   -0.097,    0.042
   -0.009,   -0.130,    0.036
    0.006,   -0.146,    0.033
    0.015,   -0.143,    0.037
    0.007,   -0.131,    0.053
    0.002,   -0.117,    0.088
    0.030,   -0.109,    0.134
    0.090,   -0.097,    0.159
    0.149,   -0.066,    0.132
    0.173,   -0.021,    0.058
    0.167,    0.013,   -0.016
    0.159,    0.012,   -0.055
    0.157,   -0.011,   -0.075
    0.142,   -0.024,   -0.117
    0.100,   -0.018,   -0.182
    0.052,   -0.011,   -0.221
    0.022,   -0.021,   -0.191
    0.013,   -0.030,   -0.110
   -0.003,   -0.027,   -0.038
   -0.035,   -0.019,   -0.019
   -0.066,   -0.029,   -0.034
   -0.067,   -0.065,   -0.033
   -0.030,   -0.099,    0.016
    0.035,   -0.101,    0.095
    0.109,   -0.065,    0.153
    0.167,   -0.008,    0.167
    0.188,    0.045,    0.155
    0.166,    0.090,    0.141
    0.114,    0.135,    0.117
    0.061,    0.173,    0.050
    0.019,    0.187,   -0.055
   -0.011,    0.166,   -0.147
   -0.026,    0.128,   -0.168
   -0.021,    0.107,   -0.122
   -0.005,    0.111,   -0.073
    0.001,    0.121,   -0.077
   -0.018,    0.119,   -0.119
   -0.058,    0.116,   -0.137
   -0.096,    0.136,   -0.112
   -0.115,    0.167,   -0.083
   -0.116,    0.171,   -0.089
   -0.105,    0.118,   -0.111
   -0.087,    0.033,   -0.115
   -0.059,   -0.030,   -0.105
