SITE CODE= ë´äÒí¨è„óÜòp
LAT=  43.2993
LON= 143.7656
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 10
NS, EW, UD
   -0.052,    0.079,   -0.135
   -0.049,    0.110,   -0.123
   -0.068,    0.177,   -0.076
   -0.097,    0.283,   -0.007
   -0.088,    0.362,    0.040
   -0.010,    0.343,    0.048
    0.114,    0.228,    0.046
    0.231,    0.083,    0.066
    0.280,   -0.026,    0.100
    0.231,   -0.090,    0.124
    0.099,   -0.131,    0.129
   -0.061,   -0.167,    0.110
   -0.177,   -0.195,    0.041
   -0.212,   -0.205,   -0.084
   -0.177,   -0.205,   -0.212
   -0.102,   -0.218,   -0.262
   -0.017,   -0.240,   -0.212
    0.044,   -0.250,   -0.126
    0.050,   -0.226,   -0.060
   -0.014,   -0.189,    0.000
   -0.116,   -0.168,    0.082
   -0.201,   -0.165,    0.148
   -0.206,   -0.163,    0.145
   -0.100,   -0.160,    0.090
    0.083,   -0.162,    0.065
    0.258,   -0.155,    0.100
    0.341,   -0.104,    0.128
    0.315,   -0.016,    0.075
    0.225,    0.066,   -0.043
    0.122,    0.108,   -0.153
    0.039,    0.123,   -0.216
   -0.002,    0.132,   -0.252
    0.006,    0.134,   -0.288
    0.039,    0.111,   -0.302
    0.065,    0.062,   -0.262
    0.077,   -0.005,   -0.185
    0.094,   -0.076,   -0.121
    0.123,   -0.123,   -0.085
    0.132,   -0.114,   -0.036
    0.089,   -0.054,    0.052
    0.002,    0.014,    0.130
   -0.088,    0.056,    0.119
   -0.140,    0.071,    0.039
   -0.138,    0.062,    0.006
   -0.088,    0.021,    0.080
   -0.022,   -0.037,    0.183
    0.021,   -0.062,    0.188
    0.021,   -0.026,    0.083
   -0.010,    0.028,   -0.024
   -0.040,    0.033,   -0.059
   -0.037,   -0.030,   -0.046
    0.008,   -0.121,   -0.048
    0.061,   -0.177,   -0.073
    0.055,   -0.154,   -0.085
   -0.052,   -0.046,   -0.059
   -0.214,    0.092,   -0.007
   -0.316,    0.159,    0.047
   -0.293,    0.110,    0.067
   -0.188,    0.007,    0.036
   -0.098,   -0.039,   -0.017
   -0.065,    0.002,   -0.024
   -0.063,    0.072,    0.028
   -0.061,    0.107,    0.058
   -0.066,    0.115,   -0.017
   -0.100,    0.132,   -0.161
   -0.162,    0.159,   -0.244
   -0.221,    0.163,   -0.198
   -0.243,    0.116,   -0.088
   -0.213,    0.033,   -0.027
   -0.161,   -0.038,   -0.039
   -0.138,   -0.059,   -0.070
   -0.162,   -0.035,   -0.075
   -0.194,   -0.028,   -0.065
   -0.182,   -0.080,   -0.065
   -0.114,   -0.165,   -0.073
   -0.026,   -0.204,   -0.065
