SITE CODE= –‹•Ê’¬’‰—Þ–¾˜a
LAT=  42.6176
LON= 143.3604
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 50
NS, EW, UD
   -0.082,   -0.015,   -0.122
   -0.084,   -0.005,   -0.138
   -0.053,   -0.067,   -0.092
   -0.002,   -0.133,   -0.013
    0.053,   -0.117,    0.051
    0.096,   -0.024,    0.069
    0.102,    0.063,    0.024
    0.049,    0.073,   -0.065
   -0.028,    0.010,   -0.147
   -0.058,   -0.057,   -0.186
   -0.014,   -0.063,   -0.182
    0.046,   -0.012,   -0.148
    0.062,    0.038,   -0.079
    0.044,    0.045,    0.024
    0.044,    0.026,    0.117
    0.078,    0.019,    0.153
    0.102,    0.030,    0.129
    0.074,    0.051,    0.075
    0.005,    0.080,    0.017
   -0.054,    0.098,   -0.021
   -0.069,    0.073,    0.007
   -0.052,    0.008,    0.124
   -0.041,   -0.024,    0.260
   -0.052,    0.029,    0.292
   -0.070,    0.114,    0.173
   -0.080,    0.123,   -0.013
   -0.091,    0.031,   -0.125
   -0.112,   -0.076,   -0.108
   -0.135,   -0.110,   -0.014
   -0.138,   -0.065,    0.069
   -0.124,    0.009,    0.102
   -0.117,    0.065,    0.101
   -0.124,    0.080,    0.104
   -0.130,    0.065,    0.126
   -0.124,    0.053,    0.144
   -0.110,    0.048,    0.129
   -0.077,   -0.001,    0.095
   -0.018,   -0.121,    0.083
    0.041,   -0.218,    0.102
    0.052,   -0.159,    0.096
    0.012,    0.020,    0.029
   -0.018,    0.118,   -0.033
    0.001,    0.041,   -0.007
    0.031,   -0.055,    0.085
    0.016,   -0.011,    0.127
   -0.032,    0.082,    0.079
   -0.054,    0.039,    0.027
   -0.035,   -0.096,    0.044
   -0.012,   -0.098,    0.065
   -0.007,    0.080,   -0.001
    0.009,    0.188,   -0.120
    0.048,    0.047,   -0.158
    0.081,   -0.170,   -0.071
    0.077,   -0.159,    0.036
    0.051,    0.096,    0.044
    0.041,    0.305,   -0.047
    0.062,    0.249,   -0.150
    0.099,    0.023,   -0.210
    0.141,   -0.124,   -0.224
    0.190,   -0.102,   -0.215
    0.231,   -0.010,   -0.203
    0.230,    0.043,   -0.212
    0.178,    0.060,   -0.240
    0.110,    0.080,   -0.240
    0.067,    0.087,   -0.160
    0.051,    0.054,   -0.024
    0.024,    0.004,    0.085
   -0.036,   -0.008,    0.098
   -0.119,    0.020,    0.010
   -0.190,    0.038,   -0.128
   -0.227,    0.009,   -0.247
   -0.214,   -0.047,   -0.282
   -0.155,   -0.083,   -0.203
   -0.073,   -0.067,   -0.063
   -0.018,    0.003,    0.030
   -0.025,    0.089,    0.016
   -0.076,    0.127,   -0.061
   -0.111,    0.073,   -0.112
   -0.094,   -0.052,   -0.119
   -0.057,   -0.174,   -0.122
   -0.054,   -0.218,   -0.137
   -0.100,   -0.163,   -0.125
   -0.139,   -0.042,   -0.069
   -0.123,    0.084,   -0.018
   -0.066,    0.153,   -0.022
   -0.024,    0.138,   -0.052
   -0.021,    0.071,   -0.047
   -0.027,    0.028,   -0.014
   -0.015,    0.062,   -0.019
    0.006,    0.142,   -0.079
    0.010,    0.180,   -0.130
    0.007,    0.124,   -0.113
    0.027,    0.023,   -0.055
    0.067,   -0.005,   -0.031
    0.098,    0.080,   -0.064
    0.099,    0.180,   -0.091
    0.083,    0.177,   -0.041
    0.058,    0.103,    0.076
    0.020,    0.103,    0.182
   -0.020,    0.225,    0.207
   -0.030,    0.334,    0.159
   -0.009,    0.301,    0.092
    0.003,    0.179,    0.031
   -0.016,    0.104,   -0.022
   -0.031,    0.089,   -0.039
   -0.010,    0.050,    0.020
    0.023,   -0.026,    0.129
    0.028,   -0.054,    0.190
    0.023,   -0.005,    0.151
    0.048,    0.042,    0.081
    0.090,    0.033,    0.079
    0.091,    0.024,    0.148
    0.037,    0.076,    0.205
   -0.026,    0.150,    0.199
   -0.054,    0.169,    0.168
   -0.053,    0.120,    0.159
   -0.050,    0.055,    0.155
   -0.050,    0.014,    0.109
   -0.047,   -0.018,    0.032
   -0.036,   -0.072,   -0.011
   -0.020,   -0.134,    0.006
   -0.005,   -0.161,    0.041
    0.008,   -0.138,    0.048
    0.012,   -0.113,    0.044
    0.010,   -0.134,    0.052
    0.005,   -0.174,    0.039
    0.005,   -0.178,   -0.033
    0.019,   -0.145,   -0.116
    0.031,   -0.116,   -0.124
    0.006,   -0.091,   -0.060
   -0.071,   -0.030,   -0.016
   -0.157,    0.055,   -0.036
