SITE CODE= ‹ú˜HŽs‰¹•Ê’¬ŽÚ•Ê
LAT=  42.9056
LON= 143.8312
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 50
NS, EW, UD
   -0.210,   -0.346,   -0.286
   -0.094,   -0.267,   -0.227
    0.008,   -0.266,   -0.146
    0.033,   -0.262,   -0.086
    0.015,   -0.161,   -0.043
    0.043,    0.032,    0.030
    0.158,    0.218,    0.133
    0.307,    0.297,    0.180
    0.413,    0.250,    0.098
    0.441,    0.134,   -0.047
    0.394,    0.022,   -0.106
    0.274,   -0.042,   -0.038
    0.096,   -0.054,    0.027
   -0.078,   -0.034,   -0.036
   -0.179,   -0.016,   -0.172
   -0.199,   -0.036,   -0.218
   -0.202,   -0.102,   -0.131
   -0.223,   -0.172,   -0.040
   -0.201,   -0.177,   -0.056
   -0.051,   -0.096,   -0.122
    0.196,    0.004,   -0.109
    0.373,    0.033,   -0.008
    0.350,   -0.019,    0.053
    0.181,   -0.062,   -0.023
    0.041,    0.002,   -0.183
    0.017,    0.167,   -0.297
    0.020,    0.321,   -0.300
   -0.078,    0.354,   -0.231
   -0.271,    0.249,   -0.152
   -0.429,    0.094,   -0.076
   -0.455,   -0.013,    0.011
   -0.365,   -0.045,    0.088
   -0.229,   -0.059,    0.102
   -0.075,   -0.115,    0.051
    0.103,   -0.183,    0.028
    0.281,   -0.159,    0.131
    0.387,    0.008,    0.324
    0.346,    0.230,    0.423
    0.144,    0.349,    0.281
   -0.125,    0.301,   -0.020
   -0.296,    0.177,   -0.233
   -0.258,    0.110,   -0.219
   -0.073,    0.127,   -0.092
    0.069,    0.145,   -0.064
    0.037,    0.083,   -0.166
   -0.099,   -0.046,   -0.234
   -0.169,   -0.167,   -0.149
   -0.102,   -0.209,   -0.002
    0.026,   -0.152,    0.044
    0.121,   -0.025,   -0.036
    0.173,    0.104,   -0.112
    0.214,    0.161,   -0.068
    0.243,    0.112,    0.084
    0.233,    0.000,    0.263
    0.188,   -0.094,    0.393
    0.138,   -0.119,    0.426
    0.095,   -0.100,    0.344
    0.054,   -0.099,    0.188
    0.019,   -0.149,    0.052
   -0.000,   -0.227,    0.012
   -0.002,   -0.284,    0.060
    0.015,   -0.287,    0.130
    0.061,   -0.240,    0.162
    0.125,   -0.181,    0.136
    0.142,   -0.145,    0.061
    0.043,   -0.126,   -0.044
   -0.156,   -0.072,   -0.156
   -0.348,    0.062,   -0.259
   -0.436,    0.255,   -0.347
   -0.419,    0.415,   -0.407
   -0.364,    0.450,   -0.438
   -0.321,    0.352,   -0.469
   -0.284,    0.191,   -0.536
   -0.221,    0.049,   -0.610
   -0.118,   -0.040,   -0.597
   -0.008,   -0.078,   -0.443
    0.054,   -0.068,   -0.215
    0.045,   -0.012,   -0.052
    0.018,    0.063,   -0.021
    0.067,    0.109,   -0.063
    0.232,    0.094,   -0.063
    0.440,    0.028,    0.019
    0.560,   -0.053,    0.124
    0.509,   -0.125,    0.156
    0.313,   -0.185,    0.097
    0.067,   -0.239,    0.041
   -0.135,   -0.279,    0.094
   -0.253,   -0.281,    0.231
   -0.297,   -0.216,    0.307
   -0.281,   -0.086,    0.233
   -0.197,    0.058,    0.106
   -0.046,    0.139,    0.088
    0.109,    0.118,    0.198
    0.157,    0.032,    0.287
    0.052,   -0.042,    0.223
   -0.116,   -0.047,    0.041
   -0.190,    0.007,   -0.121
   -0.118,    0.070,   -0.183
   -0.006,    0.092,   -0.170
    0.006,    0.058,   -0.150
   -0.108,    0.001,   -0.169
   -0.249,   -0.036,   -0.204
   -0.294,   -0.042,   -0.187
   -0.192,   -0.055,   -0.067
    0.021,   -0.104,    0.116
    0.262,   -0.164,    0.250
    0.444,   -0.175,    0.256
    0.515,   -0.119,    0.163
    0.488,   -0.051,    0.057
    0.431,   -0.039,   -0.002
    0.407,   -0.094,    0.007
    0.412,   -0.169,    0.079
    0.382,   -0.204,    0.177
    0.275,   -0.171,    0.238
    0.122,   -0.099,    0.244
   -0.007,   -0.053,    0.259
   -0.083,   -0.079,    0.337
   -0.137,   -0.145,    0.417
   -0.183,   -0.161,    0.389
   -0.178,   -0.082,    0.270
   -0.083,    0.038,    0.210
    0.037,    0.110,    0.280
    0.062,    0.120,    0.335
   -0.046,    0.137,    0.200
   -0.186,    0.218,   -0.064
   -0.241,    0.343,   -0.211
   -0.217,    0.442,   -0.127
   -0.209,    0.466,    0.018
   -0.246,    0.415,   -0.005
   -0.234,    0.323,   -0.184
   -0.079,    0.251,   -0.302
    0.174,    0.246,   -0.223
    0.358,    0.284,   -0.048
    0.343,    0.276,    0.021
    0.156,    0.172,   -0.089
   -0.052,    0.036,   -0.272
   -0.154,   -0.032,   -0.378
   -0.151,   -0.027,   -0.344
   -0.142,   -0.042,   -0.212
   -0.209,   -0.128,   -0.066
   -0.338,   -0.221,    0.044
   -0.457,   -0.240,    0.118
   -0.528,   -0.216,    0.172
   -0.556,   -0.237,    0.193
   -0.542,   -0.295,    0.168
   -0.466,   -0.281,    0.122
   -0.333,   -0.130,    0.107
   -0.202,    0.081,    0.144
   -0.109,    0.225,    0.202
   -0.025,    0.259,    0.250
    0.075,    0.234,    0.288
    0.126,    0.192,    0.310
    0.035,    0.129,    0.283
   -0.173,    0.043,    0.194
   -0.329,   -0.038,    0.093
   -0.294,   -0.076,    0.049
   -0.102,   -0.058,    0.063
    0.098,    0.012,    0.065
    0.212,    0.105,   -0.007
    0.253,    0.153,   -0.132
    0.260,    0.090,   -0.226
    0.228,   -0.067,   -0.232
    0.141,   -0.205,   -0.175
    0.037,   -0.215,   -0.153
   -0.031,   -0.100,   -0.240
   -0.052,    0.034,   -0.406
   -0.059,    0.098,   -0.532
   -0.079,    0.089,   -0.521
   -0.104,    0.053,   -0.391
   -0.121,    0.008,   -0.245
   -0.135,   -0.051,   -0.154
   -0.164,   -0.109,   -0.105
   -0.197,   -0.122,   -0.043
   -0.212,   -0.074,    0.041
   -0.203,    0.001,    0.084
   -0.172,    0.069,    0.034
   -0.100,    0.148,   -0.062
    0.037,    0.267,   -0.095
    0.203,    0.393,   -0.026
    0.280,    0.429,    0.056
    0.189,    0.324,    0.052
    0.009,    0.146,   -0.003
   -0.081,    0.015,    0.002
    0.000,   -0.019,    0.066
    0.140,   -0.012,    0.065
    0.183,   -0.042,   -0.051
    0.118,   -0.119,   -0.162
    0.073,   -0.200,   -0.139
    0.127,   -0.267,   -0.018
    0.231,   -0.323,    0.076
    0.287,   -0.348,    0.101
    0.248,   -0.269,    0.094
    0.121,   -0.040,    0.045
   -0.052,    0.271,   -0.077
   -0.183,    0.504,   -0.213
   -0.163,    0.534,   -0.241
    0.026,    0.378,   -0.147
    0.251,    0.147,   -0.043
    0.346,   -0.070,    0.001
    0.276,   -0.253,    0.040
    0.132,   -0.401,    0.113
    0.003,   -0.481,    0.137
   -0.084,   -0.462,    0.036
   -0.103,   -0.358,   -0.115
   -0.019,   -0.224,   -0.167
    0.133,   -0.109,   -0.094
    0.223,   -0.040,   -0.012
    0.158,   -0.017,   -0.017
   -0.001,   -0.011,   -0.086
   -0.109,    0.014,   -0.150
   -0.119,    0.048,   -0.185
   -0.128,    0.028,   -0.195
   -0.217,   -0.078,   -0.177
   -0.324,   -0.206,   -0.114
   -0.303,   -0.259,   -0.008
   -0.119,   -0.227,    0.120
    0.095,   -0.188,    0.229
    0.167,   -0.194,    0.265
    0.066,   -0.199,    0.202
   -0.084,   -0.145,    0.099
   -0.144,   -0.038,    0.063
   -0.086,    0.075,    0.128
    0.015,    0.174,    0.203
    0.077,    0.233,    0.188
    0.074,    0.187,    0.126
    0.021,    0.005,    0.154
   -0.060,   -0.209,    0.308
   -0.139,   -0.280,    0.456
   -0.167,   -0.162,    0.469
   -0.105,    0.006,    0.392
    0.040,    0.075,    0.355
    0.195,    0.051,    0.370
    0.269,    0.040,    0.321
    0.219,    0.089,    0.172
    0.067,    0.146,    0.060
   -0.130,    0.164,    0.095
   -0.311,    0.150,    0.188
   -0.418,    0.107,    0.177
   -0.402,   -0.003,    0.069
   -0.263,   -0.189,    0.035
   -0.077,   -0.378,    0.141
    0.062,   -0.465,    0.246
    0.135,   -0.413,    0.207
    0.204,   -0.262,    0.071
    0.305,   -0.071,   -0.017
    0.373,    0.122,   -0.022
    0.316,    0.281,   -0.019
    0.139,    0.359,   -0.044
   -0.048,    0.330,   -0.053
   -0.151,    0.218,   -0.041
   -0.165,    0.078,   -0.062
   -0.139,   -0.038,   -0.120
   -0.112,   -0.115,   -0.123
   -0.111,   -0.161,   -0.023
   -0.150,   -0.191,    0.089
   -0.196,   -0.201,    0.091
   -0.167,   -0.161,   -0.009
   -0.031,   -0.045,   -0.105
    0.100,    0.122,   -0.160
    0.061,    0.252,   -0.238
   -0.168,    0.256,   -0.356
   -0.406,    0.127,   -0.411
   -0.442,   -0.048,   -0.295
   -0.261,   -0.168,   -0.066
   -0.038,   -0.202,    0.101
    0.061,   -0.177,    0.104
    0.027,   -0.123,    0.022
   -0.036,   -0.039,   -0.008
   -0.039,    0.068,    0.037
    0.022,    0.163,    0.073
    0.112,    0.213,    0.044
    0.191,    0.230,   -0.005
    0.217,    0.239,   -0.004
    0.150,    0.235,    0.047
    0.006,    0.186,    0.092
   -0.130,    0.093,    0.091
   -0.165,    0.010,    0.062
   -0.090,   -0.012,    0.047
    0.010,    0.022,    0.075
    0.052,    0.069,    0.131
    0.026,    0.096,    0.154
   -0.012,    0.104,    0.092
   -0.016,    0.104,   -0.003
    0.021,    0.090,    0.001
    0.063,    0.054,    0.145
    0.060,    0.009,    0.271
   -0.013,   -0.013,    0.185
   -0.104,    0.010,   -0.079
   -0.106,    0.072,   -0.268
    0.036,    0.134,   -0.226
    0.246,    0.143,   -0.087
    0.390,    0.076,   -0.078
    0.423,   -0.025,   -0.211
    0.414,   -0.078,   -0.301
    0.415,   -0.044,   -0.256
    0.382,    0.026,   -0.187
    0.262,    0.042,   -0.198
    0.111,   -0.017,   -0.213
    0.038,   -0.078,   -0.116
    0.069,   -0.068,    0.028
    0.116,   -0.010,    0.050
    0.109,    0.021,   -0.074
    0.083,    0.024,   -0.171
    0.090,    0.083,   -0.133
    0.101,    0.247,   -0.066
    0.038,    0.425,   -0.121
   -0.106,    0.465,   -0.266
   -0.258,    0.325,   -0.346
   -0.353,    0.124,   -0.310
   -0.388,    0.012,   -0.247
   -0.365,    0.023,   -0.215
   -0.250,    0.074,   -0.169
   -0.051,    0.079,   -0.102
    0.147,    0.038,   -0.101
    0.258,    0.003,   -0.209
    0.302,    0.008,   -0.324
    0.357,    0.034,   -0.328
    0.429,    0.030,   -0.233
    0.441,   -0.040,   -0.120
    0.359,   -0.162,   -0.000
    0.252,   -0.286,    0.141
    0.197,   -0.357,    0.230
    0.190,   -0.368,    0.178
    0.201,   -0.344,    0.054
    0.242,   -0.307,    0.031
    0.328,   -0.251,    0.129
    0.391,   -0.186,    0.170
    0.339,   -0.163,    0.033
    0.183,   -0.216,   -0.152
    0.044,   -0.294,   -0.187
    0.013,   -0.286,   -0.068
    0.063,   -0.135,    0.045
    0.112,    0.090,    0.062
    0.115,    0.264,    0.041
    0.071,    0.330,    0.053
   -0.011,    0.334,    0.102
   -0.102,    0.343,    0.174
   -0.169,    0.370,    0.266
   -0.219,    0.377,    0.344
   -0.303,    0.316,    0.354
   -0.434,    0.163,    0.324
