SITE CODE= íÜïWí√í¨ó{òVãç
LAT=  43.5875
LON= 144.7151
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 10
NS, EW, UD
   -0.476,   -0.025,   -0.271
   -0.310,   -0.198,   -0.163
   -0.049,   -0.191,    0.015
    0.109,    0.028,    0.095
    0.100,    0.221,    0.035
    0.045,    0.202,   -0.051
    0.094,    0.063,   -0.048
    0.247,   -0.001,    0.035
    0.365,    0.031,    0.098
    0.338,    0.018,    0.084
    0.177,   -0.083,    0.024
   -0.041,   -0.129,   -0.023
   -0.250,   -0.015,   -0.042
   -0.404,    0.151,   -0.057
   -0.459,    0.201,   -0.091
   -0.412,    0.141,   -0.140
   -0.331,    0.116,   -0.181
   -0.275,    0.171,   -0.174
   -0.202,    0.187,   -0.086
   -0.031,    0.081,    0.072
    0.219,   -0.080,    0.233
    0.395,   -0.215,    0.316
    0.380,   -0.339,    0.286
    0.230,   -0.451,    0.169
    0.089,   -0.423,    0.029
    0.016,   -0.161,   -0.069
   -0.052,    0.167,   -0.092
   -0.161,    0.251,   -0.054
   -0.255,    0.023,    0.003
   -0.234,   -0.220,    0.054
   -0.080,   -0.159,    0.094
    0.125,    0.170,    0.104
    0.278,    0.451,    0.053
    0.317,    0.468,   -0.040
    0.239,    0.289,   -0.098
    0.082,    0.085,   -0.077
   -0.099,   -0.088,   -0.031
   -0.253,   -0.268,   -0.029
   -0.337,   -0.427,   -0.042
   -0.296,   -0.444,    0.010
   -0.093,   -0.240,    0.113
    0.214,    0.101,    0.151
    0.449,    0.388,    0.065
    0.444,    0.493,   -0.059
    0.205,    0.430,   -0.114
   -0.087,    0.279,   -0.098
   -0.254,    0.075,   -0.072
   -0.270,   -0.175,   -0.055
   -0.227,   -0.392,   -0.035
   -0.191,   -0.429,   -0.039
   -0.149,   -0.237,   -0.094
   -0.076,    0.031,   -0.140
    0.006,    0.160,   -0.084
    0.034,    0.107,    0.058
   -0.030,    0.018,    0.150
   -0.159,    0.025,    0.101
   -0.269,    0.094,   -0.019
   -0.266,    0.121,   -0.074
   -0.128,    0.094,   -0.016
    0.058,    0.069,    0.098
    0.160,    0.046,    0.182
    0.116,   -0.027,    0.188
    0.012,   -0.133,    0.105
    0.012,   -0.160,   -0.022
    0.204,   -0.042,   -0.100
    0.486,    0.118,   -0.070
    0.623,    0.131,    0.007
    0.450,   -0.092,    0.009
    0.042,   -0.432,   -0.098
   -0.342,   -0.640,   -0.208
   -0.489,   -0.530,   -0.201
   -0.406,   -0.144,   -0.086
   -0.237,    0.239,    0.026
   -0.083,    0.338,    0.054
    0.057,    0.149,    0.031
    0.181,   -0.041,    0.026
    0.232,    0.016,    0.050
    0.183,    0.248,    0.053
    0.091,    0.377,    0.012
    0.023,    0.286,   -0.036
   -0.038,    0.109,   -0.048
   -0.154,   -0.023,   -0.044
   -0.309,   -0.153,   -0.068
   -0.386,   -0.323,   -0.103
   -0.292,   -0.386,   -0.078
   -0.041,   -0.180,    0.026
    0.252,    0.175,    0.125
    0.460,    0.366,    0.127
    0.518,    0.272,    0.052
    0.443,    0.078,   -0.002
    0.300,   -0.049,    0.004
    0.123,   -0.184,   -0.005
   -0.103,   -0.418,   -0.086
   -0.369,   -0.566,   -0.170
   -0.560,   -0.355,   -0.143
   -0.527,    0.146,   -0.010
   -0.251,    0.508,    0.092
    0.123,    0.442,    0.056
    0.418,    0.133,   -0.059
    0.558,   -0.032,   -0.104
    0.552,    0.064,   -0.009
    0.408,    0.204,    0.142
    0.130,    0.193,    0.199
   -0.209,    0.081,    0.089
   -0.468,    0.021,   -0.113
   -0.530,    0.024,   -0.234
   -0.393,   -0.032,   -0.153
   -0.165,   -0.193,    0.063
    0.019,   -0.334,    0.199
    0.087,   -0.274,    0.118
    0.074,    0.020,   -0.086
    0.073,    0.360,   -0.190
    0.138,    0.473,   -0.104
    0.220,    0.246,    0.043
    0.220,   -0.146,    0.078
    0.104,   -0.375,   -0.028
   -0.057,   -0.274,   -0.168
   -0.148,    0.003,   -0.244
   -0.110,    0.152,   -0.221
    0.022,    0.047,   -0.112
    0.162,   -0.149,    0.035
    0.223,   -0.203,    0.129
    0.167,   -0.059,    0.095
    0.020,    0.154,   -0.033
   -0.120,    0.283,   -0.115
   -0.135,    0.264,   -0.034
    0.001,    0.100,    0.178
    0.162,   -0.151,    0.360
    0.157,   -0.359,    0.358
   -0.073,   -0.379,    0.173
   -0.364,   -0.200,   -0.038
   -0.477,    0.018,   -0.103
   -0.344,    0.102,   -0.008
   -0.118,    0.042,    0.098
   -0.004,   -0.032,    0.082
   -0.064,   -0.032,   -0.015
   -0.192,    0.004,   -0.052
   -0.236,    0.001,    0.027
   -0.125,   -0.049,    0.113
    0.073,   -0.097,    0.073
    0.183,   -0.099,   -0.079
    0.072,   -0.050,   -0.198
   -0.194,    0.021,   -0.170
   -0.366,    0.073,   -0.034
   -0.265,    0.079,    0.074
    0.012,    0.048,    0.086
    0.205,    0.029,    0.064
    0.195,    0.057,    0.098
    0.121,    0.127,    0.160
    0.140,    0.198,    0.133
    0.203,    0.219,   -0.023
    0.143,    0.152,   -0.189
   -0.058,    0.003,   -0.210
   -0.229,   -0.169,   -0.069
   -0.241,   -0.278,    0.102
   -0.155,   -0.266,    0.175
   -0.103,   -0.137,    0.134
   -0.093,    0.042,    0.047
   -0.031,    0.165,   -0.012
    0.117,    0.130,   -0.026
    0.269,   -0.061,   -0.024
    0.322,   -0.254,   -0.041
    0.235,   -0.268,   -0.072
    0.025,   -0.090,   -0.078
   -0.233,    0.093,   -0.054
   -0.400,    0.098,   -0.057
   -0.335,   -0.042,   -0.114
   -0.041,   -0.118,   -0.146
    0.298,   -0.005,   -0.053
    0.461,    0.176,    0.108
    0.390,    0.171,    0.154
    0.208,   -0.121,    0.019
    0.079,   -0.499,   -0.122
    0.048,   -0.612,   -0.069
    0.035,   -0.300,    0.115
   -0.060,    0.221,    0.171
   -0.238,    0.552,   -0.010
   -0.386,    0.520,   -0.231
   -0.373,    0.325,   -0.250
   -0.183,    0.254,   -0.085
    0.071,    0.307,    0.032
    0.257,    0.227,   -0.019
    0.353,   -0.107,   -0.109
    0.409,   -0.452,   -0.062
    0.433,   -0.477,    0.094
    0.354,   -0.188,    0.170
    0.131,    0.071,    0.069
   -0.137,    0.043,   -0.095
   -0.271,   -0.150,   -0.152
   -0.197,   -0.221,   -0.083
   -0.031,   -0.122,    0.000
    0.048,   -0.070,    0.022
   -0.006,   -0.199,    0.027
   -0.077,   -0.341,    0.067
   -0.057,   -0.235,    0.098
    0.002,    0.128,    0.040
   -0.040,    0.493,   -0.091
   -0.222,    0.620,   -0.177
   -0.403,    0.492,   -0.141
   -0.407,    0.238,   -0.019
   -0.211,   -0.015,    0.095
    0.025,   -0.187,    0.140
    0.124,   -0.238,    0.105
    0.062,   -0.197,    0.006
   -0.025,   -0.158,   -0.099
    0.001,   -0.175,   -0.127
    0.129,   -0.199,   -0.048
    0.216,   -0.149,    0.062
    0.154,   -0.018,    0.104
   -0.009,    0.140,    0.089
   -0.122,    0.283,    0.114
   -0.104,    0.375,    0.200
   -0.004,    0.334,    0.232
    0.078,    0.109,    0.110
    0.115,   -0.180,   -0.079
    0.145,   -0.290,   -0.131
    0.174,   -0.118,    0.018
    0.152,    0.154,    0.194
    0.063,    0.247,    0.191
   -0.005,    0.107,    0.019
    0.069,   -0.044,   -0.120
    0.276,    0.010,   -0.084
    0.434,    0.217,    0.063
    0.347,    0.317,    0.163
    0.009,    0.148,    0.146
   -0.367,   -0.156,    0.066
   -0.542,   -0.300,   -0.007
   -0.451,   -0.159,   -0.055
   -0.223,    0.082,   -0.095
   -0.026,    0.143,   -0.123
    0.061,   -0.016,   -0.104
    0.051,   -0.161,   -0.002
   -0.023,   -0.081,    0.161
   -0.114,    0.145,    0.272
   -0.140,    0.243,    0.208
   -0.028,    0.085,   -0.013
    0.185,   -0.154,   -0.205
    0.324,   -0.206,   -0.191
    0.225,   -0.027,   -0.022
   -0.083,    0.144,    0.078
   -0.370,    0.067,   -0.003
   -0.398,   -0.190,   -0.133
   -0.146,   -0.299,   -0.114
    0.172,   -0.069,    0.047
    0.309,    0.278,    0.155
    0.206,    0.322,    0.092
    0.023,   -0.034,   -0.039
   -0.042,   -0.401,   -0.064
    0.034,   -0.357,    0.032
    0.101,    0.031,    0.109
    0.047,    0.302,    0.068
   -0.054,    0.203,   -0.030
   -0.046,   -0.017,   -0.087
    0.078,    0.014,   -0.109
    0.153,    0.266,   -0.169
    0.072,    0.372,   -0.252
   -0.046,    0.157,   -0.244
   -0.013,   -0.119,   -0.095
    0.149,   -0.145,    0.082
    0.216,    0.005,    0.150
    0.054,   -0.012,    0.121
   -0.188,   -0.291,    0.101
   -0.263,   -0.522,    0.108
   -0.112,   -0.393,    0.041
    0.088,   -0.019,   -0.127
    0.152,    0.212,   -0.235
    0.069,    0.134,   -0.121
   -0.044,   -0.043,    0.137
   -0.088,   -0.072,    0.272
   -0.052,    0.006,    0.130
    0.017,   -0.004,   -0.146
    0.061,   -0.106,   -0.281
    0.061,   -0.085,   -0.161
    0.054,    0.157,    0.085
    0.086,    0.420,    0.241
    0.131,    0.422,    0.212
    0.100,    0.138,    0.062
   -0.042,   -0.173,   -0.082
   -0.193,   -0.252,   -0.136
   -0.221,   -0.100,   -0.106
   -0.126,    0.059,   -0.042
   -0.042,    0.020,    0.010
   -0.054,   -0.188,    0.023
   -0.076,   -0.326,   -0.013
    0.032,   -0.189,   -0.084
    0.260,    0.139,   -0.115
    0.412,    0.342,   -0.026
    0.312,    0.203,    0.153
   -0.002,   -0.125,    0.247
   -0.306,   -0.284,    0.118
   -0.407,   -0.106,   -0.138
   -0.307,    0.207,   -0.243
   -0.154,    0.334,   -0.051
   -0.080,    0.171,    0.252
   -0.099,   -0.112,    0.337
