SITE CODE= ŒúŠÝ’¬”ö–y
LAT=  42.9972
LON= 144.6926
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 00
NS, EW, UD
   -0.119,    0.048,    0.132
   -0.048,    0.075,    0.153
    0.007,    0.079,    0.141
    0.033,    0.072,    0.057
    0.046,    0.076,   -0.067
    0.069,    0.089,   -0.147
    0.114,    0.081,   -0.123
    0.171,    0.035,   -0.041
    0.213,   -0.010,   -0.007
    0.218,    0.001,   -0.075
    0.184,    0.083,   -0.179
    0.132,    0.168,   -0.204
    0.085,    0.172,   -0.114
    0.052,    0.092,    0.007
    0.025,    0.018,    0.062
    0.013,    0.025,    0.036
    0.033,    0.085,   -0.009
    0.082,    0.110,   -0.028
    0.119,    0.071,   -0.033
    0.113,    0.019,   -0.031
    0.081,    0.002,   -0.005
    0.074,   -0.009,    0.044
    0.114,   -0.063,    0.059
    0.169,   -0.134,   -0.006
    0.196,   -0.158,   -0.107
    0.184,   -0.133,   -0.148
    0.135,   -0.134,   -0.101
    0.042,   -0.203,   -0.042
   -0.100,   -0.274,   -0.044
   -0.255,   -0.262,   -0.084
   -0.364,   -0.184,   -0.093
   -0.403,   -0.136,   -0.059
   -0.401,   -0.158,   -0.044
   -0.398,   -0.172,   -0.093
   -0.393,   -0.096,   -0.178
   -0.359,    0.040,   -0.234
   -0.299,    0.135,   -0.230
   -0.258,    0.144,   -0.188
   -0.265,    0.122,   -0.136
   -0.290,    0.130,   -0.079
   -0.277,    0.153,   -0.007
   -0.207,    0.136,    0.068
   -0.121,    0.088,    0.113
   -0.067,    0.083,    0.104
   -0.048,    0.156,    0.063
   -0.024,    0.244,    0.034
    0.030,    0.257,    0.042
    0.104,    0.186,    0.067
    0.158,    0.100,    0.071
    0.169,    0.055,    0.031
    0.147,    0.035,   -0.045
    0.125,   -0.005,   -0.126
    0.121,   -0.074,   -0.180
    0.118,   -0.138,   -0.203
    0.091,   -0.164,   -0.207
    0.043,   -0.153,   -0.184
    0.014,   -0.133,   -0.126
    0.019,   -0.130,   -0.071
    0.021,   -0.130,   -0.081
   -0.022,   -0.097,   -0.139
   -0.088,   -0.041,   -0.140
   -0.117,   -0.026,   -0.036
   -0.102,   -0.075,    0.072
   -0.093,   -0.107,    0.059
   -0.107,   -0.030,   -0.037
   -0.087,    0.105,   -0.071
    0.002,    0.145,    0.007
    0.092,    0.034,    0.085
    0.097,   -0.110,    0.066
    0.043,   -0.167,   -0.006
    0.037,   -0.161,   -0.048
    0.108,   -0.174,   -0.066
    0.161,   -0.192,   -0.114
    0.122,   -0.149,   -0.172
    0.041,   -0.068,   -0.178
    0.010,   -0.056,   -0.127
    0.035,   -0.145,   -0.079
    0.052,   -0.248,   -0.063
    0.036,   -0.295,   -0.053
    0.021,   -0.312,   -0.050
    0.017,   -0.341,   -0.109
   -0.012,   -0.352,   -0.229
   -0.067,   -0.299,   -0.298
   -0.089,   -0.218,   -0.214
   -0.035,   -0.187,   -0.037
    0.048,   -0.192,    0.057
    0.087,   -0.124,   -0.010
    0.091,    0.069,   -0.126
    0.133,    0.293,   -0.140
    0.231,    0.416,   -0.042
    0.301,    0.426,    0.050
    0.266,    0.425,    0.065
    0.171,    0.480,    0.048
    0.125,    0.540,    0.069
    0.160,    0.518,    0.129
    0.202,    0.401,    0.188
    0.179,    0.241,    0.217
    0.102,    0.087,    0.198
    0.030,   -0.034,    0.121
   -0.013,   -0.096,    0.018
   -0.044,   -0.089,   -0.025
   -0.069,   -0.052,    0.039
   -0.082,   -0.044,    0.132
   -0.093,   -0.065,    0.126
   -0.124,   -0.056,   -0.003
   -0.163,    0.007,   -0.126
   -0.160,    0.050,   -0.121
   -0.095,   -0.015,   -0.029
   -0.019,   -0.161,    0.004
    0.002,   -0.255,   -0.083
   -0.023,   -0.219,   -0.188
   -0.027,   -0.132,   -0.188
    0.020,   -0.125,   -0.111
    0.067,   -0.198,   -0.099
    0.059,   -0.216,   -0.223
    0.023,   -0.097,   -0.371
    0.041,    0.053,   -0.379
    0.124,    0.061,   -0.225
    0.180,   -0.084,   -0.039
    0.130,   -0.196,    0.059
    0.016,   -0.126,    0.085
   -0.044,    0.055,    0.126
   -0.006,    0.162,    0.204
    0.059,    0.125,    0.242
    0.063,    0.044,    0.167
   -0.003,    0.036,    0.010
   -0.074,    0.088,   -0.113
   -0.110,    0.102,   -0.114
   -0.129,    0.015,   -0.013
   -0.168,   -0.128,    0.088
   -0.239,   -0.237,    0.107
   -0.318,   -0.254,    0.064
   -0.370,   -0.199,    0.039
   -0.372,   -0.135,    0.068
   -0.330,   -0.097,    0.093
   -0.276,   -0.059,    0.042
   -0.239,    0.020,   -0.073
   -0.215,    0.123,   -0.153
   -0.182,    0.178,   -0.133
   -0.132,    0.159,   -0.054
   -0.093,    0.130,   -0.012
   -0.082,    0.167,   -0.037
   -0.076,    0.253,   -0.061
   -0.028,    0.288,   -0.013
    0.069,    0.217,    0.082
    0.166,    0.107,    0.127
    0.209,    0.077,    0.072
    0.204,    0.156,   -0.003
    0.207,    0.237,    0.024
    0.247,    0.182,    0.153
    0.278,   -0.005,    0.234
    0.231,   -0.171,    0.150
    0.107,   -0.180,   -0.018
   -0.010,   -0.085,   -0.082
   -0.055,   -0.051,    0.020
   -0.063,   -0.128,    0.139
   -0.115,   -0.188,    0.114
   -0.206,   -0.110,   -0.044
   -0.241,    0.035,   -0.186
   -0.165,    0.075,   -0.219
   -0.036,   -0.032,   -0.175
    0.045,   -0.149,   -0.116
    0.052,   -0.152,   -0.052
    0.033,   -0.076,    0.029
    0.019,   -0.028,    0.081
   -0.010,   -0.029,    0.042
   -0.069,   -0.011,   -0.068
   -0.126,    0.055,   -0.145
   -0.136,    0.101,   -0.103
   -0.100,    0.055,    0.027
   -0.069,   -0.061,    0.140
   -0.080,   -0.154,    0.171
   -0.120,   -0.172,    0.149
   -0.148,   -0.150,    0.142
   -0.150,   -0.147,    0.168
   -0.140,   -0.175,    0.192
   -0.127,   -0.200,    0.175
   -0.099,   -0.201,    0.112
   -0.044,   -0.186,    0.035
    0.028,   -0.169,   -0.014
    0.098,   -0.155,   -0.026
    0.154,   -0.145,   -0.036
    0.185,   -0.138,   -0.080
    0.185,   -0.127,   -0.134
    0.166,   -0.110,   -0.131
    0.155,   -0.101,   -0.059
    0.149,   -0.100,   -0.004
    0.117,   -0.061,   -0.044
    0.048,    0.055,   -0.118
   -0.012,    0.187,   -0.105
   -0.024,    0.218,   -0.006
   -0.018,    0.139,    0.042
   -0.056,    0.097,   -0.030
   -0.117,    0.192,   -0.102
   -0.109,    0.307,   -0.032
   -0.008,    0.253,    0.126
    0.074,    0.043,    0.180
    0.035,   -0.108,    0.066
   -0.065,   -0.080,   -0.063
   -0.076,   -0.002,   -0.039
    0.047,   -0.056,    0.114
    0.192,   -0.211,    0.227
    0.249,   -0.279,    0.198
    0.238,   -0.177,    0.090
    0.250,   -0.036,    0.028
    0.304,   -0.027,    0.041
    0.330,   -0.149,    0.045
    0.266,   -0.251,   -0.037
    0.133,   -0.210,   -0.168
    0.017,   -0.070,   -0.223
   -0.022,    0.016,   -0.141
   -0.013,   -0.029,   -0.007
   -0.043,   -0.109,    0.038
   -0.148,   -0.078,   -0.028
   -0.259,    0.069,   -0.079
   -0.274,    0.180,   -0.019
   -0.200,    0.155,    0.095
   -0.139,    0.080,    0.141
   -0.151,    0.102,    0.119
   -0.164,    0.209,    0.143
   -0.089,    0.256,    0.250
    0.050,    0.183,    0.341
    0.151,    0.100,    0.334
    0.184,    0.108,    0.283
    0.206,    0.139,    0.281
    0.249,    0.069,    0.309
    0.266,   -0.076,    0.275
    0.216,   -0.147,    0.159
    0.141,   -0.071,    0.041
    0.097,    0.063,   -0.012
    0.070,    0.138,   -0.016
    0.013,    0.138,   -0.014
   -0.067,    0.119,   -0.018
   -0.118,    0.110,   -0.001
   -0.116,    0.082,    0.047
   -0.102,    0.005,    0.089
   -0.130,   -0.090,    0.074
   -0.203,   -0.136,    0.001
   -0.265,   -0.113,   -0.059
   -0.257,   -0.087,   -0.052
   -0.180,   -0.121,   -0.021
   -0.100,   -0.158,   -0.056
   -0.065,   -0.068,   -0.143
   -0.033,    0.154,   -0.163
    0.065,    0.338,   -0.057
    0.203,    0.342,    0.069
    0.271,    0.247,    0.072
    0.224,    0.236,   -0.028
    0.155,    0.332,   -0.080
    0.173,    0.382,   -0.007
    0.257,    0.295,    0.091
    0.296,    0.179,    0.078
    0.253,    0.179,   -0.031
    0.205,    0.274,   -0.098
    0.227,    0.307,   -0.044
    0.294,    0.198,    0.047
    0.316,    0.040,    0.048
    0.250,   -0.022,   -0.043
    0.148,    0.028,   -0.099
    0.085,    0.063,   -0.035
    0.067,   -0.021,    0.070
    0.020,   -0.160,    0.068
   -0.101,   -0.192,   -0.059
   -0.229,   -0.081,   -0.166
   -0.258,    0.023,   -0.132
   -0.169,   -0.018,   -0.019
   -0.073,   -0.136,    0.023
   -0.068,   -0.152,   -0.037
   -0.129,   -0.031,   -0.071
   -0.159,    0.059,    0.011
   -0.140,   -0.016,    0.123
   -0.155,   -0.164,    0.111
   -0.263,   -0.180,   -0.024
   -0.396,   -0.032,   -0.123
   -0.447,    0.096,   -0.085
   -0.414,    0.057,   -0.001
   -0.391,   -0.059,   -0.001
   -0.420,   -0.063,   -0.059
   -0.426,    0.057,   -0.039
   -0.338,    0.114,    0.086
   -0.205,    0.004,    0.182
   -0.132,   -0.143,    0.135
   -0.122,   -0.158,    0.002
   -0.079,   -0.063,   -0.079
    0.041,   -0.016,   -0.057
    0.164,   -0.060,    0.000
    0.202,   -0.081,    0.018
    0.173,    0.007,   -0.003
    0.154,    0.143,   -0.010
    0.169,    0.203,    0.037
    0.176,    0.154,    0.113
    0.138,    0.071,    0.148
    0.061,    0.048,    0.107
   -0.019,    0.115,    0.041
   -0.061,    0.199,    0.021
   -0.051,    0.193,    0.038
   -0.019,    0.085,    0.012
   -0.012,   -0.026,   -0.076
   -0.030,   -0.057,   -0.135
   -0.026,   -0.061,   -0.091
    0.024,   -0.136,   -0.007
    0.062,   -0.251,   -0.005
    0.032,   -0.281,   -0.084
   -0.024,   -0.214,   -0.130
   -0.021,   -0.187,   -0.100
    0.050,   -0.278,   -0.095
    0.101,   -0.364,   -0.199
    0.081,   -0.284,   -0.313
    0.053,   -0.088,   -0.263
    0.088,    0.017,   -0.039
    0.145,   -0.049,    0.171
    0.128,   -0.132,    0.211
    0.039,   -0.080,    0.125
   -0.005,    0.044,    0.058
    0.063,    0.062,    0.054
    0.166,   -0.064,    0.043
    0.190,   -0.185,   -0.026
    0.135,   -0.172,   -0.118
    0.086,   -0.061,   -0.180
    0.083,    0.042,   -0.203
    0.076,    0.109,   -0.194
    0.024,    0.173,   -0.162
   -0.044,    0.242,   -0.132
   -0.091,    0.280,   -0.134
   -0.123,    0.262,   -0.151
   -0.157,    0.183,   -0.126
   -0.177,    0.048,   -0.056
   -0.168,   -0.118,   -0.007
   -0.152,   -0.251,   -0.026
   -0.155,   -0.313,   -0.066
   -0.154,   -0.343,   -0.064
   -0.117,   -0.395,   -0.051
   -0.057,   -0.442,   -0.099
   -0.009,   -0.405,   -0.187
    0.043,   -0.280,   -0.207
    0.140,   -0.169,   -0.106
    0.270,   -0.137,    0.033
    0.357,   -0.131,    0.095
    0.355,   -0.062,    0.067
    0.288,    0.070,    0.035
    0.212,    0.175,    0.069
    0.155,    0.190,    0.141
    0.106,    0.149,    0.160
    0.043,    0.140,    0.070
   -0.039,    0.217,   -0.076
   -0.112,    0.333,   -0.162
   -0.124,    0.384,   -0.121
   -0.072,    0.331,   -0.001
   -0.022,    0.252,    0.106
   -0.030,    0.242,    0.156
   -0.071,    0.291,    0.168
   -0.078,    0.317,    0.162
   -0.049,    0.301,    0.123
   -0.038,    0.300,    0.039
   -0.066,    0.337,   -0.073
   -0.094,    0.354,   -0.164
   -0.085,    0.296,   -0.190
   -0.057,    0.181,   -0.137
