SITE CODE= ˆ°•ÊŽsˆ®’¬
LAT=  43.5068
LON= 142.2192
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 10
NS, EW, UD
    0.007,   -0.015,    0.114
    0.043,   -0.060,    0.097
    0.068,   -0.095,    0.053
    0.076,   -0.115,   -0.009
    0.068,   -0.123,   -0.072
    0.048,   -0.121,   -0.115
    0.027,   -0.111,   -0.128
    0.018,   -0.098,   -0.104
    0.020,   -0.091,   -0.043
    0.022,   -0.091,    0.031
    0.012,   -0.094,    0.088
   -0.010,   -0.086,    0.109
   -0.032,   -0.061,    0.102
   -0.039,   -0.020,    0.094
   -0.026,    0.031,    0.104
   -0.001,    0.086,    0.127
    0.031,    0.137,    0.147
    0.065,    0.169,    0.150
    0.094,    0.170,    0.126
    0.110,    0.135,    0.078
    0.115,    0.072,    0.015
    0.119,    0.000,   -0.036
    0.131,   -0.058,   -0.052
    0.151,   -0.089,   -0.029
    0.167,   -0.087,    0.010
    0.167,   -0.058,    0.042
    0.150,   -0.017,    0.063
    0.123,    0.020,    0.091
    0.097,    0.044,    0.131
    0.086,    0.054,    0.170
    0.099,    0.060,    0.190
    0.135,    0.067,    0.182
    0.175,    0.077,    0.151
    0.193,    0.079,    0.106
    0.178,    0.065,    0.056
    0.141,    0.035,    0.014
    0.105,   -0.003,   -0.006
    0.085,   -0.042,   -0.002
    0.082,   -0.075,    0.014
    0.085,   -0.098,    0.030
    0.085,   -0.109,    0.043
    0.076,   -0.105,    0.046
    0.055,   -0.081,    0.040
    0.026,   -0.034,    0.034
    0.000,    0.026,    0.046
   -0.017,    0.081,    0.078
   -0.028,    0.120,    0.103
   -0.043,    0.140,    0.088
   -0.063,    0.148,    0.029
   -0.081,    0.147,   -0.036
   -0.094,    0.134,   -0.067
   -0.102,    0.104,   -0.061
   -0.106,    0.067,   -0.048
   -0.107,    0.037,   -0.052
   -0.104,    0.017,   -0.059
   -0.102,    0.001,   -0.036
   -0.107,   -0.020,    0.025
   -0.113,   -0.042,    0.093
   -0.106,   -0.053,    0.126
   -0.077,   -0.048,    0.117
   -0.037,   -0.037,    0.090
   -0.013,   -0.032,    0.062
   -0.024,   -0.037,    0.023
   -0.066,   -0.036,   -0.041
   -0.115,   -0.018,   -0.121
   -0.150,    0.014,   -0.181
   -0.168,    0.044,   -0.192
   -0.174,    0.055,   -0.162
   -0.176,    0.049,   -0.121
   -0.172,    0.040,   -0.086
   -0.164,    0.041,   -0.049
   -0.156,    0.053,    0.005
   -0.161,    0.074,    0.065
   -0.175,    0.106,    0.102
   -0.180,    0.146,    0.096
   -0.160,    0.186,    0.063
   -0.115,    0.208,    0.028
   -0.064,    0.194,    0.009
   -0.026,    0.144,   -0.005
   -0.003,    0.075,   -0.034
    0.012,    0.005,   -0.081
    0.029,   -0.058,   -0.130
    0.048,   -0.117,   -0.164
    0.061,   -0.175,   -0.178
    0.065,   -0.226,   -0.181
    0.064,   -0.259,   -0.178
    0.065,   -0.268,   -0.165
    0.065,   -0.253,   -0.138
    0.060,   -0.225,   -0.098
    0.042,   -0.188,   -0.057
    0.018,   -0.143,   -0.031
    0.003,   -0.092,   -0.029
    0.008,   -0.039,   -0.046
    0.036,    0.010,   -0.064
    0.075,    0.050,   -0.067
    0.114,    0.077,   -0.052
    0.143,    0.087,   -0.031
    0.162,    0.080,   -0.020
    0.165,    0.054,   -0.017
    0.150,    0.011,   -0.018
    0.120,   -0.042,   -0.022
    0.088,   -0.087,   -0.029
    0.067,   -0.110,   -0.031
    0.058,   -0.109,   -0.027
    0.052,   -0.092,   -0.026
    0.036,   -0.070,   -0.041
    0.008,   -0.052,   -0.066
   -0.022,   -0.048,   -0.083
   -0.049,   -0.067,   -0.074
   -0.065,   -0.108,   -0.044
   -0.073,   -0.161,   -0.009
   -0.074,   -0.210,    0.020
   -0.077,   -0.244,    0.042
   -0.082,   -0.255,    0.067
   -0.089,   -0.241,    0.106
   -0.092,   -0.200,    0.153
   -0.084,   -0.136,    0.192
   -0.061,   -0.054,    0.204
   -0.021,    0.034,    0.190
    0.021,    0.114,    0.173
    0.047,    0.171,    0.177
    0.044,    0.200,    0.201
    0.014,    0.206,    0.219
   -0.022,    0.196,    0.202
   -0.045,    0.174,    0.151
   -0.044,    0.138,    0.093
   -0.025,    0.091,    0.052
    0.001,    0.043,    0.032
    0.028,    0.012,    0.026
    0.058,    0.009,    0.031
    0.090,    0.030,    0.052
    0.115,    0.060,    0.090
    0.123,    0.082,    0.131
    0.109,    0.096,    0.155
    0.083,    0.103,    0.156
    0.060,    0.109,    0.147
    0.046,    0.118,    0.141
    0.039,    0.130,    0.142
    0.032,    0.147,    0.145
    0.021,    0.167,    0.143
    0.004,    0.182,    0.138
   -0.017,    0.180,    0.137
   -0.039,    0.159,    0.141
   -0.061,    0.130,    0.147
   -0.074,    0.105,    0.153
   -0.073,    0.091,    0.147
   -0.054,    0.088,    0.124
   -0.022,    0.092,    0.087
    0.014,    0.095,    0.048
    0.046,    0.090,    0.018
    0.065,    0.073,   -0.000
    0.070,    0.045,   -0.009
    0.061,    0.010,   -0.008
    0.037,   -0.030,    0.008
    0.003,   -0.072,    0.042
   -0.031,   -0.114,    0.083
   -0.057,   -0.145,    0.109
   -0.067,   -0.155,    0.099
   -0.059,   -0.140,    0.059
   -0.039,   -0.101,    0.023
   -0.019,   -0.049,    0.019
   -0.009,    0.001,    0.039
   -0.010,    0.043,    0.048
   -0.019,    0.072,    0.025
   -0.028,    0.082,   -0.013
   -0.036,    0.062,   -0.042
   -0.046,    0.010,   -0.059
   -0.054,   -0.056,   -0.085
   -0.046,   -0.110,   -0.128
   -0.016,   -0.141,   -0.167
    0.028,   -0.153,   -0.182
    0.063,   -0.159,   -0.176
    0.072,   -0.166,   -0.172
    0.061,   -0.172,   -0.184
    0.043,   -0.178,   -0.203
    0.031,   -0.187,   -0.220
    0.024,   -0.195,   -0.237
    0.024,   -0.189,   -0.257
    0.030,   -0.155,   -0.277
    0.041,   -0.089,   -0.281
    0.048,   -0.004,   -0.262
    0.038,    0.078,   -0.233
    0.006,    0.143,   -0.216
   -0.033,    0.182,   -0.221
   -0.064,    0.194,   -0.233
   -0.078,    0.182,   -0.233
   -0.083,    0.155,   -0.211
   -0.089,    0.129,   -0.173
   -0.104,    0.117,   -0.132
   -0.127,    0.126,   -0.096
   -0.150,    0.149,   -0.068
   -0.164,    0.175,   -0.049
   -0.162,    0.190,   -0.030
   -0.143,    0.188,   -0.007
   -0.112,    0.169,    0.005
   -0.073,    0.134,   -0.015
   -0.033,    0.093,   -0.071
    0.000,    0.049,   -0.131
    0.021,    0.001,   -0.158
    0.024,   -0.049,   -0.158
    0.015,   -0.089,   -0.167
    0.007,   -0.104,   -0.199
    0.016,   -0.089,   -0.227
    0.043,   -0.061,   -0.208
    0.072,   -0.039,   -0.141
    0.086,   -0.026,   -0.054
    0.081,   -0.013,    0.018
    0.067,    0.004,    0.069
    0.051,    0.019,    0.105
    0.038,    0.020,    0.127
    0.033,    0.010,    0.130
    0.046,   -0.005,    0.116
    0.084,   -0.020,    0.088
    0.135,   -0.035,    0.057
    0.177,   -0.053,    0.035
    0.189,   -0.073,    0.027
    0.174,   -0.090,    0.025
    0.146,   -0.104,    0.016
    0.121,   -0.112,   -0.007
    0.106,   -0.117,   -0.031
    0.099,   -0.123,   -0.039
    0.090,   -0.128,   -0.028
    0.070,   -0.127,   -0.017
    0.041,   -0.111,   -0.014
    0.009,   -0.079,   -0.003
   -0.019,   -0.042,    0.031
   -0.042,   -0.012,    0.088
   -0.062,    0.011,    0.146
   -0.073,    0.028,    0.188
   -0.070,    0.039,    0.221
   -0.059,    0.039,    0.257
   -0.050,    0.023,    0.294
   -0.048,   -0.001,    0.311
   -0.039,   -0.018,    0.285
   -0.013,   -0.016,    0.221
    0.028,    0.000,    0.152
    0.065,    0.016,    0.112
    0.077,    0.022,    0.103
    0.059,    0.022,    0.099
    0.022,    0.025,    0.076
   -0.018,    0.036,    0.038
   -0.053,    0.047,    0.007
   -0.079,    0.050,   -0.009
   -0.096,    0.052,   -0.023
   -0.104,    0.063,   -0.046
   -0.095,    0.089,   -0.061
   -0.076,    0.120,   -0.044
   -0.057,    0.139,    0.004
   -0.046,    0.135,    0.044
   -0.046,    0.111,    0.039
   -0.051,    0.073,   -0.007
   -0.053,    0.025,   -0.046
   -0.054,   -0.030,   -0.041
   -0.061,   -0.085,    0.000
   -0.068,   -0.120,    0.031
   -0.065,   -0.118,    0.028
   -0.049,   -0.085,    0.005
   -0.030,   -0.041,   -0.000
   -0.029,   -0.007,    0.024
   -0.047,    0.010,    0.065
   -0.065,    0.023,    0.096
   -0.067,    0.042,    0.103
   -0.053,    0.065,    0.090
   -0.041,    0.083,    0.070
   -0.044,    0.089,    0.064
   -0.055,    0.085,    0.079
   -0.059,    0.075,    0.098
   -0.041,    0.067,    0.090
    0.001,    0.061,    0.045
    0.056,    0.049,   -0.009
    0.100,    0.025,   -0.040
    0.115,   -0.009,   -0.046
    0.100,   -0.035,   -0.046
    0.070,   -0.041,   -0.056
    0.041,   -0.025,   -0.067
    0.018,   -0.003,   -0.069
   -0.005,    0.013,   -0.066
   -0.030,    0.020,   -0.078
   -0.047,    0.023,   -0.125
   -0.052,    0.028,   -0.205
   -0.049,    0.037,   -0.300
   -0.050,    0.046,   -0.375
   -0.054,    0.046,   -0.401
   -0.059,    0.036,   -0.375
   -0.061,    0.020,   -0.315
