SITE CODE= óÖâPí¨ètì˙
LAT=  43.9400
LON= 145.1201
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 30
NS, EW, UD
    0.010,   -0.045,   -0.066
    0.001,    0.029,   -0.067
   -0.030,    0.096,   -0.071
   -0.070,    0.123,   -0.068
   -0.083,    0.122,   -0.066
   -0.053,    0.117,   -0.056
   -0.005,    0.115,   -0.022
    0.024,    0.105,    0.026
    0.024,    0.086,    0.052
    0.003,    0.063,    0.041
   -0.029,    0.036,    0.018
   -0.072,   -0.001,    0.007
   -0.106,   -0.041,    0.001
   -0.107,   -0.071,   -0.013
   -0.073,   -0.078,   -0.026
   -0.025,   -0.063,   -0.030
    0.019,   -0.034,   -0.041
    0.043,   -0.007,   -0.067
    0.037,    0.005,   -0.080
   -0.003,   -0.003,   -0.057
   -0.052,   -0.026,   -0.018
   -0.064,   -0.056,   -0.007
   -0.032,   -0.086,   -0.029
    0.004,   -0.108,   -0.040
   -0.001,   -0.108,   -0.009
   -0.050,   -0.076,    0.037
   -0.097,   -0.024,    0.056
   -0.103,    0.016,    0.037
   -0.065,    0.026,    0.005
   -0.011,    0.014,   -0.021
    0.025,   -0.004,   -0.029
    0.026,   -0.014,   -0.013
    0.002,   -0.014,    0.022
   -0.019,   -0.008,    0.047
   -0.012,   -0.001,    0.031
    0.018,   -0.006,   -0.024
    0.038,   -0.021,   -0.078
    0.020,   -0.030,   -0.094
   -0.028,   -0.025,   -0.065
   -0.075,   -0.014,   -0.014
   -0.091,   -0.009,    0.034
   -0.070,   -0.009,    0.062
   -0.031,   -0.002,    0.057
    0.002,    0.010,    0.026
    0.012,    0.003,    0.002
    0.002,   -0.041,    0.020
   -0.013,   -0.109,    0.073
   -0.014,   -0.160,    0.123
    0.000,   -0.172,    0.129
    0.021,   -0.149,    0.087
    0.041,   -0.112,    0.028
    0.052,   -0.074,   -0.015
    0.042,   -0.037,   -0.032
    0.002,    0.002,   -0.025
   -0.060,    0.042,   -0.001
   -0.116,    0.071,    0.027
   -0.135,    0.075,    0.042
   -0.110,    0.044,    0.036
   -0.060,   -0.012,    0.023
   -0.018,   -0.067,    0.028
   -0.007,   -0.091,    0.056
   -0.023,   -0.069,    0.082
   -0.039,   -0.014,    0.076
   -0.026,    0.044,    0.028
    0.015,    0.076,   -0.041
    0.062,    0.077,   -0.109
    0.087,    0.066,   -0.151
    0.083,    0.069,   -0.145
    0.065,    0.098,   -0.089
    0.050,    0.140,   -0.020
    0.046,    0.171,    0.009
    0.048,    0.164,   -0.014
    0.035,    0.111,   -0.055
   -0.006,    0.035,   -0.071
   -0.062,   -0.030,   -0.064
   -0.089,   -0.073,   -0.057
   -0.062,   -0.111,   -0.052
    0.005,   -0.155,   -0.029
    0.067,   -0.177,    0.016
    0.094,   -0.130,    0.053
    0.075,   -0.019,    0.062
    0.019,    0.093,    0.050
   -0.053,    0.141,    0.029
   -0.105,    0.125,   -0.003
   -0.107,    0.093,   -0.042
   -0.055,    0.071,   -0.059
    0.021,    0.053,   -0.016
    0.085,    0.022,    0.074
    0.119,   -0.012,    0.156
    0.121,   -0.024,    0.186
    0.092,   -0.011,    0.172
    0.039,    0.020,    0.140
   -0.023,    0.059,    0.088
   -0.068,    0.096,    0.005
   -0.085,    0.106,   -0.086
   -0.076,    0.063,   -0.135
   -0.054,   -0.016,   -0.124
   -0.018,   -0.083,   -0.082
    0.029,   -0.093,   -0.039
    0.068,   -0.053,    0.008
