SITE CODE= ‚Þ‚ÂŽs‘å”¨’¬‰œ–òŒ¤
LAT=  41.3847
LON= 141.0447
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 50
NS, EW, UD
   -0.162,    0.033,   -0.112
   -0.146,    0.006,   -0.126
   -0.075,   -0.052,   -0.090
   -0.012,   -0.068,   -0.029
    0.012,   -0.014,    0.024
    0.018,    0.061,    0.057
    0.033,    0.085,    0.073
    0.063,    0.054,    0.071
    0.084,    0.013,    0.045
    0.070,   -0.010,    0.003
    0.022,   -0.036,   -0.031
   -0.030,   -0.073,   -0.044
   -0.060,   -0.087,   -0.054
   -0.064,   -0.050,   -0.073
   -0.063,    0.011,   -0.084
   -0.069,    0.046,   -0.060
   -0.071,    0.050,   -0.003
   -0.046,    0.063,    0.052
    0.010,    0.090,    0.085
    0.077,    0.085,    0.104
    0.121,    0.022,    0.108
    0.115,   -0.053,    0.069
    0.054,   -0.070,   -0.023
   -0.030,   -0.042,   -0.122
   -0.096,   -0.044,   -0.157
   -0.117,   -0.099,   -0.112
   -0.101,   -0.130,   -0.046
   -0.062,   -0.065,   -0.019
   -0.011,    0.059,   -0.028
    0.036,    0.134,   -0.028
    0.056,    0.112,    0.001
    0.041,    0.049,    0.033
    0.025,    0.012,    0.047
    0.042,    0.003,    0.058
    0.071,   -0.008,    0.076
    0.051,   -0.016,    0.079
   -0.038,   -0.001,    0.036
   -0.137,    0.008,   -0.037
   -0.159,   -0.031,   -0.095
   -0.083,   -0.094,   -0.110
    0.014,   -0.096,   -0.096
    0.046,   -0.015,   -0.074
    0.004,    0.070,   -0.050
   -0.044,    0.083,   -0.026
   -0.043,    0.049,   -0.012
   -0.010,    0.037,   -0.008
    0.004,    0.047,    0.003
   -0.009,    0.020,    0.029
   -0.019,   -0.050,    0.049
   -0.012,   -0.096,    0.033
   -0.015,   -0.074,   -0.016
   -0.044,   -0.016,   -0.050
   -0.069,    0.026,   -0.039
   -0.053,    0.047,    0.001
   -0.000,    0.070,    0.029
    0.044,    0.090,    0.033
    0.046,    0.085,    0.027
    0.012,    0.051,    0.019
   -0.029,    0.006,   -0.001
   -0.046,   -0.043,   -0.029
   -0.025,   -0.093,   -0.037
    0.012,   -0.114,   -0.013
    0.027,   -0.076,    0.016
    0.008,    0.006,    0.021
   -0.013,    0.066,    0.011
   -0.003,    0.062,    0.019
    0.019,    0.020,    0.047
    0.019,    0.004,    0.061
   -0.003,    0.030,    0.037
   -0.003,    0.054,    0.004
    0.037,    0.043,   -0.009
    0.073,    0.014,   -0.002
    0.048,   -0.003,   -0.006
   -0.041,   -0.013,   -0.030
   -0.132,   -0.030,   -0.054
   -0.164,   -0.034,   -0.052
   -0.127,   -0.001,   -0.022
   -0.057,    0.037,    0.026
    0.014,    0.024,    0.078
    0.073,   -0.036,    0.111
    0.106,   -0.064,    0.100
    0.100,   -0.020,    0.044
    0.051,    0.044,   -0.026
   -0.019,    0.046,   -0.067
   -0.073,   -0.024,   -0.068
   -0.095,   -0.098,   -0.059
   -0.093,   -0.111,   -0.066
   -0.069,   -0.059,   -0.087
   -0.021,    0.017,   -0.097
    0.034,    0.071,   -0.089
    0.060,    0.085,   -0.071
    0.037,    0.068,   -0.052
   -0.010,    0.047,   -0.033
   -0.037,    0.034,   -0.020
   -0.031,    0.029,   -0.015
   -0.018,    0.018,   -0.002
   -0.020,   -0.010,    0.030
   -0.031,   -0.059,    0.066
   -0.041,   -0.109,    0.063
   -0.053,   -0.124,    0.007
   -0.066,   -0.080,   -0.050
   -0.056,   -0.009,   -0.040
   -0.003,    0.032,    0.031
    0.060,    0.022,    0.089
    0.072,    0.010,    0.073
    0.024,    0.044,    0.009
   -0.026,    0.100,   -0.040
   -0.031,    0.105,   -0.044
   -0.007,    0.031,   -0.012
   -0.002,   -0.074,    0.038
   -0.015,   -0.136,    0.096
   -0.007,   -0.111,    0.130
    0.020,   -0.022,    0.108
    0.027,    0.062,    0.037
    0.011,    0.070,   -0.022
    0.030,   -0.006,   -0.021
    0.112,   -0.091,    0.030
    0.180,   -0.096,    0.071
    0.138,   -0.014,    0.067
   -0.006,    0.081,    0.030
   -0.124,    0.123,   -0.010
   -0.117,    0.113,   -0.032
   -0.023,    0.082,   -0.031
    0.049,    0.032,   -0.000
    0.051,   -0.042,    0.048
    0.023,   -0.106,    0.084
    0.014,   -0.100,    0.082
    0.023,   -0.028,    0.059
    0.025,    0.035,    0.044
    0.015,    0.024,    0.046
   -0.005,   -0.035,    0.031
   -0.031,   -0.067,   -0.013
   -0.048,   -0.050,   -0.051
   -0.028,   -0.026,   -0.041
    0.031,   -0.035,    0.005
    0.076,   -0.049,    0.034
    0.055,   -0.015,    0.026
   -0.012,    0.067,    0.016
   -0.042,    0.133,    0.030
    0.009,    0.131,    0.053
    0.090,    0.075,    0.044
    0.115,    0.013,   -0.002
    0.063,   -0.039,   -0.047
   -0.018,   -0.087,   -0.060
   -0.077,   -0.115,   -0.042
   -0.095,   -0.098,   -0.018
   -0.070,   -0.048,    0.004
   -0.009,   -0.023,    0.028
    0.055,   -0.046,    0.048
    0.090,   -0.073,    0.045
    0.096,   -0.048,    0.010
    0.101,    0.013,   -0.031
    0.108,    0.049,   -0.040
    0.084,    0.034,   -0.017
    0.021,    0.014,   -0.002
   -0.030,    0.035,   -0.022
   -0.027,    0.070,   -0.057
    0.011,    0.057,   -0.056
    0.031,   -0.003,   -0.009
    0.010,   -0.031,    0.047
   -0.026,    0.014,    0.062
   -0.039,    0.073,    0.028
   -0.006,    0.057,   -0.018
    0.046,   -0.027,   -0.026
    0.063,   -0.086,    0.014
    0.024,   -0.077,    0.059
   -0.021,   -0.045,    0.065
   -0.012,   -0.036,    0.031
    0.033,   -0.028,   -0.000
    0.036,    0.006,    0.005
   -0.016,    0.032,    0.037
   -0.048,    0.008,    0.056
   -0.006,   -0.033,    0.045
    0.072,   -0.017,    0.029
    0.116,    0.050,    0.039
    0.112,    0.080,    0.066
    0.082,    0.012,    0.066
    0.026,   -0.088,    0.012
   -0.050,   -0.112,   -0.055
   -0.093,   -0.036,   -0.074
   -0.057,    0.062,   -0.039
    0.019,    0.106,   -0.015
    0.050,    0.096,   -0.045
    0.018,    0.063,   -0.104
   -0.010,    0.028,   -0.121
    0.011,    0.008,   -0.077
    0.040,    0.021,   -0.016
    0.016,    0.063,    0.003
   -0.050,    0.089,   -0.028
   -0.091,    0.067,   -0.065
   -0.070,    0.011,   -0.067
   -0.012,   -0.047,   -0.028
    0.037,   -0.097,    0.029
    0.059,   -0.137,    0.073
    0.064,   -0.141,    0.089
