SITE CODE= å‹èäêÏå¥ésëæìc
LAT=  41.0602
LON= 140.4077
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 50
NS, EW, UD
   -0.053,    0.019,    0.060
   -0.059,    0.013,    0.099
   -0.065,    0.006,    0.128
   -0.068,   -0.004,    0.143
   -0.064,   -0.018,    0.133
   -0.056,   -0.036,    0.098
   -0.047,   -0.054,    0.045
   -0.039,   -0.068,   -0.011
   -0.033,   -0.078,   -0.062
   -0.027,   -0.082,   -0.105
   -0.021,   -0.080,   -0.146
   -0.017,   -0.071,   -0.187
   -0.017,   -0.060,   -0.223
   -0.017,   -0.050,   -0.247
   -0.015,   -0.042,   -0.250
   -0.011,   -0.033,   -0.225
   -0.005,   -0.023,   -0.168
    0.000,   -0.011,   -0.090
    0.003,   -0.001,   -0.006
    0.002,    0.008,    0.064
   -0.001,    0.019,    0.110
   -0.006,    0.030,    0.127
   -0.013,    0.039,    0.119
   -0.022,    0.042,    0.089
   -0.034,    0.038,    0.048
   -0.046,    0.026,    0.002
   -0.057,    0.011,   -0.040
   -0.064,   -0.004,   -0.076
   -0.069,   -0.015,   -0.110
   -0.069,   -0.023,   -0.141
   -0.064,   -0.030,   -0.170
   -0.055,   -0.033,   -0.192
   -0.048,   -0.027,   -0.200
   -0.047,   -0.008,   -0.190
   -0.055,    0.023,   -0.161
   -0.068,    0.058,   -0.116
   -0.078,    0.086,   -0.060
   -0.081,    0.104,   -0.001
   -0.073,    0.110,    0.046
   -0.056,    0.106,    0.073
   -0.037,    0.092,    0.077
   -0.021,    0.070,    0.066
   -0.016,    0.043,    0.051
   -0.018,    0.019,    0.035
   -0.022,    0.000,    0.016
   -0.023,   -0.009,   -0.008
   -0.019,   -0.011,   -0.031
   -0.012,   -0.009,   -0.046
   -0.003,   -0.006,   -0.044
    0.002,   -0.007,   -0.023
    0.004,   -0.014,    0.013
    0.000,   -0.024,    0.051
   -0.008,   -0.033,    0.080
   -0.022,   -0.036,    0.094
   -0.039,   -0.030,    0.095
   -0.058,   -0.015,    0.094
   -0.073,    0.003,    0.098
   -0.083,    0.020,    0.111
   -0.085,    0.031,    0.129
   -0.081,    0.037,    0.147
   -0.070,    0.036,    0.160
   -0.051,    0.028,    0.169
   -0.026,    0.015,    0.172
   -0.001,   -0.001,    0.162
    0.017,   -0.018,    0.133
    0.021,   -0.032,    0.080
    0.012,   -0.040,    0.013
   -0.008,   -0.043,   -0.056
   -0.028,   -0.044,   -0.116
   -0.040,   -0.047,   -0.161
   -0.040,   -0.051,   -0.196
   -0.030,   -0.056,   -0.226
   -0.019,   -0.057,   -0.255
   -0.011,   -0.050,   -0.279
   -0.010,   -0.034,   -0.289
   -0.012,   -0.011,   -0.281
   -0.011,    0.017,   -0.260
   -0.007,    0.048,   -0.238
    0.001,    0.080,   -0.218
    0.010,    0.104,   -0.200
    0.019,    0.111,   -0.176
    0.027,    0.101,   -0.143
    0.032,    0.079,   -0.112
    0.027,    0.053,   -0.092
    0.008,    0.031,   -0.089
   -0.026,    0.014,   -0.093
   -0.063,    0.001,   -0.091
   -0.095,   -0.009,   -0.072
