SITE CODE= ŽµŒË’¬–k“VŠÔŠÚ
LAT=  40.7895
LON= 141.0647
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 40
NS, EW, UD
    0.010,    0.004,    0.022
    0.015,    0.009,    0.027
    0.019,    0.013,    0.035
    0.021,    0.016,    0.046
    0.022,    0.019,    0.056
    0.020,    0.021,    0.057
    0.015,    0.023,    0.049
    0.007,    0.023,    0.035
   -0.005,    0.019,    0.021
   -0.017,    0.012,    0.013
   -0.024,    0.003,    0.012
   -0.025,   -0.005,    0.018
   -0.020,   -0.010,    0.026
   -0.015,   -0.012,    0.033
   -0.015,   -0.015,    0.032
   -0.019,   -0.019,    0.025
   -0.024,   -0.021,    0.012
   -0.027,   -0.020,   -0.003
   -0.029,   -0.013,   -0.019
   -0.029,   -0.005,   -0.032
   -0.027,    0.002,   -0.040
   -0.021,    0.005,   -0.041
   -0.012,    0.005,   -0.037
   -0.003,    0.004,   -0.034
    0.004,    0.004,   -0.031
    0.006,    0.005,   -0.025
    0.006,    0.005,   -0.011
    0.009,    0.005,    0.010
    0.015,    0.004,    0.034
    0.025,    0.002,    0.054
    0.034,   -0.003,    0.066
    0.041,   -0.008,    0.069
    0.042,   -0.010,    0.064
    0.041,   -0.008,    0.051
    0.035,   -0.005,    0.033
    0.028,   -0.003,    0.015
    0.021,   -0.001,   -0.000
    0.016,    0.004,   -0.016
    0.007,    0.009,   -0.037
   -0.008,    0.012,   -0.065
   -0.026,    0.009,   -0.092
   -0.043,    0.003,   -0.107
   -0.053,   -0.003,   -0.109
   -0.055,   -0.009,   -0.099
   -0.053,   -0.017,   -0.083
   -0.047,   -0.028,   -0.066
   -0.040,   -0.040,   -0.053
   -0.032,   -0.048,   -0.047
   -0.021,   -0.046,   -0.041
   -0.007,   -0.032,   -0.023
    0.013,   -0.008,    0.012
    0.037,    0.017,    0.055
    0.054,    0.035,    0.086
    0.058,    0.038,    0.092
    0.045,    0.031,    0.075
    0.022,    0.021,    0.050
   -0.001,    0.015,    0.032
   -0.015,    0.015,    0.028
   -0.017,    0.018,    0.034
   -0.009,    0.021,    0.043
   -0.001,    0.020,    0.047
    0.003,    0.016,    0.043
    0.001,    0.012,    0.037
   -0.004,    0.012,    0.033
   -0.009,    0.016,    0.036
   -0.014,    0.017,    0.041
   -0.016,    0.011,    0.048
   -0.011,   -0.001,    0.060
    0.003,   -0.014,    0.079
    0.023,   -0.021,    0.098
    0.041,   -0.017,    0.106
    0.050,   -0.007,    0.099
    0.048,    0.006,    0.082
    0.040,    0.017,    0.065
    0.032,    0.024,    0.050
    0.027,    0.026,    0.033
