SITE CODE= ê[âYí¨í∑åcïΩ
LAT=  40.5955
LON= 140.0035
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 40
NS, EW, UD
   -0.009,    0.004,    0.008
   -0.009,    0.003,    0.009
   -0.007,    0.002,    0.010
   -0.007,    0.001,    0.012
   -0.006,    0.000,    0.014
   -0.005,   -0.002,    0.016
   -0.004,   -0.004,    0.018
   -0.002,   -0.006,    0.019
    0.000,   -0.008,    0.016
    0.003,   -0.009,    0.010
    0.005,   -0.008,    0.001
    0.005,   -0.005,   -0.009
    0.006,   -0.002,   -0.020
    0.007,   -0.001,   -0.028
    0.008,    0.000,   -0.034
    0.008,    0.001,   -0.037
    0.008,    0.005,   -0.037
    0.006,    0.010,   -0.033
    0.005,    0.014,   -0.027
    0.003,    0.016,   -0.021
    0.000,    0.016,   -0.012
   -0.001,    0.012,   -0.002
   -0.003,    0.007,    0.010
   -0.004,   -0.000,    0.024
   -0.003,   -0.006,    0.036
   -0.001,   -0.010,    0.045
    0.003,   -0.011,    0.049
    0.008,   -0.012,    0.049
    0.013,   -0.015,    0.045
    0.016,   -0.020,    0.038
    0.017,   -0.023,    0.031
    0.015,   -0.024,    0.024
    0.012,   -0.020,    0.015
    0.009,   -0.013,    0.005
    0.006,   -0.006,   -0.006
    0.002,   -0.000,   -0.014
   -0.001,    0.003,   -0.018
   -0.006,    0.005,   -0.018
   -0.010,    0.004,   -0.016
   -0.014,    0.004,   -0.013
   -0.015,    0.005,   -0.009
   -0.011,    0.005,   -0.003
   -0.003,    0.001,    0.005
    0.007,   -0.005,    0.014
    0.014,   -0.012,    0.018
    0.018,   -0.015,    0.017
    0.019,   -0.014,    0.011
    0.019,   -0.012,    0.003
    0.020,   -0.012,   -0.006
    0.023,   -0.013,   -0.013
    0.026,   -0.012,   -0.017
    0.026,   -0.005,   -0.018
    0.023,    0.005,   -0.016
    0.019,    0.015,   -0.010
    0.016,    0.021,   -0.005
    0.012,    0.024,    0.001
    0.007,    0.025,    0.009
    0.000,    0.023,    0.017
   -0.007,    0.020,    0.026
   -0.012,    0.015,    0.031
   -0.015,    0.010,    0.030
   -0.017,    0.007,    0.022
   -0.018,    0.003,    0.011
   -0.016,    0.001,   -0.002
   -0.010,   -0.002,   -0.013
   -0.001,   -0.004,   -0.021
    0.007,   -0.003,   -0.027
    0.014,   -0.001,   -0.031
    0.018,    0.001,   -0.033
    0.022,    0.002,   -0.033
    0.025,    0.003,   -0.033
    0.026,    0.005,   -0.032
    0.022,    0.003,   -0.030
    0.014,    0.000,   -0.023
    0.005,   -0.003,   -0.016
   -0.005,   -0.003,   -0.009
   -0.014,   -0.000,   -0.006
   -0.022,    0.003,   -0.009
   -0.027,    0.005,   -0.016
   -0.028,    0.004,   -0.027
   -0.025,    0.002,   -0.035
   -0.019,    0.001,   -0.033
   -0.010,    0.003,   -0.024
   -0.001,    0.007,   -0.010
    0.008,    0.012,    0.004
    0.017,    0.015,    0.015
    0.022,    0.014,    0.021
    0.023,    0.010,    0.024
    0.020,    0.004,    0.027
    0.015,   -0.005,    0.031
    0.008,   -0.013,    0.039
   -0.000,   -0.017,    0.045
   -0.009,   -0.015,    0.045
   -0.018,   -0.009,    0.038
   -0.024,   -0.005,    0.026
   -0.027,   -0.005,    0.011
   -0.028,   -0.006,   -0.003
   -0.028,   -0.005,   -0.014
   -0.030,   -0.002,   -0.017
   -0.031,    0.001,   -0.016
   -0.028,    0.007,   -0.015
   -0.021,    0.016,   -0.021
   -0.010,    0.026,   -0.030
    0.003,    0.031,   -0.035
    0.014,    0.029,   -0.035
    0.022,    0.023,   -0.031
    0.025,    0.020,   -0.027
    0.023,    0.020,   -0.025
    0.020,    0.021,   -0.026
    0.020,    0.018,   -0.030
    0.023,    0.010,   -0.037
    0.025,    0.001,   -0.045
    0.018,   -0.008,   -0.052
    0.003,   -0.012,   -0.053
   -0.017,   -0.010,   -0.048
   -0.031,   -0.005,   -0.033
   -0.034,   -0.001,   -0.012
   -0.028,    0.000,    0.010
   -0.021,    0.003,    0.027
   -0.018,    0.011,    0.036
   -0.021,    0.021,    0.039
   -0.026,    0.026,    0.037
   -0.028,    0.021,    0.032
   -0.025,    0.009,    0.027
   -0.018,   -0.002,    0.029
   -0.005,   -0.010,    0.036
    0.010,   -0.014,    0.042
    0.022,   -0.015,    0.039
    0.027,   -0.010,    0.024
    0.021,   -0.005,   -0.002
    0.007,   -0.002,   -0.035
   -0.009,   -0.007,   -0.063
   -0.018,   -0.016,   -0.078
   -0.018,   -0.023,   -0.074
   -0.013,   -0.024,   -0.059
   -0.009,   -0.018,   -0.041
   -0.009,   -0.003,   -0.031
   -0.014,    0.011,   -0.029
   -0.021,    0.016,   -0.031
   -0.027,    0.008,   -0.035
   -0.033,   -0.011,   -0.037
   -0.035,   -0.030,   -0.034
   -0.032,   -0.040,   -0.031
   -0.024,   -0.036,   -0.033
   -0.010,   -0.020,   -0.041
    0.004,   -0.001,   -0.051
    0.012,    0.013,   -0.052
    0.014,    0.019,   -0.035
    0.007,    0.016,   -0.003
   -0.003,    0.013,    0.036
   -0.015,    0.015,    0.075
   -0.023,    0.021,    0.107
   -0.025,    0.028,    0.129
   -0.022,    0.026,    0.145
   -0.019,    0.016,    0.157
   -0.021,   -0.000,    0.164
   -0.030,   -0.015,    0.164
   -0.043,   -0.027,    0.152
   -0.051,   -0.037,    0.126
   -0.048,   -0.044,    0.087
   -0.034,   -0.047,    0.039
   -0.020,   -0.047,   -0.012
   -0.010,   -0.042,   -0.058
