SITE CODE= èHìcî¸ãΩí¨òZãΩìåç™
LAT=  39.3992
LON= 140.6301
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 10
NS, EW, UD
   -0.000,    0.000,   -0.001
   -0.000,   -0.000,   -0.000
   -0.000,   -0.000,    0.001
   -0.000,    0.000,    0.001
    0.000,    0.001,    0.001
    0.000,    0.001,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
   -0.000,    0.000,    0.000
   -0.001,   -0.000,    0.000
   -0.001,   -0.000,    0.000
   -0.000,   -0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.001
   -0.000,    0.000,    0.001
   -0.000,    0.000,    0.000
   -0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.001,    0.001,    0.000
    0.001,    0.001,    0.000
    0.000,    0.001,    0.000
   -0.001,    0.001,    0.001
   -0.001,    0.001,    0.001
   -0.000,    0.000,    0.001
    0.000,   -0.000,   -0.000
    0.000,   -0.000,   -0.001
   -0.000,   -0.000,   -0.000
   -0.001,    0.000,    0.001
   -0.001,    0.000,    0.001
    0.000,   -0.000,   -0.000
    0.001,    0.000,   -0.000
    0.001,    0.001,    0.000
    0.001,    0.001,    0.001
    0.000,    0.000,    0.001
   -0.000,    0.000,    0.001
   -0.000,    0.000,   -0.000
    0.000,    0.001,   -0.001
    0.001,    0.001,   -0.001
    0.000,    0.001,   -0.000
   -0.001,   -0.000,    0.000
   -0.001,   -0.000,    0.000
   -0.001,    0.000,    0.000
   -0.000,    0.001,    0.000
    0.000,    0.001,    0.000
    0.000,    0.000,   -0.000
    0.001,    0.000,   -0.000
    0.000,    0.001,   -0.000
   -0.000,    0.001,    0.001
   -0.000,    0.001,    0.002
   -0.000,    0.001,    0.002
    0.000,    0.001,    0.001
    0.000,    0.001,    0.001
   -0.000,    0.001,    0.001
   -0.000,    0.000,    0.000
   -0.000,    0.001,    0.000
    0.000,    0.001,    0.000
    0.000,    0.001,    0.001
    0.000,    0.001,    0.001
    0.000,    0.000,    0.001
    0.001,    0.000,   -0.000
    0.001,    0.001,   -0.001
    0.001,    0.001,   -0.001
    0.001,    0.000,   -0.000
    0.000,    0.000,    0.000
    0.000,    0.001,    0.000
    0.000,    0.001,    0.000
    0.001,    0.001,    0.000
    0.001,    0.001,    0.000
    0.001,    0.001,    0.000
    0.000,    0.001,    0.000
   -0.000,    0.001,   -0.000
    0.000,    0.001,   -0.001
    0.000,    0.001,   -0.000
    0.001,    0.001,    0.001
    0.001,    0.001,    0.001
    0.000,    0.001,    0.000
   -0.000,    0.001,   -0.000
   -0.000,    0.001,    0.000
    0.000,    0.001,    0.001
    0.001,    0.001,    0.000
    0.001,    0.001,   -0.001
    0.001,    0.000,   -0.001
    0.001,    0.001,   -0.001
    0.000,    0.001,    0.000
   -0.000,    0.001,    0.000
   -0.001,    0.000,    0.000
   -0.001,    0.000,    0.000
   -0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.001
   -0.001,    0.000,    0.000
   -0.001,    0.000,    0.000
   -0.001,    0.001,   -0.000
   -0.000,    0.001,   -0.000
    0.000,    0.000,   -0.000
    0.000,   -0.000,   -0.000
    0.000,   -0.000,    0.000
   -0.000,    0.000,    0.000
   -0.001,    0.000,    0.001
   -0.001,    0.000,    0.000
    0.000,   -0.000,    0.000
    0.000,   -0.000,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,   -0.000
    0.000,   -0.000,   -0.001
    0.000,    0.000,   -0.000
    0.000,    0.000,    0.001
   -0.000,    0.001,    0.001
    0.000,    0.001,    0.001
    0.001,    0.000,    0.001
    0.000,   -0.000,    0.001
   -0.000,   -0.000,    0.001
   -0.000,    0.000,    0.001
    0.000,    0.000,    0.000
    0.001,    0.000,   -0.000
    0.000,    0.000,   -0.000
    0.000,   -0.000,    0.000
   -0.000,   -0.000,    0.001
   -0.000,   -0.000,    0.000
   -0.001,    0.000,    0.000
   -0.001,    0.000,    0.000
   -0.001,   -0.000,    0.001
   -0.000,   -0.001,    0.001
    0.000,   -0.001,    0.001
   -0.000,   -0.000,   -0.000
   -0.000,    0.000,   -0.000
   -0.000,    0.000,   -0.000
    0.000,   -0.000,    0.000
    0.000,   -0.000,    0.001
    0.000,   -0.001,    0.000
    0.000,   -0.001,    0.000
   -0.000,   -0.001,    0.000
   -0.000,   -0.000,   -0.000
   -0.000,    0.000,   -0.000
   -0.000,    0.001,    0.000
   -0.000,    0.000,    0.001
   -0.000,   -0.000,    0.000
   -0.000,   -0.000,   -0.000
   -0.000,   -0.000,   -0.000
   -0.000,    0.000,    0.001
   -0.000,   -0.000,    0.002
   -0.000,   -0.000,    0.001
   -0.001,    0.000,   -0.000
   -0.001,    0.000,   -0.000
   -0.001,    0.000,    0.001
   -0.001,   -0.000,    0.001
   -0.001,   -0.001,   -0.000
   -0.000,   -0.001,   -0.001
   -0.001,   -0.001,   -0.000
   -0.001,   -0.000,    0.001
   -0.001,   -0.000,    0.001
   -0.001,    0.000,   -0.000
   -0.000,    0.001,   -0.000
   -0.001,    0.001,   -0.000
   -0.001,    0.000,   -0.001
   -0.001,   -0.000,   -0.001
   -0.000,    0.000,   -0.000
   -0.000,    0.001,    0.000
   -0.000,    0.001,    0.000
   -0.000,    0.000,   -0.001
   -0.001,   -0.001,   -0.001
   -0.001,   -0.000,   -0.000
   -0.001,    0.001,    0.001
   -0.001,    0.001,    0.001
   -0.001,    0.001,    0.000
   -0.001,    0.000,    0.000
   -0.001,   -0.000,    0.000
   -0.001,   -0.000,    0.000
   -0.001,   -0.000,   -0.000
   -0.001,    0.000,   -0.000
   -0.001,    0.000,   -0.000
   -0.000,    0.000,   -0.000
    0.000,   -0.000,   -0.000
   -0.000,   -0.001,   -0.000
   -0.001,   -0.000,   -0.000
   -0.001,    0.000,    0.000
   -0.001,    0.000,    0.001
   -0.000,    0.000,    0.001
   -0.000,   -0.000,    0.000
   -0.000,    0.000,    0.000
   -0.000,    0.001,    0.001
   -0.001,    0.002,    0.000
   -0.001,    0.001,   -0.000
   -0.000,    0.000,   -0.001
    0.000,   -0.000,   -0.000
    0.000,   -0.000,    0.000
   -0.000,    0.000,    0.000
   -0.001,    0.000,    0.000
   -0.000,    0.000,    0.000
    0.000,    0.001,    0.001
    0.000,    0.001,    0.000
   -0.000,    0.001,   -0.000
   -0.001,    0.001,   -0.000
   -0.001,    0.000,    0.000
   -0.000,    0.000,    0.001
    0.000,    0.000,    0.000
    0.001,    0.001,   -0.001
    0.000,    0.001,   -0.001
   -0.000,    0.001,   -0.001
   -0.000,    0.001,   -0.000
   -0.000,    0.001,    0.000
   -0.000,    0.001,    0.000
   -0.000,    0.000,    0.000
   -0.000,   -0.000,    0.001
   -0.000,    0.000,    0.001
   -0.000,    0.001,    0.001
    0.000,    0.001,    0.000
    0.000,    0.001,    0.000
    0.001,   -0.000,   -0.000
    0.001,   -0.000,   -0.000
    0.001,    0.000,    0.000
    0.001,    0.001,    0.001
    0.000,    0.001,    0.001
   -0.000,    0.000,    0.001
