SITE CODE= ç≤ìnésëäêÏã‡éR
LAT=  38.0401
LON= 138.2577
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 40
NS, EW, UD
   -0.104,   -0.113,    0.583
   -0.125,   -0.151,    0.634
   -0.131,   -0.192,    0.639
   -0.123,   -0.226,    0.588
   -0.102,   -0.248,    0.489
   -0.075,   -0.258,    0.371
   -0.048,   -0.262,    0.265
   -0.025,   -0.267,    0.189
   -0.004,   -0.279,    0.139
    0.018,   -0.298,    0.100
    0.044,   -0.318,    0.054
    0.073,   -0.328,   -0.012
    0.096,   -0.323,   -0.095
    0.111,   -0.301,   -0.179
    0.116,   -0.272,   -0.248
    0.116,   -0.243,   -0.285
    0.112,   -0.216,   -0.287
    0.109,   -0.188,   -0.253
    0.107,   -0.158,   -0.192
    0.111,   -0.124,   -0.118
    0.121,   -0.085,   -0.052
    0.135,   -0.040,   -0.013
    0.149,    0.009,   -0.009
    0.156,    0.056,   -0.036
    0.150,    0.094,   -0.084
    0.130,    0.119,   -0.135
    0.102,    0.131,   -0.176
    0.074,    0.134,   -0.199
    0.054,    0.128,   -0.206
    0.042,    0.117,   -0.198
    0.031,    0.101,   -0.177
    0.016,    0.085,   -0.142
   -0.006,    0.075,   -0.094
   -0.034,    0.072,   -0.041
   -0.065,    0.073,    0.010
   -0.096,    0.072,    0.064
   -0.116,    0.070,    0.125
   -0.117,    0.066,    0.187
   -0.094,    0.058,    0.229
   -0.048,    0.040,    0.233
    0.012,    0.007,    0.195
    0.076,   -0.033,    0.129
    0.132,   -0.069,    0.051
    0.167,   -0.093,   -0.021
    0.176,   -0.102,   -0.075
    0.162,   -0.098,   -0.106
    0.139,   -0.082,   -0.116
    0.117,   -0.056,   -0.113
    0.100,   -0.027,   -0.101
    0.083,   -0.002,   -0.081
    0.061,    0.021,   -0.054
    0.032,    0.046,   -0.026
   -0.004,    0.070,   -0.006
   -0.044,    0.085,    0.008
   -0.083,    0.082,    0.022
   -0.111,    0.061,    0.040
   -0.120,    0.025,    0.055
   -0.109,   -0.022,    0.064
   -0.078,   -0.077,    0.071
   -0.032,   -0.132,    0.081
    0.026,   -0.180,    0.093
    0.089,   -0.219,    0.102
    0.145,   -0.249,    0.110
    0.180,   -0.272,    0.126
    0.188,   -0.285,    0.161
    0.177,   -0.285,    0.208
    0.158,   -0.277,    0.252
    0.146,   -0.265,    0.281
    0.145,   -0.251,    0.295
    0.154,   -0.234,    0.301
    0.170,   -0.217,    0.306
    0.183,   -0.204,    0.312
    0.189,   -0.198,    0.312
    0.185,   -0.194,    0.297
    0.177,   -0.187,    0.257
    0.166,   -0.175,    0.194
    0.152,   -0.158,    0.122
    0.132,   -0.137,    0.056
    0.106,   -0.107,    0.002
    0.077,   -0.067,   -0.042
    0.050,   -0.026,   -0.074
    0.026,    0.008,   -0.083
    0.006,    0.033,   -0.060
   -0.012,    0.047,   -0.011
   -0.031,    0.052,    0.047
   -0.054,    0.047,    0.100
   -0.078,    0.037,    0.136
   -0.097,    0.031,    0.147
   -0.110,    0.031,    0.132
   -0.118,    0.031,    0.099
   -0.125,    0.027,    0.061
   -0.132,    0.021,    0.031
   -0.138,    0.017,    0.014
   -0.144,    0.014,    0.009
   -0.150,    0.007,    0.016
   -0.157,   -0.008,    0.028
   -0.162,   -0.022,    0.035
   -0.159,   -0.030,    0.023
   -0.147,   -0.031,   -0.010
   -0.131,   -0.029,   -0.055
   -0.116,   -0.025,   -0.096
   -0.103,   -0.015,   -0.120
   -0.089,    0.004,   -0.113
   -0.071,    0.023,   -0.071
   -0.049,    0.029,    0.001
   -0.027,    0.016,    0.090
   -0.006,   -0.013,    0.175
    0.013,   -0.049,    0.237
    0.030,   -0.083,    0.265
    0.042,   -0.110,    0.252
    0.047,   -0.127,    0.204
    0.048,   -0.135,    0.140
    0.047,   -0.139,    0.082
    0.047,   -0.139,    0.043
    0.050,   -0.136,    0.028
    0.055,   -0.126,    0.023
    0.058,   -0.107,    0.017
    0.054,   -0.078,   -0.001
    0.036,   -0.037,   -0.029
    0.004,    0.016,   -0.063
   -0.037,    0.074,   -0.101
   -0.080,    0.128,   -0.147
   -0.119,    0.172,   -0.201
   -0.152,    0.206,   -0.253
   -0.174,    0.229,   -0.293
   -0.182,    0.241,   -0.310
   -0.170,    0.236,   -0.306
   -0.138,    0.212,   -0.290
   -0.090,    0.178,   -0.276
   -0.034,    0.150,   -0.278
    0.018,    0.139,   -0.298
    0.060,    0.148,   -0.323
    0.087,    0.166,   -0.320
    0.105,    0.181,   -0.263
    0.122,    0.184,   -0.151
    0.147,    0.168,   -0.009
    0.175,    0.133,    0.125
    0.196,    0.086,    0.231
    0.195,    0.040,    0.306
    0.164,    0.006,    0.359
    0.106,   -0.016,    0.402
    0.034,   -0.035,    0.447
   -0.034,   -0.059,    0.499
   -0.080,   -0.091,    0.543
   -0.095,   -0.131,    0.555
   -0.085,   -0.176,    0.514
   -0.065,   -0.221,    0.421
   -0.050,   -0.259,    0.305
   -0.048,   -0.281,    0.195
   -0.059,   -0.284,    0.108
   -0.076,   -0.273,    0.043
   -0.094,   -0.257,   -0.006
   -0.104,   -0.241,   -0.045
   -0.099,   -0.222,   -0.078
   -0.077,   -0.198,   -0.110
   -0.041,   -0.171,   -0.142
    0.002,   -0.145,   -0.167
    0.041,   -0.121,   -0.171
    0.071,   -0.100,   -0.146
    0.091,   -0.083,   -0.090
    0.108,   -0.076,   -0.019
    0.123,   -0.081,    0.049
    0.135,   -0.088,    0.092
    0.141,   -0.083,    0.096
    0.140,   -0.059,    0.061
    0.130,   -0.021,   -0.002
    0.111,    0.015,   -0.066
    0.081,    0.042,   -0.109
    0.039,    0.059,   -0.119
   -0.009,    0.063,   -0.104
   -0.057,    0.051,   -0.078
   -0.101,    0.020,   -0.057
   -0.138,   -0.018,   -0.050
   -0.167,   -0.047,   -0.062
   -0.186,   -0.056,   -0.090
   -0.194,   -0.047,   -0.127
   -0.190,   -0.029,   -0.159
   -0.173,   -0.006,   -0.171
   -0.141,    0.019,   -0.159
   -0.097,    0.042,   -0.126
   -0.044,    0.058,   -0.075
    0.009,    0.063,   -0.005
    0.057,    0.053,    0.083
    0.098,    0.025,    0.180
    0.133,   -0.020,    0.268
    0.164,   -0.078,    0.318
    0.194,   -0.140,    0.312
    0.223,   -0.191,    0.251
    0.247,   -0.223,    0.154
    0.261,   -0.233,    0.049
    0.260,   -0.223,   -0.040
    0.242,   -0.200,   -0.095
    0.205,   -0.168,   -0.112
    0.148,   -0.128,   -0.094
    0.078,   -0.081,   -0.055
   -0.000,   -0.028,   -0.006
   -0.085,    0.025,    0.045
   -0.172,    0.076,    0.098
   -0.253,    0.123,    0.152
   -0.314,    0.160,    0.201
   -0.343,    0.175,    0.237
   -0.334,    0.154,    0.250
   -0.289,    0.099,    0.233
   -0.215,    0.023,    0.185
   -0.123,   -0.052,    0.112
   -0.027,   -0.114,    0.025
    0.057,   -0.158,   -0.051
    0.126,   -0.191,   -0.096
    0.185,   -0.220,   -0.100
    0.240,   -0.249,   -0.074
    0.292,   -0.272,   -0.041
    0.332,   -0.281,   -0.024
    0.352,   -0.269,   -0.030
    0.349,   -0.231,   -0.055
    0.321,   -0.173,   -0.080
    0.268,   -0.103,   -0.085
    0.199,   -0.034,   -0.054
    0.126,    0.022,    0.007
    0.063,    0.060,    0.070
    0.019,    0.079,    0.107
   -0.004,    0.083,    0.110
   -0.009,    0.077,    0.088
    0.001,    0.068,    0.058
    0.021,    0.058,    0.030
    0.042,    0.042,    0.009
    0.060,    0.018,   -0.006
    0.070,   -0.008,   -0.018
    0.069,   -0.027,   -0.034
    0.056,   -0.029,   -0.055
    0.032,   -0.018,   -0.071
    0.002,    0.001,   -0.069
   -0.028,    0.025,   -0.043
   -0.050,    0.055,    0.003
   -0.058,    0.083,    0.057
   -0.052,    0.099,    0.104
   -0.034,    0.098,    0.130
   -0.010,    0.087,    0.125
    0.015,    0.079,    0.087
    0.040,    0.082,    0.029
    0.062,    0.093,   -0.034
    0.078,    0.106,   -0.086
    0.088,    0.116,   -0.120
    0.092,    0.120,   -0.137
    0.091,    0.120,   -0.149
    0.079,    0.122,   -0.166
    0.052,    0.128,   -0.191
    0.010,    0.140,   -0.212
   -0.044,    0.155,   -0.214
   -0.100,    0.164,   -0.184
   -0.154,    0.162,   -0.119
   -0.198,    0.146,   -0.025
   -0.228,    0.119,    0.078
   -0.238,    0.088,    0.159
   -0.228,    0.060,    0.188
   -0.206,    0.040,    0.155
   -0.181,    0.027,    0.075
   -0.165,    0.020,   -0.023
