SITE CODE= ãõè¿ésâ∫ê‹óß
LAT=  37.2086
LON= 139.0566
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 10
NS, EW, UD
    0.000,    0.002,    0.000
    0.000,    0.000,    0.002
   -0.000,   -0.000,    0.002
   -0.000,   -0.001,    0.000
    0.000,   -0.000,   -0.001
    0.001,    0.001,   -0.001
    0.000,    0.001,    0.000
   -0.001,    0.000,    0.002
   -0.002,   -0.000,    0.001
   -0.001,    0.000,   -0.000
    0.000,    0.001,   -0.002
    0.002,    0.002,   -0.001
    0.001,    0.000,    0.000
    0.000,   -0.001,    0.001
   -0.001,   -0.001,    0.000
   -0.000,   -0.000,   -0.000
    0.000,    0.001,   -0.000
    0.000,    0.001,    0.000
   -0.000,    0.000,    0.001
   -0.000,   -0.001,    0.001
    0.000,   -0.000,    0.000
    0.000,    0.000,   -0.000
    0.000,    0.001,   -0.000
    0.000,    0.000,    0.000
   -0.001,    0.000,    0.001
   -0.002,    0.000,    0.001
   -0.000,    0.001,    0.000
    0.000,    0.002,    0.000
    0.000,    0.001,    0.000
    0.000,    0.000,    0.000
   -0.000,    0.000,    0.000
   -0.000,    0.000,    0.000
    0.000,    0.000,   -0.001
    0.000,    0.000,   -0.001
    0.000,    0.000,   -0.000
   -0.000,   -0.000,    0.000
   -0.001,    0.000,    0.000
   -0.000,    0.000,    0.000
    0.000,    0.000,   -0.000
    0.000,    0.000,    0.000
    0.000,   -0.000,    0.001
    0.000,    0.000,    0.002
    0.000,    0.001,    0.000
    0.000,    0.001,   -0.000
    0.000,    0.000,   -0.001
   -0.000,   -0.002,   -0.001
   -0.000,   -0.002,   -0.000
   -0.000,   -0.000,    0.000
    0.000,    0.001,    0.000
    0.001,    0.002,    0.001
    0.000,    0.000,    0.001
   -0.000,   -0.002,    0.000
   -0.001,   -0.002,    0.000
   -0.000,    0.000,   -0.000
    0.000,    0.002,    0.000
    0.002,    0.002,    0.001
    0.002,    0.000,    0.002
    0.000,   -0.002,    0.002
   -0.000,   -0.002,    0.000
   -0.001,    0.000,   -0.000
    0.000,    0.001,    0.000
    0.001,    0.001,    0.001
    0.001,   -0.000,    0.002
    0.000,   -0.001,    0.001
   -0.000,    0.000,    0.000
   -0.000,    0.002,    0.000
    0.000,    0.001,    0.000
    0.000,   -0.000,    0.001
    0.000,   -0.002,    0.001
    0.000,   -0.002,    0.000
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.001,    0.000,    0.001
    0.001,   -0.000,    0.002
    0.000,    0.000,    0.002
   -0.000,    0.001,    0.002
   -0.001,    0.000,    0.001
   -0.001,   -0.001,    0.000
   -0.000,   -0.002,    0.000
    0.000,   -0.001,    0.000
    0.000,    0.001,    0.000
    0.000,    0.002,    0.000
   -0.000,    0.001,    0.000
   -0.000,   -0.000,    0.000
    0.000,   -0.000,    0.000
    0.001,    0.000,    0.000
    0.002,    0.000,    0.000
    0.001,    0.000,    0.001
   -0.000,    0.000,    0.001
   -0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.002,    0.001,    0.000
    0.002,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,   -0.000,    0.000
    0.000,   -0.000,    0.000
    0.000,   -0.000,    0.001
    0.000,    0.000,    0.001
    0.000,    0.000,    0.000
    0.000,    0.000,    0.000
    0.000,   -0.000,   -0.000
    0.001,   -0.000,    0.000
    0.000,    0.000,    0.000
   -0.000,    0.001,    0.000
   -0.001,    0.001,    0.000
   -0.000,    0.000,    0.000
    0.000,   -0.000,    0.000
    0.000,   -0.001,    0.000
