SITE CODE= ñqîVå¥ésãSèóêVìc
LAT=  34.6777
LON= 138.1830
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 10
NS, EW, UD
   -0.063,   -0.302,   -0.107
   -0.063,   -0.339,   -0.090
   -0.082,   -0.367,   -0.064
   -0.117,   -0.389,   -0.026
   -0.157,   -0.407,    0.025
   -0.188,   -0.422,    0.094
   -0.198,   -0.431,    0.174
   -0.184,   -0.437,    0.257
   -0.151,   -0.442,    0.329
   -0.105,   -0.446,    0.379
   -0.056,   -0.443,    0.396
   -0.013,   -0.423,    0.378
    0.013,   -0.381,    0.330
    0.015,   -0.322,    0.264
   -0.008,   -0.254,    0.192
   -0.050,   -0.187,    0.128
   -0.101,   -0.127,    0.080
   -0.149,   -0.079,    0.053
   -0.188,   -0.039,    0.048
   -0.214,   -0.004,    0.060
   -0.225,    0.029,    0.083
   -0.218,    0.057,    0.110
   -0.193,    0.074,    0.133
   -0.151,    0.082,    0.140
   -0.100,    0.082,    0.122
   -0.048,    0.079,    0.072
   -0.006,    0.072,   -0.012
    0.015,    0.059,   -0.123
    0.014,    0.041,   -0.242
   -0.000,    0.021,   -0.348
   -0.017,    0.008,   -0.419
   -0.028,    0.009,   -0.446
   -0.032,    0.023,   -0.432
   -0.033,    0.045,   -0.392
   -0.033,    0.066,   -0.341
   -0.030,    0.083,   -0.289
   -0.017,    0.097,   -0.241
    0.016,    0.110,   -0.199
    0.072,    0.123,   -0.156
    0.147,    0.137,   -0.107
    0.222,    0.150,   -0.047
    0.276,    0.158,    0.021
    0.294,    0.161,    0.093
    0.274,    0.158,    0.160
    0.222,    0.153,    0.218
    0.149,    0.145,    0.260
    0.067,    0.136,    0.284
   -0.019,    0.125,    0.295
   -0.106,    0.117,    0.301
   -0.195,    0.114,    0.301
   -0.281,    0.120,    0.292
   -0.361,    0.137,    0.270
   -0.431,    0.164,    0.234
   -0.488,    0.194,    0.188
   -0.528,    0.218,    0.138
   -0.546,    0.227,    0.085
   -0.537,    0.217,    0.037
   -0.497,    0.183,    0.003
   -0.435,    0.131,   -0.007
   -0.365,    0.073,    0.010
   -0.300,    0.024,    0.051
   -0.245,   -0.010,    0.106
   -0.198,   -0.034,    0.165
   -0.154,   -0.054,    0.211
   -0.111,   -0.075,    0.230
   -0.069,   -0.102,    0.212
   -0.031,   -0.137,    0.160
   -0.001,   -0.176,    0.087
    0.018,   -0.207,    0.015
    0.027,   -0.218,   -0.043
    0.032,   -0.201,   -0.076
    0.041,   -0.153,   -0.088
    0.060,   -0.078,   -0.086
    0.085,    0.009,   -0.084
    0.109,    0.086,   -0.090
    0.121,    0.132,   -0.101
    0.121,    0.138,   -0.110
    0.118,    0.113,   -0.108
    0.124,    0.074,   -0.092
    0.145,    0.038,   -0.062
    0.178,    0.016,   -0.022
    0.212,    0.012,    0.021
    0.238,    0.022,    0.057
    0.258,    0.038,    0.080
    0.272,    0.053,    0.084
    0.283,    0.063,    0.079
    0.287,    0.068,    0.078
    0.277,    0.068,    0.090
    0.247,    0.066,    0.118
