SITE CODE= —§ŽR’¬‹g•ô
LAT=  36.6082
LON= 137.3304
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 00
NS, EW, UD
   -0.160,   -0.046,    0.404
   -0.160,   -0.076,    0.340
   -0.156,   -0.099,    0.270
   -0.149,   -0.117,    0.197
   -0.143,   -0.132,    0.127
   -0.137,   -0.141,    0.065
   -0.130,   -0.145,    0.016
   -0.121,   -0.137,   -0.021
   -0.107,   -0.118,   -0.047
   -0.085,   -0.083,   -0.061
   -0.051,   -0.038,   -0.066
   -0.003,    0.013,   -0.067
    0.055,    0.060,   -0.065
    0.123,    0.096,   -0.055
    0.192,    0.125,   -0.035
    0.258,    0.151,   -0.001
    0.313,    0.179,    0.044
    0.352,    0.213,    0.099
    0.372,    0.250,    0.160
    0.369,    0.284,    0.224
    0.346,    0.313,    0.282
    0.307,    0.331,    0.326
    0.256,    0.337,    0.353
    0.195,    0.336,    0.364
    0.124,    0.329,    0.366
    0.048,    0.318,    0.364
   -0.024,    0.301,    0.364
   -0.085,    0.273,    0.369
   -0.128,    0.232,    0.382
   -0.151,    0.178,    0.396
   -0.149,    0.109,    0.413
   -0.122,    0.030,    0.426
   -0.072,   -0.053,    0.432
   -0.009,   -0.134,    0.427
    0.057,   -0.202,    0.408
    0.116,   -0.252,    0.380
    0.160,   -0.281,    0.346
    0.183,   -0.287,    0.308
    0.184,   -0.277,    0.262
    0.169,   -0.252,    0.203
    0.140,   -0.217,    0.131
    0.102,   -0.172,    0.046
    0.053,   -0.117,   -0.047
    0.001,   -0.052,   -0.142
   -0.048,    0.022,   -0.230
   -0.094,    0.098,   -0.307
   -0.132,    0.165,   -0.368
   -0.162,    0.209,   -0.416
   -0.182,    0.225,   -0.450
   -0.193,    0.210,   -0.469
   -0.194,    0.173,   -0.474
   -0.186,    0.117,   -0.465
   -0.174,    0.054,   -0.442
   -0.163,   -0.004,   -0.409
   -0.155,   -0.051,   -0.369
   -0.151,   -0.085,   -0.328
   -0.151,   -0.108,   -0.287
   -0.154,   -0.123,   -0.243
   -0.156,   -0.130,   -0.192
   -0.157,   -0.129,   -0.139
   -0.157,   -0.121,   -0.087
   -0.156,   -0.103,   -0.043
   -0.156,   -0.076,   -0.009
   -0.156,   -0.038,    0.016
   -0.155,    0.005,    0.035
   -0.151,    0.046,    0.046
   -0.141,    0.078,    0.053
   -0.127,    0.094,    0.053
   -0.110,    0.093,    0.045
   -0.098,    0.073,    0.022
   -0.094,    0.037,   -0.012
   -0.100,   -0.010,   -0.056
   -0.109,   -0.066,   -0.104
   -0.117,   -0.132,   -0.150
   -0.119,   -0.205,   -0.191
   -0.115,   -0.275,   -0.223
   -0.112,   -0.328,   -0.245
   -0.110,   -0.354,   -0.253
   -0.110,   -0.348,   -0.251
   -0.108,   -0.310,   -0.241
   -0.102,   -0.246,   -0.227
   -0.089,   -0.162,   -0.212
   -0.069,   -0.065,   -0.201
   -0.045,    0.033,   -0.199
   -0.020,    0.126,   -0.207
    0.001,    0.212,   -0.222
    0.014,    0.284,   -0.242
    0.017,    0.338,   -0.261
    0.009,    0.373,   -0.276
   -0.007,    0.387,   -0.284
   -0.030,    0.382,   -0.282
   -0.059,    0.361,   -0.272
   -0.091,    0.327,   -0.256
   -0.128,    0.285,   -0.239
   -0.164,    0.239,   -0.221
   -0.196,    0.190,   -0.201
   -0.225,    0.143,   -0.177
   -0.249,    0.095,   -0.146
   -0.270,    0.046,   -0.109
   -0.286,   -0.008,   -0.065
   -0.296,   -0.068,   -0.017
   -0.299,   -0.131,    0.032
   -0.295,   -0.191,    0.076
   -0.281,   -0.243,    0.112
   -0.258,   -0.280,    0.136
   -0.224,   -0.298,    0.149
   -0.183,   -0.294,    0.151
   -0.136,   -0.268,    0.147
   -0.085,   -0.222,    0.137
   -0.030,   -0.163,    0.121
    0.026,   -0.103,    0.096
    0.080,   -0.051,    0.065
    0.129,   -0.008,    0.029
    0.169,    0.024,   -0.009
    0.196,    0.048,   -0.049
    0.210,    0.065,   -0.089
    0.209,    0.077,   -0.130
    0.194,    0.086,   -0.168
    0.167,    0.092,   -0.200
    0.131,    0.091,   -0.223
    0.094,    0.080,   -0.241
    0.063,    0.065,   -0.258
    0.039,    0.048,   -0.274
    0.022,    0.033,   -0.285
    0.011,    0.023,   -0.286
    0.012,    0.015,   -0.274
    0.028,    0.004,   -0.253
    0.063,   -0.014,   -0.223
    0.112,   -0.042,   -0.184
    0.169,   -0.074,   -0.132
    0.230,   -0.102,   -0.068
    0.291,   -0.113,    0.009
    0.347,   -0.102,    0.096
    0.391,   -0.069,    0.189
    0.420,   -0.023,    0.276
    0.428,    0.028,    0.346
    0.417,    0.076,    0.395
    0.386,    0.115,    0.420
    0.337,    0.147,    0.423
    0.273,    0.169,    0.415
    0.199,    0.184,    0.401
    0.120,    0.190,    0.385
    0.044,    0.189,    0.368
   -0.021,    0.179,    0.346
   -0.068,    0.158,    0.315
   -0.093,    0.128,    0.274
   -0.096,    0.089,    0.223
   -0.080,    0.042,    0.165
   -0.053,   -0.001,    0.102
   -0.021,   -0.034,    0.038
    0.012,   -0.053,   -0.025
    0.041,   -0.060,   -0.086
    0.066,   -0.058,   -0.142
    0.087,   -0.051,   -0.190
    0.106,   -0.037,   -0.229
    0.118,   -0.021,   -0.255
    0.126,   -0.001,   -0.272
    0.128,    0.024,   -0.278
    0.126,    0.058,   -0.277
    0.123,    0.102,   -0.270
    0.121,    0.157,   -0.263
    0.123,    0.216,   -0.258
    0.133,    0.270,   -0.250
    0.148,    0.311,   -0.236
    0.161,    0.336,   -0.214
    0.166,    0.344,   -0.184
    0.159,    0.343,   -0.150
    0.145,    0.335,   -0.115
    0.128,    0.317,   -0.081
    0.112,    0.283,   -0.048
    0.099,    0.226,   -0.014
    0.088,    0.143,    0.022
    0.078,    0.036,    0.063
    0.071,   -0.081,    0.105
    0.070,   -0.192,    0.150
    0.074,   -0.280,    0.193
    0.085,   -0.336,    0.226
    0.100,   -0.358,    0.239
    0.117,   -0.343,    0.235
    0.131,   -0.287,    0.218
    0.138,   -0.197,    0.191
    0.136,   -0.082,    0.156
    0.125,    0.042,    0.115
    0.104,    0.162,    0.067
    0.075,    0.266,    0.014
    0.040,    0.340,   -0.043
    0.001,    0.377,   -0.104
   -0.035,    0.378,   -0.165
   -0.072,    0.350,   -0.221
   -0.104,    0.303,   -0.271
   -0.130,    0.246,   -0.311
   -0.147,    0.184,   -0.342
   -0.154,    0.116,   -0.365
   -0.147,    0.043,   -0.383
   -0.128,   -0.035,   -0.396
   -0.096,   -0.117,   -0.403
   -0.060,   -0.194,   -0.402
   -0.027,   -0.255,   -0.389
   -0.006,   -0.294,   -0.360
    0.002,   -0.308,   -0.316
   -0.000,   -0.303,   -0.261
   -0.010,   -0.286,   -0.199
   -0.020,   -0.264,   -0.137
   -0.029,   -0.241,   -0.075
   -0.035,   -0.216,   -0.012
   -0.035,   -0.190,    0.050
   -0.031,   -0.162,    0.106
   -0.022,   -0.137,    0.151
   -0.009,   -0.116,    0.184
    0.007,   -0.100,    0.204
    0.024,   -0.087,    0.215
    0.043,   -0.078,    0.218
    0.059,   -0.076,    0.216
    0.067,   -0.077,    0.214
    0.063,   -0.079,    0.216
    0.041,   -0.076,    0.223
    0.005,   -0.067,    0.228
   -0.038,   -0.051,    0.226
   -0.078,   -0.030,    0.214
   -0.105,   -0.005,    0.194
   -0.112,    0.022,    0.168
   -0.100,    0.053,    0.137
   -0.074,    0.086,    0.106
   -0.044,    0.120,    0.078
   -0.014,    0.148,    0.051
    0.015,    0.163,    0.025
    0.044,    0.159,   -0.002
    0.074,    0.139,   -0.027
    0.099,    0.108,   -0.042
    0.118,    0.077,   -0.041
    0.130,    0.048,   -0.021
    0.135,    0.019,    0.019
    0.135,   -0.012,    0.076
    0.131,   -0.045,    0.145
    0.124,   -0.076,    0.220
    0.115,   -0.103,    0.294
    0.106,   -0.121,    0.362
    0.095,   -0.130,    0.419
    0.081,   -0.128,    0.461
    0.065,   -0.116,    0.483
    0.052,   -0.097,    0.486
    0.045,   -0.075,    0.470
    0.052,   -0.054,    0.440
    0.074,   -0.037,    0.401
    0.111,   -0.027,    0.364
    0.161,   -0.025,    0.332
    0.216,   -0.029,    0.310
    0.268,   -0.037,    0.294
    0.306,   -0.045,    0.281
    0.326,   -0.053,    0.267
    0.323,   -0.065,    0.248
    0.297,   -0.085,    0.225
    0.249,   -0.119,    0.198
    0.183,   -0.161,    0.170
    0.100,   -0.208,    0.142
    0.007,   -0.247,    0.113
   -0.092,   -0.271,    0.082
   -0.186,   -0.276,    0.046
   -0.268,   -0.258,    0.006
   -0.330,   -0.218,   -0.036
   -0.370,   -0.159,   -0.080
   -0.390,   -0.086,   -0.123
   -0.389,   -0.006,   -0.160
   -0.370,    0.077,   -0.190
   -0.335,    0.162,   -0.211
   -0.285,    0.248,   -0.226
   -0.222,    0.332,   -0.234
   -0.149,    0.408,   -0.238
   -0.069,    0.469,   -0.241
    0.015,    0.515,   -0.246
    0.096,    0.544,   -0.257
    0.169,    0.560,   -0.274
    0.226,    0.561,   -0.295
    0.261,    0.547,   -0.317
    0.268,    0.511,   -0.338
    0.249,    0.449,   -0.355
    0.210,    0.362,   -0.366
    0.156,    0.257,   -0.370
    0.099,    0.144,   -0.367
    0.045,    0.032,   -0.358
    0.003,   -0.070,   -0.347
   -0.021,   -0.156,   -0.330
   -0.031,   -0.218,   -0.308
   -0.031,   -0.251,   -0.280
   -0.027,   -0.259,   -0.246
   -0.020,   -0.246,   -0.205
   -0.013,   -0.220,   -0.155
   -0.005,   -0.184,   -0.096
    0.004,   -0.141,   -0.035
    0.015,   -0.093,    0.024
    0.027,   -0.045,    0.075
    0.036,   -0.003,    0.117
    0.041,    0.029,    0.146
    0.036,    0.046,    0.161
    0.018,    0.052,    0.161
   -0.012,    0.045,    0.148
   -0.050,    0.027,    0.125
   -0.089,   -0.001,    0.094
   -0.122,   -0.037,    0.060
   -0.144,   -0.076,    0.026
   -0.152,   -0.110,   -0.007
   -0.149,   -0.144,   -0.040
   -0.137,   -0.178,   -0.075
   -0.123,   -0.212,   -0.110
   -0.112,   -0.244,   -0.146
   -0.110,   -0.265,   -0.177
   -0.119,   -0.268,   -0.203
   -0.139,   -0.255,   -0.225
   -0.167,   -0.232,   -0.244
   -0.194,   -0.206,   -0.258
   -0.215,   -0.179,   -0.264
   -0.225,   -0.149,   -0.261
   -0.223,   -0.114,   -0.247
   -0.209,   -0.078,   -0.227
   -0.182,   -0.042,   -0.205
   -0.142,   -0.007,   -0.180
   -0.093,    0.027,   -0.158
   -0.039,    0.061,   -0.134
    0.012,    0.093,   -0.108
    0.057,    0.123,   -0.073
    0.091,    0.147,   -0.029
    0.113,    0.158,    0.021
    0.120,    0.151,    0.073
    0.111,    0.126,    0.125
    0.086,    0.091,    0.181
    0.047,    0.057,    0.242
   -0.001,    0.030,    0.313
   -0.053,    0.005,    0.384
   -0.101,   -0.022,    0.448
   -0.144,   -0.053,    0.494
   -0.181,   -0.092,    0.520
   -0.214,   -0.139,    0.529
   -0.235,   -0.192,    0.525
   -0.245,   -0.244,    0.510
   -0.242,   -0.289,    0.483
   -0.231,   -0.320,    0.446
   -0.212,   -0.340,    0.401
   -0.190,   -0.350,    0.349
   -0.171,   -0.348,    0.295
   -0.161,   -0.332,    0.245
   -0.164,   -0.302,    0.202
   -0.179,   -0.261,    0.167
   -0.201,   -0.218,    0.139
   -0.227,   -0.178,    0.110
   -0.256,   -0.142,    0.079
   -0.284,   -0.108,    0.039
   -0.309,   -0.075,   -0.010
   -0.327,   -0.046,   -0.062
   -0.333,   -0.020,   -0.104
   -0.327,    0.008,   -0.130
   -0.306,    0.040,   -0.132
   -0.273,    0.074,   -0.114
   -0.229,    0.106,   -0.082
   -0.177,    0.128,   -0.040
   -0.117,    0.145,    0.009
   -0.054,    0.157,    0.061
    0.001,    0.174,    0.114
    0.041,    0.196,    0.164
    0.057,    0.226,    0.207
    0.046,    0.265,    0.235
    0.009,    0.310,    0.242
   -0.046,    0.353,    0.229
   -0.109,    0.384,    0.202
   -0.166,    0.396,    0.169
   -0.208,    0.384,    0.143
   -0.234,    0.348,    0.132
   -0.244,    0.292,    0.134
   -0.240,    0.223,    0.141
   -0.224,    0.145,    0.144
   -0.194,    0.061,    0.134
   -0.155,   -0.029,    0.112
   -0.114,   -0.120,    0.083
   -0.078,   -0.204,    0.050
   -0.055,   -0.270,    0.020
   -0.047,   -0.314,   -0.007
   -0.051,   -0.336,   -0.033
   -0.061,   -0.347,   -0.063
   -0.065,   -0.353,   -0.105
   -0.055,   -0.356,   -0.155
   -0.028,   -0.354,   -0.212
    0.011,   -0.344,   -0.266
    0.058,   -0.321,   -0.312
    0.107,   -0.287,   -0.344
    0.152,   -0.240,   -0.362
    0.190,   -0.186,   -0.365
    0.218,   -0.128,   -0.360
    0.239,   -0.073,   -0.348
    0.255,   -0.026,   -0.331
    0.270,    0.010,   -0.307
    0.280,    0.040,   -0.277
    0.284,    0.065,   -0.242
    0.280,    0.089,   -0.202
    0.269,    0.106,   -0.160
    0.256,    0.113,   -0.121
    0.244,    0.102,   -0.082
    0.235,    0.071,   -0.042
    0.226,    0.023,    0.001
    0.209,   -0.033,    0.047
    0.178,   -0.086,    0.094
    0.131,   -0.128,    0.144
    0.071,   -0.153,    0.197
    0.007,   -0.164,    0.253
   -0.050,   -0.168,    0.306
   -0.090,   -0.171,    0.348
   -0.106,   -0.182,    0.373
   -0.100,   -0.199,    0.380
   -0.074,   -0.220,    0.372
   -0.035,   -0.238,    0.355
    0.015,   -0.252,    0.338
    0.072,   -0.265,    0.324
    0.134,   -0.276,    0.312
    0.198,   -0.287,    0.297
    0.262,   -0.294,    0.269
    0.324,   -0.296,    0.223
    0.381,   -0.290,    0.159
    0.430,   -0.270,    0.082
    0.467,   -0.237,    0.000
    0.485,   -0.190,   -0.075
    0.481,   -0.134,   -0.141
    0.455,   -0.073,   -0.197
    0.415,   -0.019,   -0.247
    0.371,    0.017,   -0.298
    0.331,    0.031,   -0.353
    0.302,    0.026,   -0.410
    0.285,    0.010,   -0.461
    0.278,   -0.006,   -0.501
    0.279,   -0.017,   -0.523
    0.282,   -0.022,   -0.529
    0.283,   -0.024,   -0.521
    0.281,   -0.030,   -0.507
    0.274,   -0.035,   -0.492
    0.259,   -0.037,   -0.478
    0.231,   -0.029,   -0.462
    0.186,   -0.010,   -0.440
    0.123,    0.018,   -0.407
    0.041,    0.049,   -0.366
   -0.052,    0.074,   -0.320
   -0.147,    0.088,   -0.274
   -0.234,    0.082,   -0.231
   -0.304,    0.054,   -0.194
   -0.355,    0.003,   -0.161
   -0.385,   -0.070,   -0.130
   -0.395,   -0.162,   -0.102
   -0.393,   -0.260,   -0.073
   -0.385,   -0.346,   -0.048
   -0.375,   -0.404,   -0.025
   -0.356,   -0.429,   -0.007
   -0.323,   -0.425,    0.007
   -0.273,   -0.401,    0.017
   -0.212,   -0.363,    0.022
   -0.148,   -0.313,    0.022
   -0.093,   -0.251,    0.021
   -0.054,   -0.180,    0.023
   -0.033,   -0.104,    0.035
   -0.028,   -0.028,    0.056
   -0.031,    0.039,    0.085
   -0.038,    0.089,    0.114
   -0.047,    0.122,    0.136
   -0.063,    0.136,    0.151
   -0.091,    0.137,    0.158
   -0.129,    0.131,    0.163
   -0.169,    0.123,    0.167
   -0.205,    0.116,    0.168
   -0.227,    0.111,    0.163
