SITE CODE= îíêÏí¨çïêÏ
LAT=  35.6039
LON= 137.3547
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 40
NS, EW, UD
   -0.005,   -0.167,    0.196
    0.010,   -0.221,    0.233
   -0.007,   -0.276,    0.246
   -0.042,   -0.307,    0.225
   -0.063,   -0.315,    0.181
   -0.053,   -0.317,    0.138
   -0.028,   -0.327,    0.105
   -0.017,   -0.337,    0.079
   -0.027,   -0.327,    0.057
   -0.039,   -0.293,    0.039
   -0.042,   -0.250,    0.022
   -0.039,   -0.208,    0.000
   -0.041,   -0.169,   -0.030
   -0.048,   -0.135,   -0.060
   -0.054,   -0.114,   -0.077
   -0.065,   -0.110,   -0.075
   -0.094,   -0.113,   -0.065
   -0.140,   -0.103,   -0.060
   -0.189,   -0.074,   -0.062
   -0.232,   -0.043,   -0.057
   -0.269,   -0.031,   -0.037
   -0.303,   -0.045,   -0.012
   -0.328,   -0.065,    0.000
   -0.328,   -0.072,   -0.007
   -0.298,   -0.053,   -0.029
   -0.251,   -0.019,   -0.052
   -0.209,    0.005,   -0.059
   -0.178,    0.009,   -0.049
   -0.151,    0.000,   -0.027
   -0.119,   -0.001,   -0.005
   -0.080,    0.010,    0.007
   -0.040,    0.027,    0.004
   -0.008,    0.049,   -0.014
    0.009,    0.084,   -0.041
    0.007,    0.134,   -0.062
   -0.007,    0.180,   -0.063
   -0.022,    0.203,   -0.049
   -0.029,    0.205,   -0.034
   -0.028,    0.206,   -0.031
   -0.019,    0.215,   -0.034
   -0.007,    0.214,   -0.026
    0.000,    0.187,    0.006
   -0.003,    0.139,    0.057
   -0.018,    0.090,    0.110
   -0.033,    0.053,    0.149
   -0.038,    0.031,    0.169
   -0.030,    0.022,    0.178
   -0.021,    0.028,    0.185
   -0.017,    0.046,    0.188
   -0.014,    0.070,    0.181
   -0.005,    0.096,    0.158
    0.011,    0.119,    0.125
    0.032,    0.136,    0.089
    0.056,    0.145,    0.056
    0.079,    0.148,    0.030
    0.097,    0.139,    0.017
    0.102,    0.108,    0.019
    0.089,    0.049,    0.032
    0.064,   -0.021,    0.043
    0.036,   -0.077,    0.050
    0.010,   -0.105,    0.060
   -0.016,   -0.111,    0.086
   -0.042,   -0.108,    0.128
   -0.061,   -0.107,    0.171
   -0.059,   -0.108,    0.201
   -0.034,   -0.108,    0.215
    0.004,   -0.105,    0.218
    0.039,   -0.098,    0.214
    0.063,   -0.082,    0.206
    0.076,   -0.053,    0.195
    0.081,   -0.014,    0.182
    0.076,    0.028,    0.170
    0.064,    0.062,    0.159
    0.052,    0.080,    0.147
    0.043,    0.082,    0.135
    0.039,    0.074,    0.125
    0.034,    0.069,    0.116
    0.023,    0.069,    0.104
   -0.000,    0.072,    0.084
   -0.036,    0.076,    0.053
   -0.078,    0.078,    0.022
   -0.115,    0.076,    0.005
   -0.138,    0.066,    0.010
   -0.145,    0.052,    0.024
   -0.140,    0.041,    0.030
   -0.125,    0.038,    0.021
   -0.106,    0.035,    0.009
   -0.096,    0.021,   -0.001
   -0.099,   -0.010,   -0.018
   -0.112,   -0.045,   -0.057
   -0.123,   -0.074,   -0.118
   -0.126,   -0.096,   -0.179
   -0.130,   -0.121,   -0.225
   -0.145,   -0.155,   -0.259
   -0.164,   -0.188,   -0.284
   -0.173,   -0.207,   -0.303
   -0.167,   -0.207,   -0.306
   -0.158,   -0.185,   -0.294
   -0.160,   -0.142,   -0.283
   -0.172,   -0.082,   -0.285
   -0.183,   -0.019,   -0.299
   -0.189,    0.023,   -0.313
   -0.203,    0.034,   -0.319
   -0.234,    0.028,   -0.321
   -0.279,    0.024,   -0.319
   -0.318,    0.020,   -0.309
   -0.333,    0.002,   -0.287
   -0.322,   -0.034,   -0.262
   -0.299,   -0.073,   -0.240
   -0.279,   -0.095,   -0.221
   -0.268,   -0.096,   -0.197
   -0.260,   -0.094,   -0.162
   -0.248,   -0.106,   -0.128
   -0.223,   -0.129,   -0.111
   -0.187,   -0.146,   -0.121
   -0.146,   -0.143,   -0.149
   -0.107,   -0.124,   -0.171
   -0.077,   -0.108,   -0.173
   -0.059,   -0.108,   -0.156
   -0.050,   -0.116,   -0.134
   -0.047,   -0.113,   -0.110
   -0.046,   -0.089,   -0.079
