SITE CODE= è¨ä}å¥ë∫ïÉìáéOì˙åééR
LAT=  27.0958
LON= 142.1846
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 12 00
NS, EW, UD
    0.047,   -0.008,    0.026
    0.047,   -0.008,    0.026
    0.038,   -0.083,    0.118
    0.001,   -0.119,    0.119
   -0.039,   -0.146,    0.082
   -0.072,   -0.154,    0.019
   -0.088,   -0.137,   -0.050
   -0.084,   -0.098,   -0.099
   -0.060,   -0.050,   -0.107
   -0.029,   -0.003,   -0.070
   -0.000,    0.032,   -0.003
    0.018,    0.049,    0.062
    0.019,    0.046,    0.096
   -0.002,    0.023,    0.088
   -0.040,   -0.005,    0.049
   -0.081,   -0.024,   -0.000
   -0.103,   -0.027,   -0.037
   -0.093,   -0.017,   -0.049
   -0.057,   -0.004,   -0.044
   -0.012,    0.003,   -0.035
    0.021,    0.001,   -0.031
    0.031,   -0.011,   -0.026
    0.024,   -0.031,   -0.013
    0.010,   -0.050,    0.010
   -0.000,   -0.058,    0.038
   -0.011,   -0.047,    0.063
   -0.028,   -0.020,    0.073
   -0.050,    0.013,    0.065
   -0.067,    0.038,    0.038
   -0.068,    0.047,   -0.003
   -0.051,    0.038,   -0.043
   -0.021,    0.018,   -0.070
    0.011,   -0.007,   -0.074
    0.035,   -0.029,   -0.054
    0.042,   -0.047,   -0.018
    0.029,   -0.064,    0.022
   -0.002,   -0.079,    0.051
   -0.043,   -0.093,    0.062
   -0.080,   -0.103,    0.053
   -0.098,   -0.102,    0.031
   -0.088,   -0.086,    0.004
   -0.050,   -0.055,   -0.022
    0.009,   -0.017,   -0.039
    0.073,    0.018,   -0.041
    0.126,    0.039,   -0.021
    0.147,    0.044,    0.018
    0.128,    0.036,    0.063
    0.074,    0.022,    0.091
   -0.000,    0.009,    0.083
   -0.075,    0.001,    0.040
   -0.133,    0.007,   -0.019
   -0.155,    0.023,   -0.067
   -0.133,    0.042,   -0.083
   -0.070,    0.055,   -0.060
    0.012,    0.062,   -0.011
    0.087,    0.067,    0.041
    0.134,    0.068,    0.070
    0.144,    0.056,    0.060
    0.119,    0.031,    0.011
    0.074,    0.006,   -0.061
    0.028,    0.000,   -0.120
   -0.000,    0.015,   -0.136
   -0.002,    0.036,   -0.103
    0.015,    0.046,   -0.045
    0.035,    0.040,    0.001
    0.043,    0.020,    0.016
    0.035,   -0.010,    0.008
    0.019,   -0.042,   -0.008
    0.006,   -0.059,   -0.020
    0.008,   -0.047,   -0.020
    0.021,   -0.002,   -0.002
    0.028,    0.064,    0.028
    0.015,    0.130,    0.056
   -0.020,    0.177,    0.062
   -0.064,    0.193,    0.042
   -0.102,    0.172,    0.015
   -0.123,    0.126,   -0.002
   -0.119,    0.072,   -0.006
   -0.090,    0.024,   -0.002
   -0.045,   -0.011,    0.005
   -0.008,   -0.037,    0.011
    0.005,   -0.058,    0.017
   -0.010,   -0.074,    0.019
   -0.036,   -0.086,    0.018
   -0.059,   -0.093,    0.019
   -0.069,   -0.092,    0.020
   -0.062,   -0.081,    0.019
   -0.036,   -0.061,    0.012
    0.002,   -0.039,   -0.003
    0.036,   -0.026,   -0.024
