SITE CODE= è¨ä}å¥ë∫ïÍìá
LAT=  26.6329
LON= 142.1757
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 12 10
NS, EW, UD
   -0.012,    0.024,   -0.005
    0.012,    0.035,   -0.010
    0.045,    0.033,   -0.007
    0.073,    0.030,    0.003
    0.080,    0.030,    0.010
    0.067,    0.032,    0.014
    0.053,    0.037,    0.026
    0.050,    0.053,    0.044
    0.057,    0.075,    0.053
    0.067,    0.085,    0.041
    0.076,    0.068,    0.022
    0.088,    0.031,    0.019
    0.104,   -0.007,    0.033
    0.111,   -0.032,    0.045
    0.103,   -0.038,    0.036
    0.086,   -0.027,    0.008
    0.075,   -0.010,   -0.022
    0.074,   -0.001,   -0.044
    0.073,   -0.005,   -0.055
    0.057,   -0.018,   -0.059
    0.024,   -0.032,   -0.055
   -0.020,   -0.041,   -0.039
   -0.062,   -0.041,   -0.016
   -0.091,   -0.036,   -0.002
   -0.100,   -0.036,   -0.008
   -0.092,   -0.046,   -0.028
   -0.080,   -0.056,   -0.042
   -0.070,   -0.051,   -0.035
   -0.054,   -0.031,   -0.011
   -0.028,   -0.013,    0.023
    0.002,   -0.009,    0.057
    0.019,   -0.016,    0.089
    0.017,   -0.025,    0.115
    0.005,   -0.036,    0.132
   -0.006,   -0.052,    0.132
   -0.016,   -0.067,    0.106
   -0.028,   -0.071,    0.059
   -0.039,   -0.062,    0.011
   -0.038,   -0.054,   -0.016
   -0.023,   -0.059,   -0.020
   -0.004,   -0.071,   -0.017
    0.005,   -0.075,   -0.025
    0.004,   -0.060,   -0.041
   -0.002,   -0.028,   -0.044
   -0.001,    0.011,   -0.030
    0.016,    0.043,   -0.010
    0.048,    0.059,   -0.002
    0.082,    0.061,   -0.007
    0.099,    0.057,   -0.015
    0.095,    0.056,   -0.021
    0.082,    0.057,   -0.031
    0.064,    0.057,   -0.045
    0.033,    0.058,   -0.054
   -0.013,    0.060,   -0.051
   -0.053,    0.057,   -0.033
   -0.063,    0.043,   -0.005
   -0.048,    0.022,    0.025
   -0.037,   -0.001,    0.053
   -0.050,   -0.021,    0.076
   -0.077,   -0.033,    0.092
   -0.096,   -0.038,    0.099
   -0.096,   -0.040,    0.092
   -0.085,   -0.044,    0.071
   -0.071,   -0.050,    0.044
   -0.052,   -0.048,    0.017
   -0.028,   -0.034,   -0.003
   -0.005,   -0.014,   -0.016
    0.015,   -0.000,   -0.024
    0.030,   -0.001,   -0.034
    0.042,   -0.009,   -0.050
    0.043,   -0.012,   -0.066
    0.030,    0.001,   -0.070
    0.014,    0.026,   -0.059
    0.010,    0.053,   -0.043
    0.021,    0.070,   -0.045
    0.031,    0.074,   -0.070
    0.025,    0.068,   -0.100
    0.008,    0.052,   -0.104
   -0.010,    0.026,   -0.070
   -0.027,    0.002,   -0.010
   -0.046,   -0.001,    0.045
   -0.059,    0.019,    0.076
   -0.048,    0.044,    0.079
   -0.005,    0.050,    0.061
    0.052,    0.035,    0.037
    0.093,    0.012,    0.017
    0.100,    0.001,    0.008
    0.078,    0.007,    0.012
    0.041,    0.028,    0.020
    0.006,    0.050,    0.022
   -0.016,    0.059,    0.018
   -0.022,    0.055,    0.015
   -0.016,    0.051,    0.022
   -0.001,    0.057,    0.033
    0.013,    0.063,    0.034
    0.014,    0.054,    0.019
   -0.008,    0.042,   -0.001
   -0.049,    0.050,   -0.007
   -0.087,    0.078,    0.005
   -0.103,    0.100,    0.017
   -0.098,    0.097,    0.015
   -0.088,    0.082,   -0.006
   -0.076,    0.072,   -0.037
   -0.048,    0.060,   -0.070
    0.007,    0.028,   -0.087
    0.072,   -0.024,   -0.077
    0.120,   -0.074,   -0.046
    0.139,   -0.107,   -0.019
    0.135,   -0.127,   -0.014
    0.120,   -0.141,   -0.024
    0.100,   -0.151,   -0.033
    0.080,   -0.153,   -0.034
    0.067,   -0.147,   -0.037
    0.058,   -0.134,   -0.048
    0.041,   -0.110,   -0.056
    0.007,   -0.080,   -0.052
   -0.032,   -0.054,   -0.029
   -0.059,   -0.038,    0.010
   -0.069,   -0.026,    0.054
   -0.072,   -0.000,    0.084
   -0.075,    0.040,    0.082
   -0.074,    0.080,    0.052
   -0.062,    0.103,    0.016
