SITE CODE= âYâÕí¨ñÏê[
LAT=  42.2826
LON= 142.7498
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 00
NS, EW, UD
    0.006,    0.004,   -0.046
    0.017,   -0.003,   -0.097
   -0.003,   -0.001,   -0.075
   -0.031,    0.006,   -0.020
   -0.039,    0.011,    0.019
   -0.031,    0.012,    0.023
   -0.021,    0.015,    0.011
   -0.012,    0.022,    0.005
    0.001,    0.030,    0.007
    0.018,    0.030,   -0.001
    0.029,    0.016,   -0.027
    0.028,   -0.005,   -0.043
    0.016,   -0.016,   -0.018
    0.001,   -0.009,    0.039
   -0.010,    0.007,    0.076
   -0.009,    0.016,    0.058
    0.012,    0.008,    0.005
    0.038,   -0.007,   -0.022
    0.044,   -0.018,    0.004
    0.025,   -0.017,    0.061
   -0.002,   -0.010,    0.103
   -0.016,   -0.003,    0.107
   -0.012,    0.001,    0.082
   -0.002,   -0.001,    0.053
    0.009,   -0.005,    0.041
    0.018,   -0.007,    0.044
    0.021,   -0.007,    0.039
    0.015,   -0.008,    0.010
    0.004,   -0.013,   -0.032
   -0.004,   -0.016,   -0.052
   -0.009,   -0.013,   -0.031
   -0.009,   -0.001,    0.001
    0.002,    0.012,   -0.005
    0.028,    0.017,   -0.063
    0.052,    0.013,   -0.130
    0.053,    0.009,   -0.151
    0.023,    0.013,   -0.105
   -0.015,    0.024,   -0.032
   -0.034,    0.032,    0.016
   -0.029,    0.031,    0.018
   -0.014,    0.024,    0.000
   -0.009,    0.018,    0.002
   -0.017,    0.014,    0.026
   -0.028,    0.010,    0.043
   -0.029,   -0.001,    0.033
   -0.012,   -0.019,    0.018
    0.010,   -0.033,    0.031
    0.016,   -0.036,    0.071
    0.003,   -0.028,    0.098
   -0.006,   -0.020,    0.074
    0.004,   -0.012,    0.021
    0.024,   -0.001,   -0.009
    0.028,    0.012,    0.009
    0.006,    0.020,    0.050
   -0.016,    0.019,    0.061
   -0.016,    0.012,    0.025
    0.002,    0.005,   -0.041
    0.017,   -0.005,   -0.103
    0.020,   -0.022,   -0.137
    0.016,   -0.033,   -0.127
    0.009,   -0.018,   -0.068
   -0.003,    0.021,    0.015
   -0.020,    0.055,    0.064
   -0.022,    0.055,    0.028
