SITE CODE= êVìáë∫ëÂå¥
LAT=  34.3560
LON= 139.2741
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 40
NS, EW, UD
    0.015,    0.019,   -0.010
    0.016,    0.022,   -0.016
    0.015,    0.020,   -0.017
    0.010,    0.013,   -0.015
    0.002,    0.006,   -0.011
   -0.007,   -0.001,   -0.007
   -0.016,   -0.007,   -0.003
   -0.021,   -0.011,    0.003
   -0.020,   -0.013,    0.007
   -0.014,   -0.010,    0.006
   -0.007,   -0.003,    0.000
   -0.003,    0.006,   -0.004
   -0.002,    0.013,   -0.005
   -0.004,    0.016,   -0.002
   -0.006,    0.015,    0.000
   -0.005,    0.012,   -0.001
   -0.000,    0.009,   -0.003
    0.007,    0.004,   -0.004
    0.015,   -0.002,   -0.003
    0.021,   -0.010,   -0.002
    0.023,   -0.018,   -0.003
    0.022,   -0.023,   -0.007
    0.016,   -0.023,   -0.011
    0.005,   -0.021,   -0.012
   -0.005,   -0.018,   -0.010
   -0.010,   -0.013,   -0.008
   -0.010,   -0.003,   -0.008
   -0.009,    0.006,   -0.009
   -0.010,    0.008,   -0.008
   -0.013,   -0.001,   -0.001
   -0.012,   -0.013,    0.008
   -0.006,   -0.016,    0.016
    0.005,   -0.004,    0.018
    0.015,    0.017,    0.014
    0.019,    0.034,    0.006
    0.013,    0.038,   -0.003
    0.000,    0.029,   -0.010
   -0.014,    0.011,   -0.012
   -0.026,   -0.004,   -0.010
   -0.032,   -0.012,   -0.004
   -0.033,   -0.009,    0.001
   -0.026,    0.001,    0.004
   -0.013,    0.011,    0.005
    0.002,    0.015,    0.003
    0.013,    0.014,   -0.000
    0.014,    0.011,   -0.005
    0.010,    0.010,   -0.009
    0.006,    0.008,   -0.008
    0.009,    0.002,   -0.004
    0.014,   -0.007,    0.002
    0.016,   -0.016,    0.006
    0.011,   -0.021,    0.009
    0.004,   -0.020,    0.011
    0.001,   -0.017,    0.011
    0.002,   -0.012,    0.009
    0.004,   -0.005,    0.003
    0.005,    0.003,   -0.005
    0.005,    0.011,   -0.012
    0.005,    0.015,   -0.015
    0.004,    0.016,   -0.014
    0.002,    0.017,   -0.013
   -0.000,    0.016,   -0.013
   -0.001,    0.012,   -0.016
   -0.001,    0.003,   -0.015
   -0.003,   -0.007,   -0.010
   -0.008,   -0.013,   -0.002
   -0.014,   -0.013,    0.003
   -0.014,   -0.009,    0.003
   -0.010,   -0.004,    0.000
   -0.002,   -0.002,   -0.002
    0.004,   -0.004,   -0.003
    0.006,   -0.006,   -0.004
    0.007,   -0.007,   -0.004
    0.009,   -0.007,   -0.003
    0.011,   -0.006,   -0.004
    0.012,   -0.005,   -0.006
    0.011,   -0.005,   -0.010
    0.006,   -0.004,   -0.013
    0.000,   -0.002,   -0.012
   -0.004,   -0.001,   -0.008
   -0.005,   -0.002,   -0.004
