SITE CODE= âHñyí¨ìÏÇRè
LAT=  44.3633
LON= 141.7008
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 11 00
NS, EW, UD
    0.072,    0.127,    0.020
    0.064,    0.138,    0.013
    0.057,    0.146,    0.009
    0.053,    0.151,    0.009
    0.050,    0.155,    0.009
    0.050,    0.159,    0.006
    0.052,    0.162,    0.000
    0.053,    0.161,   -0.009
    0.050,    0.155,   -0.021
    0.044,    0.143,   -0.033
    0.036,    0.133,   -0.041
    0.029,    0.126,   -0.049
    0.024,    0.122,   -0.057
    0.021,    0.121,   -0.068
    0.018,    0.121,   -0.082
    0.012,    0.118,   -0.095
    0.000,    0.110,   -0.103
   -0.013,    0.096,   -0.109
   -0.026,    0.078,   -0.112
   -0.035,    0.060,   -0.116
   -0.040,    0.046,   -0.121
   -0.048,    0.034,   -0.125
   -0.060,    0.023,   -0.130
   -0.075,    0.010,   -0.134
   -0.085,   -0.004,   -0.135
   -0.089,   -0.016,   -0.133
   -0.089,   -0.022,   -0.128
   -0.096,   -0.023,   -0.123
   -0.108,   -0.024,   -0.119
   -0.120,   -0.027,   -0.114
   -0.123,   -0.032,   -0.109
   -0.117,   -0.034,   -0.101
   -0.107,   -0.033,   -0.092
   -0.098,   -0.028,   -0.085
   -0.092,   -0.023,   -0.080
   -0.087,   -0.018,   -0.076
   -0.083,   -0.011,   -0.070
   -0.081,    0.001,   -0.061
   -0.084,    0.020,   -0.049
   -0.092,    0.037,   -0.037
   -0.101,    0.052,   -0.028
   -0.108,    0.059,   -0.019
   -0.111,    0.060,   -0.011
   -0.105,    0.055,   -0.005
   -0.088,    0.048,   -0.000
   -0.066,    0.041,    0.002
   -0.044,    0.033,    0.004
   -0.032,    0.023,    0.004
   -0.029,    0.013,    0.001
   -0.030,    0.001,   -0.002
   -0.031,   -0.006,   -0.006
   -0.035,   -0.007,   -0.009
   -0.045,   -0.000,   -0.011
   -0.064,    0.009,   -0.011
   -0.084,    0.014,   -0.011
   -0.098,    0.016,   -0.009
   -0.105,    0.018,   -0.009
   -0.110,    0.025,   -0.013
   -0.120,    0.038,   -0.020
   -0.137,    0.055,   -0.025
   -0.157,    0.072,   -0.025
   -0.172,    0.087,   -0.020
   -0.183,    0.101,   -0.016
   -0.193,    0.114,   -0.019
   -0.204,    0.126,   -0.029
   -0.218,    0.135,   -0.041
   -0.231,    0.141,   -0.051
   -0.240,    0.146,   -0.058
   -0.242,    0.152,   -0.064
   -0.237,    0.161,   -0.071
   -0.228,    0.173,   -0.078
   -0.218,    0.186,   -0.082
   -0.210,    0.196,   -0.081
   -0.207,    0.199,   -0.078
   -0.202,    0.191,   -0.075
   -0.195,    0.178,   -0.075
   -0.184,    0.164,   -0.076
   -0.171,    0.152,   -0.073
   -0.162,    0.140,   -0.067
   -0.155,    0.127,   -0.059
   -0.145,    0.112,   -0.055
   -0.130,    0.102,   -0.057
   -0.114,    0.098,   -0.063
   -0.101,    0.099,   -0.067
   -0.095,    0.102,   -0.067
   -0.093,    0.103,   -0.064
   -0.090,    0.105,   -0.063
   -0.082,    0.113,   -0.067
   -0.072,    0.127,   -0.075
   -0.063,    0.145,   -0.082
   -0.062,    0.161,   -0.082
   -0.068,    0.169,   -0.078
   -0.079,    0.170,   -0.073
