SITE CODE= è¨íMésèüî[í¨
LAT=  43.1828
LON= 141.0170
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 10
NS, EW, UD
    0.312,   -0.266,    0.021
    0.357,   -0.216,    0.130
    0.352,   -0.109,    0.213
    0.301,   -0.032,    0.208
    0.233,   -0.052,    0.113
    0.188,   -0.155,   -0.003
    0.189,   -0.258,   -0.069
    0.230,   -0.276,   -0.070
    0.287,   -0.194,   -0.050
    0.334,   -0.062,   -0.050
    0.356,    0.041,   -0.069
    0.348,    0.080,   -0.071
    0.312,    0.070,   -0.038
    0.242,    0.058,    0.007
    0.144,    0.077,    0.021
    0.044,    0.127,   -0.019
   -0.021,    0.196,   -0.099
   -0.036,    0.277,   -0.184
   -0.030,    0.374,   -0.246
   -0.061,    0.481,   -0.275
   -0.156,    0.573,   -0.264
   -0.276,    0.619,   -0.218
   -0.336,    0.606,   -0.154
   -0.289,    0.554,   -0.109
   -0.175,    0.505,   -0.112
   -0.095,    0.489,   -0.154
   -0.116,    0.503,   -0.194
   -0.217,    0.515,   -0.189
   -0.320,    0.494,   -0.137
   -0.376,    0.446,   -0.079
   -0.403,    0.400,   -0.052
   -0.444,    0.374,   -0.050
   -0.506,    0.350,   -0.034
   -0.535,    0.294,    0.020
   -0.481,    0.198,    0.087
   -0.352,    0.100,    0.116
   -0.222,    0.045,    0.089
   -0.167,    0.042,    0.048
   -0.197,    0.060,    0.046
   -0.248,    0.064,    0.089
   -0.234,    0.046,    0.128
   -0.130,    0.024,    0.115
   -0.004,    0.001,    0.057
    0.041,   -0.036,    0.005
   -0.042,   -0.101,   -0.001
   -0.188,   -0.183,    0.028
   -0.263,   -0.256,    0.068
   -0.175,   -0.295,    0.112
    0.041,   -0.300,    0.171
    0.255,   -0.284,    0.235
    0.345,   -0.273,    0.266
    0.288,   -0.288,    0.238
    0.168,   -0.341,    0.177
    0.087,   -0.417,    0.137
    0.093,   -0.477,    0.137
    0.153,   -0.487,    0.130
    0.204,   -0.444,    0.065
    0.204,   -0.376,   -0.045
    0.167,   -0.314,   -0.130
    0.131,   -0.269,   -0.136
    0.126,   -0.239,   -0.078
    0.140,   -0.216,   -0.019
    0.138,   -0.195,   -0.001
    0.094,   -0.171,   -0.009
    0.020,   -0.134,   -0.011
   -0.050,   -0.084,   -0.002
   -0.085,   -0.035,    0.006
   -0.071,   -0.001,    0.011
   -0.015,    0.012,    0.037
    0.067,    0.024,    0.102
    0.153,    0.047,    0.185
    0.225,    0.086,    0.243
    0.277,    0.135,    0.251
    0.321,    0.191,    0.229
    0.368,    0.255,    0.206
    0.410,    0.320,    0.180
    0.417,    0.367,    0.117
    0.364,    0.369,    0.000
    0.255,    0.312,   -0.133
    0.130,    0.214,   -0.214
    0.041,    0.122,   -0.209
    0.017,    0.089,   -0.146
    0.046,    0.129,   -0.083
    0.089,    0.202,   -0.038
    0.100,    0.243,    0.015
    0.061,    0.219,    0.098
   -0.017,    0.153,    0.174
   -0.099,    0.093,    0.182
   -0.152,    0.061,    0.103
   -0.171,    0.038,   -0.003
   -0.176,    0.002,   -0.057
   -0.196,   -0.029,   -0.041
   -0.247,   -0.020,   -0.003
   -0.316,    0.042,   -0.002
   -0.378,    0.120,   -0.047
   -0.417,    0.150,   -0.108
   -0.436,    0.105,   -0.158
   -0.442,    0.021,   -0.196
   -0.431,   -0.042,   -0.220
   -0.389,   -0.046,   -0.215
   -0.314,   -0.005,   -0.177
   -0.241,    0.035,   -0.137
   -0.218,    0.034,   -0.142
   -0.263,   -0.017,   -0.199
   -0.332,   -0.096,   -0.262
   -0.340,   -0.156,   -0.270
   -0.243,   -0.166,   -0.208
   -0.084,   -0.123,   -0.117
    0.030,   -0.053,   -0.045
    0.018,    0.002,   -0.010
   -0.109,    0.018,    0.000
   -0.257,   -0.003,    0.007
   -0.313,   -0.044,    0.020
   -0.242,   -0.089,    0.036
   -0.098,   -0.131,    0.050
    0.029,   -0.171,    0.057
    0.086,   -0.203,    0.064
    0.075,   -0.218,    0.081
    0.043,   -0.212,    0.119
    0.027,   -0.199,    0.168
    0.027,   -0.202,    0.193
    0.011,   -0.227,    0.164
   -0.046,   -0.259,    0.085
   -0.134,   -0.265,   -0.000
   -0.197,   -0.222,   -0.042
   -0.170,   -0.134,   -0.032
   -0.032,   -0.029,   -0.003
    0.161,    0.060,    0.005
    0.314,    0.119,   -0.005
    0.349,    0.145,   -0.003
    0.260,    0.154,    0.041
    0.116,    0.162,    0.114
    0.005,    0.181,    0.163
   -0.020,    0.205,    0.151
    0.028,    0.219,    0.091
    0.095,    0.210,    0.036
    0.125,    0.195,    0.024
    0.100,    0.208,    0.043
    0.048,    0.268,    0.045
    0.022,    0.341,   -0.003
    0.059,    0.360,   -0.090
    0.145,    0.285,   -0.169
    0.228,    0.158,   -0.204
    0.250,    0.073,   -0.186
    0.210,    0.096,   -0.135
    0.157,    0.202,   -0.078
    0.159,    0.298,   -0.034
    0.225,    0.312,   -0.011
    0.289,    0.251,   -0.010
    0.259,    0.189,   -0.034
    0.106,    0.188,   -0.073
   -0.085,    0.239,   -0.113
   -0.177,    0.285,   -0.130
   -0.095,    0.277,   -0.105
    0.098,    0.222,   -0.028
    0.248,    0.173,    0.078
    0.240,    0.173,    0.170
    0.100,    0.212,    0.197
   -0.041,    0.235,    0.145
   -0.076,    0.182,    0.056
    0.004,    0.043,    0.001
    0.122,   -0.132,    0.021
    0.207,   -0.270,    0.092
    0.241,   -0.324,    0.146
    0.239,   -0.317,    0.132
    0.206,   -0.311,    0.059
    0.126,   -0.352,   -0.023
   -0.000,   -0.434,   -0.068
   -0.131,   -0.500,   -0.053
   -0.203,   -0.504,    0.011
   -0.189,   -0.447,    0.103
   -0.112,   -0.366,    0.189
   -0.032,   -0.295,    0.231
    0.012,   -0.240,    0.217
    0.017,   -0.194,    0.165
    0.004,   -0.177,    0.111
   -0.008,   -0.229,    0.067
   -0.021,   -0.363,    0.013
   -0.039,   -0.530,   -0.057
   -0.056,   -0.636,   -0.113
   -0.048,   -0.615,   -0.101
    0.003,   -0.480,   -0.020
    0.087,   -0.319,    0.057
    0.161,   -0.220,    0.046
    0.179,   -0.196,   -0.070
    0.125,   -0.186,   -0.218
    0.029,   -0.105,   -0.304
   -0.049,    0.070,   -0.303
   -0.075,    0.280,   -0.265
   -0.057,    0.416,   -0.241
   -0.036,    0.408,   -0.225
   -0.044,    0.276,   -0.180
   -0.068,    0.122,   -0.093
   -0.070,    0.059,    0.000
   -0.024,    0.127,    0.061
    0.048,    0.268,    0.089
    0.098,    0.375,    0.117
    0.092,    0.378,    0.159
    0.046,    0.292,    0.194
    0.010,    0.194,    0.200
    0.021,    0.151,    0.188
    0.071,    0.164,    0.192
    0.118,    0.175,    0.220
    0.123,    0.129,    0.238
    0.078,    0.036,    0.214
    0.018,   -0.035,    0.161
   -0.003,   -0.024,    0.123
    0.049,    0.060,    0.129
    0.170,    0.140,    0.153
    0.304,    0.130,    0.147
    0.376,    0.026,    0.091
    0.341,   -0.098,    0.008
    0.215,   -0.148,   -0.064
    0.068,   -0.093,   -0.116
   -0.024,    0.018,   -0.161
   -0.034,    0.100,   -0.203
    0.007,    0.101,   -0.219
    0.049,    0.032,   -0.179
    0.069,   -0.054,   -0.082
    0.086,   -0.109,    0.030
    0.125,   -0.120,    0.114
    0.164,   -0.106,    0.154
    0.148,   -0.101,    0.161
    0.042,   -0.126,    0.155
   -0.116,   -0.180,    0.141
   -0.236,   -0.241,    0.114
   -0.252,   -0.287,    0.086
   -0.176,   -0.305,    0.064
   -0.091,   -0.303,    0.052
   -0.078,   -0.289,    0.038
   -0.159,   -0.270,    0.014
   -0.297,   -0.252,   -0.012
   -0.433,   -0.243,   -0.034
   -0.523,   -0.245,   -0.046
   -0.549,   -0.255,   -0.055
   -0.514,   -0.257,   -0.064
   -0.437,   -0.242,   -0.073
   -0.339,   -0.219,   -0.073
   -0.248,   -0.209,   -0.061
   -0.189,   -0.223,   -0.030
   -0.184,   -0.243,    0.021
   -0.235,   -0.232,    0.086
   -0.315,   -0.162,    0.126
   -0.363,   -0.039,    0.103
   -0.323,    0.082,    0.009
   -0.187,    0.144,   -0.116
   -0.005,    0.122,   -0.213
    0.148,    0.059,   -0.254
    0.228,    0.032,   -0.264
    0.235,    0.093,   -0.288
    0.206,    0.221,   -0.339
    0.174,    0.334,   -0.382
    0.155,    0.366,   -0.363
    0.148,    0.318,   -0.260
    0.151,    0.263,   -0.098
    0.164,    0.266,    0.064
    0.197,    0.326,    0.183
    0.256,    0.376,    0.236
    0.332,    0.357,    0.233
    0.392,    0.267,    0.196
    0.393,    0.166,    0.151
    0.319,    0.116,    0.112
    0.203,    0.125,    0.082
    0.107,    0.154,    0.050
    0.072,    0.150,    0.003
    0.087,    0.089,   -0.048
    0.113,   -0.014,   -0.072
    0.128,   -0.128,   -0.038
    0.145,   -0.217,    0.058
    0.189,   -0.268,    0.181
    0.253,   -0.293,    0.280
    0.298,   -0.323,    0.323
    0.277,   -0.366,    0.311
    0.190,   -0.397,    0.262
    0.085,   -0.364,    0.202
    0.023,   -0.243,    0.155
    0.027,   -0.064,    0.137
    0.062,    0.103,    0.136
    0.065,    0.214,    0.116
    0.005,    0.274,    0.051
   -0.099,    0.315,   -0.046
   -0.196,    0.337,   -0.132
   -0.245,    0.305,   -0.169
   -0.243,    0.200,   -0.161
   -0.213,    0.061,   -0.126
   -0.181,   -0.024,   -0.081
   -0.166,   -0.005,   -0.039
   -0.179,    0.084,   -0.027
   -0.231,    0.162,   -0.082
   -0.319,    0.168,   -0.189
   -0.412,    0.113,   -0.275
   -0.469,    0.058,   -0.262
   -0.465,    0.043,   -0.161
   -0.423,    0.066,   -0.070
   -0.396,    0.101,   -0.078
   -0.418,    0.140,   -0.168
   -0.467,    0.194,   -0.235
   -0.474,    0.267,   -0.208
   -0.389,    0.334,   -0.118
   -0.237,    0.359,   -0.058
   -0.102,    0.326,   -0.070
   -0.067,    0.265,   -0.107
   -0.128,    0.223,   -0.107
   -0.202,    0.227,   -0.064
   -0.199,    0.259,   -0.023
   -0.105,    0.266,   -0.015
    0.016,    0.211,   -0.015
    0.095,    0.112,    0.009
    0.118,    0.035,    0.054
    0.132,    0.045,    0.076
    0.174,    0.150,    0.047
    0.228,    0.280,   -0.010
    0.250,    0.347,   -0.055
    0.227,    0.320,   -0.058
    0.201,    0.250,   -0.020
    0.225,    0.222,    0.047
    0.307,    0.263,    0.125
    0.400,    0.313,    0.180
    0.451,    0.276,    0.182
    0.445,    0.111,    0.133
    0.403,   -0.125,    0.086
    0.352,   -0.326,    0.091
    0.301,   -0.420,    0.145
    0.250,   -0.416,    0.190
    0.205,   -0.376,    0.177
    0.184,   -0.347,    0.123
    0.194,   -0.325,    0.088
    0.221,   -0.275,    0.100
    0.233,   -0.193,    0.120
    0.205,   -0.122,    0.087
    0.132,   -0.124,   -0.007
    0.030,   -0.202,   -0.106
   -0.071,   -0.283,   -0.141
   -0.166,   -0.275,   -0.094
   -0.268,   -0.158,   -0.018
   -0.387,   -0.016,    0.015
   -0.505,    0.029,   -0.020
   -0.564,   -0.061,   -0.094
   -0.516,   -0.212,   -0.150
   -0.374,   -0.279,   -0.162
   -0.217,   -0.182,   -0.157
   -0.137,    0.025,   -0.173
   -0.165,    0.194,   -0.208
   -0.245,    0.211,   -0.220
   -0.280,    0.095,   -0.175
   -0.205,   -0.029,   -0.099
   -0.044,   -0.043,   -0.061
    0.114,    0.049,   -0.107
    0.191,    0.137,   -0.209
    0.173,    0.119,   -0.302
    0.114,    0.005,   -0.344
    0.081,   -0.089,   -0.341
    0.089,   -0.062,   -0.316
    0.112,    0.078,   -0.269
    0.127,    0.230,   -0.189
    0.149,    0.290,   -0.084
    0.205,    0.241,    0.016
    0.285,    0.153,    0.086
    0.337,    0.106,    0.132
    0.313,    0.120,    0.169
    0.227,    0.143,    0.197
    0.139,    0.107,    0.202
    0.103,   -0.004,    0.186
    0.117,   -0.136,    0.180
    0.139,   -0.194,    0.200
    0.131,   -0.134,    0.223
    0.095,    0.001,    0.196
    0.060,    0.109,    0.103
    0.054,    0.100,   -0.004
    0.082,   -0.020,   -0.051
    0.121,   -0.178,   -0.011
    0.149,   -0.293,    0.065
    0.153,   -0.335,    0.108
    0.142,   -0.335,    0.099
    0.127,   -0.316,    0.080
    0.101,   -0.274,    0.090
    0.034,   -0.183,    0.123
   -0.089,   -0.050,    0.141
   -0.241,    0.075,    0.124
   -0.339,    0.137,    0.099
   -0.315,    0.119,    0.103
   -0.168,    0.067,    0.132
    0.015,    0.043,    0.143
    0.123,    0.072,    0.098
    0.087,    0.116,    0.001
   -0.062,    0.122,   -0.102
   -0.228,    0.078,   -0.175
   -0.316,    0.034,   -0.207
   -0.293,    0.056,   -0.211
   -0.203,    0.167,   -0.199
   -0.125,    0.305,   -0.170
   -0.102,    0.382,   -0.121
   -0.125,    0.346,   -0.058
   -0.151,    0.228,    0.002
   -0.156,    0.107,    0.044
   -0.152,    0.038,    0.059
   -0.165,    0.014,    0.047
   -0.198,   -0.011,    0.022
   -0.230,   -0.067,    0.008
   -0.234,   -0.125,    0.022
   -0.196,   -0.133,    0.059
   -0.113,   -0.077,    0.091
    0.010,   -0.014,    0.095
    0.157,   -0.026,    0.072
    0.280,   -0.139,    0.042
    0.310,   -0.283,    0.022
    0.210,   -0.340,    0.011
    0.012,   -0.259,    0.006
   -0.173,   -0.109,    0.007
   -0.231,   -0.031,    0.013
   -0.126,   -0.112,    0.001
    0.068,   -0.302,   -0.051
    0.225,   -0.462,   -0.139
    0.265,   -0.478,   -0.212
    0.211,   -0.358,   -0.211
    0.154,   -0.207,   -0.132
    0.157,   -0.136,   -0.039
    0.192,   -0.180,    0.000
    0.174,   -0.289,   -0.028
    0.063,   -0.389,   -0.082
   -0.075,   -0.438,   -0.106
   -0.121,   -0.446,   -0.087
   -0.023,   -0.452,   -0.051
    0.146,   -0.478,   -0.026
    0.245,   -0.509,   -0.020
    0.187,   -0.503,   -0.023
    0.020,   -0.429,   -0.025
   -0.129,   -0.296,   -0.016
   -0.163,   -0.155,    0.012
   -0.090,   -0.073,    0.066
    0.003,   -0.081,    0.135
    0.040,   -0.144,    0.204
    0.007,   -0.187,    0.258
   -0.047,   -0.147,    0.284
   -0.075,   -0.026,    0.260
   -0.061,    0.116,    0.167
   -0.033,    0.212,    0.025
   -0.028,    0.245,   -0.102
   -0.056,    0.251,   -0.139
   -0.093,    0.271,   -0.067
   -0.098,    0.310,    0.053
   -0.050,    0.337,    0.127
    0.038,    0.333,    0.102
    0.129,    0.307,    0.020
    0.188,    0.287,   -0.038
    0.196,    0.280,   -0.024
    0.159,    0.275,    0.037
    0.103,    0.251,    0.091
    0.064,    0.212,    0.100
    0.073,    0.179,    0.079
    0.138,    0.174,    0.062
    0.232,    0.203,    0.061
    0.312,    0.248,    0.062
    0.338,    0.287,    0.050
    0.300,    0.302,    0.031
    0.209,    0.303,    0.024
    0.097,    0.316,    0.033
   -0.000,    0.363,    0.037
   -0.054,    0.428,    0.020
   -0.052,    0.457,   -0.005
   -0.013,    0.399,   -0.003
    0.025,    0.258,    0.048
    0.026,    0.104,    0.128
   -0.022,    0.025,    0.181
   -0.099,    0.054,    0.174
   -0.156,    0.139,    0.122
   -0.151,    0.193,    0.071
   -0.073,    0.164,    0.050
    0.043,    0.080,    0.052
    0.135,    0.019,    0.041
    0.146,    0.031,   -0.003
    0.069,    0.099,   -0.080
   -0.049,    0.151,   -0.171
   -0.134,    0.125,   -0.252
   -0.129,    0.015,   -0.299
   -0.024,   -0.123,   -0.292
    0.143,   -0.218,   -0.243
    0.316,   -0.234,   -0.196
    0.437,   -0.192,   -0.196
    0.474,   -0.155,   -0.232
    0.411,   -0.178,   -0.244
    0.254,   -0.259,   -0.180
    0.036,   -0.345,   -0.067
   -0.183,   -0.386,    0.012
   -0.327,   -0.380,    0.013
   -0.336,   -0.375,   -0.027
   -0.210,   -0.411,   -0.028
   -0.021,   -0.472,    0.032
    0.124,   -0.502,    0.095
    0.145,   -0.471,    0.082
    0.032,   -0.417,   -0.007
   -0.153,   -0.410,   -0.102
   -0.326,   -0.469,   -0.133
   -0.422,   -0.532,   -0.099
   -0.431,   -0.494,   -0.048
   -0.387,   -0.328,   -0.004
   -0.330,   -0.119,    0.052
   -0.276,   -0.005,    0.143
   -0.217,   -0.055,    0.235
