SITE CODE= éDñyíÜâõãÊñkÇQè
LAT=  43.0604
LON= 141.3289
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 00
NS, EW, UD
   -0.155,    0.014,   -0.010
   -0.130,    0.068,   -0.059
   -0.086,    0.109,   -0.106
   -0.034,    0.131,   -0.116
    0.011,    0.136,   -0.089
    0.042,    0.133,   -0.062
    0.059,    0.133,   -0.064
    0.067,    0.141,   -0.088
    0.070,    0.148,   -0.108
    0.070,    0.150,   -0.113
    0.068,    0.146,   -0.117
    0.066,    0.139,   -0.134
    0.061,    0.127,   -0.149
    0.050,    0.100,   -0.137
    0.034,    0.060,   -0.095
    0.020,    0.023,   -0.048
    0.016,   -0.001,   -0.020
    0.027,   -0.014,   -0.012
    0.048,   -0.025,   -0.009
    0.069,   -0.033,   -0.009
    0.091,   -0.025,   -0.014
    0.122,    0.005,   -0.024
    0.167,    0.043,   -0.023
    0.216,    0.068,   -0.003
    0.249,    0.071,    0.022
    0.258,    0.064,    0.027
    0.248,    0.064,    0.003
    0.231,    0.076,   -0.032
    0.223,    0.089,   -0.045
    0.228,    0.096,   -0.018
    0.246,    0.096,    0.035
    0.262,    0.089,    0.075
    0.263,    0.066,    0.070
    0.239,    0.023,    0.025
    0.200,   -0.027,   -0.018
    0.160,   -0.059,   -0.010
    0.126,   -0.063,    0.054
    0.096,   -0.051,    0.131
    0.067,   -0.042,    0.168
    0.043,   -0.036,    0.146
    0.031,   -0.020,    0.093
    0.036,    0.012,    0.055
    0.055,    0.052,    0.054
    0.082,    0.086,    0.069
    0.108,    0.110,    0.066
    0.125,    0.125,    0.034
    0.131,    0.135,   -0.005
    0.134,    0.143,   -0.029
    0.138,    0.153,   -0.036
    0.141,    0.173,   -0.040
    0.138,    0.202,   -0.050
    0.128,    0.231,   -0.054
    0.112,    0.244,   -0.037
    0.095,    0.233,   -0.002
    0.077,    0.203,    0.037
    0.060,    0.172,    0.067
    0.046,    0.148,    0.086
    0.036,    0.126,    0.099
    0.028,    0.094,    0.109
    0.027,    0.056,    0.116
    0.044,    0.027,    0.118
    0.078,    0.009,    0.109
    0.116,   -0.012,    0.086
    0.136,   -0.046,    0.050
    0.131,   -0.084,    0.015
    0.105,   -0.114,   -0.000
    0.071,   -0.139,    0.006
    0.038,   -0.168,    0.014
    0.012,   -0.202,    0.009
   -0.003,   -0.229,    0.004
   -0.006,   -0.238,    0.025
   -0.007,   -0.234,    0.079
   -0.012,   -0.232,    0.135
   -0.023,   -0.237,    0.155
   -0.032,   -0.244,    0.141
   -0.035,   -0.245,    0.128
   -0.032,   -0.239,    0.146
   -0.020,   -0.223,    0.175
    0.006,   -0.198,    0.177
    0.044,   -0.171,    0.137
    0.085,   -0.154,    0.087
    0.120,   -0.156,    0.067
    0.143,   -0.180,    0.083
    0.153,   -0.215,    0.104
    0.143,   -0.250,    0.105
    0.111,   -0.277,    0.091
    0.064,   -0.299,    0.093
    0.016,   -0.315,    0.124
   -0.026,   -0.322,    0.167
   -0.067,   -0.314,    0.193
   -0.108,   -0.295,    0.192
   -0.145,   -0.275,    0.180
   -0.169,   -0.263,    0.172
   -0.178,   -0.256,    0.168
   -0.178,   -0.244,    0.153
   -0.171,   -0.224,    0.126
   -0.156,   -0.196,    0.091
   -0.127,   -0.163,    0.055
   -0.084,   -0.120,    0.018
   -0.032,   -0.063,   -0.022
    0.016,   -0.001,   -0.054
    0.053,    0.050,   -0.062
    0.081,    0.082,   -0.041
    0.111,    0.102,   -0.000
    0.139,    0.120,    0.040
    0.153,    0.133,    0.062
    0.145,    0.132,    0.055
    0.126,    0.119,    0.018
    0.120,    0.107,   -0.029
    0.138,    0.109,   -0.060
    0.170,    0.114,   -0.066
    0.195,    0.109,   -0.070
    0.198,    0.086,   -0.092
    0.182,    0.057,   -0.125
    0.156,    0.036,   -0.130
    0.129,    0.024,   -0.086
    0.102,    0.011,   -0.016
    0.075,   -0.008,    0.020
    0.053,   -0.023,   -0.007
    0.043,   -0.018,   -0.075
    0.045,    0.011,   -0.126
    0.046,    0.041,   -0.124
    0.040,    0.052,   -0.077
    0.026,    0.040,   -0.023
    0.011,    0.025,    0.003
   -0.007,    0.025,   -0.012
   -0.031,    0.044,   -0.055
   -0.054,    0.066,   -0.104
   -0.061,    0.081,   -0.135
   -0.043,    0.086,   -0.143
   -0.016,    0.088,   -0.139
    0.000,    0.091,   -0.137
   -0.004,    0.089,   -0.144
   -0.022,    0.073,   -0.152
   -0.051,    0.041,   -0.154
   -0.089,    0.007,   -0.153
   -0.125,   -0.013,   -0.159
   -0.142,   -0.006,   -0.171
   -0.132,    0.020,   -0.173
   -0.100,    0.050,   -0.145
   -0.059,    0.069,   -0.094
   -0.014,    0.076,   -0.052
    0.028,    0.079,   -0.043
    0.061,    0.082,   -0.054
    0.083,    0.083,   -0.048
    0.101,    0.075,   -0.009
    0.127,    0.055,    0.033
    0.158,    0.034,    0.040
    0.185,    0.027,    0.012
    0.205,    0.042,   -0.019
    0.219,    0.071,   -0.032
    0.222,    0.097,   -0.044
    0.198,    0.106,   -0.077
    0.144,    0.096,   -0.120
    0.087,    0.072,   -0.134
    0.058,    0.042,   -0.105
    0.061,    0.013,   -0.062
    0.076,   -0.009,   -0.036
    0.079,   -0.022,   -0.025
    0.069,   -0.030,   -0.008
    0.052,   -0.041,    0.020
    0.034,   -0.053,    0.036
    0.011,   -0.061,    0.019
   -0.017,   -0.061,   -0.016
   -0.043,   -0.052,   -0.045
   -0.058,   -0.042,   -0.068
   -0.060,   -0.033,   -0.100
   -0.056,   -0.025,   -0.140
   -0.062,   -0.017,   -0.154
   -0.086,   -0.011,   -0.116
   -0.123,   -0.010,   -0.049
   -0.157,   -0.015,   -0.000
   -0.178,   -0.021,    0.007
   -0.193,   -0.018,   -0.006
   -0.212,   -0.009,   -0.006
   -0.238,   -0.004,    0.019
   -0.261,   -0.012,    0.057
   -0.275,   -0.027,    0.091
   -0.276,   -0.025,    0.114
   -0.269,   -0.000,    0.118
   -0.259,    0.039,    0.098
   -0.247,    0.083,    0.066
   -0.230,    0.130,    0.044
   -0.207,    0.184,    0.050
   -0.184,    0.231,    0.078
   -0.169,    0.254,    0.111
   -0.163,    0.249,    0.134
   -0.157,    0.232,    0.146
   -0.145,    0.223,    0.147
   -0.141,    0.230,    0.135
   -0.159,    0.242,    0.106
   -0.201,    0.246,    0.072
   -0.246,    0.232,    0.056
   -0.278,    0.195,    0.072
   -0.296,    0.138,    0.106
   -0.303,    0.074,    0.121
   -0.302,    0.018,    0.096
   -0.291,   -0.023,    0.045
   -0.273,   -0.059,    0.010
   -0.259,   -0.097,    0.012
   -0.250,   -0.128,    0.027
   -0.235,   -0.134,    0.017
   -0.208,   -0.105,   -0.017
   -0.177,   -0.062,   -0.036
   -0.164,   -0.029,   -0.013
   -0.178,   -0.014,    0.028
   -0.200,    0.003,    0.043
   -0.201,    0.039,    0.023
   -0.175,    0.083,    0.004
   -0.143,    0.113,    0.018
   -0.128,    0.118,    0.050
   -0.133,    0.105,    0.066
   -0.134,    0.092,    0.057
   -0.118,    0.085,    0.047
   -0.095,    0.086,    0.061
   -0.086,    0.093,    0.088
   -0.097,    0.099,    0.102
   -0.119,    0.092,    0.090
   -0.139,    0.064,    0.068
   -0.154,    0.024,    0.052
   -0.159,   -0.011,    0.046
   -0.152,   -0.035,    0.048
   -0.132,   -0.056,    0.053
   -0.108,   -0.081,    0.054
   -0.089,   -0.106,    0.041
   -0.076,   -0.122,    0.017
   -0.065,   -0.125,    0.000
   -0.058,   -0.121,    0.004
   -0.060,   -0.119,    0.014
   -0.069,   -0.124,    0.004
   -0.080,   -0.139,   -0.035
   -0.084,   -0.157,   -0.077
   -0.074,   -0.164,   -0.096
   -0.052,   -0.152,   -0.099
   -0.025,   -0.124,   -0.115
   -0.002,   -0.099,   -0.156
    0.012,   -0.089,   -0.202
    0.019,   -0.096,   -0.225
    0.027,   -0.109,   -0.215
    0.037,   -0.122,   -0.188
    0.042,   -0.139,   -0.156
    0.036,   -0.163,   -0.123
    0.017,   -0.189,   -0.089
   -0.005,   -0.200,   -0.067
   -0.016,   -0.186,   -0.065
   -0.004,   -0.155,   -0.077
    0.032,   -0.126,   -0.074
    0.080,   -0.110,   -0.045
    0.121,   -0.101,   -0.012
    0.141,   -0.091,   -0.012
    0.133,   -0.080,   -0.050
    0.111,   -0.073,   -0.079
