SITE CODE= ä‚å©ëÚésÇTè
LAT=  43.2125
LON= 141.7856
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 00
NS, EW, UD
   -0.313,    0.024,    0.055
   -0.338,    0.024,    0.067
   -0.338,    0.016,    0.046
   -0.322,   -0.007,    0.005
   -0.294,   -0.045,   -0.038
   -0.253,   -0.095,   -0.078
   -0.200,   -0.148,   -0.102
   -0.144,   -0.203,   -0.097
   -0.089,   -0.255,   -0.056
   -0.032,   -0.299,    0.020
    0.026,   -0.330,    0.113
    0.082,   -0.345,    0.193
    0.122,   -0.349,    0.229
    0.135,   -0.344,    0.207
    0.128,   -0.329,    0.138
    0.119,   -0.297,    0.054
    0.120,   -0.244,   -0.007
    0.127,   -0.180,   -0.027
    0.125,   -0.121,   -0.007
    0.105,   -0.081,    0.025
    0.066,   -0.057,    0.054
    0.016,   -0.036,    0.072
   -0.037,   -0.001,    0.090
   -0.082,    0.050,    0.116
   -0.102,    0.111,    0.147
   -0.089,    0.167,    0.182
   -0.045,    0.209,    0.221
    0.013,    0.233,    0.263
    0.068,    0.243,    0.298
    0.110,    0.246,    0.307
    0.140,    0.246,    0.271
    0.156,    0.246,    0.187
    0.151,    0.241,    0.065
    0.120,    0.228,   -0.071
    0.066,    0.209,   -0.196
    0.005,    0.197,   -0.282
   -0.048,    0.201,   -0.310
   -0.092,    0.226,   -0.273
   -0.125,    0.263,   -0.194
   -0.143,    0.299,   -0.111
   -0.142,    0.318,   -0.057
   -0.126,    0.312,   -0.046
   -0.111,    0.276,   -0.067
   -0.116,    0.217,   -0.098
   -0.144,    0.143,   -0.127
   -0.180,    0.075,   -0.146
   -0.203,    0.029,   -0.153
   -0.204,    0.009,   -0.140
   -0.196,    0.002,   -0.102
   -0.191,   -0.008,   -0.047
   -0.196,   -0.028,    0.008
   -0.207,   -0.046,    0.051
   -0.212,   -0.041,    0.077
   -0.203,   -0.007,    0.092
   -0.177,    0.046,    0.100
   -0.136,    0.098,    0.095
   -0.089,    0.128,    0.064
   -0.045,    0.132,    0.010
   -0.008,    0.109,   -0.047
    0.028,    0.071,   -0.089
    0.074,    0.025,   -0.104
    0.131,   -0.020,   -0.093
    0.186,   -0.061,   -0.065
    0.224,   -0.091,   -0.029
    0.241,   -0.101,    0.004
    0.250,   -0.087,    0.016
    0.271,   -0.048,   -0.007
    0.307,    0.008,   -0.071
    0.344,    0.064,   -0.161
    0.354,    0.104,   -0.250
    0.327,    0.123,   -0.313
    0.273,    0.130,   -0.332
    0.214,    0.138,   -0.298
    0.168,    0.150,   -0.219
    0.137,    0.152,   -0.109
    0.118,    0.129,    0.008
    0.107,    0.078,    0.113
    0.099,    0.009,    0.198
    0.089,   -0.056,    0.260
    0.070,   -0.105,    0.297
    0.041,   -0.125,    0.304
    0.011,   -0.117,    0.280
   -0.009,   -0.086,    0.237
   -0.023,   -0.039,    0.182
   -0.042,    0.014,    0.116
   -0.074,    0.069,    0.034
   -0.106,    0.123,   -0.052
   -0.117,    0.175,   -0.116
   -0.090,    0.221,   -0.130
   -0.034,    0.252,   -0.092
    0.026,    0.260,   -0.029
    0.068,    0.249,    0.020
    0.089,    0.227,    0.037
    0.096,    0.206,    0.025
    0.098,    0.190,   -0.004
    0.093,    0.178,   -0.047
    0.075,    0.162,   -0.109
    0.042,    0.144,   -0.191
    0.001,    0.126,   -0.277
   -0.034,    0.110,   -0.342
   -0.057,    0.093,   -0.362
   -0.062,    0.065,   -0.334
   -0.053,    0.022,   -0.277
   -0.031,   -0.037,   -0.218
   -0.003,   -0.108,   -0.170
