SITE CODE= ã˙òHésçKí¨
LAT=  42.9867
LON= 144.3782
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 00
NS, EW, UD
   -0.113,    0.020,   -0.364
    0.055,   -0.064,   -0.402
    0.262,   -0.100,   -0.214
    0.365,   -0.116,   -0.018
    0.280,   -0.091,   -0.019
    0.054,    0.039,   -0.203
   -0.167,    0.292,   -0.356
   -0.265,    0.551,   -0.299
   -0.243,    0.635,   -0.075
   -0.198,    0.447,    0.103
   -0.199,    0.083,    0.087
   -0.217,   -0.227,   -0.077
   -0.162,   -0.303,   -0.219
    0.008,   -0.146,   -0.236
    0.231,    0.063,   -0.183
    0.387,    0.128,   -0.186
    0.405,   -0.009,   -0.305
    0.316,   -0.232,   -0.468
    0.228,   -0.366,   -0.532
    0.227,   -0.332,   -0.410
    0.305,   -0.202,   -0.160
    0.374,   -0.108,    0.058
    0.351,   -0.108,    0.120
    0.250,   -0.139,    0.041
    0.165,   -0.102,   -0.045
    0.164,    0.024,   -0.038
    0.196,    0.165,    0.052
    0.135,    0.220,    0.148
   -0.061,    0.159,    0.206
   -0.278,    0.034,    0.229
   -0.326,   -0.085,    0.195
   -0.124,   -0.172,    0.061
    0.208,   -0.254,   -0.151
    0.446,   -0.376,   -0.298
    0.447,   -0.540,   -0.237
    0.252,   -0.679,    0.004
    0.020,   -0.689,    0.233
   -0.108,   -0.520,    0.288
   -0.118,   -0.234,    0.210
   -0.084,    0.011,    0.180
   -0.091,    0.080,    0.293
   -0.148,   -0.030,    0.449
   -0.199,   -0.189,    0.472
   -0.179,   -0.247,    0.289
   -0.090,   -0.150,   -0.002
    0.000,    0.036,   -0.237
    0.018,    0.203,   -0.316
   -0.040,    0.276,   -0.248
   -0.111,    0.252,   -0.125
   -0.111,    0.169,   -0.046
   -0.017,    0.073,   -0.044
    0.120,   -0.008,   -0.071
    0.221,   -0.064,   -0.054
    0.226,   -0.096,    0.026
    0.141,   -0.095,    0.109
    0.021,   -0.032,    0.130
   -0.059,    0.111,    0.105
   -0.059,    0.307,    0.128
   -0.004,    0.471,    0.244
    0.025,    0.510,    0.381
   -0.039,    0.405,    0.397
   -0.190,    0.228,    0.219
   -0.339,    0.086,   -0.077
   -0.382,    0.030,   -0.330
   -0.294,    0.036,   -0.417
   -0.147,    0.038,   -0.329
   -0.055,    0.011,   -0.160
   -0.064,   -0.024,   -0.017
   -0.112,   -0.022,    0.043
   -0.091,    0.038,    0.041
    0.049,    0.137,    0.034
    0.249,    0.228,    0.075
    0.385,    0.278,    0.168
    0.381,    0.291,    0.275
    0.255,    0.308,    0.335
    0.087,    0.366,    0.310
   -0.072,    0.457,    0.201
   -0.238,    0.513,    0.048
   -0.441,    0.455,   -0.084
   -0.667,    0.261,   -0.136
   -0.830,   -0.005,   -0.095
   -0.832,   -0.232,   -0.012
   -0.632,   -0.334,    0.014
   -0.284,   -0.303,   -0.077
    0.090,   -0.206,   -0.245
    0.370,   -0.128,   -0.360
    0.497,   -0.121,   -0.310
    0.492,   -0.169,   -0.123
    0.423,   -0.210,    0.055
    0.344,   -0.178,    0.103
    0.274,   -0.066,    0.046
    0.199,    0.061,    0.018
    0.109,    0.116,    0.100
    0.013,    0.061,    0.221
   -0.075,   -0.055,    0.237
   -0.151,   -0.154,    0.110
   -0.210,   -0.198,   -0.046
   -0.245,   -0.206,   -0.087
   -0.245,   -0.208,   -0.000
   -0.204,   -0.191,    0.087
   -0.130,   -0.132,    0.055
   -0.041,   -0.040,   -0.084
    0.045,    0.024,   -0.214
    0.119,    0.010,   -0.238
    0.186,   -0.067,   -0.172
    0.253,   -0.144,   -0.101
    0.310,   -0.153,   -0.077
    0.332,   -0.082,   -0.080
    0.285,    0.045,   -0.058
    0.172,    0.191,    0.013
    0.041,    0.311,    0.105
   -0.047,    0.355,    0.174
   -0.067,    0.290,    0.204
   -0.048,    0.132,    0.227
   -0.038,   -0.054,    0.270
   -0.060,   -0.209,    0.319
   -0.090,   -0.315,    0.321
   -0.093,   -0.376,    0.242
   -0.057,   -0.385,    0.107
    0.005,   -0.306,   -0.013
    0.063,   -0.130,   -0.075
    0.087,    0.074,   -0.091
    0.056,    0.204,   -0.095
   -0.039,    0.200,   -0.091
   -0.173,    0.106,   -0.065
   -0.274,    0.023,   -0.026
   -0.268,    0.011,   -0.020
   -0.137,    0.045,   -0.075
    0.042,    0.066,   -0.153
    0.156,    0.057,   -0.188
    0.141,    0.051,   -0.157
    0.052,    0.086,   -0.101
    0.010,    0.153,   -0.059
    0.084,    0.212,   -0.021
    0.221,    0.235,    0.044
    0.294,    0.227,    0.128
    0.227,    0.189,    0.161
    0.061,    0.107,    0.084
   -0.098,   -0.026,   -0.074
   -0.189,   -0.166,   -0.219
   -0.224,   -0.220,   -0.257
   -0.249,   -0.135,   -0.163
   -0.266,    0.036,    0.009
   -0.241,    0.162,    0.169
   -0.158,    0.146,    0.241
   -0.054,    0.011,    0.209
    0.016,   -0.132,    0.131
    0.033,   -0.196,    0.088
    0.021,   -0.177,    0.119
    0.004,   -0.128,    0.183
   -0.021,   -0.093,    0.207
   -0.068,   -0.070,    0.167
   -0.118,   -0.047,    0.096
   -0.132,   -0.038,    0.041
   -0.089,   -0.065,    0.015
   -0.024,   -0.124,    0.001
    0.003,   -0.178,    0.002
   -0.025,   -0.184,    0.037
   -0.060,   -0.128,    0.101
   -0.028,   -0.027,    0.137
    0.081,    0.078,    0.096
    0.199,    0.135,   -0.014
    0.230,    0.102,   -0.127
    0.146,   -0.010,   -0.189
    0.007,   -0.122,   -0.202
   -0.090,   -0.127,   -0.185
   -0.105,    0.012,   -0.130
   -0.058,    0.221,   -0.008
    0.005,    0.361,    0.150
    0.064,    0.351,    0.237
    0.120,    0.219,    0.157
    0.166,    0.070,   -0.067
    0.179,   -0.015,   -0.285
    0.141,   -0.024,   -0.351
    0.055,    0.004,   -0.243
   -0.067,    0.027,   -0.077
   -0.218,    0.016,    0.014
   -0.373,   -0.030,   -0.014
   -0.478,   -0.101,   -0.099
   -0.455,   -0.167,   -0.142
   -0.273,   -0.205,   -0.097
    0.009,   -0.211,    0.006
    0.274,   -0.204,    0.099
    0.421,   -0.200,    0.136
    0.433,   -0.202,    0.123
    0.361,   -0.196,    0.093
    0.265,   -0.173,    0.062
    0.168,   -0.132,    0.005
    0.077,   -0.084,   -0.110
   -0.006,   -0.046,   -0.275
   -0.075,   -0.027,   -0.422
   -0.138,   -0.019,   -0.476
   -0.211,   -0.003,   -0.394
   -0.285,    0.029,   -0.196
   -0.312,    0.059,    0.043
   -0.228,    0.061,    0.222
   -0.007,    0.045,    0.267
    0.296,    0.055,    0.192
    0.568,    0.105,    0.103
    0.705,    0.139,    0.107
    0.670,    0.068,    0.204
    0.510,   -0.123,    0.289
    0.306,   -0.334,    0.265
    0.114,   -0.428,    0.154
   -0.063,   -0.362,    0.065
   -0.261,   -0.212,    0.051
   -0.491,   -0.081,    0.046
   -0.708,    0.004,   -0.045
   -0.833,    0.092,   -0.211
   -0.815,    0.218,   -0.320
   -0.665,    0.341,   -0.265
