SITE CODE= ç™é∫ésñÌâh
LAT=  43.3310
LON= 145.5857
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 20
NS, EW, UD
   -0.064,    0.031,    0.070
   -0.065,   -0.004,    0.061
   -0.029,   -0.031,    0.051
    0.030,   -0.029,    0.064
    0.070,   -0.014,    0.090
    0.060,   -0.019,    0.091
    0.020,   -0.046,    0.051
   -0.003,   -0.046,    0.001
    0.019,    0.024,   -0.018
    0.081,    0.144,    0.007
    0.153,    0.231,    0.057
    0.212,    0.223,    0.102
    0.245,    0.143,    0.127
    0.237,    0.069,    0.128
    0.173,    0.052,    0.105
    0.064,    0.064,    0.061
   -0.037,    0.043,    0.018
   -0.079,   -0.027,    0.001
   -0.050,   -0.097,    0.018
    0.009,   -0.117,    0.041
    0.048,   -0.087,    0.040
    0.052,   -0.053,    0.012
    0.046,   -0.051,   -0.007
    0.053,   -0.076,    0.011
    0.066,   -0.098,    0.068
    0.061,   -0.095,    0.123
    0.029,   -0.063,    0.137
   -0.016,   -0.007,    0.096
   -0.047,    0.058,    0.025
   -0.043,    0.109,   -0.040
   -0.005,    0.122,   -0.082
    0.052,    0.101,   -0.098
    0.105,    0.077,   -0.102
    0.128,    0.080,   -0.103
    0.112,    0.106,   -0.097
    0.067,    0.118,   -0.083
    0.018,    0.091,   -0.066
   -0.016,    0.039,   -0.058
   -0.039,    0.004,   -0.067
   -0.056,    0.001,   -0.082
   -0.061,    0.008,   -0.081
   -0.041,   -0.007,   -0.055
   -0.000,   -0.048,   -0.012
    0.028,   -0.075,    0.026
    0.009,   -0.053,    0.045
   -0.055,    0.009,    0.048
   -0.123,    0.065,    0.043
   -0.143,    0.076,    0.035
   -0.107,    0.045,    0.023
   -0.053,    0.010,    0.005
   -0.021,    0.001,   -0.019
   -0.015,    0.013,   -0.048
   -0.006,    0.013,   -0.080
    0.029,   -0.021,   -0.105
    0.080,   -0.085,   -0.113
    0.108,   -0.144,   -0.102
    0.085,   -0.165,   -0.084
    0.018,   -0.131,   -0.077
   -0.058,   -0.045,   -0.081
   -0.108,    0.064,   -0.074
   -0.113,    0.157,   -0.040
   -0.075,    0.191,    0.007
   -0.013,    0.155,    0.039
    0.043,    0.081,    0.042
    0.065,    0.016,    0.031
    0.041,   -0.014,    0.029
   -0.014,   -0.026,    0.034
   -0.073,   -0.046,    0.029
   -0.105,   -0.075,    0.007
   -0.101,   -0.091,   -0.016
   -0.074,   -0.075,   -0.013
   -0.044,   -0.039,    0.014
   -0.026,   -0.014,    0.048
   -0.025,   -0.011,    0.073
   -0.038,   -0.016,    0.090
   -0.057,   -0.019,    0.104
   -0.074,   -0.023,    0.104
   -0.083,   -0.031,    0.073
   -0.082,   -0.030,    0.012
   -0.071,   -0.001,   -0.036
   -0.053,    0.045,   -0.040
   -0.030,    0.069,    0.002
   -0.010,    0.038,    0.051
    0.004,   -0.022,    0.061
    0.007,   -0.059,    0.027
    0.005,   -0.040,   -0.016
    0.005,    0.004,   -0.029
    0.008,    0.027,   -0.000
    0.007,    0.020,    0.039
   -0.000,    0.017,    0.043
   -0.004,    0.041,   -0.011
    0.008,    0.069,   -0.102
    0.039,    0.057,   -0.173
    0.059,    0.002,   -0.182
    0.035,   -0.048,   -0.127
   -0.033,   -0.055,   -0.050
   -0.109,   -0.027,    0.002
   -0.154,   -0.007,    0.019
   -0.156,   -0.014,    0.015
   -0.137,   -0.029,    0.020
   -0.117,   -0.028,    0.048
   -0.092,   -0.022,    0.092
   -0.050,   -0.037,    0.129
   -0.000,   -0.076,    0.138
    0.029,   -0.103,    0.111
    0.017,   -0.082,    0.060
   -0.020,   -0.012,    0.014
   -0.041,    0.070,   -0.002
   -0.017,    0.123,    0.012
    0.042,    0.136,    0.032
    0.101,    0.116,    0.030
    0.127,    0.078,   -0.003
    0.113,    0.039,   -0.052
    0.079,    0.018,   -0.085
    0.054,    0.034,   -0.080
    0.059,    0.083,   -0.044
    0.093,    0.126,    0.002
    0.133,    0.118,    0.030
    0.148,    0.045,    0.027
    0.123,   -0.055,    0.005
    0.073,   -0.120,   -0.004
    0.035,   -0.111,    0.013
