SITE CODE= ìœè¨ñqésññçLí¨
LAT=  42.6381
LON= 141.6124
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 20
NS, EW, UD
    0.137,   -0.022,    0.016
    0.138,    0.029,    0.241
    0.048,    0.015,    0.547
   -0.082,   -0.060,    0.744
   -0.171,   -0.130,    0.674
   -0.157,   -0.116,    0.387
   -0.038,   -0.011,    0.102
    0.118,    0.118,   -0.002
    0.219,    0.193,    0.061
    0.206,    0.185,    0.129
    0.099,    0.128,    0.059
   -0.014,    0.070,   -0.127
   -0.057,    0.034,   -0.278
   -0.013,    0.015,   -0.236
    0.066,   -0.000,    0.007
    0.121,   -0.021,    0.296
    0.134,   -0.046,    0.417
    0.117,   -0.061,    0.279
    0.097,   -0.043,   -0.020
    0.093,    0.019,   -0.295
    0.112,    0.103,   -0.431
    0.144,    0.154,   -0.425
    0.159,    0.135,   -0.300
    0.118,    0.058,   -0.057
    0.011,   -0.018,    0.268
   -0.125,   -0.044,    0.533
   -0.232,   -0.007,    0.560
   -0.276,    0.067,    0.325
   -0.270,    0.148,    0.003
   -0.236,    0.212,   -0.187
   -0.184,    0.235,   -0.177
   -0.101,    0.200,   -0.047
    0.013,    0.105,    0.115
    0.139,   -0.014,    0.285
    0.244,   -0.108,    0.423
    0.300,   -0.134,    0.410
    0.285,   -0.084,    0.159
    0.203,    0.013,   -0.237
    0.088,    0.100,   -0.546
    0.005,    0.107,   -0.603
    0.012,    0.006,   -0.459
    0.111,   -0.171,   -0.278
    0.230,   -0.344,   -0.157
    0.282,   -0.428,   -0.088
    0.219,   -0.396,   -0.065
    0.061,   -0.284,   -0.128
   -0.128,   -0.151,   -0.269
   -0.287,   -0.036,   -0.347
   -0.369,    0.049,   -0.193
   -0.359,    0.109,    0.189
   -0.269,    0.142,    0.569
   -0.146,    0.155,    0.672
   -0.046,    0.155,    0.421
    0.005,    0.141,   -0.001
    0.014,    0.115,   -0.315
    0.002,    0.078,   -0.348
   -0.020,    0.048,   -0.119
   -0.055,    0.036,    0.207
   -0.092,    0.037,    0.430
   -0.101,    0.024,    0.417
   -0.061,   -0.016,    0.165
    0.011,   -0.066,   -0.185
    0.071,   -0.090,   -0.437
    0.084,   -0.078,   -0.465
    0.068,   -0.060,   -0.311
    0.071,   -0.072,   -0.153
    0.127,   -0.123,   -0.156
    0.213,   -0.191,   -0.330
    0.271,   -0.255,   -0.512
    0.255,   -0.319,   -0.510
    0.167,   -0.380,   -0.282
    0.054,   -0.403,    0.016
   -0.041,   -0.331,    0.172
   -0.109,   -0.153,    0.106
   -0.167,    0.063,   -0.058
   -0.235,    0.211,   -0.130
   -0.305,    0.228,   -0.031
   -0.345,    0.153,    0.132
   -0.325,    0.077,    0.196
   -0.243,    0.061,    0.098
   -0.125,    0.097,   -0.084
   -0.010,    0.142,   -0.222
    0.073,    0.171,   -0.266
    0.117,    0.190,   -0.251
    0.125,    0.207,   -0.224
    0.100,    0.216,   -0.186
    0.048,    0.211,   -0.116
   -0.014,    0.200,   -0.031
   -0.070,    0.193,    0.011
   -0.105,    0.185,   -0.009
   -0.126,    0.153,   -0.034
   -0.138,    0.089,    0.041
   -0.135,    0.012,    0.257
   -0.110,   -0.046,    0.533
   -0.070,   -0.079,    0.714
   -0.046,   -0.102,    0.696
   -0.068,   -0.127,    0.511
   -0.132,   -0.148,    0.302
   -0.205,   -0.154,    0.203
   -0.257,   -0.145,    0.239
   -0.284,   -0.142,    0.315
   -0.290,   -0.154,    0.316
   -0.265,   -0.165,    0.209
   -0.190,   -0.150,    0.058
   -0.065,   -0.097,   -0.068
    0.067,   -0.029,   -0.180
    0.152,    0.017,   -0.340
    0.178,    0.014,   -0.559
    0.173,   -0.037,   -0.739
    0.172,   -0.112,   -0.750
    0.171,   -0.169,   -0.569
    0.142,   -0.175,   -0.314
    0.085,   -0.131,   -0.142
    0.046,   -0.064,   -0.110
    0.079,   -0.016,   -0.144
    0.184,   -0.013,   -0.128
    0.302,   -0.047,   -0.003
    0.369,   -0.093,    0.195
    0.368,   -0.135,    0.384
    0.318,   -0.175,    0.476
    0.237,   -0.214,    0.436
    0.120,   -0.241,    0.303
   -0.029,   -0.230,    0.172
   -0.177,   -0.168,    0.129
   -0.275,   -0.070,    0.185
   -0.301,    0.026,    0.264
   -0.277,    0.091,    0.274
   -0.240,    0.119,    0.189
   -0.201,    0.134,    0.066
   -0.162,    0.164,   -0.016
   -0.139,    0.230,   -0.016
   -0.152,    0.323,    0.046
   -0.193,    0.410,    0.104
   -0.202,    0.448,    0.076
   -0.115,    0.401,   -0.077
    0.053,    0.262,   -0.311
    0.208,    0.059,   -0.510
    0.235,   -0.158,   -0.569
    0.114,   -0.332,   -0.481
   -0.060,   -0.421,   -0.335
   -0.156,   -0.411,   -0.223
   -0.103,   -0.324,   -0.161
    0.061,   -0.209,   -0.107
    0.244,   -0.111,   -0.018
    0.367,   -0.046,    0.110
    0.407,   -0.002,    0.269
    0.386,    0.036,    0.446
    0.338,    0.070,    0.593
    0.282,    0.089,    0.623
    0.226,    0.085,    0.476
    0.169,    0.061,    0.211
