SITE CODE= ìnìáêXí¨å‰çKí¨
LAT=  42.1052
LON= 140.5766
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 00
NS, EW, UD
    0.002,   -0.002,   -0.014
    0.002,   -0.002,   -0.004
    0.004,   -0.001,    0.007
    0.007,   -0.000,    0.013
    0.009,   -0.001,    0.010
    0.007,   -0.001,   -0.001
    0.002,   -0.000,   -0.015
   -0.002,   -0.000,   -0.026
   -0.006,   -0.001,   -0.030
   -0.008,   -0.002,   -0.026
   -0.010,   -0.003,   -0.017
   -0.011,   -0.003,   -0.006
   -0.011,   -0.004,    0.002
   -0.009,   -0.006,    0.005
   -0.006,   -0.007,    0.002
   -0.004,   -0.007,   -0.005
   -0.003,   -0.003,   -0.017
   -0.003,    0.000,   -0.028
   -0.002,    0.001,   -0.033
   -0.000,    0.000,   -0.031
    0.002,   -0.003,   -0.023
    0.003,   -0.004,   -0.016
    0.002,   -0.002,   -0.012
    0.000,    0.000,   -0.011
   -0.001,    0.004,   -0.010
   -0.000,    0.005,   -0.005
    0.002,    0.007,    0.000
    0.005,    0.007,    0.007
    0.008,    0.007,    0.008
    0.008,    0.004,    0.004
    0.007,    0.001,   -0.005
    0.004,    0.000,   -0.015
    0.002,   -0.000,   -0.021
    0.001,   -0.002,   -0.022
    0.001,   -0.004,   -0.019
   -0.000,   -0.007,   -0.015
   -0.003,   -0.007,   -0.011
   -0.005,   -0.006,   -0.006
   -0.007,   -0.003,   -0.001
   -0.007,    0.000,    0.002
   -0.006,    0.002,    0.003
   -0.003,    0.003,    0.000
   -0.000,    0.003,   -0.003
    0.000,    0.004,   -0.004
   -0.000,    0.005,   -0.004
   -0.002,    0.005,   -0.004
   -0.003,    0.002,   -0.003
   -0.002,   -0.002,   -0.002
    0.000,   -0.005,    0.000
    0.002,   -0.006,    0.005
    0.005,   -0.005,    0.009
    0.008,   -0.004,    0.008
    0.011,   -0.004,    0.005
    0.013,   -0.005,    0.002
    0.012,   -0.005,    0.001
    0.011,   -0.005,    0.002
    0.007,   -0.004,    0.005
    0.004,   -0.003,    0.008
    0.001,   -0.003,    0.011
   -0.000,   -0.002,    0.013
   -0.002,   -0.000,    0.014
   -0.005,    0.000,    0.012
   -0.007,    0.001,    0.010
   -0.007,    0.001,    0.005
   -0.004,    0.000,    0.002
   -0.000,    0.000,    0.001
    0.004,    0.000,    0.005
    0.010,   -0.001,    0.012
    0.014,   -0.002,    0.021
    0.018,   -0.004,    0.025
    0.018,   -0.004,    0.023
    0.016,   -0.002,    0.012
    0.012,    0.000,   -0.002
    0.007,    0.000,   -0.013
    0.004,    0.001,   -0.015
    0.003,    0.001,   -0.010
    0.004,    0.001,   -0.000
    0.005,    0.002,    0.005
    0.005,    0.004,    0.004
    0.004,    0.006,   -0.002
    0.003,    0.005,   -0.012
    0.000,    0.002,   -0.024
   -0.003,   -0.001,   -0.034
   -0.008,   -0.004,   -0.040
   -0.011,   -0.005,   -0.042
   -0.012,   -0.005,   -0.038
   -0.012,   -0.004,   -0.028
   -0.009,   -0.005,   -0.012
   -0.007,   -0.004,    0.003
   -0.004,   -0.002,    0.018
   -0.000,    0.000,    0.026
    0.002,    0.004,    0.027
    0.005,    0.009,    0.021
    0.009,    0.010,    0.013
    0.011,    0.010,    0.007
    0.012,    0.007,    0.004
    0.011,    0.003,    0.005
    0.009,   -0.000,    0.009
    0.005,   -0.002,    0.010
    0.004,   -0.000,    0.006
    0.002,    0.001,   -0.004
    0.001,    0.002,   -0.014
   -0.003,    0.001,   -0.022
   -0.007,    0.000,   -0.021
   -0.012,   -0.001,   -0.013
   -0.014,   -0.001,   -0.003
   -0.014,    0.000,    0.004
   -0.012,    0.001,    0.006
   -0.011,    0.002,    0.000
   -0.011,    0.003,   -0.013
   -0.012,    0.001,   -0.029
   -0.014,   -0.000,   -0.041
   -0.015,   -0.004,   -0.046
   -0.014,   -0.005,   -0.045
   -0.009,   -0.005,   -0.037
   -0.003,   -0.004,   -0.027
    0.002,   -0.002,   -0.015
    0.007,   -0.001,   -0.004
    0.011,    0.000,    0.006
    0.012,    0.001,    0.013
    0.013,    0.004,    0.016
    0.012,    0.005,    0.014
    0.010,    0.007,    0.008
    0.005,    0.007,   -0.001
    0.001,    0.005,   -0.009
   -0.003,    0.005,   -0.011
   -0.007,    0.004,   -0.008
   -0.011,    0.004,   -0.006
   -0.013,    0.004,   -0.008
   -0.015,    0.006,   -0.012
   -0.016,    0.008,   -0.016
   -0.017,    0.009,   -0.014
   -0.017,    0.007,   -0.007
   -0.016,    0.005,    0.001
   -0.011,    0.002,    0.008
   -0.006,    0.003,    0.014
   -0.001,    0.003,    0.016
   -0.000,    0.001,    0.012
   -0.002,   -0.002,    0.002
   -0.005,   -0.007,   -0.007
   -0.006,   -0.009,   -0.008
   -0.006,   -0.009,   -0.002
   -0.005,   -0.007,    0.008
   -0.003,   -0.006,    0.015
   -0.001,   -0.005,    0.018
    0.000,   -0.002,    0.021
    0.000,    0.001,    0.027
    0.000,    0.005,    0.032
    0.000,    0.007,    0.029
    0.002,    0.009,    0.018
    0.004,    0.011,    0.005
    0.007,    0.012,   -0.000
    0.005,    0.014,   -0.002
    0.000,    0.014,   -0.001
   -0.004,    0.012,   -0.002
   -0.008,    0.010,    0.000
   -0.007,    0.007,    0.010
   -0.004,    0.004,    0.026
   -0.002,    0.001,    0.042
   -0.002,   -0.002,    0.051
   -0.002,   -0.005,    0.049
   -0.000,   -0.007,    0.036
    0.000,   -0.011,    0.017
   -0.000,   -0.016,   -0.000
   -0.006,   -0.020,   -0.011
   -0.011,   -0.020,   -0.012
   -0.014,   -0.016,   -0.004
   -0.013,   -0.011,    0.010
   -0.010,   -0.008,    0.021
   -0.008,   -0.005,    0.026
   -0.006,    0.000,    0.023
   -0.002,    0.010,    0.015
    0.004,    0.020,    0.004
    0.011,    0.025,   -0.006
    0.014,    0.025,   -0.013
    0.012,    0.022,   -0.014
    0.010,    0.018,   -0.006
    0.009,    0.015,    0.011
    0.011,    0.008,    0.030
    0.011,    0.001,    0.044
    0.006,   -0.004,    0.046
   -0.000,   -0.006,    0.038
   -0.005,   -0.006,    0.025
   -0.005,   -0.007,    0.010
   -0.004,   -0.011,   -0.004
   -0.004,   -0.013,   -0.021
   -0.006,   -0.009,   -0.041
   -0.006,   -0.004,   -0.056
   -0.004,   -0.002,   -0.061
   -0.004,   -0.003,   -0.057
   -0.009,   -0.007,   -0.046
   -0.018,   -0.006,   -0.032
