SITE CODE= çLîˆí¨ï¿ñÿí 
LAT=  42.2948
LON= 143.3173
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 50
NS, EW, UD
   -0.048,   -0.209,    0.221
    0.077,   -0.202,    0.401
    0.239,   -0.131,    0.802
    0.165,   -0.052,    0.953
   -0.192,   -0.025,    0.546
   -0.561,   -0.080,   -0.201
   -0.624,   -0.189,   -0.744
   -0.347,   -0.252,   -0.720
   -0.000,   -0.167,   -0.260
    0.140,    0.063,    0.183
    0.069,    0.308,    0.251
   -0.011,    0.393,   -0.056
    0.037,    0.255,   -0.448
    0.144,    0.000,   -0.610
    0.134,   -0.176,   -0.452
   -0.045,   -0.158,   -0.143
   -0.271,    0.021,    0.049
   -0.387,    0.247,    0.004
   -0.351,    0.428,   -0.147
   -0.237,    0.546,   -0.157
   -0.122,    0.591,    0.069
   -0.022,    0.516,    0.360
    0.066,    0.296,    0.436
    0.127,    0.027,    0.204
    0.137,   -0.089,   -0.123
    0.104,    0.082,   -0.225
    0.053,    0.432,    0.015
   -0.025,    0.664,    0.384
   -0.162,    0.566,    0.529
   -0.309,    0.239,    0.282
   -0.305,    0.002,   -0.186
   -0.032,    0.060,   -0.522
    0.389,    0.292,   -0.517
    0.615,    0.387,   -0.287
    0.384,    0.181,   -0.141
   -0.165,   -0.180,   -0.251
   -0.562,   -0.404,   -0.467
   -0.449,   -0.352,   -0.476
    0.040,   -0.151,   -0.147
    0.403,   -0.028,    0.291
    0.271,   -0.070,    0.466
   -0.213,   -0.159,    0.252
   -0.570,   -0.131,   -0.091
   -0.489,    0.034,   -0.199
   -0.123,    0.191,    0.012
    0.125,    0.176,    0.278
    0.050,   -0.010,    0.300
   -0.182,   -0.192,    0.091
   -0.283,   -0.193,   -0.060
   -0.165,   -0.025,    0.046
   -0.002,    0.116,    0.268
    0.030,    0.057,    0.286
   -0.027,   -0.163,   -0.004
    0.009,   -0.339,   -0.352
    0.216,   -0.317,   -0.431
    0.437,   -0.158,   -0.203
    0.455,   -0.043,    0.054
    0.248,   -0.062,    0.086
    0.043,   -0.138,   -0.064
    0.087,   -0.149,   -0.160
    0.371,   -0.085,   -0.104
    0.627,   -0.030,   -0.057
    0.596,   -0.023,   -0.191
    0.296,   -0.008,   -0.425
   -0.009,    0.064,   -0.477
   -0.099,    0.134,   -0.198
   -0.015,    0.097,    0.221
    0.030,   -0.046,    0.443
   -0.074,   -0.164,    0.323
   -0.221,   -0.142,    0.040
   -0.236,   -0.014,   -0.128
   -0.118,    0.088,   -0.081
   -0.037,    0.114,    0.059
   -0.123,    0.141,    0.125
   -0.300,    0.232,    0.066
   -0.403,    0.302,   -0.057
   -0.383,    0.191,   -0.172
   -0.340,   -0.125,   -0.241
   -0.344,   -0.458,   -0.252
   -0.310,   -0.581,   -0.199
   -0.118,   -0.463,   -0.091
    0.159,   -0.279,    0.043
    0.276,   -0.186,    0.184
    0.073,   -0.148,    0.332
   -0.305,   -0.027,    0.482
   -0.531,    0.186,    0.596
   -0.432,    0.303,    0.625
   -0.153,    0.154,    0.558
    0.045,   -0.182,    0.421
    0.088,   -0.429,    0.243
    0.130,   -0.402,    0.053
    0.310,   -0.200,   -0.086
    0.540,   -0.062,   -0.076
    0.603,   -0.079,    0.110
    0.413,   -0.091,    0.339
    0.138,    0.061,    0.399
    0.027,    0.300,    0.225
    0.158,    0.368,   -0.009
    0.378,    0.147,   -0.094
    0.474,   -0.153,   -0.028
    0.380,   -0.209,   -0.006
    0.217,    0.070,   -0.135
    0.143,    0.437,   -0.266
    0.191,    0.592,   -0.192
    0.235,    0.483,    0.049
    0.127,    0.307,    0.198
   -0.140,    0.223,    0.112
   -0.404,    0.177,   -0.032
   -0.471,    0.025,    0.022
   -0.316,   -0.237,    0.255
   -0.116,   -0.449,    0.375
   -0.061,   -0.466,    0.207
   -0.146,   -0.318,   -0.068
   -0.188,   -0.131,   -0.145
   -0.066,    0.028,   -0.007
    0.113,    0.187,    0.061
    0.144,    0.344,   -0.145
   -0.011,    0.416,   -0.467
   -0.153,    0.338,   -0.563
   -0.080,    0.171,   -0.320
    0.150,    0.053,    0.038
    0.282,    0.038,    0.248
    0.178,    0.057,    0.290
   -0.010,    0.045,    0.335
   -0.035,    0.047,    0.456
    0.129,    0.137,    0.522
    0.275,    0.272,    0.375
    0.240,    0.309,    0.045
    0.113,    0.193,   -0.265
    0.095,    0.056,   -0.385
    0.205,    0.065,   -0.312
    0.258,    0.203,   -0.169
    0.143,    0.275,   -0.062
    0.010,    0.152,   -0.002
    0.071,   -0.074,    0.068
    0.272,   -0.223,    0.188
    0.296,   -0.255,    0.326
   -0.041,   -0.296,    0.366
   -0.505,   -0.426,    0.190
   -0.640,   -0.534,   -0.196
   -0.296,   -0.448,   -0.593
    0.200,   -0.189,   -0.701
    0.413,    0.020,   -0.354
    0.269,    0.002,    0.275
    0.070,   -0.166,    0.752
    0.061,   -0.247,    0.719
    0.143,   -0.113,    0.235
    0.065,    0.124,   -0.245
   -0.187,    0.273,   -0.282
   -0.351,    0.284,    0.123
   -0.231,    0.268,    0.529
    0.039,    0.318,    0.519
    0.178,    0.379,    0.129
    0.121,    0.337,   -0.229
    0.081,    0.175,   -0.260
    0.230,    0.004,   -0.074
    0.449,   -0.077,    0.046
    0.483,   -0.107,    0.078
    0.277,   -0.194,    0.262
    0.028,   -0.372,    0.667
   -0.111,   -0.538,    0.921
   -0.234,   -0.562,    0.574
   -0.506,   -0.429,   -0.309
   -0.841,   -0.235,   -1.086
   -0.935,   -0.078,   -1.152
   -0.628,    0.014,   -0.542
