SITE CODE= êVêÁçŒãÛç`
LAT=  42.7839
LON= 141.6788
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 00
NS, EW, UD
    0.008,   -0.008,   -0.021
   -0.019,   -0.002,    0.007
   -0.001,   -0.023,    0.011
    0.021,   -0.008,   -0.035
   -0.001,    0.034,   -0.033
   -0.008,   -0.000,    0.029
    0.000,   -0.005,    0.045
    0.017,    0.004,   -0.011
    0.001,    0.006,   -0.039
   -0.023,    0.004,   -0.003
    0.001,   -0.018,    0.028
    0.010,    0.003,    0.009
    0.007,    0.005,   -0.015
    0.004,   -0.015,   -0.003
   -0.013,    0.003,   -0.010
   -0.006,    0.008,   -0.016
    0.000,    0.001,   -0.004
   -0.007,    0.004,   -0.021
    0.000,   -0.005,    0.003
    0.007,   -0.016,    0.027
    0.005,   -0.001,   -0.003
    0.000,    0.015,   -0.008
   -0.000,    0.005,   -0.004
    0.007,   -0.004,    0.007
    0.001,    0.000,    0.020
   -0.013,    0.000,   -0.011
   -0.004,   -0.003,   -0.027
    0.001,   -0.001,   -0.019
    0.006,    0.006,   -0.003
    0.009,    0.011,    0.018
   -0.005,    0.001,    0.009
    0.000,   -0.014,   -0.006
   -0.000,    0.009,   -0.005
   -0.003,    0.009,    0.001
   -0.001,   -0.008,    0.017
   -0.008,    0.000,    0.013
    0.009,   -0.010,   -0.017
    0.008,    0.012,   -0.026
    0.000,    0.008,   -0.003
    0.000,   -0.021,    0.013
   -0.008,    0.000,    0.000
    0.000,    0.000,   -0.022
   -0.005,    0.007,   -0.008
   -0.014,   -0.006,    0.023
   -0.001,   -0.015,    0.008
    0.008,    0.028,   -0.015
    0.009,    0.001,   -0.000
   -0.001,   -0.019,    0.005
    0.009,    0.006,   -0.006
    0.013,    0.003,   -0.029
   -0.009,    0.009,   -0.016
   -0.004,   -0.005,    0.024
   -0.009,   -0.004,    0.019
   -0.003,    0.012,    0.014
    0.010,   -0.011,    0.006
   -0.005,   -0.001,   -0.027
    0.018,    0.005,   -0.023
