SITE CODE= ã‡ëÚésêºîO
LAT=  36.5892
LON= 136.6341
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 00
NS, EW, UD
    0.175,    0.414,    0.177
    0.143,    0.398,    0.180
    0.112,    0.382,    0.183
    0.079,    0.365,    0.184
    0.047,    0.346,    0.185
    0.016,    0.327,    0.187
   -0.017,    0.308,    0.191
   -0.050,    0.287,    0.196
   -0.085,    0.265,    0.198
   -0.120,    0.242,    0.198
   -0.152,    0.219,    0.194
   -0.184,    0.197,    0.189
   -0.214,    0.176,    0.182
   -0.243,    0.154,    0.172
   -0.273,    0.131,    0.159
   -0.302,    0.108,    0.144
   -0.333,    0.086,    0.127
   -0.364,    0.065,    0.109
   -0.392,    0.043,    0.094
   -0.419,    0.021,    0.081
   -0.444,    0.000,    0.071
   -0.468,   -0.021,    0.062
   -0.492,   -0.042,    0.053
   -0.515,   -0.063,    0.044
   -0.537,   -0.084,    0.036
   -0.559,   -0.105,    0.028
   -0.582,   -0.127,    0.018
   -0.605,   -0.148,    0.009
   -0.627,   -0.169,   -0.000
   -0.647,   -0.191,   -0.008
   -0.664,   -0.214,   -0.012
   -0.678,   -0.239,   -0.014
   -0.686,   -0.262,   -0.012
   -0.688,   -0.284,   -0.007
   -0.683,   -0.304,    0.000
   -0.673,   -0.323,    0.009
   -0.657,   -0.340,    0.022
   -0.637,   -0.353,    0.036
   -0.614,   -0.362,    0.050
   -0.588,   -0.370,    0.062
   -0.560,   -0.375,    0.072
   -0.528,   -0.377,    0.082
   -0.495,   -0.376,    0.091
   -0.461,   -0.372,    0.097
   -0.426,   -0.366,    0.101
   -0.389,   -0.358,    0.104
   -0.350,   -0.345,    0.109
   -0.309,   -0.329,    0.113
   -0.267,   -0.309,    0.118
   -0.223,   -0.287,    0.123
   -0.178,   -0.260,    0.131
   -0.132,   -0.232,    0.141
   -0.087,   -0.201,    0.152
   -0.045,   -0.170,    0.163
   -0.002,   -0.141,    0.172
    0.041,   -0.111,    0.179
    0.082,   -0.083,    0.183
    0.122,   -0.055,    0.184
    0.161,   -0.029,    0.180
    0.198,   -0.004,    0.174
    0.235,    0.019,    0.168
    0.269,    0.041,    0.161
    0.303,    0.061,    0.155
    0.334,    0.080,    0.150
    0.362,    0.099,    0.144
    0.390,    0.117,    0.138
    0.417,    0.134,    0.135
    0.442,    0.152,    0.134
    0.465,    0.169,    0.132
    0.487,    0.184,    0.131
    0.507,    0.198,    0.130
    0.524,    0.209,    0.132
    0.539,    0.220,    0.134
    0.551,    0.230,    0.138
    0.562,    0.240,    0.142
    0.571,    0.247,    0.147
    0.578,    0.252,    0.153
    0.581,    0.255,    0.159
    0.581,    0.256,    0.166
    0.579,    0.255,    0.171
    0.573,    0.250,    0.174
    0.564,    0.240,    0.176
    0.552,    0.227,    0.178
    0.538,    0.212,    0.179
    0.523,    0.194,    0.180
    0.506,    0.173,    0.180
    0.487,    0.148,    0.177
    0.467,    0.122,    0.171
    0.447,    0.097,    0.166
    0.427,    0.072,    0.162
    0.407,    0.048,    0.157
    0.389,    0.022,    0.149
    0.375,   -0.002,    0.138
    0.361,   -0.027,    0.125
    0.348,   -0.052,    0.108
    0.334,   -0.077,    0.088
    0.321,   -0.103,    0.064
    0.310,   -0.129,    0.037
    0.299,   -0.157,    0.010
    0.288,   -0.184,   -0.017
    0.276,   -0.211,   -0.041
    0.265,   -0.237,   -0.063
    0.255,   -0.265,   -0.082
    0.246,   -0.294,   -0.098
    0.238,   -0.322,   -0.109
    0.228,   -0.348,   -0.117
    0.219,   -0.371,   -0.123
    0.212,   -0.392,   -0.128
    0.205,   -0.414,   -0.134
    0.198,   -0.432,   -0.139
    0.191,   -0.446,   -0.147
    0.182,   -0.457,   -0.156
    0.172,   -0.468,   -0.163
    0.162,   -0.477,   -0.167
    0.152,   -0.483,   -0.167
    0.141,   -0.487,   -0.165
    0.130,   -0.489,   -0.161
    0.122,   -0.492,   -0.156
    0.114,   -0.496,   -0.149
    0.109,   -0.501,   -0.143
    0.107,   -0.505,   -0.137
    0.107,   -0.510,   -0.131
    0.109,   -0.517,   -0.125
    0.111,   -0.524,   -0.119
    0.115,   -0.532,   -0.113
    0.121,   -0.539,   -0.105
    0.128,   -0.545,   -0.094
    0.136,   -0.551,   -0.081
    0.141,   -0.557,   -0.069
    0.147,   -0.562,   -0.058
    0.154,   -0.565,   -0.044
    0.161,   -0.568,   -0.026
    0.167,   -0.570,   -0.005
    0.171,   -0.572,    0.018
    0.174,   -0.572,    0.043
    0.178,   -0.569,    0.071
    0.182,   -0.564,    0.101
    0.186,   -0.556,    0.130
    0.188,   -0.544,    0.157
    0.189,   -0.529,    0.182
    0.189,   -0.512,    0.206
    0.190,   -0.491,    0.227
    0.191,   -0.466,    0.243
    0.190,   -0.439,    0.256
    0.187,   -0.412,    0.266
    0.184,   -0.384,    0.273
    0.181,   -0.357,    0.278
    0.177,   -0.329,    0.283
    0.172,   -0.301,    0.285
    0.165,   -0.274,    0.287
    0.159,   -0.248,    0.287
    0.153,   -0.222,    0.286
    0.152,   -0.196,    0.282
    0.152,   -0.169,    0.275
    0.152,   -0.144,    0.264
    0.152,   -0.121,    0.252
    0.151,   -0.100,    0.238
    0.150,   -0.080,    0.223
    0.150,   -0.063,    0.205
    0.151,   -0.050,    0.185
    0.153,   -0.041,    0.163
    0.158,   -0.035,    0.142
    0.166,   -0.033,    0.123
    0.175,   -0.036,    0.105
    0.187,   -0.043,    0.087
    0.198,   -0.053,    0.071
    0.211,   -0.064,    0.055
    0.225,   -0.078,    0.041
    0.237,   -0.095,    0.029
    0.248,   -0.112,    0.016
    0.261,   -0.131,    0.006
    0.276,   -0.147,   -0.003
    0.293,   -0.164,   -0.012
    0.311,   -0.180,   -0.024
    0.328,   -0.197,   -0.039
    0.348,   -0.212,   -0.055
    0.371,   -0.225,   -0.073
    0.396,   -0.234,   -0.092
    0.422,   -0.240,   -0.114
    0.448,   -0.243,   -0.138
    0.477,   -0.244,   -0.162
    0.507,   -0.244,   -0.186
    0.537,   -0.243,   -0.209
    0.565,   -0.241,   -0.232
    0.590,   -0.235,   -0.252
    0.612,   -0.230,   -0.270
    0.630,   -0.227,   -0.287
    0.646,   -0.226,   -0.302
    0.659,   -0.224,   -0.316
    0.670,   -0.221,   -0.329
    0.677,   -0.221,   -0.340
    0.680,   -0.223,   -0.350
    0.683,   -0.227,   -0.360
    0.684,   -0.228,   -0.368
