SITE CODE= çÇâ™ésïöñÿ
LAT=  36.7923
LON= 137.0560
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 40
NS, EW, UD
    0.132,   -0.112,    0.303
    0.139,   -0.096,    0.270
    0.148,   -0.082,    0.240
    0.160,   -0.072,    0.216
    0.177,   -0.066,    0.194
    0.197,   -0.061,    0.174
    0.218,   -0.057,    0.155
    0.237,   -0.057,    0.143
    0.253,   -0.061,    0.138
    0.266,   -0.067,    0.140
    0.278,   -0.072,    0.145
    0.285,   -0.075,    0.154
    0.290,   -0.078,    0.164
    0.290,   -0.080,    0.176
    0.286,   -0.078,    0.188
    0.282,   -0.071,    0.198
    0.278,   -0.062,    0.207
    0.281,   -0.052,    0.214
    0.289,   -0.042,    0.218
    0.299,   -0.029,    0.217
    0.309,   -0.010,    0.212
    0.319,    0.015,    0.203
    0.331,    0.040,    0.192
    0.345,    0.066,    0.181
    0.357,    0.098,    0.166
    0.362,    0.140,    0.144
    0.361,    0.187,    0.114
    0.358,    0.231,    0.078
    0.356,    0.268,    0.038
    0.354,    0.299,   -0.001
    0.344,    0.332,   -0.038
    0.328,    0.368,   -0.074
    0.305,    0.398,   -0.108
    0.282,    0.417,   -0.142
    0.258,    0.422,   -0.176
    0.234,    0.421,   -0.207
    0.209,    0.423,   -0.234
    0.184,    0.428,   -0.251
    0.162,    0.435,   -0.261
    0.141,    0.442,   -0.268
    0.117,    0.450,   -0.273
    0.091,    0.459,   -0.278
    0.066,    0.464,   -0.284
    0.041,    0.462,   -0.288
    0.020,    0.449,   -0.293
    0.005,    0.433,   -0.301
   -0.003,    0.414,   -0.314
   -0.002,    0.393,   -0.329
    0.005,    0.367,   -0.346
    0.015,    0.338,   -0.365
    0.025,    0.312,   -0.387
    0.037,    0.294,   -0.410
    0.055,    0.283,   -0.432
    0.079,    0.275,   -0.450
    0.104,    0.269,   -0.466
    0.121,    0.268,   -0.481
    0.131,    0.272,   -0.498
    0.140,    0.276,   -0.514
    0.155,    0.271,   -0.527
    0.176,    0.252,   -0.535
    0.198,    0.227,   -0.537
    0.215,    0.205,   -0.531
    0.223,    0.189,   -0.515
    0.230,    0.174,   -0.489
    0.238,    0.155,   -0.455
    0.247,    0.133,   -0.419
    0.253,    0.109,   -0.382
    0.253,    0.088,   -0.342
    0.250,    0.068,   -0.298
    0.247,    0.050,   -0.253
    0.244,    0.034,   -0.214
    0.240,    0.022,   -0.179
    0.230,    0.013,   -0.145
    0.212,    0.005,   -0.111
    0.189,   -0.001,   -0.077
    0.165,   -0.005,   -0.049
    0.139,   -0.011,   -0.030
    0.116,   -0.017,   -0.016
    0.094,   -0.021,   -0.004
    0.076,   -0.020,    0.005
    0.061,   -0.014,    0.010
    0.046,   -0.007,    0.007
    0.028,   -0.009,   -0.001
    0.008,   -0.017,   -0.009
   -0.015,   -0.022,   -0.015
   -0.040,   -0.017,   -0.020
   -0.069,   -0.003,   -0.025
   -0.101,    0.011,   -0.028
   -0.131,    0.015,   -0.026
   -0.157,    0.015,   -0.015
   -0.181,    0.019,   -0.001
   -0.205,    0.029,    0.012
   -0.229,    0.042,    0.023
   -0.251,    0.049,    0.032
   -0.265,    0.050,    0.040
   -0.268,    0.046,    0.047
   -0.264,    0.040,    0.054
   -0.259,    0.032,    0.058
   -0.257,    0.021,    0.064
   -0.258,    0.007,    0.072
   -0.263,   -0.007,    0.077
   -0.272,   -0.017,    0.080
   -0.285,   -0.021,    0.082
   -0.301,   -0.022,    0.087
   -0.322,   -0.023,    0.096
   -0.344,   -0.025,    0.108
   -0.366,   -0.025,    0.119
   -0.385,   -0.021,    0.126
   -0.398,   -0.018,    0.130
   -0.402,   -0.017,    0.130
   -0.399,   -0.019,    0.125
   -0.393,   -0.022,    0.113
   -0.389,   -0.018,    0.099
   -0.387,   -0.004,    0.086
   -0.385,    0.018,    0.069
   -0.378,    0.041,    0.046
   -0.366,    0.060,    0.018
   -0.350,    0.076,   -0.012
   -0.333,    0.095,   -0.034
   -0.312,    0.117,   -0.048
   -0.285,    0.139,   -0.059
   -0.250,    0.157,   -0.070
   -0.207,    0.172,   -0.080
   -0.160,    0.187,   -0.086
   -0.114,    0.204,   -0.087
   -0.067,    0.219,   -0.086
   -0.017,    0.230,   -0.082
    0.039,    0.235,   -0.075
    0.097,    0.241,   -0.059
    0.153,    0.250,   -0.034
    0.202,    0.263,   -0.004
    0.246,    0.271,    0.028
    0.289,    0.271,    0.061
    0.329,    0.263,    0.094
    0.363,    0.253,    0.128
    0.387,    0.248,    0.160
    0.404,    0.244,    0.189
    0.419,    0.235,    0.216
    0.436,    0.219,    0.243
    0.453,    0.198,    0.267
    0.464,    0.173,    0.287
    0.466,    0.148,    0.299
    0.461,    0.123,    0.304
    0.456,    0.094,    0.305
    0.456,    0.065,    0.301
    0.462,    0.041,    0.291
    0.469,    0.023,    0.276
    0.473,    0.011,    0.260
    0.472,   -0.003,    0.243
    0.465,   -0.020,    0.223
    0.456,   -0.040,    0.201
    0.447,   -0.058,    0.175
    0.439,   -0.075,    0.150
    0.434,   -0.091,    0.124
    0.430,   -0.109,    0.098
    0.421,   -0.125,    0.071
    0.408,   -0.138,    0.043
    0.392,   -0.147,    0.018
    0.376,   -0.154,   -0.001
    0.361,   -0.162,   -0.016
    0.346,   -0.171,   -0.031
    0.330,   -0.180,   -0.047
    0.319,   -0.189,   -0.064
    0.314,   -0.195,   -0.080
    0.316,   -0.199,   -0.094
    0.319,   -0.204,   -0.106
    0.322,   -0.211,   -0.114
    0.327,   -0.222,   -0.114
    0.339,   -0.236,   -0.107
    0.357,   -0.251,   -0.096
    0.375,   -0.268,   -0.086
    0.387,   -0.286,   -0.082
    0.395,   -0.305,   -0.082
    0.402,   -0.325,   -0.088
    0.412,   -0.340,   -0.096
    0.421,   -0.351,   -0.106
    0.423,   -0.357,   -0.118
    0.421,   -0.362,   -0.131
    0.421,   -0.366,   -0.145
    0.426,   -0.366,   -0.161
    0.429,   -0.360,   -0.178
    0.415,   -0.346,   -0.194
    0.383,   -0.329,   -0.212
    0.343,   -0.312,   -0.232
    0.309,   -0.298,   -0.253
    0.287,   -0.282,   -0.277
    0.268,   -0.262,   -0.299
    0.244,   -0.235,   -0.318
    0.213,   -0.208,   -0.329
    0.184,   -0.184,   -0.333
    0.162,   -0.171,   -0.331
    0.146,   -0.166,   -0.323
    0.129,   -0.166,   -0.312
    0.108,   -0.169,   -0.297
    0.088,   -0.173,   -0.279
    0.071,   -0.178,   -0.259
    0.058,   -0.182,   -0.240
    0.047,   -0.183,   -0.222
    0.037,   -0.183,   -0.207
    0.031,   -0.182,   -0.195
    0.027,   -0.175,   -0.187
    0.022,   -0.164,   -0.185
    0.017,   -0.145,   -0.188
    0.011,   -0.121,   -0.194
    0.007,   -0.095,   -0.202
    0.007,   -0.067,   -0.209
    0.010,   -0.035,   -0.219
    0.015,    0.004,   -0.230
    0.022,    0.048,   -0.238
    0.030,    0.094,   -0.241
    0.037,    0.141,   -0.235
    0.040,    0.189,   -0.224
    0.041,    0.238,   -0.210
    0.046,    0.285,   -0.196
    0.054,    0.323,   -0.181
    0.060,    0.347,   -0.168
    0.059,    0.359,   -0.155
    0.049,    0.367,   -0.145
    0.034,    0.379,   -0.134
    0.023,    0.393,   -0.125
    0.017,    0.404,   -0.120
    0.013,    0.408,   -0.121
    0.003,    0.405,   -0.128
   -0.011,    0.397,   -0.139
   -0.028,    0.387,   -0.148
   -0.043,    0.377,   -0.153
   -0.056,    0.364,   -0.154
   -0.070,    0.348,   -0.157
   -0.084,    0.329,   -0.163
   -0.097,    0.305,   -0.173
   -0.109,    0.279,   -0.188
   -0.119,    0.253,   -0.203
   -0.128,    0.231,   -0.218
   -0.139,    0.212,   -0.230
   -0.148,    0.198,   -0.239
   -0.155,    0.186,   -0.250
   -0.159,    0.175,   -0.266
   -0.159,    0.161,   -0.284
   -0.153,    0.142,   -0.304
   -0.140,    0.121,   -0.322
   -0.123,    0.099,   -0.339
   -0.102,    0.081,   -0.357
   -0.081,    0.067,   -0.376
   -0.058,    0.057,   -0.392
   -0.033,    0.049,   -0.401
   -0.007,    0.039,   -0.401
    0.017,    0.032,   -0.390
    0.033,    0.029,   -0.369
    0.039,    0.029,   -0.340
    0.042,    0.029,   -0.307
    0.044,    0.023,   -0.274
    0.048,    0.012,   -0.246
    0.050,   -0.002,   -0.218
    0.052,   -0.016,   -0.189
    0.050,   -0.027,   -0.156
    0.046,   -0.037,   -0.120
    0.039,   -0.048,   -0.085
    0.030,   -0.057,   -0.053
    0.020,   -0.064,   -0.024
    0.013,   -0.066,    0.000
    0.008,   -0.068,    0.018
    0.004,   -0.072,    0.032
   -0.001,   -0.082,    0.043
   -0.007,   -0.096,    0.059
   -0.010,   -0.110,    0.077
   -0.010,   -0.121,    0.097
   -0.009,   -0.133,    0.113
   -0.009,   -0.147,    0.127
   -0.013,   -0.164,    0.140
   -0.017,   -0.179,    0.157
   -0.019,   -0.184,    0.176
   -0.020,   -0.180,    0.196
   -0.023,   -0.173,    0.216
   -0.028,   -0.165,    0.235
   -0.032,   -0.160,    0.256
   -0.031,   -0.152,    0.278
   -0.027,   -0.143,    0.301
   -0.024,   -0.138,    0.325
   -0.026,   -0.141,    0.346
   -0.033,   -0.153,    0.365
   -0.042,   -0.169,    0.380
   -0.052,   -0.182,    0.388
   -0.062,   -0.195,    0.391
   -0.073,   -0.212,    0.390
   -0.086,   -0.229,    0.384
   -0.100,   -0.241,    0.374
   -0.118,   -0.239,    0.357
   -0.142,   -0.229,    0.337
   -0.171,   -0.218,    0.316
   -0.202,   -0.212,    0.301
   -0.234,   -0.207,    0.294
   -0.268,   -0.198,    0.289
   -0.306,   -0.183,    0.286
   -0.345,   -0.171,    0.285
   -0.378,   -0.169,    0.286
   -0.402,   -0.172,    0.293
   -0.415,   -0.178,    0.302
   -0.422,   -0.182,    0.315
   -0.425,   -0.184,    0.330
   -0.421,   -0.190,    0.348
   -0.410,   -0.198,    0.367
   -0.390,   -0.205,    0.387
   -0.365,   -0.212,    0.407
   -0.340,   -0.223,    0.428
   -0.317,   -0.246,    0.453
   -0.293,   -0.281,    0.480
   -0.266,   -0.326,    0.506
   -0.235,   -0.373,    0.527
   -0.205,   -0.419,    0.543
   -0.178,   -0.464,    0.554
   -0.154,   -0.507,    0.557
   -0.133,   -0.547,    0.548
   -0.114,   -0.581,    0.525
   -0.100,   -0.607,    0.489
   -0.090,   -0.625,    0.444
   -0.082,   -0.634,    0.394
   -0.071,   -0.635,    0.340
   -0.057,   -0.629,    0.289
   -0.044,   -0.619,    0.244
   -0.032,   -0.610,    0.209
   -0.022,   -0.604,    0.180
   -0.012,   -0.605,    0.153
    0.000,   -0.611,    0.125
    0.011,   -0.624,    0.098
    0.019,   -0.639,    0.075
    0.021,   -0.651,    0.058
    0.023,   -0.656,    0.043
    0.027,   -0.653,    0.025
    0.032,   -0.644,    0.004
    0.035,   -0.633,   -0.018
    0.037,   -0.622,   -0.041
    0.037,   -0.610,   -0.064
    0.039,   -0.595,   -0.091
    0.046,   -0.574,   -0.120
    0.057,   -0.552,   -0.151
    0.067,   -0.533,   -0.179
    0.072,   -0.519,   -0.204
    0.071,   -0.507,   -0.223
    0.069,   -0.491,   -0.234
    0.069,   -0.463,   -0.238
    0.071,   -0.426,   -0.235
    0.071,   -0.380,   -0.233
    0.065,   -0.331,   -0.235
    0.052,   -0.281,   -0.242
    0.036,   -0.230,   -0.251
    0.022,   -0.178,   -0.260
    0.005,   -0.130,   -0.268
   -0.016,   -0.084,   -0.276
   -0.041,   -0.039,   -0.288
   -0.061,    0.008,   -0.300
   -0.072,    0.055,   -0.313
   -0.078,    0.103,   -0.327
   -0.086,    0.148,   -0.346
   -0.099,    0.193,   -0.366
   -0.112,    0.237,   -0.389
   -0.116,    0.282,   -0.408
   -0.109,    0.325,   -0.424
   -0.100,    0.364,   -0.436
   -0.097,    0.401,   -0.447
   -0.102,    0.437,   -0.456
   -0.106,    0.470,   -0.462
   -0.103,    0.499,   -0.464
   -0.095,    0.519,   -0.466
   -0.089,    0.530,   -0.466
   -0.091,    0.530,   -0.466
   -0.095,    0.524,   -0.466
   -0.097,    0.513,   -0.463
   -0.098,    0.495,   -0.458
   -0.100,    0.473,   -0.453
   -0.107,    0.448,   -0.444
   -0.117,    0.419,   -0.432
   -0.123,    0.385,   -0.416
   -0.126,    0.347,   -0.398
   -0.128,    0.306,   -0.379
   -0.138,    0.268,   -0.358
   -0.156,    0.234,   -0.334
   -0.176,    0.208,   -0.308
   -0.191,    0.187,   -0.278
   -0.198,    0.169,   -0.248
   -0.202,    0.154,   -0.212
   -0.205,    0.142,   -0.172
   -0.209,    0.135,   -0.128
   -0.210,    0.134,   -0.089
   -0.204,    0.138,   -0.057
   -0.189,    0.147,   -0.031
   -0.166,    0.157,   -0.005
   -0.139,    0.169,    0.025
   -0.111,    0.183,    0.057
   -0.082,    0.199,    0.092
   -0.053,    0.216,    0.124
   -0.023,    0.234,    0.157
    0.008,    0.249,    0.189
    0.036,    0.261,    0.222
    0.059,    0.273,    0.249
    0.077,    0.283,    0.271
    0.092,    0.292,    0.286
    0.109,    0.300,    0.294
    0.125,    0.309,    0.291
    0.134,    0.321,    0.276
    0.130,    0.336,    0.252
    0.114,    0.349,    0.222
    0.093,    0.355,    0.188
    0.071,    0.357,    0.154
    0.048,    0.359,    0.118
    0.018,    0.368,    0.084
   -0.021,    0.382,    0.055
   -0.064,    0.393,    0.030
   -0.106,    0.394,    0.009
   -0.143,    0.382,   -0.008
   -0.175,    0.361,   -0.017
   -0.202,    0.339,   -0.016
   -0.225,    0.318,   -0.004
   -0.244,    0.294,    0.013
   -0.257,    0.264,    0.030
   -0.269,    0.226,    0.046
   -0.281,    0.186,    0.064
   -0.294,    0.145,    0.081
   -0.306,    0.107,    0.095
   -0.315,    0.075,    0.102
   -0.324,    0.050,    0.102
   -0.335,    0.036,    0.100
   -0.348,    0.030,    0.104
   -0.364,    0.030,    0.112
   -0.380,    0.033,    0.123
   -0.399,    0.041,    0.137
   -0.416,    0.056,    0.155
   -0.430,    0.077,    0.179
   -0.437,    0.094,    0.207
   -0.435,    0.102,    0.237
   -0.432,    0.099,    0.267
   -0.433,    0.089,    0.297
   -0.439,    0.075,    0.326
   -0.446,    0.053,    0.351
   -0.452,    0.018,    0.369
   -0.459,   -0.023,    0.378
   -0.469,   -0.062,    0.383
   -0.480,   -0.097,    0.383
   -0.490,   -0.130,    0.378
   -0.491,   -0.169,    0.367
   -0.487,   -0.216,    0.350
   -0.480,   -0.260,    0.331
   -0.474,   -0.295,    0.311
   -0.466,   -0.324,    0.289
   -0.453,   -0.353,    0.265
   -0.433,   -0.390,    0.242
   -0.411,   -0.429,    0.226
   -0.392,   -0.462,    0.218
   -0.376,   -0.488,    0.216
   -0.364,   -0.513,    0.217
   -0.349,   -0.544,    0.216
   -0.331,   -0.577,    0.216
   -0.311,   -0.607,    0.216
   -0.296,   -0.632,    0.215
   -0.289,   -0.655,    0.212
   -0.288,   -0.679,    0.205
   -0.291,   -0.699,    0.196
   -0.294,   -0.708,    0.186
   -0.300,   -0.701,    0.176
   -0.307,   -0.683,    0.164
   -0.313,   -0.662,    0.149
