SITE CODE= èºñ{ésëÚë∫
LAT=  36.2467
LON= 137.9704
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 50
NS, EW, UD
   -0.071,   -0.263,    0.064
   -0.023,   -0.318,    0.128
    0.015,   -0.348,    0.133
    0.041,   -0.350,    0.081
    0.057,   -0.336,    0.029
    0.072,   -0.323,    0.039
    0.086,   -0.316,    0.104
    0.096,   -0.309,    0.151
    0.099,   -0.288,    0.113
    0.098,   -0.250,    0.006
    0.104,   -0.202,   -0.081
    0.123,   -0.160,   -0.069
    0.149,   -0.141,    0.041
    0.168,   -0.150,    0.177
    0.170,   -0.179,    0.261
    0.155,   -0.203,    0.263
    0.137,   -0.200,    0.193
    0.130,   -0.161,    0.075
    0.138,   -0.101,   -0.065
    0.153,   -0.052,   -0.177
    0.162,   -0.031,   -0.206
    0.157,   -0.035,   -0.137
    0.144,   -0.045,   -0.022
    0.131,   -0.045,    0.060
    0.126,   -0.031,    0.068
    0.126,   -0.007,    0.037
    0.117,    0.021,    0.030
    0.089,    0.052,    0.064
    0.046,    0.084,    0.096
    0.006,    0.114,    0.071
   -0.004,    0.140,   -0.016
    0.026,    0.166,   -0.116
    0.084,    0.192,   -0.168
    0.139,    0.213,   -0.150
    0.159,    0.221,   -0.084
    0.137,    0.211,   -0.010
    0.089,    0.198,    0.042
    0.042,    0.194,    0.059
    0.014,    0.205,    0.047
    0.004,    0.218,    0.023
   -0.000,    0.216,    0.012
   -0.011,    0.198,    0.028
   -0.027,    0.173,    0.063
   -0.041,    0.157,    0.090
   -0.044,    0.147,    0.086
   -0.034,    0.134,    0.054
   -0.018,    0.105,    0.024
   -0.007,    0.057,    0.022
   -0.010,   -0.007,    0.052
   -0.033,   -0.077,    0.098
   -0.068,   -0.142,    0.155
   -0.101,   -0.192,    0.224
   -0.115,   -0.216,    0.301
   -0.107,   -0.208,    0.353
   -0.086,   -0.175,    0.340
   -0.070,   -0.133,    0.259
   -0.068,   -0.103,    0.171
   -0.079,   -0.098,    0.156
   -0.090,   -0.121,    0.244
   -0.093,   -0.157,    0.385
   -0.087,   -0.185,    0.487
   -0.075,   -0.186,    0.495
   -0.059,   -0.155,    0.420
   -0.037,   -0.105,    0.310
   -0.009,   -0.051,    0.196
    0.020,   -0.004,    0.084
    0.042,    0.036,   -0.030
    0.046,    0.069,   -0.142
    0.033,    0.093,   -0.242
    0.008,    0.094,   -0.332
   -0.020,    0.061,   -0.413
   -0.043,    0.005,   -0.479
   -0.063,   -0.051,   -0.508
   -0.086,   -0.083,   -0.475
   -0.110,   -0.083,   -0.377
   -0.130,   -0.058,   -0.236
   -0.136,   -0.022,   -0.089
   -0.126,    0.023,    0.021
   -0.106,    0.075,    0.072
   -0.086,    0.134,    0.067
   -0.068,    0.190,    0.035
   -0.048,    0.232,    0.016
   -0.021,    0.253,    0.039
    0.009,    0.253,    0.099
    0.034,    0.238,    0.172
    0.042,    0.217,    0.231
    0.029,    0.201,    0.262
    0.004,    0.196,    0.268
   -0.017,    0.202,    0.251
   -0.023,    0.212,    0.215
   -0.012,    0.212,    0.169
    0.004,    0.192,    0.128
    0.012,    0.149,    0.110
    0.005,    0.086,    0.128
   -0.016,    0.005,    0.176
   -0.051,   -0.082,    0.235
   -0.093,   -0.165,    0.276
   -0.137,   -0.227,    0.275
   -0.178,   -0.254,    0.220
   -0.213,   -0.250,    0.125
   -0.241,   -0.221,    0.012
   -0.261,   -0.184,   -0.095
   -0.273,   -0.145,   -0.195
   -0.273,   -0.107,   -0.297
   -0.260,   -0.075,   -0.408
   -0.235,   -0.057,   -0.514
   -0.199,   -0.055,   -0.585
   -0.150,   -0.062,   -0.603
   -0.092,   -0.067,   -0.579
   -0.031,   -0.059,   -0.548
    0.021,   -0.034,   -0.533
    0.057,    0.001,   -0.524
    0.077,    0.035,   -0.487
    0.088,    0.059,   -0.403
    0.094,    0.061,   -0.282
    0.092,    0.037,   -0.151
    0.077,   -0.009,   -0.029
    0.050,   -0.066,    0.073
    0.018,   -0.115,    0.137
   -0.004,   -0.146,    0.135
   -0.016,   -0.156,    0.053
   -0.023,   -0.150,   -0.086
   -0.036,   -0.129,   -0.221
   -0.060,   -0.095,   -0.291
   -0.089,   -0.054,   -0.269
   -0.110,   -0.017,   -0.175
   -0.116,    0.000,   -0.050
   -0.102,   -0.015,    0.068
   -0.073,   -0.064,    0.156
   -0.032,   -0.139,    0.207
    0.013,   -0.222,    0.217
    0.058,   -0.291,    0.191
    0.096,   -0.323,    0.140
    0.124,   -0.306,    0.087
    0.138,   -0.252,    0.046
    0.140,   -0.181,    0.011
    0.134,   -0.119,   -0.038
    0.127,   -0.077,   -0.117
    0.123,   -0.053,   -0.210
    0.129,   -0.043,   -0.280
    0.146,   -0.042,   -0.294
    0.169,   -0.040,   -0.260
    0.193,   -0.023,   -0.209
    0.210,    0.021,   -0.159
    0.221,    0.091,   -0.098
    0.227,    0.166,   -0.006
    0.230,    0.218,    0.104
    0.226,    0.235,    0.187
    0.209,    0.225,    0.214
    0.170,    0.205,    0.205
    0.112,    0.193,    0.205
    0.039,    0.195,    0.227
   -0.032,    0.214,    0.232
   -0.092,    0.244,    0.181
   -0.136,    0.278,    0.089
   -0.166,    0.301,    0.025
   -0.185,    0.301,    0.037
   -0.192,    0.274,    0.100
   -0.180,    0.225,    0.145
   -0.148,    0.170,    0.118
   -0.103,    0.122,    0.032
   -0.061,    0.090,   -0.072
   -0.034,    0.078,   -0.157
   -0.024,    0.085,   -0.211
   -0.030,    0.102,   -0.228
   -0.048,    0.119,   -0.200
   -0.077,    0.124,   -0.132
   -0.109,    0.111,   -0.050
   -0.127,    0.077,    0.010
   -0.117,    0.023,    0.044
   -0.074,   -0.040,    0.070
   -0.016,   -0.092,    0.096
    0.027,   -0.111,    0.101
    0.039,   -0.085,    0.052
    0.022,   -0.032,   -0.054
   -0.001,    0.015,   -0.168
   -0.014,    0.027,   -0.233
   -0.012,   -0.001,   -0.226
   -0.002,   -0.048,   -0.172
    0.003,   -0.098,   -0.112
    0.003,   -0.140,   -0.062
    0.001,   -0.178,   -0.006
    0.003,   -0.214,    0.080
    0.006,   -0.243,    0.196
    0.002,   -0.259,    0.313
   -0.021,   -0.261,    0.389
   -0.069,   -0.251,    0.400
   -0.132,   -0.225,    0.340
   -0.194,   -0.179,    0.234
   -0.233,   -0.116,    0.122
   -0.241,   -0.055,    0.052
   -0.224,   -0.018,    0.052
   -0.196,   -0.016,    0.116
   -0.165,   -0.043,    0.210
   -0.128,   -0.078,    0.290
   -0.077,   -0.104,    0.334
   -0.009,   -0.118,    0.344
    0.069,   -0.121,    0.339
    0.138,   -0.117,    0.322
    0.188,   -0.106,    0.289
    0.218,   -0.091,    0.238
    0.234,   -0.081,    0.183
    0.243,   -0.083,    0.147
    0.240,   -0.095,    0.140
    0.217,   -0.111,    0.152
    0.164,   -0.120,    0.162
    0.081,   -0.123,    0.166
   -0.018,   -0.127,    0.180
   -0.110,   -0.139,    0.224
   -0.173,   -0.162,    0.299
   -0.197,   -0.195,    0.378
   -0.187,   -0.237,    0.426
   -0.162,   -0.283,    0.414
   -0.140,   -0.325,    0.344
   -0.125,   -0.351,    0.235
   -0.110,   -0.356,    0.116
   -0.085,   -0.346,    0.015
   -0.049,   -0.328,   -0.052
   -0.012,   -0.301,   -0.087
    0.014,   -0.257,   -0.108
    0.025,   -0.189,   -0.131
    0.031,   -0.115,   -0.157
    0.038,   -0.057,   -0.174
    0.048,   -0.033,   -0.169
    0.055,   -0.035,   -0.149
    0.048,   -0.043,   -0.128
    0.026,   -0.043,   -0.118
   -0.007,   -0.033,   -0.119
   -0.046,   -0.020,   -0.123
   -0.093,   -0.009,   -0.123
   -0.145,   -0.006,   -0.107
   -0.202,   -0.016,   -0.053
   -0.251,   -0.044,    0.056
   -0.275,   -0.086,    0.196
   -0.261,   -0.126,    0.299
   -0.210,   -0.143,    0.296
   -0.132,   -0.133,    0.173
   -0.048,   -0.109,   -0.004
    0.023,   -0.094,   -0.125
    0.068,   -0.106,   -0.119
    0.085,   -0.139,    0.001
    0.079,   -0.174,    0.148
    0.062,   -0.185,    0.225
    0.043,   -0.156,    0.185
    0.029,   -0.089,    0.062
    0.020,   -0.004,   -0.068
    0.009,    0.068,   -0.141
   -0.010,    0.104,   -0.146
   -0.034,    0.095,   -0.118
   -0.055,    0.054,   -0.091
   -0.059,   -0.000,   -0.072
   -0.045,   -0.048,   -0.064
   -0.023,   -0.084,   -0.086
   -0.007,   -0.105,   -0.175
   -0.005,   -0.111,   -0.330
   -0.011,   -0.105,   -0.490
   -0.011,   -0.090,   -0.571
   -0.001,   -0.075,   -0.538
    0.011,   -0.062,   -0.432
    0.010,   -0.049,   -0.327
   -0.015,   -0.027,   -0.258
   -0.063,    0.002,   -0.205
   -0.123,    0.029,   -0.139
   -0.171,    0.044,   -0.067
   -0.186,    0.045,   -0.041
   -0.157,    0.046,   -0.105
   -0.097,    0.068,   -0.260
   -0.034,    0.120,   -0.463
    0.003,    0.188,   -0.645
    0.008,    0.248,   -0.748
   -0.007,    0.279,   -0.747
   -0.025,    0.275,   -0.657
   -0.037,    0.243,   -0.526
   -0.043,    0.194,   -0.407
   -0.042,    0.139,   -0.322
   -0.031,    0.082,   -0.263
   -0.004,    0.032,   -0.216
    0.032,    0.006,   -0.178
    0.066,    0.019,   -0.155
    0.081,    0.077,   -0.134
    0.074,    0.169,   -0.093
    0.056,    0.270,   -0.021
    0.038,    0.355,    0.062
    0.029,    0.407,    0.134
    0.030,    0.422,    0.198
    0.034,    0.402,    0.288
    0.034,    0.353,    0.429
    0.029,    0.287,    0.587
    0.018,    0.222,    0.680
    0.001,    0.180,    0.642
   -0.021,    0.168,    0.486
   -0.041,    0.173,    0.301
   -0.053,    0.165,    0.187
   -0.050,    0.119,    0.182
   -0.031,    0.035,    0.240
   -0.004,   -0.062,    0.278
    0.016,   -0.136,    0.246
    0.018,   -0.171,    0.159
    0.004,   -0.175,    0.077
   -0.012,   -0.165,    0.036
   -0.016,   -0.154,    0.022
   -0.009,   -0.138,   -0.016
    0.001,   -0.112,   -0.112
    0.002,   -0.082,   -0.241
   -0.003,   -0.063,   -0.344
   -0.002,   -0.070,   -0.383
    0.011,   -0.097,   -0.378
    0.029,   -0.125,   -0.385
    0.043,   -0.133,   -0.431
    0.052,   -0.114,   -0.487
    0.065,   -0.081,   -0.489
    0.095,   -0.051,   -0.410
    0.136,   -0.029,   -0.282
    0.170,   -0.004,   -0.163
    0.180,    0.035,   -0.088
    0.165,    0.096,   -0.034
    0.140,    0.167,    0.040
    0.124,    0.229,    0.141
    0.114,    0.271,    0.225
    0.092,    0.295,    0.234
    0.043,    0.313,    0.157
   -0.026,    0.333,    0.048
   -0.093,    0.346,   -0.018
   -0.130,    0.344,   -0.001
   -0.130,    0.325,    0.072
   -0.109,    0.299,    0.143
   -0.087,    0.273,    0.180
   -0.082,    0.242,    0.192
   -0.094,    0.191,    0.218
   -0.114,    0.115,    0.280
   -0.132,    0.034,    0.364
   -0.143,   -0.022,    0.437
   -0.148,   -0.034,    0.472
   -0.150,   -0.011,    0.471
   -0.152,    0.018,    0.452
   -0.153,    0.027,    0.441
   -0.144,    0.010,    0.446
   -0.125,   -0.022,    0.456
