SITE CODE= êÖåÀésã‡í¨
LAT=  36.3816
LON= 140.4680
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 00
NS, EW, UD
   -0.010,    0.015,   -0.004
   -0.014,   -0.000,    0.005
   -0.007,   -0.020,    0.011
    0.009,   -0.021,    0.007
    0.020,    0.000,   -0.004
    0.014,    0.023,   -0.010
   -0.004,    0.022,   -0.007
   -0.017,    0.001,    0.004
   -0.015,   -0.015,    0.011
   -0.004,   -0.010,    0.007
    0.008,    0.005,   -0.003
    0.015,    0.010,   -0.010
    0.018,   -0.002,   -0.007
    0.009,   -0.018,    0.004
   -0.014,   -0.025,    0.012
   -0.036,   -0.014,    0.009
   -0.030,    0.008,   -0.003
    0.007,    0.025,   -0.015
    0.044,    0.020,   -0.016
    0.043,   -0.005,   -0.005
    0.004,   -0.030,    0.009
   -0.033,   -0.031,    0.012
   -0.033,   -0.007,    0.003
   -0.004,    0.015,   -0.005
    0.016,    0.011,   -0.004
    0.011,   -0.007,    0.002
   -0.002,   -0.007,    0.003
   -0.004,    0.023,   -0.002
    0.005,    0.045,   -0.004
    0.008,    0.022,    0.002
    0.004,   -0.033,    0.009
    0.004,   -0.064,    0.010
    0.005,   -0.037,    0.004
   -0.002,    0.018,   -0.003
   -0.014,    0.046,   -0.007
   -0.015,    0.030,   -0.006
    0.005,    0.002,   -0.002
    0.027,   -0.007,    0.002
    0.023,   -0.002,    0.002
   -0.007,   -0.005,    0.000
   -0.031,   -0.019,   -0.001
   -0.028,   -0.022,    0.002
   -0.002,   -0.006,    0.003
    0.020,    0.014,   -0.000
    0.025,    0.019,   -0.005
    0.014,    0.006,   -0.007
   -0.004,   -0.012,   -0.004
   -0.017,   -0.020,   -0.000
   -0.012,   -0.014,    0.000
    0.008,    0.000,   -0.002
    0.023,    0.010,   -0.002
    0.014,    0.007,    0.002
   -0.015,   -0.003,    0.005
   -0.032,   -0.007,    0.008
   -0.021,    0.003,    0.005
    0.009,    0.016,   -0.002
    0.028,    0.014,   -0.007
    0.022,   -0.004,   -0.005
    0.000,   -0.020,    0.004
   -0.020,   -0.018,    0.009
   -0.029,   -0.003,    0.005
   -0.022,    0.012,   -0.001
   -0.003,    0.015,   -0.003
    0.021,    0.005,   -0.000
    0.033,   -0.009,    0.000
    0.023,   -0.017,   -0.000
   -0.003,   -0.014,    0.000
   -0.022,   -0.004,    0.001
   -0.018,    0.005,   -0.000
    0.003,    0.007,   -0.004
    0.020,    0.001,   -0.006
    0.017,   -0.005,   -0.003
    0.000,   -0.006,   -0.000
   -0.015,   -0.004,    0.000
   -0.014,   -0.004,    0.001
    0.000,   -0.010,    0.004
    0.015,   -0.017,    0.004
    0.017,   -0.014,    0.000
    0.003,    0.002,   -0.006
   -0.016,    0.017,   -0.007
   -0.024,    0.018,   -0.002
   -0.011,    0.005,    0.002
    0.012,   -0.008,    0.001
    0.023,   -0.011,   -0.001
    0.012,   -0.006,   -0.000
   -0.010,   -0.002,    0.004
   -0.021,   -0.001,    0.006
   -0.009,    0.002,    0.004
    0.012,    0.009,   -0.002
    0.020,    0.015,   -0.005
    0.011,    0.010,   -0.004
   -0.004,   -0.006,    0.003
   -0.008,   -0.022,    0.010
   -0.004,   -0.024,    0.012
    0.001,   -0.009,    0.007
    0.001,    0.007,   -0.000
    0.000,    0.011,   -0.005
    0.003,    0.000,   -0.006
    0.009,   -0.011,   -0.005
    0.010,   -0.009,   -0.006
    0.005,    0.003,   -0.007
   -0.007,    0.014,   -0.007
   -0.016,    0.016,   -0.002
   -0.014,    0.011,    0.005
   -0.002,    0.000,    0.007
    0.011,   -0.011,    0.005
    0.014,   -0.014,    0.002
    0.009,   -0.004,    0.001
    0.003,    0.009,    0.002
   -0.001,    0.011,    0.000
   -0.008,   -0.004,   -0.003
   -0.015,   -0.018,   -0.004
   -0.011,   -0.015,    0.000
    0.008,    0.004,    0.004
    0.025,    0.022,    0.004
    0.018,    0.023,   -0.001
   -0.007,    0.003,   -0.005
   -0.022,   -0.025,   -0.005
   -0.009,   -0.038,   -0.002
    0.014,   -0.021,    0.002
    0.016,    0.016,    0.005
   -0.006,    0.043,    0.005
   -0.023,    0.032,    0.002
   -0.009,   -0.004,   -0.002
    0.018,   -0.027,   -0.002
    0.025,   -0.019,   -0.002
    0.003,    0.004,   -0.000
   -0.018,    0.012,   -0.001
   -0.009,    0.002,   -0.001
    0.021,   -0.009,    0.001
    0.033,   -0.007,    0.002
    0.007,    0.002,    0.002
   -0.034,    0.008,   -0.001
   -0.046,    0.012,   -0.002
   -0.018,    0.015,    0.002
    0.019,    0.011,    0.004
    0.029,   -0.011,    0.000
    0.012,   -0.037,   -0.007
   -0.000,   -0.039,   -0.009
    0.008,   -0.008,   -0.004
    0.017,    0.030,    0.003
    0.005,    0.037,    0.005
   -0.023,    0.005,    0.001
   -0.034,   -0.034,   -0.004
   -0.016,   -0.042,   -0.004
    0.011,   -0.016,   -0.001
    0.021,    0.018,   -0.002
    0.016,    0.029,   -0.004
    0.015,    0.011,   -0.005
    0.022,   -0.014,   -0.001
    0.019,   -0.015,    0.004
   -0.009,    0.008,    0.005
   -0.043,    0.027,    0.003
   -0.046,    0.016,    0.002
   -0.010,   -0.014,    0.003
    0.032,   -0.025,    0.004
    0.041,   -0.001,    0.004
    0.012,    0.029,    0.000
   -0.020,    0.029,   -0.003
   -0.022,   -0.001,   -0.003
    0.001,   -0.027,    0.000
    0.016,   -0.025,    0.003
    0.003,   -0.007,    0.002
