SITE CODE= î—ìcésçÇâHí¨
LAT=  35.5232
LON= 137.8226
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 40
NS, EW, UD
    0.003,   -0.006,   -0.005
    0.000,    0.001,    0.012
    0.001,    0.003,    0.018
    0.007,    0.002,    0.009
    0.014,    0.002,   -0.005
    0.010,    0.005,   -0.014
   -0.002,    0.011,   -0.011
   -0.014,    0.009,   -0.002
   -0.015,   -0.004,    0.002
   -0.007,   -0.021,   -0.000
    0.004,   -0.032,   -0.004
    0.007,   -0.021,   -0.003
    0.002,    0.004,    0.005
   -0.004,    0.026,    0.014
   -0.005,    0.029,    0.012
   -0.002,    0.012,    0.001
    0.002,   -0.012,   -0.014
    0.002,   -0.025,   -0.020
   -0.000,   -0.023,   -0.014
   -0.005,   -0.012,    0.001
   -0.007,   -0.001,    0.012
   -0.005,    0.005,    0.011
    0.000,    0.007,   -0.000
    0.004,    0.006,   -0.011
    0.004,    0.003,   -0.012
   -0.000,    0.000,   -0.004
   -0.005,   -0.001,    0.004
   -0.005,   -0.000,    0.005
    0.003,   -0.002,   -0.001
    0.012,   -0.007,   -0.006
    0.013,   -0.013,   -0.005
    0.004,   -0.016,    0.001
   -0.011,   -0.008,    0.006
   -0.019,    0.007,    0.005
   -0.015,    0.020,   -0.003
   -0.002,    0.021,   -0.010
    0.010,    0.007,   -0.008
    0.011,   -0.014,   -0.001
    0.004,   -0.029,    0.005
   -0.005,   -0.029,    0.004
   -0.008,   -0.015,   -0.002
   -0.007,    0.003,   -0.005
   -0.004,    0.014,   -0.004
   -0.003,    0.016,   -0.002
   -0.003,    0.010,   -0.002
   -0.003,    0.003,   -0.004
   -0.002,   -0.002,   -0.005
    0.001,   -0.003,   -0.003
    0.003,   -0.004,    0.002
    0.004,   -0.007,    0.004
    0.004,   -0.012,    0.002
    0.003,   -0.017,   -0.004
    0.000,   -0.014,   -0.009
   -0.003,   -0.003,   -0.010
   -0.005,    0.009,   -0.007
   -0.005,    0.013,   -0.003
   -0.001,    0.007,    0.003
    0.005,   -0.003,    0.005
    0.009,   -0.009,    0.004
    0.007,   -0.009,   -0.001
   -0.004,   -0.005,   -0.004
   -0.015,    0.001,   -0.003
   -0.021,    0.004,   -0.001
   -0.015,    0.002,   -0.000
   -0.002,   -0.005,   -0.003
    0.009,   -0.013,   -0.006
    0.013,   -0.016,   -0.007
    0.008,   -0.009,   -0.004
    0.001,    0.004,    0.000
   -0.003,    0.013,    0.001
   -0.002,    0.010,   -0.003
   -0.002,   -0.003,   -0.007
   -0.004,   -0.012,   -0.007
   -0.007,   -0.011,   -0.003
   -0.008,   -0.002,    0.003
   -0.003,    0.003,    0.005
    0.004,    0.001,    0.002
    0.007,   -0.005,   -0.003
    0.004,   -0.007,   -0.004
   -0.000,   -0.002,   -0.002
   -0.000,    0.004,    0.002
    0.003,    0.004,    0.002
    0.004,    0.000,   -0.001
   -0.002,   -0.005,   -0.003
   -0.012,   -0.008,   -0.003
   -0.018,   -0.007,   -0.002
   -0.009,   -0.004,    0.000
    0.004,    0.001,    0.000
    0.015,    0.004,   -0.000
    0.012,    0.003,   -0.001
    0.001,   -0.002,   -0.002
   -0.008,   -0.008,   -0.004
   -0.008,   -0.010,   -0.007
   -0.000,   -0.005,   -0.008
    0.005,    0.003,   -0.006
    0.003,    0.005,   -0.002
   -0.004,    0.002,    0.005
   -0.008,   -0.007,    0.007
   -0.005,   -0.011,    0.006
    0.002,   -0.008,    0.002
    0.007,   -0.002,   -0.002
    0.007,    0.002,   -0.005
    0.003,    0.001,   -0.006
   -0.002,   -0.002,   -0.005
   -0.006,   -0.004,   -0.003
   -0.007,   -0.002,   -0.001
   -0.006,   -0.002,    0.001
   -0.001,   -0.001,    0.001
    0.004,   -0.001,   -0.000
    0.008,   -0.000,   -0.002
    0.006,   -0.001,   -0.004
    0.000,   -0.002,   -0.004
   -0.006,   -0.004,   -0.003
   -0.008,   -0.003,   -0.002
   -0.005,    0.000,   -0.001
   -0.002,    0.002,   -0.001
   -0.001,   -0.002,   -0.000
   -0.003,   -0.007,    0.001
   -0.005,   -0.010,    0.002
   -0.004,   -0.009,    0.002
    0.000,   -0.007,    0.000
    0.005,   -0.003,   -0.003
    0.007,   -0.000,   -0.004
    0.004,    0.001,   -0.005
   -0.002,   -0.000,   -0.004
   -0.005,   -0.003,   -0.003
   -0.005,   -0.005,   -0.002
   -0.003,   -0.002,   -0.002
   -0.001,    0.002,   -0.002
   -0.002,    0.003,   -0.003
   -0.003,   -0.002,   -0.003
   -0.003,   -0.008,   -0.004
   -0.002,   -0.011,   -0.004
   -0.000,   -0.005,   -0.002
   -0.000,    0.004,    0.001
   -0.000,    0.009,    0.002
    0.000,    0.006,    0.002
    0.001,   -0.001,   -0.001
    0.001,   -0.007,   -0.004
    0.002,   -0.009,   -0.007
    0.002,   -0.008,   -0.006
    0.003,   -0.005,   -0.004
    0.001,   -0.003,   -0.002
   -0.005,   -0.002,   -0.002
   -0.009,   -0.004,   -0.003
   -0.008,   -0.004,   -0.004
   -0.003,   -0.003,   -0.004
    0.002,    0.000,   -0.003
    0.002,    0.002,   -0.000
   -0.002,    0.000,   -0.000
   -0.003,   -0.004,   -0.002
    0.002,   -0.006,   -0.003
    0.004,   -0.005,   -0.003
    0.002,   -0.003,   -0.002
   -0.005,   -0.000,   -0.002
   -0.010,    0.000,   -0.003
   -0.008,    0.000,   -0.006
    0.000,   -0.000,   -0.009
    0.007,   -0.002,   -0.007
    0.008,   -0.005,   -0.003
