SITE CODE= ˆÉ‰êŽs—ÎƒP‹u–{’¬
LAT=  34.7619
LON= 136.1421
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 40
NS, EW, UD
    0.212,    0.157,    0.050
    0.176,    0.140,    0.039
    0.144,    0.109,    0.029
    0.123,    0.076,    0.025
    0.114,    0.046,    0.027
    0.114,    0.022,    0.036
    0.118,   -0.002,    0.047
    0.120,   -0.027,    0.056
    0.114,   -0.047,    0.055
    0.100,   -0.054,    0.042
    0.081,   -0.043,    0.021
    0.063,   -0.017,    0.000
    0.054,    0.020,   -0.014
    0.061,    0.064,   -0.023
    0.080,    0.111,   -0.036
    0.105,    0.160,   -0.061
    0.127,    0.207,   -0.095
    0.144,    0.251,   -0.125
    0.159,    0.293,   -0.137
    0.177,    0.332,   -0.132
    0.199,    0.362,   -0.123
    0.216,    0.374,   -0.120
    0.219,    0.364,   -0.126
    0.200,    0.334,   -0.132
    0.161,    0.292,   -0.134
    0.113,    0.250,   -0.130
    0.065,    0.210,   -0.128
    0.024,    0.177,   -0.130
   -0.007,    0.143,   -0.132
   -0.031,    0.107,   -0.123
   -0.049,    0.069,   -0.097
   -0.064,    0.032,   -0.058
   -0.076,    0.001,   -0.018
   -0.086,   -0.017,    0.014
   -0.094,   -0.017,    0.037
   -0.101,    0.000,    0.056
   -0.108,    0.030,    0.078
   -0.114,    0.061,    0.106
   -0.121,    0.083,    0.137
   -0.126,    0.093,    0.167
   -0.127,    0.089,    0.191
   -0.119,    0.075,    0.210
   -0.103,    0.054,    0.220
   -0.083,    0.026,    0.220
   -0.066,   -0.004,    0.205
   -0.058,   -0.034,    0.174
   -0.062,   -0.058,    0.128
   -0.079,   -0.077,    0.073
   -0.105,   -0.093,    0.018
   -0.134,   -0.108,   -0.030
   -0.160,   -0.121,   -0.060
   -0.173,   -0.134,   -0.072
   -0.173,   -0.145,   -0.067
   -0.161,   -0.156,   -0.054
   -0.145,   -0.162,   -0.041
   -0.127,   -0.157,   -0.029
   -0.106,   -0.137,   -0.018
   -0.081,   -0.105,   -0.007
   -0.053,   -0.072,    0.002
   -0.029,   -0.050,    0.012
   -0.017,   -0.045,    0.024
   -0.020,   -0.057,    0.048
   -0.032,   -0.087,    0.087
   -0.046,   -0.136,    0.134
   -0.049,   -0.196,    0.172
   -0.038,   -0.262,    0.186
   -0.016,   -0.324,    0.177
    0.007,   -0.376,    0.156
    0.016,   -0.416,    0.140
    0.006,   -0.437,    0.136
   -0.020,   -0.437,    0.138
   -0.054,   -0.419,    0.139
   -0.089,   -0.389,    0.136
   -0.121,   -0.357,    0.130
   -0.150,   -0.327,    0.123
   -0.170,   -0.299,    0.115
   -0.184,   -0.271,    0.102
   -0.195,   -0.242,    0.081
   -0.212,   -0.212,    0.052
   -0.236,   -0.181,    0.016
   -0.258,   -0.147,   -0.026
   -0.266,   -0.111,   -0.069
   -0.255,   -0.076,   -0.110
   -0.232,   -0.045,   -0.140
   -0.210,   -0.023,   -0.157
   -0.197,   -0.009,   -0.164
   -0.192,   -0.003,   -0.164
   -0.188,    0.002,   -0.166
   -0.180,    0.005,   -0.168
   -0.170,    0.008,   -0.171
   -0.160,    0.006,   -0.173
   -0.152,   -0.000,   -0.168
   -0.145,   -0.008,   -0.150
   -0.137,   -0.012,   -0.121
   -0.122,   -0.007,   -0.093
   -0.096,    0.004,   -0.078
   -0.061,    0.014,   -0.086
   -0.021,    0.020,   -0.103
    0.013,    0.022,   -0.108
    0.036,    0.023,   -0.089
    0.045,    0.024,   -0.049
    0.050,    0.020,   -0.004
    0.061,    0.017,    0.032
    0.089,    0.021,    0.054
    0.136,    0.038,    0.066
    0.196,    0.064,    0.065
    0.252,    0.086,    0.052
    0.284,    0.097,    0.023
    0.287,    0.103,   -0.018
    0.270,    0.116,   -0.061
    0.252,    0.144,   -0.098
    0.245,    0.184,   -0.128
    0.243,    0.224,   -0.151
    0.229,    0.255,   -0.169
    0.198,    0.275,   -0.178
    0.161,    0.282,   -0.169
    0.138,    0.275,   -0.141
    0.140,    0.256,   -0.100
    0.160,    0.234,   -0.061
    0.180,    0.219,   -0.035
    0.191,    0.219,   -0.026
    0.187,    0.228,   -0.032
    0.168,    0.236,   -0.042
    0.133,    0.237,   -0.039
    0.090,    0.234,   -0.012
    0.053,    0.233,    0.038
    0.032,    0.240,    0.093
    0.030,    0.252,    0.128
    0.033,    0.273,    0.136
    0.027,    0.309,    0.125
    0.008,    0.362,    0.114
   -0.014,    0.424,    0.116
   -0.026,    0.478,    0.124
   -0.026,    0.512,    0.127
   -0.016,    0.527,    0.121
