SITE CODE= í√ésìáçËí¨
LAT=  34.7344
LON= 136.5202
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 30
NS, EW, UD
    0.393,   -0.139,    0.062
    0.401,   -0.156,    0.059
    0.393,   -0.161,    0.050
    0.366,   -0.157,    0.032
    0.322,   -0.153,    0.007
    0.263,   -0.152,   -0.018
    0.196,   -0.149,   -0.034
    0.125,   -0.150,   -0.042
    0.055,   -0.157,   -0.045
   -0.014,   -0.166,   -0.046
   -0.087,   -0.165,   -0.040
   -0.170,   -0.145,   -0.024
   -0.263,   -0.116,   -0.001
   -0.357,   -0.095,    0.019
   -0.444,   -0.094,    0.030
   -0.519,   -0.107,    0.030
   -0.580,   -0.125,    0.023
   -0.622,   -0.136,    0.010
   -0.640,   -0.137,   -0.012
   -0.635,   -0.131,   -0.042
   -0.608,   -0.123,   -0.074
   -0.564,   -0.122,   -0.106
   -0.509,   -0.132,   -0.135
   -0.450,   -0.148,   -0.161
   -0.392,   -0.159,   -0.179
   -0.338,   -0.156,   -0.188
   -0.286,   -0.145,   -0.189
   -0.234,   -0.136,   -0.184
   -0.181,   -0.135,   -0.174
   -0.130,   -0.137,   -0.157
   -0.080,   -0.137,   -0.132
   -0.031,   -0.131,   -0.103
    0.016,   -0.119,   -0.073
    0.059,   -0.102,   -0.043
    0.093,   -0.082,   -0.014
    0.119,   -0.069,    0.012
    0.134,   -0.075,    0.034
    0.137,   -0.101,    0.056
    0.133,   -0.137,    0.079
    0.125,   -0.168,    0.098
    0.116,   -0.189,    0.109
    0.102,   -0.200,    0.108
    0.082,   -0.207,    0.101
    0.059,   -0.214,    0.093
    0.039,   -0.222,    0.085
    0.024,   -0.228,    0.078
    0.010,   -0.228,    0.073
   -0.006,   -0.220,    0.067
   -0.023,   -0.205,    0.057
   -0.041,   -0.184,    0.037
   -0.059,   -0.155,    0.005
   -0.079,   -0.116,   -0.035
   -0.101,   -0.074,   -0.078
   -0.119,   -0.037,   -0.121
   -0.130,   -0.011,   -0.164
   -0.134,    0.005,   -0.203
   -0.135,    0.023,   -0.236
   -0.132,    0.046,   -0.257
   -0.125,    0.071,   -0.260
   -0.110,    0.098,   -0.250
   -0.087,    0.131,   -0.229
   -0.060,    0.173,   -0.203
   -0.035,    0.223,   -0.168
   -0.018,    0.266,   -0.124
   -0.009,    0.292,   -0.075
   -0.001,    0.301,   -0.030
    0.014,    0.305,    0.004
    0.039,    0.310,    0.025
    0.068,    0.314,    0.037
    0.097,    0.308,    0.038
    0.122,    0.295,    0.027
    0.139,    0.279,    0.011
    0.144,    0.260,    0.000
    0.138,    0.230,   -0.002
    0.123,    0.190,   -0.002
    0.101,    0.149,   -0.006
    0.077,    0.119,   -0.013
    0.059,    0.102,   -0.017
    0.055,    0.094,   -0.021
    0.068,    0.096,   -0.032
    0.096,    0.109,   -0.048
    0.131,    0.125,   -0.066
    0.166,    0.134,   -0.080
    0.194,    0.130,   -0.093
    0.205,    0.120,   -0.108
    0.191,    0.109,   -0.121
    0.158,    0.093,   -0.128
    0.119,    0.066,   -0.129
    0.084,    0.028,   -0.127
    0.053,   -0.009,   -0.117
    0.022,   -0.040,   -0.096
   -0.016,   -0.066,   -0.067
   -0.064,   -0.093,   -0.039
   -0.117,   -0.118,   -0.020
   -0.166,   -0.136,   -0.013
   -0.198,   -0.144,   -0.014
   -0.206,   -0.145,   -0.016
   -0.198,   -0.143,   -0.017
   -0.180,   -0.142,   -0.014
   -0.161,   -0.142,   -0.004
   -0.142,   -0.143,    0.015
   -0.125,   -0.147,    0.042
   -0.110,   -0.153,    0.073
   -0.091,   -0.154,    0.104
   -0.072,   -0.144,    0.135
   -0.056,   -0.121,    0.168
   -0.048,   -0.093,    0.204
   -0.043,   -0.065,    0.240
   -0.030,   -0.037,    0.272
   -0.010,   -0.002,    0.301
    0.012,    0.040,    0.326
    0.029,    0.082,    0.343
    0.037,    0.115,    0.348
    0.038,    0.140,    0.341
    0.032,    0.164,    0.330
    0.021,    0.191,    0.314
    0.014,    0.214,    0.291
    0.016,    0.227,    0.255
    0.024,    0.227,    0.212
    0.029,    0.225,    0.166
    0.030,    0.222,    0.120
    0.025,    0.216,    0.071
    0.014,    0.200,    0.024
   -0.009,    0.171,   -0.019
   -0.042,    0.131,   -0.053
   -0.078,    0.086,   -0.076
   -0.108,    0.037,   -0.084
   -0.130,   -0.011,   -0.077
   -0.143,   -0.055,   -0.056
   -0.148,   -0.092,   -0.026
   -0.147,   -0.122,    0.012
   -0.143,   -0.143,    0.055
   -0.137,   -0.152,    0.098
   -0.132,   -0.147,    0.131
   -0.128,   -0.133,    0.153
   -0.125,   -0.120,    0.166
   -0.124,   -0.112,    0.176
   -0.126,   -0.111,    0.182
   -0.130,   -0.113,    0.181
   -0.133,   -0.116,    0.170
   -0.132,   -0.120,    0.149
   -0.125,   -0.123,    0.123
   -0.109,   -0.125,    0.099
   -0.081,   -0.123,    0.084
   -0.041,   -0.113,    0.080
    0.014,   -0.093,    0.084
    0.078,   -0.064,    0.088
    0.149,   -0.027,    0.082
    0.220,    0.019,    0.062
    0.287,    0.079,    0.035
    0.348,    0.151,    0.009
    0.404,    0.226,   -0.006
    0.457,    0.296,   -0.013
    0.501,    0.357,   -0.020
    0.530,    0.407,   -0.031
    0.535,    0.445,   -0.049
    0.516,    0.475,   -0.070
    0.480,    0.499,   -0.089
    0.439,    0.519,   -0.104
    0.400,    0.526,   -0.114
    0.366,    0.517,   -0.118
    0.336,    0.493,   -0.120
    0.305,    0.460,   -0.127
    0.271,    0.424,   -0.141
    0.238,    0.385,   -0.163
    0.212,    0.338,   -0.189
    0.196,    0.282,   -0.212
    0.184,    0.218,   -0.223
    0.168,    0.152,   -0.221
    0.144,    0.094,   -0.208
    0.108,    0.046,   -0.193
    0.057,    0.009,   -0.183
   -0.009,   -0.021,   -0.178
   -0.085,   -0.049,   -0.175
   -0.159,   -0.078,   -0.169
   -0.223,   -0.111,   -0.160
   -0.276,   -0.150,   -0.144
   -0.321,   -0.191,   -0.128
   -0.360,   -0.228,   -0.115
   -0.388,   -0.256,   -0.111
   -0.405,   -0.273,   -0.114
   -0.414,   -0.275,   -0.120
   -0.414,   -0.270,   -0.124
   -0.403,   -0.262,   -0.127
   -0.382,   -0.255,   -0.128
   -0.354,   -0.244,   -0.129
   -0.322,   -0.221,   -0.128
   -0.284,   -0.189,   -0.125
   -0.238,   -0.158,   -0.120
   -0.189,   -0.138,   -0.115
   -0.143,   -0.132,   -0.111
   -0.103,   -0.134,   -0.112
   -0.069,   -0.137,   -0.118
   -0.040,   -0.139,   -0.125
   -0.013,   -0.143,   -0.127
    0.018,   -0.152,   -0.118
    0.057,   -0.166,   -0.100
    0.102,   -0.180,   -0.075
    0.139,   -0.187,   -0.052
    0.161,   -0.193,   -0.037
    0.172,   -0.207,   -0.037
    0.181,   -0.235,   -0.048
    0.193,   -0.263,   -0.061
    0.209,   -0.275,   -0.068
    0.223,   -0.268,   -0.068
    0.228,   -0.248,   -0.063
    0.214,   -0.229,   -0.049
    0.177,   -0.213,   -0.020
    0.119,   -0.197,    0.021
    0.047,   -0.182,    0.066
   -0.035,   -0.170,    0.103
   -0.127,   -0.161,    0.132
   -0.219,   -0.154,    0.157
   -0.302,   -0.147,    0.181
   -0.366,   -0.136,    0.198
   -0.413,   -0.116,    0.203
   -0.450,   -0.089,    0.195
   -0.480,   -0.062,    0.178
   -0.499,   -0.037,    0.150
   -0.504,   -0.014,    0.113
   -0.489,    0.009,    0.071
   -0.456,    0.030,    0.030
   -0.405,    0.046,   -0.005
   -0.345,    0.056,   -0.039
   -0.286,    0.068,   -0.076
   -0.235,    0.086,   -0.111
   -0.188,    0.104,   -0.139
   -0.139,    0.118,   -0.155
   -0.082,    0.126,   -0.161
