SITE CODE= íÜïîçëç€ãÛç`
LAT=  34.8635
LON= 136.8143
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 20
NS, EW, UD
   -0.059,    0.054,    0.020
   -0.047,    0.035,    0.066
   -0.038,    0.010,    0.113
   -0.034,   -0.015,    0.160
   -0.029,   -0.038,    0.199
   -0.020,   -0.055,    0.224
   -0.011,   -0.067,    0.235
   -0.002,   -0.076,    0.242
    0.002,   -0.083,    0.252
    0.005,   -0.085,    0.268
    0.012,   -0.080,    0.278
    0.023,   -0.068,    0.277
    0.032,   -0.053,    0.261
    0.038,   -0.039,    0.239
    0.041,   -0.032,    0.219
    0.044,   -0.030,    0.207
    0.047,   -0.029,    0.196
    0.046,   -0.025,    0.180
    0.036,   -0.018,    0.156
    0.021,   -0.012,    0.125
    0.010,   -0.009,    0.087
    0.014,   -0.008,    0.047
    0.035,   -0.009,    0.006
    0.070,   -0.013,   -0.029
    0.106,   -0.024,   -0.053
    0.134,   -0.040,   -0.067
    0.148,   -0.051,   -0.072
    0.143,   -0.050,   -0.077
    0.118,   -0.036,   -0.082
    0.080,   -0.011,   -0.084
    0.041,    0.013,   -0.082
    0.012,    0.037,   -0.072
    0.000,    0.056,   -0.052
    0.003,    0.073,   -0.019
    0.018,    0.090,    0.026
    0.041,    0.109,    0.076
    0.064,    0.131,    0.121
    0.078,    0.157,    0.154
    0.078,    0.184,    0.174
    0.064,    0.208,    0.185
    0.046,    0.224,    0.190
    0.033,    0.233,    0.189
    0.030,    0.237,    0.183
    0.036,    0.238,    0.172
    0.043,    0.239,    0.162
    0.052,    0.239,    0.152
    0.065,    0.238,    0.136
    0.087,    0.235,    0.112
    0.120,    0.229,    0.080
    0.157,    0.223,    0.048
    0.195,    0.221,    0.022
    0.233,    0.224,    0.007
    0.265,    0.232,    0.002
    0.285,    0.240,    0.006
    0.288,    0.243,    0.014
    0.277,    0.243,    0.021
    0.261,    0.245,    0.018
    0.246,    0.248,    0.004
    0.233,    0.246,   -0.016
    0.219,    0.236,   -0.030
    0.201,    0.216,   -0.036
    0.180,    0.189,   -0.035
    0.158,    0.159,   -0.038
    0.133,    0.129,   -0.047
    0.102,    0.102,   -0.056
    0.064,    0.080,   -0.059
    0.026,    0.059,   -0.056
   -0.002,    0.033,   -0.056
   -0.020,   -0.001,   -0.057
   -0.027,   -0.043,   -0.052
   -0.029,   -0.082,   -0.034
   -0.027,   -0.117,   -0.001
   -0.021,   -0.149,    0.033
   -0.014,   -0.184,    0.062
   -0.008,   -0.224,    0.083
   -0.005,   -0.261,    0.102
   -0.006,   -0.289,    0.118
   -0.010,   -0.306,    0.125
   -0.013,   -0.314,    0.119
   -0.012,   -0.313,    0.103
   -0.003,   -0.303,    0.087
    0.015,   -0.289,    0.078
    0.041,   -0.274,    0.076
    0.064,   -0.260,    0.075
    0.075,   -0.244,    0.072
    0.068,   -0.223,    0.065
    0.045,   -0.194,    0.050
    0.014,   -0.163,    0.024
   -0.017,   -0.135,   -0.010
   -0.044,   -0.116,   -0.046
   -0.063,   -0.108,   -0.072
   -0.074,   -0.116,   -0.083
   -0.080,   -0.139,   -0.084
   -0.087,   -0.172,   -0.083
   -0.105,   -0.201,   -0.089
   -0.134,   -0.217,   -0.104
   -0.171,   -0.219,   -0.129
   -0.204,   -0.215,   -0.161
   -0.229,   -0.210,   -0.195
   -0.246,   -0.205,   -0.221
   -0.257,   -0.196,   -0.235
   -0.262,   -0.180,   -0.235
   -0.257,   -0.162,   -0.227
   -0.240,   -0.142,   -0.219
   -0.212,   -0.127,   -0.214
   -0.176,   -0.117,   -0.211
   -0.137,   -0.112,   -0.209
