SITE CODE= ìcå¥ésïüç]í¨
LAT=  34.6297
LON= 137.0942
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 10
NS, EW, UD
   -0.002,    0.079,    0.058
   -0.016,    0.098,    0.075
   -0.021,    0.123,    0.077
   -0.018,    0.139,    0.058
   -0.011,    0.138,    0.023
   -0.002,    0.122,   -0.015
    0.009,    0.102,   -0.041
    0.019,    0.081,   -0.045
    0.026,    0.062,   -0.023
    0.023,    0.041,    0.020
    0.010,    0.024,    0.066
   -0.009,    0.012,    0.097
   -0.030,    0.004,    0.102
   -0.047,   -0.007,    0.086
   -0.061,   -0.025,    0.064
   -0.074,   -0.050,    0.053
   -0.080,   -0.071,    0.061
   -0.078,   -0.083,    0.084
   -0.068,   -0.082,    0.111
   -0.057,   -0.073,    0.134
   -0.052,   -0.063,    0.144
   -0.054,   -0.056,    0.132
   -0.055,   -0.055,    0.098
   -0.049,   -0.063,    0.053
   -0.035,   -0.080,    0.017
   -0.018,   -0.105,    0.002
   -0.004,   -0.134,    0.003
    0.003,   -0.162,    0.003
    0.002,   -0.187,   -0.009
   -0.007,   -0.209,   -0.033
   -0.019,   -0.225,   -0.057
   -0.032,   -0.233,   -0.076
   -0.041,   -0.233,   -0.091
   -0.045,   -0.227,   -0.101
   -0.046,   -0.217,   -0.102
   -0.045,   -0.205,   -0.091
   -0.043,   -0.194,   -0.079
   -0.038,   -0.182,   -0.078
   -0.033,   -0.172,   -0.089
   -0.029,   -0.161,   -0.099
   -0.031,   -0.146,   -0.091
   -0.035,   -0.122,   -0.065
   -0.033,   -0.091,   -0.034
   -0.018,   -0.061,   -0.013
    0.009,   -0.036,   -0.002
    0.039,   -0.021,    0.009
    0.062,   -0.011,    0.027
    0.078,    0.001,    0.055
    0.087,    0.014,    0.087
    0.093,    0.028,    0.123
    0.091,    0.040,    0.163
    0.077,    0.049,    0.200
    0.058,    0.058,    0.219
    0.043,    0.068,    0.207
    0.037,    0.077,    0.167
    0.037,    0.078,    0.118
    0.030,    0.073,    0.078
    0.005,    0.063,    0.058
   -0.035,    0.059,    0.055
   -0.078,    0.061,    0.059
   -0.118,    0.068,    0.062
   -0.149,    0.073,    0.056
   -0.170,    0.079,    0.036
   -0.174,    0.088,   -0.002
   -0.153,    0.101,   -0.045
   -0.103,    0.111,   -0.075
   -0.043,    0.113,   -0.079
    0.012,    0.105,   -0.058
    0.048,    0.096,   -0.025
    0.068,    0.088,    0.004
    0.082,    0.082,    0.023
    0.097,    0.071,    0.029
    0.119,    0.054,    0.024
    0.144,    0.029,    0.006
    0.174,   -0.000,   -0.023
    0.203,   -0.034,   -0.052
    0.227,   -0.068,   -0.071
    0.236,   -0.097,   -0.078
    0.227,   -0.112,   -0.077
    0.203,   -0.112,   -0.077
    0.173,   -0.103,   -0.083
    0.142,   -0.095,   -0.093
    0.109,   -0.089,   -0.106
    0.075,   -0.080,   -0.126
    0.044,   -0.061,   -0.149
    0.021,   -0.032,   -0.169
    0.009,   -0.002,   -0.179
   -0.004,    0.025,   -0.180
   -0.025,    0.048,   -0.177
   -0.057,    0.074,   -0.175
   -0.092,    0.106,   -0.173
   -0.122,    0.139,   -0.164
   -0.145,    0.166,   -0.152
   -0.163,    0.185,   -0.141
   -0.177,    0.202,   -0.132
   -0.177,    0.221,   -0.121
   -0.159,    0.243,   -0.098
   -0.123,    0.258,   -0.057
   -0.078,    0.264,   -0.004
   -0.037,    0.260,    0.052
   -0.005,    0.252,    0.104
    0.015,    0.236,    0.146
    0.022,    0.211,    0.172
    0.019,    0.177,    0.176
    0.009,    0.138,    0.163
    0.003,    0.102,    0.150
    0.004,    0.064,    0.153
    0.010,    0.021,    0.175
    0.010,   -0.030,    0.203
   -0.004,   -0.084,    0.223
   -0.032,   -0.133,    0.222
   -0.063,   -0.173,    0.202
   -0.087,   -0.203,    0.167
   -0.093,   -0.221,    0.120
   -0.079,   -0.223,    0.067
   -0.046,   -0.207,    0.018
    0.002,   -0.177,   -0.014
    0.052,   -0.141,   -0.033
    0.095,   -0.107,   -0.050
    0.123,   -0.079,   -0.077
    0.140,   -0.056,   -0.112
    0.148,   -0.041,   -0.137
    0.146,   -0.034,   -0.141
    0.134,   -0.028,   -0.123
    0.113,   -0.019,   -0.094
    0.091,   -0.000,   -0.059
    0.078,    0.023,   -0.018
    0.077,    0.044,    0.033
    0.084,    0.058,    0.084
    0.091,    0.068,    0.120
    0.092,    0.077,    0.131
    0.088,    0.087,    0.118
    0.082,    0.095,    0.091
    0.075,    0.096,    0.056
    0.069,    0.093,    0.017
    0.063,    0.090,   -0.019
    0.057,    0.088,   -0.046
    0.051,    0.081,   -0.062
    0.043,    0.063,   -0.068
    0.030,    0.034,   -0.068
    0.012,    0.002,   -0.065
   -0.011,   -0.025,   -0.064
   -0.037,   -0.044,   -0.071
   -0.063,   -0.053,   -0.092
   -0.083,   -0.052,   -0.124
   -0.095,   -0.042,   -0.153
   -0.097,   -0.025,   -0.169
   -0.094,   -0.009,   -0.166
   -0.094,   -0.006,   -0.150
   -0.100,   -0.022,   -0.126
   -0.111,   -0.056,   -0.100
   -0.122,   -0.098,   -0.076
   -0.127,   -0.137,   -0.055
   -0.127,   -0.161,   -0.041
   -0.122,   -0.169,   -0.025
   -0.112,   -0.167,    0.002
   -0.098,   -0.161,    0.042
   -0.081,   -0.161,    0.088
   -0.069,   -0.167,    0.129
   -0.070,   -0.178,    0.158
   -0.087,   -0.191,    0.176
   -0.113,   -0.209,    0.191
   -0.137,   -0.230,    0.201
   -0.150,   -0.252,    0.200
   -0.148,   -0.267,    0.181
   -0.136,   -0.263,    0.149
   -0.120,   -0.235,    0.114
   -0.103,   -0.189,    0.087
   -0.089,   -0.136,    0.070
   -0.076,   -0.088,    0.059
   -0.068,   -0.054,    0.046
   -0.065,   -0.036,    0.024
   -0.070,   -0.035,   -0.008
   -0.077,   -0.047,   -0.050
   -0.084,   -0.067,   -0.093
   -0.082,   -0.085,   -0.131
   -0.067,   -0.095,   -0.155
   -0.046,   -0.093,   -0.159
   -0.025,   -0.077,   -0.146
   -0.015,   -0.045,   -0.121
   -0.016,    0.000,   -0.099
   -0.022,    0.054,   -0.091
   -0.027,    0.107,   -0.100
   -0.024,    0.150,   -0.121
   -0.012,    0.178,   -0.139
    0.007,    0.193,   -0.142
    0.040,    0.203,   -0.127
    0.086,    0.218,   -0.099
    0.144,    0.234,   -0.068
    0.206,    0.247,   -0.044
    0.260,    0.248,   -0.031
    0.298,    0.237,   -0.029
    0.318,    0.225,   -0.035
    0.323,    0.221,   -0.040
    0.324,    0.228,   -0.037
    0.322,    0.241,   -0.025
    0.316,    0.254,   -0.010
    0.305,    0.264,   -0.003
    0.285,    0.272,   -0.006
    0.257,    0.279,   -0.014
    0.223,    0.281,   -0.021
    0.187,    0.273,   -0.022
    0.155,    0.256,   -0.017
    0.131,    0.233,   -0.007
    0.121,    0.210,    0.009
    0.121,    0.189,    0.031
    0.121,    0.168,    0.057
    0.115,    0.148,    0.080
    0.096,    0.130,    0.095
    0.068,    0.113,    0.104
    0.035,    0.096,    0.112
    0.007,    0.075,    0.121
   -0.014,    0.047,    0.123
   -0.027,    0.018,    0.105
   -0.033,   -0.009,    0.071
   -0.037,   -0.032,    0.031
   -0.040,   -0.052,    0.007
   -0.045,   -0.068,    0.004
   -0.054,   -0.077,    0.014
   -0.067,   -0.077,    0.023
   -0.084,   -0.070,    0.021
   -0.102,   -0.062,    0.015
   -0.119,   -0.059,    0.013
   -0.131,   -0.060,    0.020
   -0.139,   -0.064,    0.032
   -0.143,   -0.071,    0.053
   -0.144,   -0.084,    0.084
   -0.148,   -0.103,    0.121
   -0.154,   -0.123,    0.155
   -0.165,   -0.138,    0.176
   -0.179,   -0.145,    0.186
   -0.192,   -0.143,    0.192
   -0.200,   -0.134,    0.205
   -0.198,   -0.119,    0.221
   -0.179,   -0.100,    0.231
   -0.143,   -0.084,    0.227
   -0.098,   -0.074,    0.211
   -0.055,   -0.073,    0.189
   -0.029,   -0.076,    0.165
   -0.025,   -0.075,    0.141
   -0.039,   -0.068,    0.118
   -0.061,   -0.059,    0.100
   -0.079,   -0.051,    0.084
   -0.089,   -0.046,    0.065
   -0.088,   -0.043,    0.034
   -0.080,   -0.038,   -0.012
   -0.070,   -0.034,   -0.063
   -0.062,   -0.034,   -0.110
   -0.063,   -0.039,   -0.151
   -0.071,   -0.049,   -0.188
   -0.080,   -0.061,   -0.228
   -0.084,   -0.075,   -0.263
   -0.075,   -0.095,   -0.281
   -0.060,   -0.116,   -0.272
   -0.043,   -0.134,   -0.243
   -0.030,   -0.142,   -0.208
   -0.019,   -0.141,   -0.177
   -0.009,   -0.137,   -0.147
    0.002,   -0.133,   -0.106
    0.011,   -0.133,   -0.048
    0.014,   -0.137,    0.017
    0.009,   -0.146,    0.074
   -0.005,   -0.162,    0.116
   -0.026,   -0.181,    0.145
   -0.054,   -0.196,    0.166
   -0.088,   -0.198,    0.181
   -0.123,   -0.183,    0.188
   -0.153,   -0.157,    0.187
   -0.175,   -0.127,    0.179
   -0.185,   -0.100,    0.165
   -0.182,   -0.078,    0.147
   -0.165,   -0.063,    0.125
   -0.132,   -0.056,    0.102
   -0.091,   -0.056,    0.079
   -0.045,   -0.058,    0.053
    0.000,   -0.059,    0.017
    0.043,   -0.056,   -0.025
    0.079,   -0.056,   -0.062
    0.106,   -0.059,   -0.081
    0.120,   -0.067,   -0.080
    0.120,   -0.073,   -0.063
    0.111,   -0.076,   -0.037
    0.096,   -0.072,   -0.005
    0.075,   -0.066,    0.028
    0.054,   -0.054,    0.054
    0.038,   -0.036,    0.066
    0.037,   -0.014,    0.065
    0.052,    0.004,    0.057
    0.077,    0.009,    0.045
    0.100,    0.001,    0.026
    0.114,   -0.016,   -0.008
    0.120,   -0.036,   -0.052
    0.123,   -0.057,   -0.097
    0.124,   -0.082,   -0.137
    0.127,   -0.107,   -0.180
    0.128,   -0.128,   -0.237
    0.134,   -0.132,   -0.301
    0.150,   -0.115,   -0.350
    0.172,   -0.082,   -0.362
    0.189,   -0.042,   -0.340
    0.186,   -0.004,   -0.305
    0.155,    0.031,   -0.275
    0.105,    0.062,   -0.252
    0.050,    0.091,   -0.226
    0.005,    0.116,   -0.188
   -0.023,    0.137,   -0.143
   -0.033,    0.160,   -0.105
   -0.031,    0.184,   -0.080
   -0.025,    0.203,   -0.066
   -0.023,    0.217,   -0.050
   -0.030,    0.228,   -0.030
   -0.046,    0.245,   -0.007
   -0.060,    0.270,    0.011
   -0.064,    0.300,    0.025
   -0.049,    0.324,    0.036
   -0.017,    0.335,    0.046
    0.027,    0.332,    0.054
    0.076,    0.323,    0.062
    0.122,    0.314,    0.071
    0.161,    0.308,    0.086
    0.187,    0.304,    0.104
    0.201,    0.303,    0.121
    0.201,    0.307,    0.125
    0.189,    0.314,    0.110
    0.171,    0.324,    0.080
    0.152,    0.332,    0.048
    0.132,    0.335,    0.027
    0.109,    0.330,    0.029
    0.076,    0.318,    0.053
    0.029,    0.303,    0.087
   -0.025,    0.292,    0.111
   -0.078,    0.286,    0.113
   -0.124,    0.283,    0.090
   -0.162,    0.276,    0.054
   -0.193,    0.262,    0.019
   -0.213,    0.240,   -0.004
   -0.215,    0.212,   -0.012
   -0.194,    0.180,   -0.010
   -0.156,    0.144,   -0.003
   -0.116,    0.102,    0.005
   -0.087,    0.052,    0.007
   -0.074,   -0.002,   -0.000
   -0.069,   -0.059,   -0.015
   -0.063,   -0.111,   -0.033
   -0.050,   -0.154,   -0.048
   -0.031,   -0.182,   -0.055
   -0.004,   -0.192,   -0.056
    0.031,   -0.184,   -0.055
    0.068,   -0.164,   -0.057
    0.096,   -0.141,   -0.070
    0.102,   -0.129,   -0.089
    0.083,   -0.130,   -0.109
    0.045,   -0.142,   -0.123
    0.011,   -0.153,   -0.127
   -0.004,   -0.153,   -0.127
    0.004,   -0.141,   -0.128
    0.029,   -0.125,   -0.133
    0.056,   -0.111,   -0.137
    0.076,   -0.105,   -0.136
