SITE CODE= ïlèºíÜãÊçÇãuìå
LAT=  34.7540
LON= 137.7116
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 40
NS, EW, UD
    0.077,   -0.617,   -0.135
    0.051,   -0.565,   -0.126
    0.023,   -0.515,   -0.152
   -0.008,   -0.469,   -0.202
   -0.043,   -0.429,   -0.252
   -0.082,   -0.401,   -0.291
   -0.127,   -0.377,   -0.322
   -0.177,   -0.350,   -0.352
   -0.232,   -0.321,   -0.376
   -0.293,   -0.301,   -0.374
   -0.357,   -0.303,   -0.332
   -0.415,   -0.328,   -0.255
   -0.455,   -0.365,   -0.164
   -0.474,   -0.398,   -0.076
   -0.474,   -0.415,    0.012
   -0.462,   -0.419,    0.115
   -0.443,   -0.415,    0.232
   -0.419,   -0.403,    0.325
   -0.375,   -0.380,    0.353
   -0.305,   -0.344,    0.309
   -0.208,   -0.302,    0.232
   -0.104,   -0.269,    0.173
   -0.020,   -0.254,    0.138
    0.026,   -0.250,    0.096
    0.036,   -0.246,    0.021
    0.035,   -0.239,   -0.073
    0.048,   -0.236,   -0.143
    0.086,   -0.242,   -0.169
    0.136,   -0.247,   -0.171
    0.181,   -0.236,   -0.178
    0.210,   -0.203,   -0.190
    0.225,   -0.160,   -0.190
    0.230,   -0.124,   -0.168
    0.229,   -0.095,   -0.142
    0.221,   -0.065,   -0.134
    0.207,   -0.025,   -0.146
    0.190,    0.019,   -0.162
    0.169,    0.050,   -0.166
    0.142,    0.061,   -0.159
    0.099,    0.060,   -0.152
    0.038,    0.061,   -0.144
   -0.030,    0.068,   -0.128
   -0.087,    0.080,   -0.101
   -0.119,    0.090,   -0.068
   -0.125,    0.103,   -0.036
   -0.117,    0.122,   -0.002
   -0.104,    0.149,    0.041
   -0.091,    0.179,    0.092
   -0.076,    0.207,    0.140
   -0.060,    0.235,    0.175
   -0.046,    0.264,    0.198
   -0.034,    0.294,    0.220
   -0.016,    0.320,    0.255
    0.013,    0.337,    0.302
    0.053,    0.348,    0.344
    0.093,    0.355,    0.367
    0.121,    0.358,    0.365
    0.133,    0.353,    0.344
    0.135,    0.334,    0.312
    0.132,    0.299,    0.268
    0.128,    0.257,    0.203
    0.125,    0.216,    0.119
    0.128,    0.183,    0.038
    0.141,    0.157,   -0.005
    0.161,    0.135,    0.007
    0.179,    0.118,    0.058
    0.189,    0.116,    0.103
    0.195,    0.137,    0.112
    0.207,    0.177,    0.091
    0.227,    0.219,    0.071
    0.246,    0.240,    0.069
    0.253,    0.230,    0.061
    0.248,    0.202,    0.013
    0.238,    0.184,   -0.080
    0.238,    0.189,   -0.184
    0.250,    0.214,   -0.251
    0.264,    0.236,   -0.267
    0.266,    0.238,   -0.250
    0.250,    0.219,   -0.221
    0.221,    0.185,   -0.192
    0.192,    0.145,   -0.159
    0.175,    0.107,   -0.132
    0.180,    0.078,   -0.127
    0.201,    0.060,   -0.148
    0.226,    0.044,   -0.180
    0.244,    0.017,   -0.203
    0.250,   -0.029,   -0.209
    0.246,   -0.083,   -0.200
    0.234,   -0.129,   -0.179
    0.223,   -0.155,   -0.142
    0.221,   -0.161,   -0.096
    0.232,   -0.161,   -0.063
    0.244,   -0.162,   -0.065
    0.238,   -0.169,   -0.101
    0.198,   -0.182,   -0.147
    0.128,   -0.202,   -0.180
    0.055,   -0.222,   -0.192
    0.001,   -0.231,   -0.198
   -0.028,   -0.219,   -0.214
   -0.045,   -0.189,   -0.246
   -0.068,   -0.156,   -0.285
   -0.106,   -0.137,   -0.312
   -0.158,   -0.143,   -0.316
   -0.216,   -0.173,   -0.304
   -0.270,   -0.214,   -0.295
   -0.311,   -0.245,   -0.306
   -0.334,   -0.255,   -0.327
   -0.344,   -0.240,   -0.335
   -0.354,   -0.214,   -0.314
   -0.369,   -0.191,   -0.279
   -0.383,   -0.177,   -0.254
   -0.384,   -0.166,   -0.242
   -0.371,   -0.150,   -0.217
   -0.349,   -0.128,   -0.155
   -0.328,   -0.105,   -0.060
   -0.309,   -0.083,    0.036
   -0.287,   -0.058,    0.109
   -0.263,   -0.029,    0.163
   -0.244,    0.000,    0.215
   -0.238,    0.024,    0.269
   -0.237,    0.049,    0.311
   -0.229,    0.089,    0.326
   -0.204,    0.152,    0.323
   -0.169,    0.229,    0.325
   -0.139,    0.300,    0.336
   -0.127,    0.350,    0.335
   -0.130,    0.384,    0.296
   -0.130,    0.416,    0.223
   -0.114,    0.456,    0.161
   -0.080,    0.504,    0.152
   -0.040,    0.548,    0.202
   -0.007,    0.581,    0.270
    0.016,    0.605,    0.308
    0.033,    0.623,    0.303
    0.048,    0.634,    0.283
    0.052,    0.632,    0.284
    0.029,    0.614,    0.315
   -0.033,    0.585,    0.350
   -0.128,    0.562,    0.368
   -0.234,    0.558,    0.373
   -0.321,    0.573,    0.387
   -0.373,    0.592,    0.426
   -0.391,    0.599,    0.481
   -0.396,    0.590,    0.536
   -0.407,    0.577,    0.578
   -0.426,    0.577,    0.603
   -0.444,    0.590,    0.611
   -0.446,    0.600,    0.598
   -0.427,    0.582,    0.573
   -0.396,    0.526,    0.552
   -0.362,    0.447,    0.542
   -0.334,    0.376,    0.532
   -0.314,    0.326,    0.514
   -0.299,    0.284,    0.495
   -0.290,    0.223,    0.495
   -0.284,    0.132,    0.514
   -0.275,    0.021,    0.524
   -0.256,   -0.083,    0.494
   -0.230,   -0.167,    0.428
   -0.210,   -0.241,    0.356
   -0.211,   -0.319,    0.304
   -0.233,   -0.402,    0.266
   -0.259,   -0.474,    0.217
   -0.265,   -0.521,    0.152
   -0.231,   -0.544,    0.090
   -0.157,   -0.557,    0.050
   -0.062,   -0.574,    0.025
    0.028,   -0.591,   -0.015
    0.092,   -0.603,   -0.090
    0.122,   -0.601,   -0.187
    0.131,   -0.590,   -0.268
    0.138,   -0.573,   -0.308
    0.153,   -0.553,   -0.315
    0.173,   -0.526,   -0.324
    0.186,   -0.494,   -0.370
    0.185,   -0.457,   -0.454
    0.172,   -0.414,   -0.545
    0.157,   -0.366,   -0.606
    0.139,   -0.314,   -0.624
    0.121,   -0.260,   -0.614
    0.108,   -0.209,   -0.604
    0.110,   -0.162,   -0.600
    0.132,   -0.120,   -0.594
    0.160,   -0.084,   -0.576
    0.172,   -0.058,   -0.549
    0.147,   -0.045,   -0.524
    0.086,   -0.046,   -0.508
    0.011,   -0.061,   -0.492
   -0.050,   -0.090,   -0.465
   -0.082,   -0.133,   -0.430
   -0.086,   -0.185,   -0.400
   -0.076,   -0.237,   -0.381
   -0.065,   -0.281,   -0.369
   -0.059,   -0.317,   -0.351
   -0.061,   -0.347,   -0.321
   -0.071,   -0.372,   -0.287
   -0.086,   -0.382,   -0.258
   -0.097,   -0.371,   -0.239
   -0.092,   -0.341,   -0.233
   -0.070,   -0.303,   -0.244
   -0.039,   -0.273,   -0.281
   -0.020,   -0.249,   -0.335
   -0.028,   -0.216,   -0.388
   -0.065,   -0.162,   -0.419
   -0.109,   -0.092,   -0.425
   -0.140,   -0.020,   -0.418
   -0.139,    0.041,   -0.411
   -0.111,    0.091,   -0.397
   -0.076,    0.132,   -0.362
   -0.061,    0.164,   -0.308
   -0.078,    0.186,   -0.250
   -0.120,    0.194,   -0.201
   -0.165,    0.188,   -0.154
   -0.192,    0.176,   -0.095
   -0.189,    0.166,   -0.016
   -0.164,    0.163,    0.070
   -0.129,    0.167,    0.153
   -0.101,    0.172,    0.227
   -0.088,    0.178,    0.289
   -0.082,    0.192,    0.323
   -0.066,    0.227,    0.319
   -0.024,    0.294,    0.283
    0.050,    0.386,    0.243
    0.146,    0.479,    0.218
    0.243,    0.546,    0.198
    0.323,    0.580,    0.165
    0.376,    0.589,    0.117
    0.404,    0.584,    0.072
    0.424,    0.572,    0.045
    0.454,    0.547,    0.022
    0.503,    0.509,   -0.019
    0.565,    0.460,   -0.083
    0.620,    0.399,   -0.146
    0.645,    0.321,   -0.187
    0.629,    0.223,   -0.204
    0.582,    0.118,   -0.209
    0.523,    0.031,   -0.209
    0.473,   -0.025,   -0.193
    0.445,   -0.055,   -0.155
    0.439,   -0.080,   -0.103
    0.444,   -0.119,   -0.045
    0.441,   -0.171,    0.022
    0.414,   -0.226,    0.109
    0.366,   -0.265,    0.207
    0.316,   -0.280,    0.287
    0.289,   -0.271,    0.323
    0.291,   -0.253,    0.322
    0.313,   -0.242,    0.314
    0.333,   -0.249,    0.324
    0.335,   -0.266,    0.342
    0.321,   -0.280,    0.345
    0.301,   -0.277,    0.318
    0.285,   -0.261,    0.278
    0.277,   -0.243,    0.246
    0.269,   -0.228,    0.223
    0.253,   -0.212,    0.194
    0.226,   -0.187,    0.141
    0.184,   -0.148,    0.070
    0.132,   -0.105,    0.005
    0.075,   -0.066,   -0.032
    0.021,   -0.034,   -0.042
   -0.023,   -0.009,   -0.046
   -0.052,    0.008,   -0.069
   -0.065,    0.013,   -0.115
   -0.066,    0.000,   -0.166
   -0.066,   -0.026,   -0.191
   -0.078,   -0.055,   -0.171
   -0.109,   -0.075,   -0.112
   -0.143,   -0.086,   -0.034
   -0.155,   -0.086,    0.035
   -0.125,   -0.079,    0.075
   -0.059,   -0.061,    0.085
    0.020,   -0.034,    0.075
    0.089,   -0.002,    0.062
    0.142,    0.027,    0.053
    0.189,    0.052,    0.039
    0.243,    0.073,    0.011
    0.300,    0.092,   -0.028
    0.352,    0.106,   -0.055
    0.386,    0.107,   -0.052
    0.399,    0.093,   -0.015
    0.386,    0.067,    0.035
    0.343,    0.032,    0.076
    0.277,   -0.008,    0.100
    0.206,   -0.049,    0.108
    0.153,   -0.080,    0.102
    0.134,   -0.091,    0.072
    0.135,   -0.084,    0.021
    0.133,   -0.076,   -0.031
    0.105,   -0.082,   -0.058
    0.048,   -0.104,   -0.052
   -0.021,   -0.123,   -0.027
   -0.082,   -0.118,   -0.002
   -0.124,   -0.079,    0.021
   -0.151,   -0.021,    0.054
   -0.173,    0.034,    0.097
   -0.205,    0.076,    0.136
   -0.258,    0.105,    0.152
   -0.330,    0.131,    0.144
   -0.406,    0.158,    0.140
   -0.466,    0.181,    0.164
   -0.501,    0.195,    0.215
   -0.515,    0.200,    0.259
   -0.523,    0.203,    0.263
   -0.531,    0.213,    0.225
   -0.540,    0.229,    0.171
   -0.543,    0.245,    0.131
   -0.534,    0.255,    0.115
   -0.515,    0.261,    0.111
   -0.492,    0.271,    0.107
   -0.471,    0.289,    0.102
   -0.455,    0.313,    0.095
   -0.448,    0.333,    0.082
   -0.448,    0.340,    0.057
   -0.449,    0.335,    0.027
   -0.443,    0.323,    0.005
   -0.426,    0.307,   -0.001
   -0.397,    0.296,   -0.005
   -0.364,    0.297,   -0.018
   -0.331,    0.311,   -0.037
