SITE CODE= å‰ëOçËéså‰ëOçË
LAT=  34.6048
LON= 138.2136
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 40
NS, EW, UD
   -0.154,   -0.087,    0.299
   -0.173,   -0.101,    0.275
   -0.192,   -0.100,    0.252
   -0.218,   -0.087,    0.232
   -0.242,   -0.075,    0.213
   -0.257,   -0.082,    0.199
   -0.259,   -0.123,    0.192
   -0.254,   -0.186,    0.192
   -0.248,   -0.248,    0.196
   -0.241,   -0.291,    0.203
   -0.226,   -0.313,    0.212
   -0.196,   -0.321,    0.222
   -0.157,   -0.322,    0.230
   -0.125,   -0.319,    0.235
   -0.107,   -0.325,    0.239
   -0.090,   -0.345,    0.241
   -0.057,   -0.373,    0.235
   -0.004,   -0.398,    0.216
    0.057,   -0.413,    0.186
    0.117,   -0.419,    0.152
    0.169,   -0.416,    0.116
    0.217,   -0.401,    0.081
    0.259,   -0.382,    0.045
    0.292,   -0.373,    0.009
    0.310,   -0.383,   -0.028
    0.309,   -0.405,   -0.066
    0.287,   -0.420,   -0.107
    0.250,   -0.422,   -0.146
    0.203,   -0.417,   -0.182
    0.151,   -0.411,   -0.216
    0.096,   -0.401,   -0.252
    0.050,   -0.391,   -0.288
    0.019,   -0.392,   -0.318
   -0.006,   -0.412,   -0.341
   -0.045,   -0.439,   -0.359
   -0.105,   -0.454,   -0.375
   -0.179,   -0.447,   -0.383
   -0.256,   -0.422,   -0.378
   -0.329,   -0.382,   -0.362
   -0.389,   -0.324,   -0.341
   -0.411,   -0.255,   -0.316
   -0.383,   -0.198,   -0.280
   -0.318,   -0.172,   -0.234
   -0.246,   -0.181,   -0.182
   -0.191,   -0.208,   -0.134
   -0.148,   -0.230,   -0.094
   -0.107,   -0.229,   -0.058
   -0.069,   -0.195,   -0.023
   -0.047,   -0.127,    0.010
   -0.039,   -0.036,    0.040
   -0.032,    0.061,    0.068
   -0.012,    0.140,    0.096
    0.018,    0.191,    0.126
    0.052,    0.216,    0.157
    0.084,    0.234,    0.189
    0.118,    0.263,    0.217
    0.158,    0.310,    0.242
    0.199,    0.367,    0.265
    0.225,    0.425,    0.287
    0.223,    0.481,    0.308
    0.191,    0.533,    0.328
    0.146,    0.573,    0.348
    0.103,    0.588,    0.365
    0.068,    0.574,    0.376
    0.029,    0.537,    0.374
   -0.015,    0.491,    0.359
   -0.052,    0.449,    0.331
   -0.070,    0.427,    0.291
   -0.070,    0.429,    0.246
   -0.066,    0.443,    0.206
   -0.073,    0.449,    0.180
   -0.096,    0.434,    0.168
   -0.132,    0.401,    0.161
   -0.179,    0.364,    0.150
   -0.231,    0.333,    0.138
   -0.280,    0.313,    0.130
   -0.319,    0.310,    0.126
   -0.343,    0.323,    0.118
   -0.344,    0.341,    0.104
   -0.315,    0.346,    0.084
   -0.262,    0.324,    0.062
   -0.199,    0.273,    0.038
   -0.136,    0.201,    0.014
   -0.072,    0.130,   -0.010
   -0.011,    0.083,   -0.034
    0.029,    0.070,   -0.058
    0.038,    0.080,   -0.083
    0.025,    0.093,   -0.111
    0.010,    0.103,   -0.137
    0.004,    0.118,   -0.162
   -0.005,    0.139,   -0.182
   -0.027,    0.157,   -0.201
   -0.054,    0.169,   -0.225
   -0.077,    0.189,   -0.256
   -0.089,    0.225,   -0.289
   -0.091,    0.266,   -0.310
   -0.081,    0.287,   -0.314
   -0.063,    0.278,   -0.307
   -0.039,    0.250,   -0.294
   -0.014,    0.210,   -0.275
    0.015,    0.151,   -0.241
    0.044,    0.070,   -0.193
    0.067,   -0.020,   -0.145
    0.081,   -0.097,   -0.106
    0.096,   -0.155,   -0.077
    0.116,   -0.197,   -0.055
    0.130,   -0.219,   -0.041
    0.124,   -0.206,   -0.038
    0.105,   -0.163,   -0.052
    0.096,   -0.119,   -0.078
    0.110,   -0.104,   -0.107
    0.134,   -0.124,   -0.132
    0.153,   -0.155,   -0.151
    0.162,   -0.178,   -0.164
    0.162,   -0.188,   -0.175
    0.152,   -0.190,   -0.183
    0.123,   -0.185,   -0.184
    0.077,   -0.175,   -0.174
    0.032,   -0.162,   -0.155
    0.005,   -0.146,   -0.138
   -0.002,   -0.124,   -0.128
    0.003,   -0.094,   -0.123
    0.009,   -0.067,   -0.116
    0.016,   -0.056,   -0.103
    0.025,   -0.062,   -0.086
    0.036,   -0.076,   -0.067
    0.040,   -0.087,   -0.048
    0.030,   -0.099,   -0.030
   -0.002,   -0.111,   -0.015
   -0.055,   -0.122,   -0.006
   -0.116,   -0.130,   -0.004
   -0.174,   -0.139,   -0.007
   -0.221,   -0.153,   -0.012
   -0.261,   -0.165,   -0.019
   -0.299,   -0.165,   -0.026
   -0.329,   -0.149,   -0.032
   -0.339,   -0.128,   -0.035
   -0.325,   -0.111,   -0.030
   -0.307,   -0.095,   -0.017
   -0.310,   -0.073,    0.005
   -0.344,   -0.047,    0.027
   -0.390,   -0.018,    0.049
   -0.418,    0.009,    0.073
   -0.418,    0.030,    0.107
   -0.405,    0.039,    0.150
   -0.403,    0.042,    0.193
   -0.414,    0.054,    0.228
   -0.416,    0.087,    0.257
   -0.386,    0.128,    0.284
   -0.322,    0.149,    0.307
   -0.245,    0.141,    0.322
   -0.182,    0.119,    0.324
   -0.142,    0.105,    0.314
   -0.120,    0.106,    0.298
   -0.108,    0.111,    0.276
   -0.103,    0.115,    0.249
   -0.103,    0.120,    0.216
   -0.100,    0.125,    0.183
   -0.078,    0.125,    0.159
   -0.034,    0.116,    0.150
    0.020,    0.098,    0.156
    0.061,    0.073,    0.169
    0.080,    0.044,    0.180
    0.088,    0.010,    0.185
    0.099,   -0.025,    0.185
    0.114,   -0.052,    0.175
    0.123,   -0.063,    0.155
    0.122,   -0.050,    0.128
    0.119,   -0.012,    0.104
    0.120,    0.032,    0.092
    0.123,    0.057,    0.093
    0.123,    0.055,    0.105
    0.124,    0.039,    0.125
    0.131,    0.030,    0.151
    0.142,    0.031,    0.177
    0.149,    0.027,    0.199
    0.149,    0.011,    0.213
    0.151,   -0.011,    0.215
    0.161,   -0.030,    0.205
    0.176,   -0.052,    0.187
    0.184,   -0.085,    0.163
    0.181,   -0.128,    0.137
    0.169,   -0.169,    0.109
    0.158,   -0.197,    0.077
    0.152,   -0.210,    0.042
    0.144,   -0.211,    0.010
    0.128,   -0.200,   -0.018
    0.100,   -0.175,   -0.049
    0.069,   -0.144,   -0.091
    0.039,   -0.116,   -0.143
    0.008,   -0.094,   -0.201
   -0.030,   -0.077,   -0.252
   -0.072,   -0.064,   -0.294
   -0.103,   -0.057,   -0.332
   -0.123,   -0.052,   -0.372
