SITE CODE= ŽO“‡Žs“Œ–{’¬
LAT=  35.1141
LON= 138.9257
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 40
NS, EW, UD
   -0.014,    0.009,    0.005
   -0.030,    0.010,    0.009
   -0.028,   -0.002,    0.010
   -0.012,   -0.016,    0.007
   -0.001,   -0.020,    0.002
   -0.003,   -0.016,   -0.004
   -0.004,   -0.003,   -0.009
    0.010,    0.014,   -0.008
    0.032,    0.024,    0.002
    0.033,    0.013,    0.017
    0.000,   -0.013,    0.026
   -0.045,   -0.034,    0.018
   -0.060,   -0.028,   -0.004
   -0.031,    0.005,   -0.023
    0.014,    0.038,   -0.023
    0.036,    0.044,   -0.007
    0.025,    0.022,    0.009
    0.004,   -0.007,    0.009
   -0.004,   -0.019,   -0.004
    0.003,   -0.013,   -0.017
    0.009,    0.000,   -0.014
    0.007,    0.012,    0.003
   -0.001,    0.018,    0.021
   -0.011,    0.016,    0.028
   -0.020,    0.005,    0.018
   -0.026,   -0.012,   -0.001
   -0.016,   -0.022,   -0.018
    0.012,   -0.014,   -0.021
    0.037,    0.005,   -0.009
    0.036,    0.015,    0.010
    0.004,    0.003,    0.022
   -0.031,   -0.018,    0.020
   -0.034,   -0.021,    0.005
   -0.007,   -0.002,   -0.008
    0.020,    0.020,   -0.010
    0.021,    0.018,   -0.001
    0.000,   -0.008,    0.008
   -0.013,   -0.032,    0.007
   -0.004,   -0.030,   -0.001
    0.014,   -0.003,   -0.010
    0.020,    0.023,   -0.010
    0.009,    0.023,   -0.001
   -0.009,    0.004,    0.009
   -0.018,   -0.012,    0.009
   -0.017,   -0.009,   -0.001
   -0.008,    0.009,   -0.013
    0.005,    0.023,   -0.016
    0.016,    0.018,   -0.004
    0.018,   -0.004,    0.015
    0.006,   -0.024,    0.024
   -0.014,   -0.027,    0.015
   -0.025,   -0.008,   -0.004
   -0.018,    0.020,   -0.017
    0.000,    0.036,   -0.013
    0.012,    0.025,   -0.001
    0.010,   -0.007,    0.003
    0.000,   -0.038,   -0.005
   -0.007,   -0.046,   -0.014
   -0.006,   -0.028,   -0.008
   -0.003,    0.002,    0.013
   -0.004,    0.024,    0.030
   -0.010,    0.027,    0.025
   -0.012,    0.019,    0.001
   -0.005,    0.012,   -0.022
    0.005,    0.011,   -0.027
    0.009,    0.005,   -0.014
    0.006,   -0.011,   -0.001
    0.001,   -0.032,    0.003
    0.004,   -0.040,    0.000
    0.013,   -0.020,    0.002
    0.020,    0.019,    0.010
    0.016,    0.049,    0.016
   -0.002,    0.046,    0.011
   -0.023,    0.009,   -0.002
   -0.032,   -0.032,   -0.014
   -0.023,   -0.048,   -0.013
    0.002,   -0.028,   -0.002
    0.027,    0.009,    0.011
    0.039,    0.030,    0.018
    0.029,    0.024,    0.017
    0.004,    0.000,    0.011
   -0.019,   -0.016,    0.001
   -0.029,   -0.016,   -0.009
   -0.025,   -0.006,   -0.013
   -0.015,   -0.002,   -0.010
   -0.007,   -0.006,   -0.003
    0.001,   -0.007,   -0.001
    0.012,    0.002,   -0.007
    0.023,    0.017,   -0.016
    0.024,    0.020,   -0.018
    0.010,    0.007,   -0.007
   -0.012,   -0.012,    0.009
   -0.030,   -0.019,    0.018
   -0.032,   -0.009,    0.014
   -0.019,    0.005,    0.004
    0.003,    0.012,   -0.007
    0.027,    0.008,   -0.012
    0.040,    0.001,   -0.012
    0.035,   -0.002,   -0.007
    0.011,   -0.005,    0.000
   -0.020,   -0.010,    0.011
   -0.035,   -0.012,    0.020
   -0.029,   -0.005,    0.021
   -0.011,    0.012,    0.015
    0.002,    0.027,    0.002
    0.005,    0.025,   -0.012
    0.007,    0.010,   -0.020
    0.014,   -0.008,   -0.018
    0.021,   -0.018,   -0.007
    0.013,   -0.018,    0.008
   -0.011,   -0.014,    0.020
   -0.035,   -0.010,    0.021
   -0.040,    0.000,    0.011
   -0.021,    0.018,   -0.007
    0.005,    0.034,   -0.021
    0.020,    0.031,   -0.023
    0.019,    0.005,   -0.013
    0.008,   -0.025,    0.003
    0.001,   -0.039,    0.017
    0.001,   -0.027,    0.021
    0.005,   -0.005,    0.019
    0.005,    0.006,    0.011
    0.003,    0.003,    0.004
   -0.001,   -0.003,   -0.002
   -0.003,   -0.002,   -0.008
   -0.003,    0.003,   -0.013
    0.002,    0.003,   -0.015
    0.009,   -0.002,   -0.011
    0.014,   -0.004,   -0.001
    0.010,    0.002,    0.009
   -0.004,    0.011,    0.014
   -0.023,    0.011,    0.012
   -0.032,    0.004,    0.007
   -0.027,   -0.002,    0.000
   -0.012,   -0.002,   -0.007
    0.002,    0.001,   -0.010
    0.012,    0.000,   -0.009
    0.020,   -0.002,   -0.004
    0.025,   -0.002,    0.005
    0.023,   -0.000,    0.011
    0.008,   -0.004,    0.014
   -0.011,   -0.016,    0.012
   -0.019,   -0.021,    0.008
   -0.011,   -0.008,    0.002
    0.000,    0.019,   -0.002
   -0.001,    0.038,   -0.002
   -0.011,    0.031,    0.000
   -0.013,    0.004,    0.000
    0.007,   -0.018,   -0.004
    0.034,   -0.017,   -0.012
    0.043,   -0.002,   -0.014
    0.020,    0.007,   -0.005
   -0.018,   -0.000,    0.011
   -0.045,   -0.015,    0.024
   -0.048,   -0.019,    0.021
   -0.033,   -0.006,    0.005
   -0.012,    0.014,   -0.014
    0.011,    0.030,   -0.022
    0.034,    0.031,   -0.017
    0.044,    0.016,   -0.007
    0.031,   -0.009,    0.000
   -0.001,   -0.030,    0.004
   -0.030,   -0.034,    0.007
   -0.035,   -0.020,    0.009
   -0.018,   -0.002,    0.007
    0.001,    0.003,   -0.002
    0.006,   -0.005,   -0.010
    0.004,   -0.009,   -0.010
    0.009,    0.009,   -0.003
    0.023,    0.038,    0.007
    0.032,    0.052,    0.012
    0.018,    0.029,    0.014
   -0.013,   -0.017,    0.012
   -0.035,   -0.051,    0.007
   -0.034,   -0.050,   -0.002
   -0.015,   -0.020,   -0.013
   -0.001,    0.010,   -0.020
   -0.003,    0.020,   -0.013
   -0.005,    0.014,    0.001
    0.007,    0.012,    0.010
    0.034,    0.018,    0.007
    0.049,    0.018,   -0.001
    0.030,    0.001,   -0.002
   -0.016,   -0.026,    0.009
   -0.055,   -0.040,    0.018
   -0.057,   -0.025,    0.014
   -0.021,    0.011,   -0.002
    0.025,    0.041,   -0.014
    0.051,    0.043,   -0.009
    0.043,    0.015,    0.005
    0.014,   -0.019,    0.011
   -0.020,   -0.034,    0.002
   -0.040,   -0.024,   -0.013
   -0.038,    0.001,   -0.021
   -0.016,    0.019,   -0.018
    0.009,    0.020,   -0.012
    0.025,    0.007,   -0.010
    0.025,   -0.007,   -0.009
    0.020,   -0.012,   -0.001
