SITE CODE= ìåãûêÁë„ìcãÊëÂéËí¨
LAT=  35.6890
LON= 139.7559
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 20
NS, EW, UD
   -0.004,    0.009,   -0.004
   -0.004,    0.002,   -0.004
   -0.008,   -0.006,   -0.001
   -0.010,   -0.012,    0.006
   -0.009,   -0.015,    0.013
   -0.006,   -0.012,    0.014
   -0.004,   -0.006,    0.009
   -0.001,    0.002,    0.002
    0.003,    0.007,   -0.001
    0.004,    0.007,   -0.004
   -0.002,    0.001,   -0.006
   -0.013,   -0.004,   -0.005
   -0.021,   -0.005,   -0.003
   -0.021,   -0.002,   -0.001
   -0.016,    0.000,   -0.002
   -0.010,   -0.000,   -0.002
   -0.003,   -0.001,   -0.000
    0.005,    0.004,    0.002
    0.010,    0.012,    0.003
    0.012,    0.018,    0.002
    0.012,    0.018,    0.001
    0.010,    0.012,    0.003
    0.005,    0.009,    0.004
   -0.001,    0.007,    0.002
   -0.004,    0.001,   -0.000
   -0.003,   -0.011,   -0.001
   -0.002,   -0.023,   -0.001
   -0.006,   -0.025,   -0.003
   -0.011,   -0.018,   -0.006
   -0.011,   -0.011,   -0.006
   -0.005,   -0.014,   -0.001
    0.003,   -0.020,    0.006
    0.004,   -0.020,    0.009
   -0.003,   -0.011,    0.009
   -0.008,    0.002,    0.007
   -0.005,    0.010,    0.005
    0.006,    0.015,    0.003
    0.016,    0.020,   -0.002
    0.021,    0.027,   -0.007
    0.021,    0.029,   -0.006
    0.018,    0.025,   -0.001
    0.008,    0.017,    0.001
   -0.009,    0.010,   -0.002
   -0.025,    0.003,   -0.006
   -0.030,   -0.006,   -0.005
   -0.021,   -0.020,    0.001
   -0.007,   -0.029,    0.008
    0.002,   -0.028,    0.008
    0.004,   -0.016,    0.004
    0.004,   -0.003,    0.001
    0.003,    0.004,    0.001
    0.002,    0.003,    0.004
    0.001,   -0.001,    0.004
    0.001,   -0.005,    0.003
    0.001,   -0.009,    0.002
    0.002,   -0.011,    0.002
    0.001,   -0.011,    0.002
   -0.002,   -0.003,   -0.000
   -0.008,    0.011,   -0.003
   -0.011,    0.022,   -0.004
   -0.008,    0.019,   -0.000
    0.002,    0.007,    0.004
    0.010,   -0.001,    0.006
    0.009,    0.005,    0.001
    0.001,    0.017,   -0.008
   -0.003,    0.021,   -0.013
   -0.003,    0.013,   -0.012
   -0.001,    0.005,   -0.006
   -0.001,    0.006,    0.000
   -0.000,    0.010,    0.003
    0.005,    0.007,    0.002
    0.010,   -0.007,   -0.000
    0.009,   -0.021,   -0.001
    0.001,   -0.026,   -0.001
   -0.002,   -0.024,    0.001
    0.003,   -0.024,    0.004
    0.010,   -0.027,    0.004
    0.009,   -0.024,    0.001
   -0.001,   -0.010,   -0.004
   -0.010,    0.009,   -0.009
   -0.011,    0.018,   -0.006
   -0.005,    0.011,    0.003
    0.000,   -0.003,    0.009
    0.000,   -0.011,    0.006
