SITE CODE= ‰¡•l’†‹æŽRŽè’¬
LAT=  35.4398
LON= 139.6529
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 20
NS, EW, UD
   -0.026,   -0.017,    0.010
   -0.022,   -0.004,   -0.001
   -0.017,    0.003,   -0.015
   -0.013,    0.002,   -0.017
   -0.011,   -0.003,   -0.004
   -0.008,   -0.006,    0.006
   -0.008,   -0.007,    0.002
   -0.011,   -0.005,   -0.011
   -0.013,    0.002,   -0.019
   -0.007,    0.009,   -0.017
    0.003,    0.014,   -0.009
    0.011,    0.016,   -0.000
    0.013,    0.016,    0.005
    0.009,    0.013,    0.005
    0.006,    0.005,   -0.003
    0.009,   -0.002,   -0.010
    0.013,    0.000,   -0.007
    0.016,    0.012,    0.004
    0.017,    0.020,    0.014
    0.016,    0.015,    0.014
    0.017,    0.001,    0.011
    0.016,   -0.009,    0.010
    0.013,   -0.010,    0.012
    0.007,   -0.009,    0.011
    0.002,   -0.010,    0.006
    0.000,   -0.011,    0.004
    0.005,   -0.008,    0.006
    0.012,   -0.003,    0.010
    0.014,   -0.002,    0.012
    0.007,   -0.007,    0.011
   -0.001,   -0.016,    0.004
   -0.006,   -0.021,   -0.005
   -0.008,   -0.018,   -0.012
   -0.009,   -0.008,   -0.012
   -0.010,    0.004,   -0.007
   -0.005,    0.008,   -0.004
    0.000,    0.002,   -0.009
   -0.002,   -0.007,   -0.016
   -0.012,   -0.013,   -0.016
   -0.023,   -0.008,   -0.012
   -0.026,    0.002,   -0.011
   -0.020,    0.010,   -0.013
   -0.012,    0.011,   -0.015
   -0.007,    0.005,   -0.011
   -0.005,    0.000,   -0.005
   -0.010,    0.000,   -0.003
   -0.020,    0.004,   -0.004
   -0.026,    0.007,   -0.002
   -0.018,    0.007,    0.004
    0.004,    0.005,    0.011
    0.023,   -0.002,    0.014
    0.025,   -0.009,    0.016
    0.008,   -0.009,    0.017
   -0.011,    0.000,    0.020
   -0.014,    0.009,    0.021
    0.002,    0.008,    0.023
    0.026,   -0.003,    0.023
    0.039,   -0.014,    0.019
    0.034,   -0.013,    0.011
    0.018,   -0.002,    0.002
    0.006,    0.007,   -0.002
    0.004,    0.008,   -0.001
    0.007,    0.001,   -0.000
    0.012,   -0.004,   -0.004
    0.014,   -0.001,   -0.012
    0.015,    0.008,   -0.017
    0.014,    0.016,   -0.017
    0.009,    0.016,   -0.012
    0.003,    0.008,   -0.009
    0.000,   -0.001,   -0.007
    0.002,   -0.004,   -0.009
    0.002,    0.002,   -0.010
   -0.006,    0.007,   -0.008
   -0.019,    0.007,   -0.005
   -0.024,    0.003,   -0.002
   -0.014,   -0.002,    0.002
    0.003,   -0.006,    0.005
    0.008,   -0.012,    0.010
   -0.003,   -0.017,    0.011
   -0.019,   -0.012,    0.005
   -0.027,    0.003,   -0.002
   -0.027,    0.013,   -0.003
   -0.025,    0.002,    0.007
   -0.020,   -0.020,    0.020
   -0.011,   -0.031,    0.022
    0.001,   -0.018,    0.012
    0.009,    0.002,    0.000
    0.008,    0.011,   -0.001
    0.004,    0.008,    0.005
    0.000,    0.004,    0.006
   -0.006,    0.004,   -0.002
   -0.009,    0.004,   -0.012
   -0.000,    0.005,   -0.012
    0.021,    0.011,   -0.004
    0.041,    0.017,    0.005
    0.039,    0.018,    0.004
    0.015,    0.012,   -0.008
   -0.009,    0.010,   -0.022
   -0.009,    0.011,   -0.026
    0.012,    0.007,   -0.016
    0.037,   -0.004,    0.002
    0.043,   -0.012,    0.011
    0.028,   -0.004,    0.005
    0.003,    0.011,   -0.005
   -0.014,    0.016,   -0.008
   -0.012,    0.004,    0.001
    0.002,   -0.013,    0.009
    0.014,   -0.019,    0.009
    0.011,   -0.012,    0.002
   -0.006,   -0.005,   -0.000
   -0.021,   -0.007,    0.006
   -0.025,   -0.016,    0.013
   -0.017,   -0.018,    0.013
   -0.011,   -0.010,    0.004
   -0.016,    0.001,   -0.005
   -0.026,    0.002,   -0.005
   -0.031,   -0.002,    0.003
   -0.027,    0.000,    0.009
   -0.021,    0.008,    0.005
   -0.018,    0.011,   -0.004
   -0.019,    0.002,   -0.009
   -0.016,   -0.011,   -0.007
   -0.006,   -0.011,   -0.005
    0.004,    0.004,   -0.007
    0.008,    0.022,   -0.012
    0.006,    0.030,   -0.014
    0.004,    0.025,   -0.010
    0.005,    0.014,   -0.002
    0.014,    0.004,    0.002
    0.024,    0.002,   -0.002
    0.029,    0.010,   -0.012
    0.024,    0.022,   -0.018
    0.014,    0.027,   -0.009
    0.014,    0.018,    0.007
    0.028,   -0.004,    0.016
    0.042,   -0.024,    0.012
    0.036,   -0.027,    0.004
    0.007,   -0.012,    0.004
   -0.023,    0.007,    0.010
   -0.032,    0.013,    0.014
