SITE CODE= ìåãûçëç€ãÛç`
LAT=  35.5542
LON= 139.7816
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 20
NS, EW, UD
   -0.006,    0.011,    0.010
    0.004,   -0.005,    0.022
    0.000,   -0.010,    0.026
   -0.014,   -0.003,    0.015
   -0.009,   -0.011,    0.006
   -0.010,   -0.005,    0.011
   -0.013,   -0.009,    0.015
   -0.019,   -0.006,    0.011
   -0.013,    0.012,    0.018
    0.009,    0.011,    0.020
    0.003,    0.013,    0.018
   -0.002,    0.005,    0.022
    0.000,   -0.009,    0.025
    0.008,   -0.011,    0.024
    0.027,   -0.021,    0.015
    0.025,   -0.016,    0.008
    0.011,   -0.005,    0.006
    0.000,    0.007,    0.011
   -0.015,    0.028,    0.013
   -0.012,    0.028,    0.010
   -0.003,    0.022,    0.004
    0.005,    0.007,   -0.003
    0.009,   -0.005,    0.001
    0.005,   -0.005,    0.004
    0.009,   -0.009,   -0.008
    0.008,   -0.007,   -0.024
   -0.005,   -0.021,   -0.032
   -0.015,   -0.023,   -0.037
   -0.011,    0.001,   -0.039
   -0.008,    0.003,   -0.036
   -0.010,   -0.004,   -0.037
   -0.003,   -0.022,   -0.035
   -0.004,   -0.024,   -0.039
    0.005,   -0.015,   -0.041
    0.015,   -0.015,   -0.027
    0.005,    0.000,   -0.016
    0.001,    0.003,   -0.006
   -0.005,   -0.005,    0.004
   -0.005,   -0.005,    0.010
   -0.002,   -0.002,    0.020
   -0.005,    0.005,    0.025
    0.000,    0.009,    0.030
    0.004,    0.000,    0.039
    0.015,    0.004,    0.043
    0.013,    0.018,    0.040
    0.000,    0.020,    0.031
    0.008,    0.018,    0.021
    0.006,    0.008,    0.015
   -0.002,   -0.000,    0.000
   -0.009,   -0.000,   -0.019
   -0.015,    0.007,   -0.033
   -0.008,    0.006,   -0.040
   -0.010,   -0.001,   -0.037
    0.001,    0.009,   -0.035
    0.004,    0.010,   -0.031
   -0.010,    0.001,   -0.021
    0.008,   -0.005,   -0.015
    0.013,   -0.016,   -0.009
    0.023,   -0.018,   -0.010
    0.033,   -0.013,   -0.012
   -0.000,   -0.013,   -0.013
    0.000,   -0.023,   -0.011
    0.016,   -0.023,    0.001
   -0.004,   -0.011,    0.017
   -0.021,   -0.003,    0.038
   -0.022,   -0.000,    0.051
   -0.013,   -0.001,    0.059
   -0.007,    0.014,    0.060
    0.000,    0.023,    0.045
    0.019,    0.002,    0.036
    0.010,   -0.001,    0.036
   -0.003,    0.010,    0.036
    0.004,    0.010,    0.031
    0.001,    0.015,    0.023
    0.008,    0.019,    0.000
    0.003,    0.021,   -0.005
   -0.017,    0.015,   -0.000
   -0.016,    0.000,   -0.010
   -0.009,    0.011,   -0.009
   -0.004,    0.011,   -0.011
   -0.001,   -0.001,   -0.016
    0.013,   -0.001,   -0.023
    0.008,   -0.009,   -0.039
   -0.007,   -0.004,   -0.048
   -0.008,   -0.001,   -0.051
   -0.016,   -0.004,   -0.046
    0.003,   -0.005,   -0.041
    0.021,   -0.015,   -0.031
    0.008,   -0.010,   -0.020
    0.007,   -0.003,   -0.014
    0.004,    0.006,   -0.006
    0.014,    0.003,   -0.000
    0.029,   -0.010,    0.007
    0.019,   -0.000,    0.006
    0.014,   -0.005,    0.001
    0.000,   -0.008,    0.003
    0.001,   -0.008,    0.008
    0.011,   -0.016,    0.015
    0.010,   -0.004,    0.016
    0.024,    0.009,    0.015
    0.000,    0.021,    0.015
   -0.016,    0.014,    0.019
   -0.007,   -0.001,    0.024
   -0.015,    0.015,    0.028
   -0.006,    0.030,    0.032
   -0.006,    0.036,    0.034
   -0.012,    0.041,    0.024
   -0.017,    0.025,    0.008
   -0.010,    0.001,    0.008
    0.001,   -0.009,    0.009
   -0.016,    0.008,    0.004
   -0.009,    0.033,   -0.003
    0.006,    0.019,   -0.006
    0.001,   -0.006,   -0.011
    0.011,   -0.016,   -0.021
    0.019,   -0.017,   -0.015
    0.005,   -0.003,   -0.010
   -0.003,   -0.002,   -0.013
    0.006,   -0.013,   -0.010
    0.012,   -0.023,   -0.004
    0.008,   -0.024,    0.001
    0.009,   -0.013,    0.004
    0.007,   -0.016,   -0.001
    0.001,   -0.014,   -0.008
    0.013,   -0.021,   -0.003
    0.020,   -0.033,   -0.007
    0.015,   -0.016,   -0.011
    0.003,   -0.012,    0.000
   -0.010,   -0.003,    0.010
   -0.009,    0.011,    0.019
   -0.020,    0.011,    0.020
   -0.019,    0.008,    0.012
   -0.005,   -0.008,    0.006
   -0.014,   -0.015,    0.005
   -0.013,   -0.004,    0.013
   -0.016,    0.008,    0.015
   -0.020,    0.028,    0.007
   -0.013,    0.033,    0.005
   -0.009,    0.022,    0.009
    0.001,    0.019,    0.009
   -0.010,    0.020,    0.009
   -0.004,    0.018,    0.004
    0.026,    0.011,   -0.007
    0.011,    0.008,   -0.015
   -0.003,   -0.001,   -0.025
   -0.014,   -0.011,   -0.025
   -0.016,   -0.011,   -0.019
    0.000,   -0.019,   -0.014
    0.003,   -0.023,   -0.004
    0.013,   -0.021,    0.000
    0.013,   -0.017,    0.002
    0.010,   -0.020,    0.003
    0.012,   -0.024,    0.002
   -0.007,   -0.013,   -0.007
   -0.008,   -0.016,   -0.023
   -0.009,   -0.018,   -0.023
   -0.013,   -0.010,   -0.020
   -0.004,   -0.010,   -0.014
   -0.017,   -0.006,    0.001
   -0.024,   -0.007,    0.008
   -0.017,    0.000,    0.003
   -0.015,    0.006,    0.008
   -0.009,    0.002,    0.024
   -0.004,    0.002,    0.030
    0.006,    0.004,    0.029
    0.012,    0.015,    0.020
    0.007,    0.020,    0.005
    0.008,    0.024,   -0.004
    0.004,    0.032,   -0.010
    0.007,    0.025,   -0.013
    0.017,    0.013,   -0.010
    0.017,    0.016,   -0.006
    0.013,    0.030,   -0.002
    0.000,    0.022,    0.009
   -0.001,    0.011,    0.013
    0.000,    0.009,    0.006
   -0.010,    0.014,    0.001
   -0.007,    0.013,   -0.001
   -0.003,    0.005,    0.000
    0.001,   -0.002,    0.006
    0.012,   -0.019,    0.017
    0.016,   -0.010,    0.011
    0.005,   -0.011,    0.006
   -0.001,   -0.035,    0.013
    0.014,   -0.037,    0.008
    0.011,   -0.042,    0.015
   -0.010,   -0.030,    0.015
   -0.010,   -0.009,    0.010
    0.000,   -0.008,    0.009
    0.005,    0.003,   -0.008
    0.007,    0.003,   -0.012
    0.004,   -0.011,   -0.012
    0.007,   -0.023,   -0.016
    0.008,   -0.015,   -0.016
    0.001,   -0.005,   -0.016
    0.014,    0.005,   -0.010
    0.014,    0.037,   -0.010
    0.010,    0.043,   -0.013
    0.013,    0.028,   -0.012
    0.004,    0.019,   -0.001
    0.009,    0.011,    0.001
    0.005,    0.026,    0.000
    0.004,    0.023,    0.000
    0.006,    0.004,   -0.007
   -0.003,    0.007,   -0.006
    0.002,    0.007,   -0.015
   -0.007,    0.008,   -0.023
   -0.006,   -0.003,   -0.019
   -0.000,   -0.016,   -0.014
   -0.009,   -0.006,   -0.005
    0.000,   -0.000,   -0.007
   -0.002,    0.006,   -0.012
   -0.013,    0.000,   -0.003
   -0.010,   -0.020,    0.007
   -0.002,   -0.020,    0.013
    0.003,   -0.033,    0.022
   -0.002,   -0.024,    0.021
    0.002,    0.008,    0.009
    0.000,    0.001,    0.008
   -0.002,   -0.011,    0.013
    0.005,   -0.014,    0.032
    0.000,    0.004,    0.041
    0.000,    0.025,    0.028
   -0.003,    0.008,    0.023
    0.003,   -0.014,    0.006
    0.018,   -0.012,   -0.014
    0.006,    0.007,   -0.026
    0.009,    0.009,   -0.036
    0.008,    0.011,   -0.035
   -0.005,    0.019,   -0.029
   -0.006,    0.014,   -0.018
   -0.020,    0.021,   -0.014
   -0.017,    0.026,   -0.011
   -0.014,    0.026,   -0.004
   -0.020,    0.023,    0.005
   -0.005,    0.003,    0.013
    0.008,    0.002,    0.013
    0.028,    0.008,    0.013
    0.025,   -0.004,    0.001
