SITE CODE= êÁótíÜâõãÊíÜâõç`
LAT=  35.6027
LON= 140.1046
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 20
NS, EW, UD
    0.004,   -0.001,    0.005
    0.007,   -0.027,    0.012
    0.005,   -0.042,    0.011
   -0.004,   -0.034,    0.004
   -0.017,   -0.014,   -0.004
   -0.034,   -0.003,   -0.005
   -0.050,   -0.007,    0.004
   -0.055,   -0.013,    0.019
   -0.040,   -0.010,    0.025
   -0.007,   -0.000,    0.018
    0.029,    0.009,    0.003
    0.048,    0.015,   -0.009
    0.050,    0.018,   -0.014
    0.039,    0.010,   -0.016
    0.020,   -0.005,   -0.015
    0.002,   -0.014,   -0.009
   -0.006,   -0.004,    0.002
   -0.002,    0.014,    0.008
    0.007,    0.023,    0.004
    0.011,    0.018,   -0.005
    0.008,    0.011,   -0.012
    0.006,    0.012,   -0.011
    0.006,    0.016,   -0.006
    0.006,    0.016,   -0.001
    0.003,    0.012,    0.004
   -0.003,    0.012,    0.005
   -0.011,    0.012,    0.003
   -0.020,    0.003,   -0.004
   -0.023,   -0.013,   -0.012
   -0.014,   -0.024,   -0.018
    0.002,   -0.020,   -0.021
    0.016,   -0.007,   -0.019
    0.023,    0.002,   -0.012
    0.022,    0.004,   -0.003
    0.012,    0.002,    0.000
   -0.007,   -0.003,   -0.001
   -0.026,   -0.008,   -0.002
   -0.032,   -0.008,    0.004
   -0.021,    0.002,    0.012
   -0.006,    0.015,    0.016
    0.002,    0.021,    0.017
    0.002,    0.016,    0.020
    0.005,    0.007,    0.023
    0.012,    0.002,    0.024
    0.016,    0.002,    0.016
    0.012,    0.004,    0.007
    0.005,    0.006,    0.003
    0.005,    0.010,    0.007
    0.011,    0.011,    0.011
    0.011,    0.007,    0.005
    0.001,   -0.002,   -0.005
   -0.012,   -0.011,   -0.011
   -0.015,   -0.023,   -0.004
   -0.007,   -0.035,    0.010
   -0.003,   -0.035,    0.019
   -0.011,   -0.018,    0.014
   -0.024,    0.003,    0.000
   -0.023,    0.006,   -0.009
   -0.011,   -0.011,   -0.007
    0.002,   -0.025,    0.002
    0.006,   -0.022,    0.006
    0.008,   -0.009,    0.000
    0.012,   -0.000,   -0.012
    0.014,    0.003,   -0.023
    0.013,    0.011,   -0.025
    0.018,    0.022,   -0.020
    0.028,    0.021,   -0.015
    0.028,    0.007,   -0.016
    0.005,   -0.004,   -0.022
   -0.029,    0.005,   -0.022
   -0.043,    0.032,   -0.012
   -0.033,    0.054,    0.001
   -0.018,    0.055,    0.012
   -0.017,    0.034,    0.019
   -0.024,    0.003,    0.025
   -0.021,   -0.024,    0.032
   -0.005,   -0.037,    0.034
    0.009,   -0.031,    0.025
    0.012,   -0.016,    0.011
    0.007,   -0.005,   -0.001
    0.005,   -0.006,   -0.004
    0.010,   -0.013,   -0.000
    0.017,   -0.019,    0.005
    0.018,   -0.022,    0.005
    0.014,   -0.021,    0.000
    0.013,   -0.016,   -0.010
    0.021,   -0.002,   -0.019
    0.036,    0.018,   -0.023
    0.042,    0.038,   -0.022
    0.036,    0.048,   -0.020
    0.019,    0.045,   -0.021
   -0.004,    0.036,   -0.020
   -0.032,    0.032,   -0.007
   -0.055,    0.032,    0.014
   -0.052,    0.023,    0.030
   -0.021,   -0.001,    0.027
    0.012,   -0.029,    0.009
    0.018,   -0.037,   -0.006
    0.000,   -0.023,   -0.005
   -0.009,   -0.011,    0.005
    0.004,   -0.019,    0.011
    0.014,   -0.034,    0.007
    0.001,   -0.031,   -0.002
   -0.023,   -0.009,   -0.011
   -0.032,    0.011,   -0.017
   -0.024,    0.016,   -0.020
   -0.014,    0.008,   -0.016
   -0.007,   -0.005,   -0.002
    0.006,   -0.026,    0.014
    0.023,   -0.050,    0.023
    0.030,   -0.060,    0.020
    0.021,   -0.041,    0.009
    0.013,   -0.005,   -0.004
    0.015,    0.022,   -0.015
    0.020,    0.028,   -0.021
    0.017,    0.018,   -0.018
    0.012,    0.007,   -0.006
    0.011,    0.002,    0.012
    0.009,    0.008,    0.027
   -0.001,    0.021,    0.027
   -0.012,    0.032,    0.012
   -0.012,    0.031,   -0.010
   -0.006,    0.020,   -0.029
   -0.011,    0.009,   -0.034
   -0.029,    0.003,   -0.021
   -0.042,   -0.005,    0.002
   -0.034,   -0.016,    0.024
   -0.013,   -0.022,    0.034
    0.002,   -0.020,    0.027
    0.005,   -0.016,    0.012
    0.002,   -0.019,   -0.001
    0.004,   -0.021,   -0.006
    0.016,   -0.016,   -0.006
    0.029,   -0.006,   -0.007
    0.031,    0.001,   -0.010
    0.016,    0.005,   -0.013
   -0.002,    0.013,   -0.013
   -0.009,    0.020,   -0.011
   -0.006,    0.014,   -0.007
   -0.006,   -0.003,    0.000
   -0.011,   -0.015,    0.009
   -0.004,   -0.018,    0.016
    0.018,   -0.014,    0.016
    0.033,   -0.009,    0.007
    0.019,    0.007,   -0.004
