SITE CODE= Žl“úŽsŽs“ú‰i
LAT=  34.9401
LON= 136.5803
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 00
NS, EW, UD
    0.153,    0.423,   -0.124
    0.159,    0.422,   -0.116
    0.171,    0.398,   -0.113
    0.192,    0.365,   -0.101
    0.211,    0.337,   -0.072
    0.213,    0.312,   -0.029
    0.189,    0.282,    0.013
    0.139,    0.242,    0.045
    0.080,    0.195,    0.064
    0.028,    0.146,    0.082
   -0.009,    0.103,    0.106
   -0.034,    0.067,    0.137
   -0.057,    0.041,    0.164
   -0.084,    0.023,    0.176
   -0.116,    0.008,    0.168
   -0.139,   -0.012,    0.146
   -0.148,   -0.039,    0.123
   -0.140,   -0.062,    0.109
   -0.131,   -0.070,    0.102
   -0.133,   -0.063,    0.092
   -0.148,   -0.059,    0.070
   -0.164,   -0.077,    0.036
   -0.164,   -0.115,    0.004
   -0.139,   -0.145,   -0.014
   -0.099,   -0.137,   -0.014
   -0.069,   -0.086,   -0.005
   -0.070,   -0.019,   -0.000
   -0.111,    0.028,   -0.008
   -0.176,    0.040,   -0.026
   -0.235,    0.036,   -0.047
   -0.260,    0.050,   -0.064
   -0.248,    0.097,   -0.077
   -0.214,    0.164,   -0.082
   -0.189,    0.224,   -0.076
   -0.188,    0.261,   -0.059
   -0.202,    0.283,   -0.039
   -0.203,    0.305,   -0.027
   -0.168,    0.333,   -0.027
   -0.103,    0.353,   -0.032
   -0.041,    0.351,   -0.028
   -0.019,    0.333,   -0.008
   -0.050,    0.315,    0.021
   -0.107,    0.307,    0.045
   -0.149,    0.298,    0.051
   -0.152,    0.268,    0.047
   -0.125,    0.219,    0.050
   -0.103,    0.181,    0.075
   -0.112,    0.182,    0.118
   -0.148,    0.219,    0.158
   -0.181,    0.257,    0.175
   -0.179,    0.262,    0.167
   -0.139,    0.239,    0.153
   -0.090,    0.215,    0.155
   -0.073,    0.216,    0.175
   -0.109,    0.235,    0.197
   -0.176,    0.240,    0.200
   -0.224,    0.209,    0.178
   -0.213,    0.149,    0.148
   -0.142,    0.095,    0.134
   -0.057,    0.082,    0.152
   -0.020,    0.113,    0.194
   -0.062,    0.157,    0.240
   -0.164,    0.174,    0.260
   -0.263,    0.144,    0.239
   -0.293,    0.089,    0.187
   -0.235,    0.049,    0.139
   -0.134,    0.052,    0.130
   -0.063,    0.092,    0.166
   -0.068,    0.134,    0.213
   -0.127,    0.141,    0.218
   -0.177,    0.092,    0.162
   -0.162,   -0.005,    0.081
   -0.087,   -0.120,    0.041
   -0.010,   -0.207,    0.081
    0.025,   -0.224,    0.174
    0.020,   -0.166,    0.250
    0.025,   -0.082,    0.257
    0.088,   -0.041,    0.202
    0.205,   -0.075,    0.142
    0.317,   -0.144,    0.129
    0.364,   -0.165,    0.167
    0.329,   -0.094,    0.214
    0.257,    0.036,    0.222
    0.222,    0.141,    0.178
    0.267,    0.160,    0.111
    0.370,    0.104,    0.061
    0.456,    0.037,    0.052
    0.455,    0.013,    0.073
    0.356,    0.037,    0.095
    0.214,    0.066,    0.092
    0.112,    0.056,    0.057
    0.102,   -0.002,    0.011
    0.168,   -0.081,   -0.014
    0.244,   -0.146,    0.005
    0.262,   -0.173,    0.063
    0.194,   -0.171,    0.121
    0.074,   -0.167,    0.129
   -0.031,   -0.190,    0.071
   -0.064,   -0.248,   -0.021
   -0.017,   -0.319,   -0.091
    0.066,   -0.356,   -0.111
    0.129,   -0.326,   -0.100
    0.144,   -0.243,   -0.111
    0.123,   -0.170,   -0.170
    0.093,   -0.175,   -0.253
    0.077,   -0.264,   -0.306
    0.080,   -0.368,   -0.300
    0.100,   -0.400,   -0.256
    0.133,   -0.336,   -0.223
    0.178,   -0.237,   -0.227
    0.228,   -0.189,   -0.257
    0.274,   -0.218,   -0.278
    0.307,   -0.273,   -0.275
    0.316,   -0.287,   -0.254
    0.287,   -0.242,   -0.232
    0.219,   -0.177,   -0.218
    0.135,   -0.131,   -0.209
    0.075,   -0.109,   -0.203
    0.069,   -0.092,   -0.203
    0.104,   -0.067,   -0.206
    0.133,   -0.043,   -0.206
    0.114,   -0.020,   -0.201
    0.052,    0.011,   -0.196
   -0.008,    0.064,   -0.206
   -0.025,    0.122,   -0.229
    0.000,    0.153,   -0.251
    0.033,    0.144,   -0.248
    0.042,    0.115,   -0.215
    0.021,    0.097,   -0.168
   -0.019,    0.098,   -0.131
   -0.064,    0.097,   -0.120
   -0.110,    0.075,   -0.127
   -0.149,    0.037,   -0.131
   -0.166,    0.012,   -0.124
   -0.148,    0.013,   -0.105
   -0.105,    0.034,   -0.086
   -0.060,    0.050,   -0.072
   -0.030,    0.052,   -0.065
   -0.013,    0.043,   -0.062
    0.010,    0.032,   -0.065
    0.047,    0.018,   -0.076
    0.092,    0.005,   -0.091
    0.125,    0.000,   -0.105
    0.133,    0.016,   -0.108
    0.117,    0.055,   -0.099
    0.092,    0.101,   -0.084
    0.063,    0.133,   -0.071
    0.032,    0.140,   -0.061
   -0.007,    0.138,   -0.054
   -0.047,    0.143,   -0.049
   -0.076,    0.160,   -0.050
   -0.082,    0.174,   -0.058
   -0.064,    0.169,   -0.071
   -0.036,    0.142,   -0.084
   -0.012,    0.110,   -0.093
    0.001,    0.090,   -0.101
    0.008,    0.083,   -0.112
    0.013,    0.076,   -0.130
    0.019,    0.054,   -0.146
    0.020,    0.015,   -0.150
    0.013,   -0.029,   -0.136
    0.002,   -0.068,   -0.107
   -0.012,   -0.098,   -0.070
   -0.025,   -0.121,   -0.030
   -0.036,   -0.139,    0.011
   -0.039,   -0.152,    0.050
   -0.036,   -0.162,    0.084
   -0.027,   -0.174,    0.109
   -0.024,   -0.194,    0.123
   -0.038,   -0.224,    0.127
   -0.072,   -0.262,    0.121
   -0.118,   -0.304,    0.108
   -0.160,   -0.342,    0.092
   -0.191,   -0.368,    0.079
   -0.214,   -0.376,    0.072
   -0.237,   -0.366,    0.075
   -0.266,   -0.346,    0.082
   -0.299,   -0.323,    0.095
   -0.333,   -0.303,    0.111
   -0.368,   -0.285,    0.132
   -0.407,   -0.260,    0.155
   -0.444,   -0.224,    0.172
   -0.473,   -0.180,    0.173
   -0.489,   -0.141,    0.160
   -0.498,   -0.117,    0.142
   -0.506,   -0.108,    0.128
   -0.512,   -0.098,    0.120
   -0.506,   -0.071,    0.118
   -0.471,   -0.021,    0.118
   -0.410,    0.040,    0.120
   -0.337,    0.098,    0.125
   -0.272,    0.140,    0.131
   -0.219,    0.167,    0.139
   -0.169,    0.188,    0.148
   -0.114,    0.209,    0.159
   -0.057,    0.237,    0.172
   -0.004,    0.270,    0.179
    0.037,    0.307,    0.172
    0.070,    0.342,    0.149
    0.099,    0.366,    0.113
    0.132,    0.376,    0.076
    0.168,    0.374,    0.042
    0.205,    0.366,    0.011
    0.233,    0.358,   -0.018
    0.250,    0.352,   -0.038
    0.262,    0.346,   -0.043
    0.281,    0.341,   -0.032
    0.314,    0.336,   -0.019
    0.357,    0.326,   -0.018
    0.391,    0.298,   -0.029
    0.406,    0.246,   -0.032
    0.400,    0.182,   -0.006
    0.386,    0.130,    0.050
    0.375,    0.109,    0.115
    0.367,    0.116,    0.161
    0.364,    0.126,    0.175
    0.361,    0.118,    0.167
    0.359,    0.091,    0.158
    0.351,    0.063,    0.161
    0.331,    0.051,    0.175
    0.301,    0.053,    0.189
    0.272,    0.050,    0.197
    0.255,    0.027,    0.194
    0.251,   -0.019,    0.186
    0.243,   -0.075,    0.178
    0.217,   -0.128,    0.174
    0.176,   -0.173,    0.176
    0.134,   -0.212,    0.179
    0.102,   -0.250,    0.174
    0.073,   -0.287,    0.157
    0.033,   -0.321,    0.130
   -0.027,   -0.353,    0.102
   -0.097,   -0.381,    0.081
   -0.158,   -0.407,    0.070
   -0.194,   -0.429,    0.061
   -0.207,   -0.444,    0.046
   -0.207,   -0.456,    0.019
   -0.209,   -0.467,   -0.013
   -0.218,   -0.482,   -0.034
   -0.228,   -0.496,   -0.038
   -0.229,   -0.501,   -0.028
   -0.217,   -0.490,   -0.018
   -0.205,   -0.468,   -0.013
   -0.208,   -0.449,   -0.011
   -0.230,   -0.435,    0.004
   -0.259,   -0.413,    0.031
   -0.271,   -0.366,    0.060
   -0.257,   -0.292,    0.074
   -0.225,   -0.209,    0.066
   -0.194,   -0.139,    0.043
   -0.183,   -0.086,    0.017
   -0.187,   -0.030,   -0.004
