SITE CODE= í∑ñÏésèºë„
LAT=  36.5439
LON= 138.2060
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 10
NS, EW, UD
   -0.265,   -0.138,    0.167
   -0.269,   -0.188,    0.151
   -0.300,   -0.273,    0.170
   -0.366,   -0.353,    0.224
   -0.435,   -0.375,    0.269
   -0.471,   -0.329,    0.265
   -0.462,   -0.253,    0.216
   -0.432,   -0.202,    0.175
   -0.408,   -0.191,    0.202
   -0.385,   -0.206,    0.301
   -0.343,   -0.218,    0.415
   -0.274,   -0.213,    0.464
   -0.207,   -0.200,    0.416
   -0.180,   -0.184,    0.307
   -0.201,   -0.169,    0.209
   -0.235,   -0.153,    0.162
   -0.232,   -0.136,    0.158
   -0.173,   -0.112,    0.161
   -0.092,   -0.076,    0.155
   -0.033,   -0.026,    0.147
   -0.022,    0.027,    0.148
   -0.040,    0.074,    0.158
   -0.044,    0.117,    0.162
   -0.006,    0.166,    0.155
    0.068,    0.221,    0.148
    0.141,    0.268,    0.154
    0.182,    0.283,    0.173
    0.180,    0.264,    0.191
    0.153,    0.233,    0.192
    0.123,    0.216,    0.182
    0.101,    0.216,    0.189
    0.092,    0.218,    0.238
    0.095,    0.208,    0.316
    0.115,    0.187,    0.373
    0.149,    0.161,    0.363
    0.184,    0.131,    0.288
    0.196,    0.094,    0.193
    0.169,    0.055,    0.121
    0.110,    0.028,    0.071
    0.042,    0.019,    0.010
   -0.006,    0.022,   -0.075
   -0.020,    0.027,   -0.156
   -0.003,    0.034,   -0.198
    0.022,    0.043,   -0.198
    0.025,    0.048,   -0.194
   -0.017,    0.032,   -0.218
   -0.102,   -0.008,   -0.269
   -0.199,   -0.046,   -0.322
   -0.265,   -0.053,   -0.355
   -0.271,   -0.023,   -0.367
   -0.219,    0.014,   -0.365
   -0.140,    0.019,   -0.360
   -0.071,   -0.014,   -0.355
   -0.031,   -0.057,   -0.344
   -0.011,   -0.074,   -0.316
    0.018,   -0.058,   -0.256
    0.079,   -0.025,   -0.178
    0.162,    0.000,   -0.129
    0.223,    0.003,   -0.151
    0.218,   -0.019,   -0.238
    0.144,   -0.057,   -0.331
    0.051,   -0.093,   -0.368
    0.006,   -0.103,   -0.347
    0.037,   -0.072,   -0.320
    0.105,   -0.013,   -0.332
    0.137,    0.034,   -0.366
    0.086,    0.031,   -0.364
   -0.029,   -0.021,   -0.303
   -0.148,   -0.077,   -0.227
   -0.222,   -0.083,   -0.208
   -0.244,   -0.024,   -0.262
   -0.244,    0.066,   -0.319
   -0.247,    0.134,   -0.293
   -0.253,    0.144,   -0.165
   -0.248,    0.105,   -0.019
   -0.227,    0.055,    0.041
   -0.205,    0.030,   -0.017
   -0.205,    0.050,   -0.133
   -0.237,    0.105,   -0.217
   -0.294,    0.168,   -0.230
   -0.348,    0.214,   -0.206
   -0.370,    0.228,   -0.189
   -0.347,    0.218,   -0.192
   -0.289,    0.198,   -0.189
   -0.223,    0.190,   -0.173
   -0.175,    0.207,   -0.167
   -0.159,    0.248,   -0.195
   -0.166,    0.301,   -0.239
   -0.178,    0.345,   -0.245
   -0.186,    0.366,   -0.177
   -0.190,    0.363,   -0.066
   -0.198,    0.345,    0.016
   -0.211,    0.319,    0.026
   -0.223,    0.287,   -0.013
   -0.228,    0.246,   -0.040
   -0.218,    0.206,   -0.015
   -0.189,    0.184,    0.052
   -0.136,    0.186,    0.132
   -0.062,    0.193,    0.213
    0.025,    0.168,    0.301
    0.114,    0.087,    0.398
    0.199,   -0.033,    0.478
    0.278,   -0.142,    0.506
    0.351,   -0.187,    0.469
    0.400,   -0.158,    0.390
    0.404,   -0.087,    0.316
    0.356,   -0.027,    0.285
    0.284,   -0.009,    0.307
    0.238,   -0.024,    0.350
    0.254,   -0.043,    0.371
    0.323,   -0.041,    0.345
    0.392,   -0.031,    0.297
    0.410,   -0.045,    0.280
    0.366,   -0.108,    0.323
    0.300,   -0.205,    0.400
    0.264,   -0.288,    0.437
    0.277,   -0.316,    0.380
    0.304,   -0.291,    0.244
    0.291,   -0.254,    0.105
    0.215,   -0.245,    0.042
    0.118,   -0.263,    0.070
    0.065,   -0.273,    0.133
    0.093,   -0.249,    0.152
    0.166,   -0.199,    0.092
    0.213,   -0.156,   -0.004
    0.182,   -0.141,   -0.060
    0.098,   -0.137,   -0.041
    0.033,   -0.110,    0.012
    0.038,   -0.041,    0.025
    0.098,    0.050,   -0.036
    0.147,    0.118,   -0.134
    0.136,    0.131,   -0.193
    0.082,    0.105,   -0.188
    0.054,    0.089,   -0.165
    0.097,    0.127,   -0.191
    0.196,    0.222,   -0.275
    0.283,    0.319,   -0.354
    0.306,    0.354,   -0.364
    0.271,    0.308,   -0.304
    0.229,    0.219,   -0.241
    0.219,    0.149,   -0.227
    0.236,    0.123,   -0.237
    0.237,    0.113,   -0.201
    0.197,    0.082,   -0.087
    0.144,    0.030,    0.059
    0.136,   -0.009,    0.161
    0.198,   -0.013,    0.196
    0.297,   -0.004,    0.211
    0.357,   -0.024,    0.257
    0.326,   -0.083,    0.319
    0.221,   -0.140,    0.335
    0.114,   -0.147,    0.272
    0.061,   -0.098,    0.178
    0.057,   -0.038,    0.137
    0.050,   -0.007,    0.189
    0.002,   -0.004,    0.290
   -0.072,    0.003,    0.364
   -0.115,    0.036,    0.371
   -0.097,    0.080,    0.335
   -0.043,    0.107,    0.294
   -0.005,    0.106,    0.256
   -0.024,    0.090,    0.201
   -0.090,    0.069,    0.128
   -0.166,    0.039,    0.067
   -0.216,   -0.013,    0.051
   -0.228,   -0.075,    0.065
   -0.207,   -0.115,    0.056
   -0.166,   -0.111,   -0.013
   -0.128,   -0.079,   -0.119
   -0.107,   -0.066,   -0.198
   -0.107,   -0.102,   -0.218
   -0.115,   -0.172,   -0.205
   -0.109,   -0.237,   -0.215
   -0.080,   -0.266,   -0.262
   -0.030,   -0.258,   -0.307
    0.033,   -0.233,   -0.309
    0.102,   -0.202,   -0.271
    0.172,   -0.162,   -0.234
    0.228,   -0.111,   -0.234
    0.248,   -0.061,   -0.260
    0.219,   -0.030,   -0.281
    0.152,   -0.018,   -0.281
    0.070,   -0.012,   -0.272
    0.001,    0.003,   -0.271
   -0.036,    0.025,   -0.270
   -0.034,    0.038,   -0.247
   -0.001,    0.030,   -0.191
    0.049,    0.011,   -0.118
    0.099,    0.004,   -0.068
    0.132,    0.018,   -0.068
    0.133,    0.048,   -0.115
    0.090,    0.076,   -0.178
    0.004,    0.089,   -0.221
   -0.108,    0.093,   -0.228
   -0.208,    0.103,   -0.203
   -0.262,    0.127,   -0.154
   -0.258,    0.153,   -0.082
   -0.219,    0.167,    0.022
   -0.184,    0.160,    0.152
   -0.182,    0.139,    0.284
   -0.209,    0.116,    0.384
   -0.243,    0.098,    0.439
   -0.268,    0.074,    0.455
   -0.289,    0.037,    0.447
   -0.319,   -0.008,    0.422
   -0.360,   -0.046,    0.380
   -0.391,   -0.061,    0.316
   -0.387,   -0.050,    0.228
   -0.343,   -0.020,    0.125
   -0.284,    0.021,    0.023
   -0.245,    0.064,   -0.052
   -0.243,    0.096,   -0.072
   -0.264,    0.102,   -0.035
   -0.283,    0.077,    0.037
   -0.285,    0.033,    0.106
   -0.268,   -0.006,    0.143
   -0.230,   -0.026,    0.144
   -0.170,   -0.036,    0.119
   -0.095,   -0.060,    0.084
   -0.031,   -0.113,    0.061
    0.002,   -0.190,    0.062
    0.006,   -0.269,    0.087
    0.012,   -0.330,    0.112
    0.048,   -0.361,    0.102
    0.107,   -0.365,    0.035
    0.152,   -0.345,   -0.070
    0.152,   -0.313,   -0.164
    0.115,   -0.282,   -0.209
    0.084,   -0.266,   -0.196
    0.095,   -0.275,   -0.163
    0.146,   -0.307,   -0.155
    0.210,   -0.354,   -0.193
    0.258,   -0.403,   -0.251
    0.287,   -0.445,   -0.286
    0.314,   -0.468,   -0.279
    0.359,   -0.465,   -0.258
    0.412,   -0.433,   -0.269
    0.448,   -0.379,   -0.320
    0.434,   -0.321,   -0.362
    0.361,   -0.276,   -0.340
    0.253,   -0.251,   -0.257
    0.149,   -0.235,   -0.183
    0.072,   -0.205,   -0.187
    0.018,   -0.153,   -0.262
   -0.035,   -0.090,   -0.326
   -0.102,   -0.037,   -0.309
   -0.173,   -0.003,   -0.234
   -0.218,    0.024,   -0.184
   -0.226,    0.064,   -0.210
   -0.209,    0.123,   -0.273
   -0.204,    0.188,   -0.283
   -0.234,    0.240,   -0.209
   -0.291,    0.275,   -0.112
   -0.343,    0.297,   -0.080
   -0.360,    0.316,   -0.128
   -0.335,    0.332,   -0.184
   -0.289,    0.335,   -0.167
   -0.244,    0.323,   -0.066
   -0.210,    0.302,    0.050
   -0.180,    0.284,    0.107
   -0.148,    0.270,    0.083
   -0.116,    0.252,    0.011
   -0.100,    0.220,   -0.061
   -0.106,    0.174,   -0.112
   -0.132,    0.135,   -0.150
