SITE CODE= ã´ç`ésìåñ{í¨
LAT=  35.5448
LON= 133.2351
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 40
NS, EW, UD
    0.136,    0.003,    0.008
    0.135,   -0.005,    0.019
    0.150,   -0.012,    0.021
    0.170,   -0.011,    0.012
    0.183,   -0.000,    0.006
    0.182,    0.015,    0.008
    0.171,    0.026,    0.021
    0.165,    0.030,    0.037
    0.168,    0.025,    0.048
    0.180,    0.017,    0.053
    0.189,    0.013,    0.054
    0.193,    0.016,    0.053
    0.192,    0.025,    0.053
    0.187,    0.036,    0.053
    0.182,    0.043,    0.057
    0.173,    0.044,    0.071
    0.167,    0.039,    0.095
    0.163,    0.033,    0.119
    0.161,    0.031,    0.135
    0.157,    0.036,    0.138
    0.148,    0.042,    0.133
    0.134,    0.048,    0.130
    0.117,    0.050,    0.136
    0.100,    0.049,    0.149
    0.082,    0.047,    0.165
    0.068,    0.045,    0.178
    0.062,    0.045,    0.188
    0.061,    0.049,    0.196
    0.054,    0.055,    0.200
    0.038,    0.059,    0.199
    0.013,    0.056,    0.194
   -0.013,    0.052,    0.187
   -0.033,    0.051,    0.184
   -0.047,    0.055,    0.185
   -0.061,    0.060,    0.186
   -0.077,    0.060,    0.187
   -0.093,    0.057,    0.188
   -0.107,    0.059,    0.188
   -0.120,    0.068,    0.183
   -0.132,    0.079,    0.171
   -0.147,    0.089,    0.154
   -0.166,    0.097,    0.140
   -0.184,    0.101,    0.134
   -0.200,    0.100,    0.134
   -0.210,    0.092,    0.132
   -0.212,    0.082,    0.123
   -0.213,    0.078,    0.109
   -0.219,    0.087,    0.095
   -0.234,    0.106,    0.086
   -0.255,    0.120,    0.082
   -0.273,    0.118,    0.084
   -0.284,    0.102,    0.090
   -0.284,    0.087,    0.095
   -0.276,    0.081,    0.093
   -0.266,    0.084,    0.082
   -0.260,    0.090,    0.067
   -0.267,    0.092,    0.057
   -0.284,    0.091,    0.058
   -0.301,    0.085,    0.065
   -0.307,    0.077,    0.071
   -0.298,    0.068,    0.068
   -0.284,    0.066,    0.057
   -0.276,    0.070,    0.045
   -0.279,    0.078,    0.037
   -0.287,    0.079,    0.032
   -0.292,    0.072,    0.029
   -0.289,    0.064,    0.020
   -0.279,    0.062,    0.004
   -0.266,    0.066,   -0.016
   -0.254,    0.069,   -0.034
   -0.248,    0.063,   -0.044
   -0.248,    0.050,   -0.047
   -0.249,    0.039,   -0.050
   -0.243,    0.034,   -0.061
   -0.225,    0.036,   -0.082
   -0.202,    0.041,   -0.107
   -0.184,    0.044,   -0.126
   -0.177,    0.044,   -0.134
   -0.180,    0.038,   -0.134
   -0.178,    0.026,   -0.132
   -0.166,    0.011,   -0.138
   -0.144,    0.000,   -0.152
   -0.120,    0.000,   -0.169
   -0.100,    0.006,   -0.182
   -0.087,    0.012,   -0.185
   -0.076,    0.011,   -0.181
   -0.065,    0.005,   -0.172
   -0.048,   -0.004,   -0.162
   -0.026,   -0.012,   -0.158
   -0.002,   -0.018,   -0.159
    0.020,   -0.020,   -0.165
    0.036,   -0.019,   -0.176
    0.046,   -0.021,   -0.186
    0.056,   -0.026,   -0.191
    0.070,   -0.036,   -0.188
    0.091,   -0.047,   -0.180
    0.119,   -0.057,   -0.171
    0.147,   -0.064,   -0.168
    0.169,   -0.070,   -0.173
    0.182,   -0.073,   -0.184
    0.187,   -0.074,   -0.195
    0.190,   -0.077,   -0.200
    0.196,   -0.086,   -0.198
    0.207,   -0.102,   -0.188
    0.222,   -0.118,   -0.176
    0.241,   -0.128,   -0.168
    0.260,   -0.130,   -0.166
    0.275,   -0.127,   -0.170
    0.280,   -0.128,   -0.175
    0.278,   -0.137,   -0.176
    0.273,   -0.150,   -0.168
    0.271,   -0.162,   -0.154
    0.279,   -0.169,   -0.139
    0.291,   -0.171,   -0.128
    0.301,   -0.170,   -0.121
    0.308,   -0.169,   -0.117
    0.311,   -0.169,   -0.111
    0.312,   -0.171,   -0.105
    0.312,   -0.177,   -0.098
    0.310,   -0.184,   -0.093
    0.307,   -0.189,   -0.086
    0.303,   -0.189,   -0.075
    0.304,   -0.181,   -0.061
    0.308,   -0.172,   -0.046
    0.312,   -0.166,   -0.035
    0.313,   -0.164,   -0.029
    0.309,   -0.162,   -0.026
    0.300,   -0.158,   -0.020
    0.291,   -0.151,   -0.012
    0.282,   -0.143,    0.000
    0.276,   -0.138,    0.012
    0.272,   -0.137,    0.026
    0.270,   -0.138,    0.039
    0.266,   -0.141,    0.050
    0.261,   -0.141,    0.057
    0.252,   -0.137,    0.061
    0.242,   -0.127,    0.064
    0.228,   -0.116,    0.070
    0.212,   -0.109,    0.079
    0.194,   -0.111,    0.089
    0.182,   -0.116,    0.095
    0.177,   -0.115,    0.095
    0.177,   -0.105,    0.091
    0.172,   -0.093,    0.090
    0.155,   -0.086,    0.093
    0.129,   -0.089,    0.104
    0.100,   -0.095,    0.119
    0.076,   -0.098,    0.131
    0.060,   -0.092,    0.136
    0.045,   -0.080,    0.134
    0.031,   -0.068,    0.130
    0.015,   -0.056,    0.133
   -0.001,   -0.048,    0.144
   -0.020,   -0.045,    0.162
   -0.042,   -0.043,    0.178
   -0.063,   -0.042,    0.186
   -0.080,   -0.034,    0.186
   -0.091,   -0.018,    0.182
   -0.103,    0.003,    0.180
   -0.122,    0.018,    0.182
   -0.147,    0.023,    0.187
   -0.173,    0.021,    0.193
   -0.192,    0.022,    0.195
   -0.203,    0.030,    0.192
   -0.210,    0.044,    0.186
   -0.218,    0.059,    0.179
   -0.228,    0.073,    0.172
   -0.242,    0.085,    0.164
   -0.257,    0.093,    0.155
   -0.272,    0.093,    0.143
   -0.281,    0.088,    0.129
   -0.284,    0.086,    0.118
   -0.280,    0.095,    0.114
   -0.275,    0.112,    0.112
   -0.271,    0.131,    0.110
   -0.271,    0.145,    0.102
   -0.275,    0.156,    0.085
   -0.281,    0.166,    0.064
   -0.289,    0.177,    0.046
   -0.291,    0.184,    0.032
   -0.284,    0.188,    0.026
   -0.267,    0.191,    0.026
   -0.246,    0.196,    0.026
   -0.229,    0.204,    0.024
   -0.223,    0.211,    0.018
   -0.223,    0.218,    0.004
   -0.223,    0.226,   -0.012
   -0.218,    0.235,   -0.027
   -0.208,    0.242,   -0.032
   -0.196,    0.241,   -0.025
   -0.183,    0.232,   -0.009
   -0.170,    0.222,    0.006
   -0.158,    0.220,    0.006
   -0.148,    0.229,   -0.011
   -0.139,    0.246,   -0.039
   -0.132,    0.263,   -0.062
   -0.128,    0.269,   -0.070
   -0.125,    0.260,   -0.063
   -0.121,    0.242,   -0.051
   -0.114,    0.225,   -0.044
   -0.103,    0.219,   -0.048
   -0.087,    0.226,   -0.063
   -0.071,    0.238,   -0.085
   -0.058,    0.248,   -0.107
   -0.049,    0.249,   -0.121
   -0.048,    0.240,   -0.123
   -0.049,    0.227,   -0.116
   -0.049,    0.210,   -0.111
   -0.039,    0.199,   -0.119
   -0.017,    0.198,   -0.142
    0.010,    0.206,   -0.169
    0.033,    0.213,   -0.189
    0.046,    0.210,   -0.196
    0.049,    0.194,   -0.197
    0.048,    0.173,   -0.202
    0.054,    0.158,   -0.214
    0.069,    0.156,   -0.230
    0.094,    0.160,   -0.243
    0.123,    0.160,   -0.252
    0.150,    0.148,   -0.258
    0.167,    0.128,   -0.262
    0.177,    0.106,   -0.264
    0.182,    0.091,   -0.267
    0.192,    0.087,   -0.274
    0.208,    0.089,   -0.289
    0.225,    0.090,   -0.305
    0.239,    0.082,   -0.314
    0.245,    0.061,   -0.305
    0.246,    0.034,   -0.282
    0.249,    0.008,   -0.259
    0.258,   -0.006,   -0.253
    0.273,   -0.006,   -0.267
    0.285,    0.005,   -0.292
    0.286,    0.018,   -0.308
    0.277,    0.018,   -0.304
    0.265,   -0.004,   -0.279
    0.257,   -0.043,   -0.246
    0.259,   -0.081,   -0.218
    0.264,   -0.098,   -0.207
    0.268,   -0.087,   -0.211
    0.265,   -0.064,   -0.221
    0.256,   -0.055,   -0.226
    0.239,   -0.070,   -0.215
    0.215,   -0.101,   -0.188
    0.191,   -0.129,   -0.153
    0.177,   -0.142,   -0.121
    0.182,   -0.142,   -0.103
    0.200,   -0.134,   -0.099
    0.216,   -0.122,   -0.103
    0.214,   -0.112,   -0.102
    0.195,   -0.109,   -0.087
    0.169,   -0.124,   -0.059
    0.152,   -0.151,   -0.022
    0.151,   -0.173,    0.012
    0.160,   -0.174,    0.040
    0.169,   -0.153,    0.060
    0.173,   -0.129,    0.077
    0.166,   -0.122,    0.094
    0.151,   -0.137,    0.112
    0.136,   -0.158,    0.134
    0.123,   -0.169,    0.159
    0.118,   -0.165,    0.187
    0.118,   -0.155,    0.214
    0.118,   -0.149,    0.237
    0.114,   -0.148,    0.254
    0.104,   -0.150,    0.270
    0.091,   -0.153,    0.289
    0.083,   -0.153,    0.310
    0.083,   -0.152,    0.328
    0.089,   -0.146,    0.332
    0.093,   -0.136,    0.326
    0.085,   -0.125,    0.319
    0.068,   -0.121,    0.320
    0.049,   -0.129,    0.331
    0.037,   -0.143,    0.345
    0.034,   -0.152,    0.351
    0.035,   -0.148,    0.344
    0.036,   -0.128,    0.327
    0.034,   -0.102,    0.310
    0.025,   -0.080,    0.295
    0.002,   -0.069,    0.284
   -0.031,   -0.070,    0.271
   -0.064,   -0.074,    0.260
   -0.081,   -0.075,    0.252
   -0.081,   -0.068,    0.250
   -0.075,   -0.055,    0.244
   -0.082,   -0.039,    0.230
   -0.107,   -0.023,    0.206
   -0.142,   -0.009,    0.181
   -0.175,    0.004,    0.164
   -0.199,    0.010,    0.155
   -0.219,    0.010,    0.148
   -0.234,    0.011,    0.138
   -0.247,    0.022,    0.127
   -0.256,    0.050,    0.115
   -0.266,    0.089,    0.096
   -0.282,    0.123,    0.060
   -0.304,    0.140,    0.010
   -0.325,    0.139,   -0.034
   -0.340,    0.130,   -0.048
   -0.349,    0.125,   -0.032
   -0.355,    0.132,   -0.012
   -0.358,    0.152,   -0.018
   -0.357,    0.181,   -0.054
   -0.351,    0.210,   -0.098
   -0.345,    0.232,   -0.120
