SITE CODE= ïFç™ésèÈí¨
LAT=  35.2761
LON= 136.2437
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 09 00
NS, EW, UD
   -0.014,    0.002,    0.021
   -0.016,    0.009,    0.019
   -0.005,    0.020,    0.011
    0.004,    0.020,    0.001
    0.004,    0.004,   -0.011
    0.000,   -0.016,   -0.021
    0.002,   -0.023,   -0.024
    0.011,   -0.011,   -0.017
    0.017,    0.008,   -0.004
    0.009,    0.013,    0.008
   -0.008,    0.000,    0.010
   -0.020,   -0.021,    0.005
   -0.016,   -0.031,   -0.002
    0.000,   -0.024,   -0.003
    0.009,   -0.007,    0.003
    0.002,    0.006,    0.010
   -0.018,    0.008,    0.011
   -0.031,    0.002,    0.005
   -0.025,   -0.004,   -0.005
   -0.004,   -0.003,   -0.010
    0.016,    0.006,   -0.009
    0.021,    0.018,   -0.002
    0.010,    0.023,    0.000
   -0.008,    0.018,   -0.007
   -0.021,    0.004,   -0.018
   -0.019,   -0.009,   -0.027
   -0.005,   -0.012,   -0.022
    0.009,   -0.004,   -0.006
    0.014,    0.005,    0.012
    0.007,    0.003,    0.021
   -0.004,   -0.011,    0.016
   -0.006,   -0.024,    0.003
    0.002,   -0.025,   -0.009
    0.012,   -0.012,   -0.012
    0.011,    0.002,   -0.006
   -0.004,    0.007,    0.004
   -0.020,    0.000,    0.010
   -0.023,   -0.006,    0.011
   -0.014,   -0.005,    0.008
   -0.002,    0.004,    0.004
   -0.003,    0.012,    0.002
   -0.015,    0.014,    0.003
   -0.025,    0.012,    0.003
   -0.023,    0.008,   -0.001
   -0.010,    0.002,   -0.011
    0.005,   -0.008,   -0.022
    0.018,   -0.021,   -0.029
    0.026,   -0.026,   -0.027
    0.030,   -0.015,   -0.015
    0.025,    0.007,   -0.001
    0.008,    0.023,    0.009
   -0.014,    0.019,    0.009
   -0.030,   -0.001,    0.002
   -0.029,   -0.021,   -0.005
   -0.014,   -0.023,   -0.005
    0.000,   -0.006,    0.002
    0.006,    0.014,    0.011
    0.003,    0.019,    0.014
    0.000,    0.008,    0.009
    0.000,   -0.008,   -0.002
    0.005,   -0.016,   -0.009
    0.007,   -0.011,   -0.008
    0.005,    0.002,   -0.001
    0.001,    0.013,    0.007
   -0.002,    0.014,    0.010
   -0.005,    0.004,    0.007
   -0.008,   -0.015,    0.000
