SITE CODE= ŒàŽs•ó’¬
LAT=  34.2412
LON= 132.5498
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 10 00
NS, EW, UD
   -0.102,   -0.010,    0.005
   -0.104,   -0.011,    0.001
   -0.103,   -0.009,   -0.007
   -0.100,   -0.007,   -0.014
   -0.100,   -0.004,   -0.016
   -0.100,   -0.001,   -0.017
   -0.097,    0.001,   -0.021
   -0.090,    0.004,   -0.028
   -0.084,    0.011,   -0.031
   -0.079,    0.017,   -0.028
   -0.075,    0.021,   -0.025
   -0.069,    0.026,   -0.026
   -0.059,    0.030,   -0.029
   -0.049,    0.035,   -0.028
   -0.043,    0.038,   -0.020
   -0.037,    0.039,   -0.012
   -0.029,    0.039,   -0.011
   -0.019,    0.041,   -0.013
   -0.011,    0.044,   -0.012
   -0.009,    0.047,   -0.006
   -0.006,    0.048,   -0.001
   -0.002,    0.048,   -0.002
    0.003,    0.050,   -0.005
    0.007,    0.053,   -0.004
    0.007,    0.055,    0.001
    0.008,    0.055,    0.003
    0.011,    0.055,   -0.002
    0.016,    0.056,   -0.007
    0.018,    0.059,   -0.007
    0.017,    0.059,   -0.005
    0.018,    0.058,   -0.005
    0.021,    0.057,   -0.011
    0.024,    0.059,   -0.017
    0.025,    0.061,   -0.017
    0.022,    0.061,   -0.011
    0.020,    0.059,   -0.008
    0.019,    0.057,   -0.011
    0.019,    0.055,   -0.015
    0.016,    0.053,   -0.014
    0.012,    0.047,   -0.009
    0.008,    0.039,   -0.009
    0.006,    0.030,   -0.013
    0.005,    0.024,   -0.017
    0.001,    0.018,   -0.017
   -0.003,    0.010,   -0.017
   -0.005,   -0.000,   -0.021
   -0.005,   -0.009,   -0.028
   -0.006,   -0.017,   -0.031
   -0.008,   -0.025,   -0.027
   -0.009,   -0.034,   -0.022
   -0.007,   -0.044,   -0.025
   -0.002,   -0.050,   -0.033
    0.001,   -0.054,   -0.036
    0.001,   -0.057,   -0.030
    0.003,   -0.061,   -0.023
    0.006,   -0.064,   -0.024
    0.012,   -0.064,   -0.030
    0.016,   -0.062,   -0.033
    0.017,   -0.059,   -0.030
    0.017,   -0.057,   -0.027
    0.019,   -0.055,   -0.027
    0.022,   -0.053,   -0.032
    0.022,   -0.046,   -0.032
    0.020,   -0.041,   -0.026
    0.018,   -0.038,   -0.022
    0.020,   -0.036,   -0.023
    0.023,   -0.034,   -0.025
    0.023,   -0.029,   -0.022
    0.021,   -0.025,   -0.016
    0.020,   -0.021,   -0.014
    0.021,   -0.018,   -0.020
    0.024,   -0.014,   -0.023
    0.026,   -0.009,   -0.020
    0.026,   -0.005,   -0.011
    0.029,   -0.002,   -0.007
    0.034,    0.001,   -0.009
    0.039,    0.005,   -0.010
    0.042,    0.010,   -0.004
    0.045,    0.014,    0.007
    0.049,    0.017,    0.015
    0.055,    0.020,    0.015
    0.059,    0.024,    0.016
    0.060,    0.027,    0.023
    0.060,    0.028,    0.032
    0.062,    0.028,    0.036
    0.065,    0.029,    0.033
    0.068,    0.031,    0.032
    0.066,    0.034,    0.037
    0.062,    0.036,    0.042
    0.061,    0.037,    0.042
    0.062,    0.039,    0.036
    0.062,    0.043,    0.032
    0.059,    0.046,    0.033
    0.055,    0.049,    0.035
    0.053,    0.052,    0.031
    0.051,    0.058,    0.023
